% Model:              cali 3.02 0.91mm 跑组织的.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 18 2022, 20:36
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
110000000                0.8742887384977103       -0.34302242846036923
120000000                0.8619319979919418       -0.37240159216446583
130000000                0.8485906920804471       -0.40132997970930745
140000000                0.8342813991832596       -0.4297747273345266
150000000                0.8190217848876856       -0.45770357984395293
160000000                0.8028305815454146       -0.4850849254123423
170000000                0.7857275656677655       -0.5118878313085858
180000000                0.7677335340277125       -0.5380820787150231
190000000                0.748870278563809        -0.5636381963438829
200000000                0.7291605599720786       -0.5885274932584288
210000000                0.7086280794870394       -0.6127220914426652
220000000                0.6872974506771652       -0.6361949559964875
230000000                0.665194169073795        -0.6589199255063589
240000000                0.6423445811820347       -0.6808717406976501
250000000                0.6187758528368843       -0.7020260718099443
260000000                0.5945159361174887       -0.7223595454006079
270000000                0.5695935359525107       -0.7418497692816846
280000000                0.5440380752739415       -0.7604753567989208
290000000                0.5178796602858136       -0.778215949432816
300000000                0.491149043848149        -0.7950522387176682
310000000                0.46387758947319924      -0.8109659861618177
320000000                0.4360972338043082       -0.8259400425952562
330000000                0.4078404487446308       -0.8399583656159978
340000000                0.37914020311663815      -0.853006036307477
350000000                0.3500299241151851       -0.8650692740151815
360000000                0.32054345760066116      -0.8761354503151122
370000000                0.290715028527416        -0.8861931013418488
380000000                0.26057920113279354      -0.895231938692896
390000000                0.23017083838788235      -0.9032428592840497
400000000                0.19952506136947454      -0.9102179533937331
410000000                0.16867720844474318      -0.916150511804085
420000000                0.1376627946178571       -0.9210350310820543
430000000                0.1065174698910143       -0.9248672177176748
440000000                0.07527697851832826      -0.927643990825461
450000000                0.043977117542186056     -0.9293634836174542
460000000                0.012653695798701393     -0.9300250430396186
470000000                -0.01865750721841124     -0.9296292284378007
480000000                -0.04992078256165442     -0.9281778086372484
490000000                -0.08110053237422275     -0.9256737576388252
500000000                -0.11216131059172413     -0.9221212492420268
510000000                -0.14306786347912492     -0.9175256495688837
520000000                -0.17378516952846682     -0.911893509242297
530000000                -0.20427847909885985     -0.9052325531693397
540000000                -0.23451335398637385     -0.897551669909751
550000000                -0.26445570622538056     -0.8888608992599007
560000000                -0.29407183623943        -0.8791714182776108
570000000                -0.3233284711917005      -0.8684955268479003
580000000                -0.3521928020290281      -0.8568466311147711
590000000                -0.3806325200455608      -0.8442392262549202
600000000                -0.40861585342763046     -0.8306888778137156
610000000                -0.43611160209868544     -0.8162122017055999
620000000                -0.4630891727484091      -0.8008268434372774
630000000                -0.4895186124341684      -0.7845514558613288
640000000                -0.515370641837075       -0.7674056759063043
650000000                -0.5406166875992228      -0.7494101001383882
660000000                -0.5652289131880467      -0.730586259642983
670000000                -0.5891802499039102      -0.710956593292988
680000000                -0.612444425973363       -0.6905444205531285
690000000                -0.6349959952851427      -0.6693739129535285
700000000                -0.6568103647610588      -0.6474700649175507
710000000                -0.6778638207969058      -0.6248586636301643
720000000                -0.6981335548354162      -0.6015662577866336
730000000                -0.7175976874442365      -0.5776201260101382
740000000                -0.7362352915877441      -0.5530482441389982
750000000                -0.7540264145810707      -0.5278792519796742
760000000                -0.7709520990984636      -0.5021424191060925
770000000                -0.7869944026359521      -0.4758676104073031
780000000                -0.8021364161552843      -0.4490852505584954
790000000                -0.8163622811265455      -0.42182628843607334
800000000                -0.8296572056007673      -0.39412216064544614
810000000                -0.842007478918826       -0.36600475456854875
820000000                -0.8534004850966111      -0.33750637120504745
830000000                -0.8638247149993403      -0.30865968753178213
840000000                -0.8732697771060436      -0.2794977185287359
850000000                -0.8817264071732702      -0.2500537786106657
860000000                -0.8891864763427924      -0.22036144341244418
870000000                -0.8956429980636806      -0.19045451069775082
880000000                -0.9010901336645705      -0.16036696165346187
890000000                -0.9055231965116651      -0.13013292180569966
900000000                -0.9089386549719745      -0.09978662197269053
910000000                -0.911334133967349       -0.06936235882981863
920000000                -0.9127084151760061      -0.03889445621799858
930000000                -0.9130614359795737      -0.00841722566698083
940000000                -0.9123942869886321      0.02203507222066749
950000000                -0.9107092083505202      0.05242826662958425
960000000                -0.9080095847430365      0.08272831502215677
970000000                -0.9042999389528174      0.11290134177553912
980000000                -0.8995859243573492      0.1429136757480096
990000000                -0.8938743159553024      0.1727318884651119
1000000000               -0.8871730002699327      0.20232283108965385
1010000000               -0.8794909639177239      0.23165367139198098
1020000000               -0.8708382810903755      0.2606919301229171
1030000000               -0.8612260995954535      0.28940551726862224
1040000000               -0.850666626032113       0.3177627670058139
1050000000               -0.839173109420335       0.34573247290963166
1060000000               -0.8267598240659532      0.3732839218658924
1070000000               -0.8134420510824439      0.40038692771843265
1080000000               -0.7992360589446037      0.42701186395290985
1090000000               -0.7841590827690674      0.4531296961629938
1100000000               -0.7682293028859435      0.4787120129906433
1110000000               -0.7514658220069603      0.5037310571711722
1120000000               -0.7338886419560832      0.5281597545380478
1130000000               -0.7155186389033921      0.5519717435440162
1140000000               -0.696377537844043       0.575141403079534
1150000000               -0.6764878864826627      0.5976438793855526
1160000000               -0.6558730279947796      0.6194551122371149
1170000000               -0.6345570730746488      0.6405518600199065
1180000000               -0.6125648710184701      0.6609117241781219
1190000000               -0.589921980377718       0.6805131720496322
1200000000               -0.566654638870931       0.6993355589967399
1210000000               -0.5427897321692099      0.7173591497336536
1220000000               -0.5183547628361435      0.7345651379222544
1230000000               -0.49337781771917816     0.7509356655103386
1240000000               -0.4678875360877089      0.7664538399180398
1250000000               -0.44191307587577544     0.7811037511786525
1260000000               -0.4154840801377942      0.794870487443651
1270000000               -0.38863064330603647     0.80774014914067
1280000000               -0.361383276593838       0.8196998623266492
1290000000               -0.3337728734196282      0.8307377907650354
1300000000               -0.30583067390479174     0.8408431469657881
1310000000               -0.2775882299127756      0.8500062018323489
1320000000               -0.24907736947077164     0.8582182932416944
1330000000               -0.22033016055795684     0.8654718336535695
1340000000               -0.19137887558406297     0.8717603163036142
1350000000               -0.16225595531188103     0.8770783202739433
1360000000               -0.13299397223512557     0.8814215146255049
1370000000               -0.10362559479736362     0.8847866611600695
1380000000               -0.07418355108582056     0.8871716161255624
1390000000               -0.04470059214892146     0.8885753308489213
1400000000               -0.015209456274049772    0.8889978511784696
1410000000               0.014257167952201222     0.8884403158882815
1420000000               0.0436666767934149       0.8869049539177727
1430000000               0.0729865883945676       0.8843950805118326
1440000000               0.10218457880784602      0.8809150923849387
1450000000               0.13122851702493393      0.8764704616668718
1460000000               0.16008650179498662      0.8710677288154088
1470000000               0.18872689738966442      0.8647144943562388
1480000000               0.2171183683566806       0.8574194096476714
1490000000               0.24522991608298758      0.8491921663121573
1500000000               0.27303091429032555      0.8400434844680643
1510000000               0.3004911435046893       0.8299850999843926
1520000000               0.3275808272880255       0.8190297500224658
1530000000               0.35427066736640694      0.8071911572988546
1540000000               0.38053187764750246      0.7944840132452626
1550000000               0.40633621993326197      0.7809239588992498
1560000000               0.43165603743345166      0.7665275646874432
1570000000               0.45646428913613346      0.7513123079691367
1580000000               0.4807345823337073       0.7352965490311474
1590000000               0.5044412048301317       0.7184995051096388
1600000000               0.5275591561948207       0.7009412218966539
1610000000               0.5500641768520923       0.6826425438885559
1620000000               0.5719327756703558       0.6636250823982563
1630000000               0.5931422558498188       0.6439111815485472
1640000000               0.6136707375978834       0.6235238836054179
1650000000               0.6334971783537097       0.602486892639234
1660000000               0.6526013906244454       0.5808245374048587
1670000000               0.6709640558177821       0.5585617345417935
1680000000               0.6885667356071885       0.5357239520007712
1690000000               0.7053918807871075       0.5123371727458272
1700000000               0.7214228362225893       0.4884278615694224
1710000000               0.7366438458029521       0.4640229311839188
1720000000               0.7510400535471391       0.4391497136543797
1730000000               0.7645975057251274       0.41383593139519104
1740000000               0.7773031514728199       0.38810967243675404
1750000000               0.7891448446486437       0.3619993664061856
1760000000               0.8001113460389437       0.33553376331838086
1770000000               0.8101923271216596       0.3087419131379995
1780000000               0.8193783756997782       0.28165314538254077
1790000000               0.8276610026563453       0.25429704974889455
1800000000               0.8350326506012924       0.22670345545919376
1810000000               0.8414867035828358       0.19890240977433116
1820000000               0.8470174979407958       0.17092415449227558
1830000000               0.8516203333955588       0.14279910072549015
1840000000               0.8552914837855717       0.11455780305585905
1850000000               0.8580282079744699       0.08623092931442779
1860000000               0.8598287590812522       0.05784923069975374
1870000000               0.8606923928445629       0.029443508572955992
1880000000               0.8606193740119459       0.0010445811189343796
1890000000               0.8596109811537144       -0.027316751843301946
1900000000               0.8576695092774526       -0.055609744538641426
1910000000               0.854798270549895        -0.08380374216026967
1920000000               0.8510015929630512       -0.11186821676513535
