% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 19 2022, 20:06
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6210887177687909       -0.7610771766612675
330000000                0.5515755811188318       -0.8129944097821954
360000000                0.4777936335944635       -0.8585739725404941
390000000                0.4003178578968509       -0.8974676017824298
420000000                0.31975180182778457      -0.9293787008413834
450000000                0.23672292506044723      -0.9540648098075171
480000000                0.15187772197416685      -0.9713396226896176
510000000                0.0658766707142723       -0.9810745407514686
540000000                -0.02061094673507391     -0.9831997541134223
570000000                -0.10691230733318147     -0.9777048451876977
600000000                -0.19235634822499215     -0.9646389108416442
630000000                -0.27627906375148154     -0.9441102028132102
660000000                -0.35802875223269015     -0.9162852895162118
690000000                -0.4369711711740074      -0.8813877455116095
720000000                -0.5124945563690212      -0.8396963791720649
750000000                -0.5840144642797994      -0.7915430121690393
780000000                -0.6509783964980127      -0.7373098286331072
810000000                -0.7128701674935027      -0.6774263154079604
840000000                -0.7692139791019229      -0.6123658180650902
870000000                -0.8195781666559583      -0.5426417416172488
900000000                -0.8635785857123063      -0.4688034269138993
930000000                -0.9008816103407116      -0.39143173748757176
960000000                -0.9312067175285954      -0.3111343945217184
990000000                -0.9543286366625001      -0.22854109830545016
1020000000               -0.9700790456576485      -0.14429847893216596
1050000000               -0.9783478005827112      -0.05906491808560132
1080000000               -0.979083689042597       0.026494713314008725
1110000000               -0.9722947023079329      0.11171435729658574
1140000000               -0.9580478253482463      0.19593206577372882
1170000000               -0.936468348347871       0.2784952475103822
1200000000               -0.9077387075670948      0.35876582112730593
1230000000               -0.8720968675085596      0.4361252314356514
1260000000               -0.829834260519977       0.5099792873977055
1290000000               -0.7812933035410967      0.5797627826912458
1320000000               -0.7268645155278276      0.6449438614053986
1350000000               -0.6669832622100631      0.705028094510391
1380000000               -0.6021261577366963      0.759562235583572
1410000000               -0.532807155715196       0.8081376271144409
1440000000               -0.4595733639887561      0.8503932325743673
1470000000               -0.3830006197501444      0.8860182725704169
1500000000               -0.3036888629786816      0.914754447240044
1530000000               -0.22225734724977875     0.9363977307866347
1560000000               -0.13933972785544207     0.9507997277428697
1590000000               -0.05557906753402886     0.9578685843467849
1620000000               0.028377199969288294     0.9575694521567466
1650000000               0.11188230845088061      0.9499245046207433
1680000000               0.19429516060137608      0.9350125108751648
1710000000               0.2749852537403921       0.9129679744261123
1740000000               0.35333749270742953      0.8839798476091545
1770000000               0.42875685423853654      0.8482898357553851
1800000000               0.5006728686975146       0.806190307892758
1830000000               0.5685438871058797       0.7580218334106554
1860000000               0.6318611033150344       0.704170366604535
1890000000               0.6901523034841909       0.6450641032234682
1920000000               0.7429853173320929       0.581170035134212
1950000000               0.7899711480745482       0.5129902310478242
1980000000               0.8307667605810277       0.44105787269305835
2010000000               0.8650775097339616       0.3659330773849985
2040000000               0.8926591938512474       0.2881985387925405
2070000000               0.913319720556072        0.20845501892597684
2100000000               0.9269203753746553       0.12731672482802536
2130000000               0.933376686036834        0.045406604076581626
2.16E9                   0.9326588782457095       -0.036648406367291275
2.19E9                   0.9247919215339544       -0.11822214367442746
2.22E9                   0.909855166557501        -0.19869396043505796
2.25E9                   0.8879815779922364       -0.2774534098599997
2.28E9                   0.8593565699134033       -0.3539048413838358
2.31E9                   0.8242164531690457       -0.4274718741830986
2.34E9                   0.7828465067376762       -0.4976017171802829
2.37E9                   0.7355786871512561       -0.5637693056326666
2.4E9                    0.6827889918713546       -0.6254812256956953
2.43E9                   0.6248944934657885       -0.6822793999052412
2.46E9                   0.5623500619664311       -0.7337445069578176
2.49E9                   0.49564479347125556      -0.7794991080542903
2.52E9                   0.42529816483101224      -0.8192104493648306
2.55E9                   0.3518559406475003       -0.852592905765583
2.58E9                   0.2758858705763913       -0.8794100298618646
2.61E9                   0.19797323125373334      -0.899476177708697
2.64E9                   0.11871627814711552      -0.9126577035013785
2.67E9                   0.038721666901400734     -0.9188737431720754
2.7E9                    -0.04140012273539054     -0.9180966241626449
2.73E9                   -0.12103935854480047     -0.9103519299496714
2.76E9                   -0.19959163359543358     -0.8957182184165249
2.79E9                   -0.27646244543951853     -0.8743263664899676
2.82E9                   -0.35107174329479174     -0.8463585088096711
2.85E9                   -0.4228583891676996      -0.8120465541135138
2.88E9                   -0.4912844743167519      -0.7716702850446616
2.91E9                   -0.5558394403579158      -0.7255550629954898
2.94E9                   -0.6160439645100384      -0.6740691671534043
2.97E9                   -0.6714535775434486      -0.6176207983052131
3.0E9                    -0.7216619879087283      -0.5566547778101473
3.03E9                   -0.7663040890629486      -0.4916489716354246
3.06E9                   -0.8050586289758421      -0.4231104700129105
3.09E9                   -0.8376505230529685      -0.35157155431044124
3.12E9                   -0.8638527940896378      -0.27758548412529777
3.15E9                   -0.8834881256116005      -0.20172213904677205
3.18E9                   -0.8964300180436757      -0.12456355076100534
3.21E9                   -0.9026035404940901      -0.04669936199638583
3.24E9                   -0.9019856743746181      0.03127775071750942
3.27E9                   -0.8946052485733363      0.10877665316781256
3.3E9                    -0.880542469426797       0.1852122918171782
3.33E9                   -0.8599280521281898      0.26001015790866744
3.36E9                   -0.8329419635523645      0.3326106421922756
3.39E9                   -0.799811789618247       0.40247324623215663
3.42E9                   -0.7608107433657747      0.46908061779407695
3.45E9                   -0.7162553327014803      0.5319423797558885
3.48E9                   -0.6665027093442681      0.5905987240653573
3.51E9                   -0.6119477230130653      0.6446237443585008
3.54E9                   -0.5530197068629634      0.6936284836575713
3.57E9                   -0.49017902213406767     0.7372636760418133
3.6E9                    -0.42391339156032903     0.7752221640596134
3.63E9                   -0.3547340522928858      0.8072409766504715
3.66E9                   -0.2831717600653419      0.8331030553419062
3.69E9                   -0.20977267685163953     0.8526386195775191
3.72E9                   -0.13509417459189113     0.8657261650039354
3.75E9                   -0.05970058732251041     0.8722930915084028
3.78E9                   0.015841056142610555     0.8723159604525549
3.81E9                   0.09096528743821396      0.8658203831193045
3.84E9                   0.16511241075541197      0.8528805447205002
3.87E9                   0.23773264135247968      0.8336183706075057
3.9E9                    0.30829014057379445      0.8082023436363756
3.93E9                   0.376266918118969        0.7768459840783437
3.96E9                   0.44116657305341767      0.7398060061498551
3.99E9                   0.5025178463742815       0.6973801680597417
4.02E9                   0.5598779596552591       0.6499048354031401
4.05E9                   0.612835716885331        0.5977522803836343
4.08E9                   0.6610143497379678       0.5413277414513343
4.11E9                   0.7040740900810359       0.4810662690473162
4.14E9                   0.7417144568373765       0.4174293832617316
4.17E9                   0.7736762469577088       0.35090156849487636
4.2E9                    0.7997432218749122       0.28198662930378626
4.23E9                   0.8197434816033508       0.2112039311703728
4.26E9                   0.8335505191881225       0.13908455044496945
4.29E9                   0.8410839493050226       0.06616735874173489
4.32E9                   0.8423099066953444       -0.007004931619727037
4.35E9                   0.8372411127298275       -0.07988973379739782
4.38E9                   0.8259366111673515       -0.15194853710627965
4.41E9                   0.8085011764878391       -0.22265081583867152
4.44E9                   0.7850843997622861       -0.2914778709788175
4.47E9                   0.7558794580938614       -0.35792658009653017
4.5E9                    0.7211215746112558       -0.42151303090724135
4.53E9                   0.6810861774553448       -0.481776013418064
4.56E9                   0.6360867681906719       -0.538280345290582
4.59E9                   0.5864725128960061       -0.590620004748591
4.62E9                   0.5326255721628552       -0.6384210461437045
4.65E9                   0.47495818947369206      -0.6813442744961151
4.68E9                   0.4139095602344973       -0.7190876575350331
4.71E9                   0.34994250620169504      -0.7513884563911756
4.74E9                   0.2835399816011586       -0.7780250592412284
4.77E9                   0.21520143826954785      -0.798818505236647
4.8E9                    0.1454390773818016       -0.8136336889395054
4.83E9                   0.07477401530755312      -0.8223802378303837
4.86E9                   0.0037323909564067393    -0.8250130573493373
4.89E9                   -0.06715855775998474     -0.8215325394768416
4.92E9                   -0.13737442023423227     -0.811984432503126
4.95E9                   -0.20639751332653608     -0.7964593715776589
4.98E9                   -0.27372072581005213     -0.7750920720573538
5.01E9                   -0.3388512770042919      -0.748060190503684
5.04E9                   -0.40131435966677514     -0.7155828612715281
5.07E9                   -0.46065663763338355     -0.6779189198462225
5.1E9                    -0.5164495697880711      -0.6353648273021986
5.13E9                   -0.5682925335209478      -0.5882523133637289
5.16E9                   -0.6158157229933083      -0.536945758393865
5.19E9                   -0.6586828000668039      -0.48183933718980954
5.22E9                   -0.6965932790022049      -0.4233539490211925
5.25E9                   -0.7292846288280509      -0.3619339594281088
5.28E9                   -0.7565340799516198      -0.2980437794591248
5.31E9                   -0.7781601233665909      -0.2321643081712792
5.34E9                   -0.7940236921136204      -0.16478926465449917
5.37E9                   -0.8040290158912182      -0.09642143708243484
5.4E9                    -0.8081241416069859      -0.02756887784382981
5.43E9                   -0.8063011153463852      0.04125892428629231
5.46E9                   -0.798595824835696       0.1095548630140073
5.49E9                   -0.7850875054220734      0.17681799205739762
5.52E9                   -0.7658979166103408      0.24255722967483517
5.55E9                   -0.7411901999543805      0.3062949599237277
5.58E9                   -0.7111674324279966      0.36757050246173506
5.61E9                   -0.6760708921550445      0.42594342541119784
5.64E9                   -0.6361780553397569      0.4809966788886156
5.67E9                   -0.5918003441161724      0.5323395300270528
5.7E9                    -0.5432806449114508      0.5796102829573199
5.73E9                   -0.49099061606928046     0.6224787688155139
5.76E9                   -0.4353278031290101      0.6606485908439861
5.79E9                   -0.37671258101584065     0.6938591090188564
5.82E9                   -0.3155849453329295      0.7218871482631455
5.85E9                   -0.25240117866875683     0.7445484160261503
5.88E9                   -0.18763042137423175     0.7616986187876444
5.91E9                   -0.12175117746190178     0.7732342724842297
5.94E9                   -0.055247785456381315    0.7790932069538721
5.97E9                   0.011393118616744503     0.7792547682920969
6.0E9                    0.07768612181684471      0.7737397249891758
