% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 24 2022, 17:17
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6003351210708161       -0.7306367657303938
330000000                0.5344488718942106       -0.7794276294501665
360000000                0.4647067655985595       -0.8223513526828772
390000000                0.39161903416709554      -0.8591006439873863
420000000                0.31572257433939693      -0.88941314624563
450000000                0.2375764148988788       -0.9130735991828323
480000000                0.15775719429135224      -0.9299156111916258
510000000                0.07685461278949451      -0.9398230373270722
540000000                -0.0045331465353763535   -0.9427309593566946
570000000                -0.0858040198743577      -0.9386262648498214
600000000                -0.16635666765498913     -0.927547823174403
630000000                -0.2455950581602588      -0.9095862586278252
660000000                -0.32293300205677844     -0.8848833228745591
690000000                -0.3977986063675829      -0.8536308717101067
720000000                -0.4696386171675737      -0.8160694537777312
750000000                -0.5379226191999601      -0.7724865215982881
780000000                -0.6021470602351129      -0.7232142785529239
810000000                -0.6618390697060198      -0.6686271780124718
840000000                -0.7165600420499078      -0.609139093457531
870000000                -0.7659089556263675      -0.5452001823054329
900000000                -0.8095254021133125      -0.47729346673328776
930000000                -0.8470923009842043      -0.4059311595804001
960000000                -0.8783382780245299      -0.33165076379493796
990000000                -0.9030396886379146      -0.25501097664213956
1020000000               -0.9210222697163415      -0.17658743166825328
1050000000               -0.9321624070911545      -0.09696831258321435
1080000000               -0.9363880087678818      -0.01674987430181638
1110000000               -0.933678977409943       0.06346809255553328
1140000000               -0.924067279086664       0.14308681729421077
1170000000               -0.9076366085784342      0.22151308849352006
1200000000               -0.8845216551435977      0.29816374005041324
1230000000               -0.8549069758261493      0.37247004905784337
1260000000               -0.8190254868224525      0.4438820100739281
1290000000               -0.7771565865636081      0.5118724523771656
1320000000               -0.7296239270737019      0.5759409683489056
1350000000               -0.6767928530940788      0.635617622688935
1380000000               -0.6190675309958964      0.690466414411104
1410000000               -0.5568877919643934      0.7400884658102523
1440000000               -0.49072571573787793     0.7841249153060308
1470000000               -0.421081983585258       0.8222594932787395
1500000000               -0.34848202993370236     0.8542207634388728
1530000000               -0.2734720242957086      0.8797840144894616
1560000000               -0.19661471510851458     0.8987727904210581
1590000000               -0.11848516852105587     0.9110600503247339
1620000000               -0.03966643513603181     0.9165689518363692
1650000000               0.03925482193148806      0.9152732552088612
1680000000               0.1176927047464707       0.9071973479936425
1710000000               0.19506643132503587      0.8924158930876219
1740000000               0.2708046272499862       0.8710531057326979
1770000000               0.3443495273277275       0.8432816676338293
1800000000               0.41516105695642463      0.8093212889305733
1830000000               0.48272076451145285      0.7694369311039314
1860000000               0.5465355773955176       0.7239367061101225
1890000000               0.6061413558608244       0.6731694691607322
1920000000               0.6611062204952802       0.6175221244863291
1950000000               0.7110336312924567       0.5574166649435628
1980000000               0.7555651975830937       0.49330696839750293
2010000000               0.794383200845206        0.42567537456353555
2040000000               0.8272128138275889       0.35502906788193184
2070000000               0.8538240020118452       0.28189629259511245
2100000000               0.8740330954022          0.20682242738590773
2130000000               0.8877040209541399       0.13036594759939388
2.16E9                   0.8947491882284734       0.05309430356436067
2.19E9                   0.895130023121304        -0.024420255792508744
2.22E9                   0.8888571469139741       -0.1016048850657829
2.25E9                   0.8759902001606726       -0.1778903405686646
2.28E9                   0.8566373132916898       -0.25271514588320193
2.31E9                   0.8309542280742414       -0.32552969565677264
2.34E9                   0.7991430762519247       -0.3958002696416902
2.37E9                   0.7614508236220037       -0.46301292961918733
2.4E9                    0.7181673895677911       -0.5266772725788126
2.43E9                   0.6696234531580569       -0.5863300146794587
2.46E9                   0.6161879580516075       -0.6415383803154833
2.49E9                   0.5582653290989432       -0.6919032703372395
2.52E9                   0.4962924157092527       -0.7370621810348279
2.55E9                   0.43073518188560134      -0.7766918427519416
2.58E9                   0.36208517192215306      -0.8105105461427752
2.61E9                   0.29085579232998776      -0.8382801297560111
2.64E9                   0.2175784592241028       -0.8598076171445659
2.67E9                   0.14279865648156562      -0.8749465115386598
2.7E9                    0.06707193180207476      -0.8835977683305682
2.73E9                   -0.009040163323052575    -0.8857104595520747
2.76E9                   -0.08497419170344288     -0.8812821241572941
2.79E9                   -0.16016899749130875     -0.8703587797414469
2.82E9                   -0.2340698919329186      -0.8530345686239174
2.85E9                   -0.30613281308730855     -0.8294510231124859
2.88E9                   -0.37582841111052334     -0.799795950783313
2.91E9                   -0.4426460159979042      -0.7643019524308746
2.94E9                   -0.5060974517114849      -0.7232445911316461
2.97E9                   -0.5657206664875898      -0.6769402326535527
3.0E9                    -0.6210831526972774      -0.6257435778450988
3.03E9                   -0.6717851316617724      -0.5700449082453626
3.06E9                   -0.7174624804537677      -0.5102670671926
3.09E9                   -0.7577893791762267      -0.446862200326369
3.12E9                   -0.7924806590388558      -0.380308281134464
3.15E9                   -0.821293833680731       -0.31110544900737547
3.18E9                   -0.8440307986956915      -0.23977218875654574
3.21E9                   -0.8605391869152396      -0.166841382063029
3.24E9                   -0.8707133699557872      -0.09285626227259165
3.27E9                   -0.8744950994987332      -0.0183663045656382
3.3E9                    -0.8718737847347854      0.05607691568268974
3.33E9                   -0.8628864055477279      0.12992386391365102
3.36E9                   -0.847617063958516       0.2026311541695085
3.39E9                   -0.8261961793597266      0.27366559171543176
3.42E9                   -0.7987993359238327      0.3425081193562687
3.45E9                   -0.7656457933716874      0.40865763726011145
3.48E9                   -0.7269966749347967      0.47163466745453325
3.51E9                   -0.6831528488214922      0.5309848357305479
3.54E9                   -0.6344525218916822      0.5862821453325776
3.57E9                   -0.5812685662605652      0.6371320189780946
3.6E9                    -0.5240056015605168      0.6831740877283567
3.63E9                   -0.46309685727734395     0.7240847075882791
3.66E9                   -0.39900084078104747     0.759579187339072
3.69E9                   -0.33219783810816655     0.7894137133485511
3.72E9                   -0.2631862749978837      0.8133869599942264
3.75E9                   -0.1924789664803367      0.8313413766515018
3.78E9                   -0.12059928352448956     0.843164144760351
3.81E9                   -0.048077265297186325    0.8487878008550205
3.84E9                   0.024554294302307867     0.8481905236551279
3.87E9                   0.09676375721856872      0.8413960855832152
3.9E9                    0.16802452054554654      0.8284734713185076
3.93E9                   0.2378188361171338       0.8095361683684814
3.96E9                   0.30564154259064635      0.7847411371606636
3.99E9                   0.371003682649992        0.7542874708814423
4.02E9                   0.43343597928096095      0.7184147580310349
4.05E9                   0.49249214679344766      0.6774011632874101
4.08E9                   0.5477520144487965       0.631561244536708
4.11E9                   0.5988244433201793       0.5812435254290876
4.14E9                   0.645350019563577        0.5268278435944292
4.17E9                   0.6870035094791547       0.4687224947371127
4.2E9                    0.7234960632123812       0.40736119271988847
4.23E9                   0.7545771548773481       0.34319986579791695
4.26E9                   0.7800362474329134       0.2767133101018164
4.29E9                   0.7997041718644777       0.20839172242337273
4.32E9                   0.8134542117139927       0.13873713595400552
4.35E9                   0.8212028863107194       0.06825978354182884
4.38E9                   0.8229104284738427       -0.002525586697259096
4.41E9                   0.8185809545809619       -0.07310341870357166
4.44E9                   0.8082623265530444       -0.14296105458989633
4.47E9                   0.7920457065159217       -0.2115924155621196
4.5E9                    0.7700648060450306       -0.27850163352431706
4.53E9                   0.7424948333041602       -0.3432066087459097
4.56E9                   0.7095511433382108       -0.40524246833467337
4.59E9                   0.6714875991777025       -0.46416489999991983
4.62E9                   0.628594654214734        -0.5195533356698234
4.65E9                   0.5811971691702189       -0.57101396036981
4.68E9                   0.5296519797493863       -0.6181825230910037
4.71E9                   0.474345233416531        -0.660726928368517
4.74E9                   0.415689515812028        -0.698349589369501
4.77E9                   0.3541207885475139       -0.730789525860265
4.8E9                    0.29009516112965134      -0.7578241925714368
4.83E9                   0.2240855202143017       -0.7792710255438466
4.86E9                   0.15657803994589248      -0.7949886956458445
4.89E9                   0.08806859780761869      -0.8048780599211061
4.92E9                   0.019059121195623877     -0.8088828029481114
4.95E9                   -0.04994610886080047     -0.8069897621004838
4.98E9                   -0.11844416937827057     -0.7992289327754432
5.01E9                   -0.1859371943423822      -0.7856731521664004
5.04E9                   -0.2519360320174185      -0.7664374629230319
5.07E9                   -0.31596383189998606     -0.7416781609833764
5.1E9                    -0.3775595327702888      -0.7115915348689029
5.13E9                   -0.4362812241862888      -0.676412306732458
5.16E9                   -0.4917093550186472      -0.6364117883320186
5.19E9                   -0.5434497643598398      -0.5918957677550144
5.22E9                   -0.591136512401577       -0.543202144797962
5.25E9                   -0.634434491095325       -0.49069833444827826
5.28E9                   -0.6730417964689301      -0.43477845885628486
5.31E9                   -0.7066918460796523      -0.37586034892457465
5.34E9                   -0.7351552262058424      -0.31438237764804244
5.37E9                   -0.7582412545881895      -0.25080014872694645
5.4E9                    -0.7757992460276686      -0.18558306597441176
5.43E9                   -0.7877194705263054      -0.11921081087767574
5.46E9                   -0.7939337965820219      -0.052169757412985934
5.49E9                   -0.7944160157780517      0.015050646099926535
5.52E9                   -0.7891818483018287      0.08196149781317695
5.55E9                   -0.7782886326180527      0.14807803633041014
5.58E9                   -0.7618347057302469      0.21292317928224477
5.61E9                   -0.7399584834011224      0.2760309796558595
5.64E9                   -0.712837252033498       0.3369499750879171
5.67E9                   -0.6806856854397207      0.39524640784629705
5.7E9                    -0.6437541004282086      0.4505072951476836
5.73E9                   -0.6023264651458492      0.5023433310052793
5.76E9                   -0.5567181743152964      0.550391600913003
5.79E9                   -0.5072736065724064      0.5943180903223401
5.82E9                   -0.45436348175201513     0.6338199674567745
5.85E9                   -0.3983820394749862      0.6686276222225068
5.88E9                   -0.3397440638040279      0.698506445847438
5.91E9                   -0.27888178066897246     0.7232583402205613
5.94E9                   -0.2162416549429308      0.7427229503050696
5.97E9                   -0.15228111261223543     0.7567786166158256
6.0E9                    -0.0874652118017389      0.7653430469150445
