% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 24 2022, 19:56
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5399574216247969       -0.7274673152460398
330000000                0.4713493669824127       -0.7720796799390646
360000000                0.39919117352239014      -0.8103663351363217
390000000                0.3240430352840221       -0.8420362738912864
420000000                0.24649358174190772      -0.8668493541388994
450000000                0.16715415717721938      -0.8846187477842389
480000000                0.08665324458509485      -0.8952129062708143
510000000                0.005630937551471505     -0.8985570403856594
540000000                -0.07526657928468002     -0.894634108454285
570000000                -0.15539254842669        -0.883485306114158
600000000                -0.23410514271419222     -0.8652100514576632
630000000                -0.3107729274362493      -0.8399654616154463
660000000                -0.38478024740563727     -0.807965319839712
690000000                -0.4555324984892812      -0.7694785361971699
720000000                -0.5224612407648189      -0.7248271093080692
750000000                -0.585029107491232       -0.6743836017298345
780000000                -0.6427344642354689      -0.6185681464600424
810000000                -0.6951157722324399      -0.5578450076765606
840000000                -0.7417556116465316      -0.49271872420235374
870000000                -0.7822843230401837      -0.4237298689948181
900000000                -0.8163832279204897      -0.35145046352643217
930000000                -0.8437873935394684      -0.27647909018406336
960000000                -0.8642879116936396      -0.19943574996811625
990000000                -0.8777336664014572      -0.12095651634032148
1020000000               -0.8840325710863463      -0.041688039146578135
1050000000               -0.8831522621472341      0.0377180458804179
1080000000               -0.875120242033116       0.11661074471282117
1110000000               -0.860023471609312       0.194345312147478
1140000000               -0.8380074181193955      0.27028878151769903
1170000000               -0.8092745715042279      0.3438253609279575
1200000000               -0.7740824480724404      0.41436164227599637
1230000000               -0.7327411063001         0.4813315722508349
1260000000               -0.6856102050380737      0.5442011377255267
1290000000               -0.6330956390845994      0.6024727225407678
1320000000               -0.5756457914208322      0.6556890970136818
1350000000               -0.5137474447653799      0.7034370068779267
1380000000               -0.4479213979976011      0.745350333567981
1410000000               -0.3787178348504224      0.7811128035300927
1440000000               -0.30671149378520257     0.8104602296883687
1470000000               -0.23249668820150157     0.8331822740553634
1500000000               -0.15668222622624983     0.8491237257768787
1530000000               -0.07988627832065341     0.8581852942591763
1560000000               -0.002731239771505223    0.8603239219161319
1590000000               0.0741613670384524       0.8555526256954563
1620000000               0.15017590776720038      0.8439398806595904
1650000000               0.2247075286576548       0.8256085625980891
1680000000               0.297166889474566        0.8007344698642141
1710000000               0.36698470283812057      0.7695444473576457
1740000000               0.4336160493253946       0.7323141378251686
1770000000               0.496544440961517        0.6893653874251628
1800000000               0.5552856089667925       0.6410633339050845
1830000000               0.6093909948810353       0.5878132066538915
1860000000               0.6584509271824666       0.5300568685711768
1890000000               0.7020974685213006       0.46826912994995784
1920000000               0.7400069213332622       0.4029538647018127
1950000000               0.7719019822373359       0.3346399590344187
1980000000               0.7975535379132463       0.2638771224337992
2010000000               0.8167820973070132       0.1912315904767178
2040000000               0.829458857106917        0.11728174826358242
2070000000               0.8355063991258          0.0426137030669031
2100000000               0.8348990200783533       -0.032183166064191436
2130000000               0.8276626957703173       -0.10652065444306794
2.16E9                   0.8138746833401197       -0.17981614686934896
2.19E9                   0.793662766646521        -0.2514969758843248
2.22E9                   0.7672041514135967       -0.32100469778245355
2.25E9                   0.7347240180751851       -0.3877992621375524
2.28E9                   0.6964937414238137       -0.4513630517834951
2.31E9                   0.6528287869224635       -0.5112047715769205
2.34E9                   0.6040862933982667       -0.5668631660842908
2.37E9                   0.5506623504669229       -0.6179105476972693
2.4E9                    0.4929889755324398       -0.6639561172252297
2.43E9                   0.4315307900120573       -0.7046490560131771
2.46E9                   0.36678138823116485      -0.7396813601170424
2.49E9                   0.2992593908594584       -0.7687903690158847
2.52E9                   0.22950418628166513      -0.7917609151457268
2.55E9                   0.1580714002356917       -0.8084269955968217
2.58E9                   0.08552819938170515      -0.8186728684996217
2.61E9                   0.0124486055658938       -0.8224335343785489
2.64E9                   -0.060590982510505854    -0.8196946823222473
2.67E9                   -0.1330159492541169      -0.8104923052729078
2.7E9                    -0.20425736819767268     -0.794912215902783
2.73E9                   -0.2737558687201781      -0.7730895706220404
2.76E9                   -0.3409656830895978      -0.7452083088530607
2.79E9                   -0.40535895068279376     -0.7115002845387339
2.82E9                   -0.46643018303435274     -0.6722438834397708
2.85E9                   -0.5237007013753615      -0.6277620347456526
2.88E9                   -0.5767228676104988      -0.5784196418539219
2.91E9                   -0.6250839910021162      -0.5246205188702849
2.94E9                   -0.668409852761274       -0.4668039289263621
2.97E9                   -0.7063678278986801      -0.4054408032479606
3.0E9                    -0.7386695977241047      -0.3410296998927909
3.03E9                   -0.7650734485006888      -0.27409254690071133
3.06E9                   -0.7853861494247742      -0.20517020816710385
3.09E9                   -0.7994644011777029      -0.13481790905835914
3.12E9                   -0.8072158462575492      -0.06360056009777292
3.15E9                   -0.8085996342110303      0.007911980920380424
3.18E9                   -0.8036265382224017      0.0791496662257037
3.21E9                   -0.7923586237529332      0.14954699145254266
3.24E9                   -0.774908474603692       0.21854766170919615
3.27E9                   -0.751437986495108       0.2856091474478063
3.3E9                    -0.7221567428674454      0.35020708868061035
3.33E9                   -0.6873199918773859      0.41183950811969555
3.36E9                   -0.6472262475261477      0.47003079620649957
3.39E9                   -0.6022145414084696      0.5243354339588848
3.42E9                   -0.5526613547404017      0.5743414227077441
3.45E9                   -0.4989772631130621      0.6196733933422817
3.48E9                   -0.44160332879853526     0.6599953713786674
3.51E9                   -0.38100727736968487     0.6950131781995508
3.54E9                   -0.31767949687129127     0.7244764529537782
3.57E9                   -0.252128898806334       0.7481802839286044
3.6E9                    -0.1848786805317545      0.7659664427024531
3.63E9                   -0.11646202850604369     0.7777242188040007
3.66E9                   -0.047417800907684084    0.7833908569735759
3.69E9                   0.021713773597725885     0.7829516031552306
3.72E9                   0.09039534625149931      0.7764393687281972
3.75E9                   0.1580966158899024       0.7639340251208766
3.78E9                   0.22429838440004737      0.7455613426200576
3.81E9                   0.2884964727298794       0.7214915881450816
3.84E9                   0.3502054713581707       0.6919377973430386
3.87E9                   0.40896229958551056      0.6571537371873116
3.9E9                    0.46432954767567003      0.6174315769435781
3.93E9                   0.5158985755803548       0.5730992883472273
3.96E9                   0.5632923424885247       0.5245178002228026
3.99E9                   0.6061679437196354       0.4720779382458995
4.02E9                   0.644218836451103        0.4161971859779329
4.05E9                   0.6771767435045721       0.35731630716038715
4.08E9                   0.7048132340548542       0.2958958698167283
4.11E9                   0.7269409896637488       0.23241270879313847
4.14E9                   0.7434147707210812       0.16735635532375992
4.17E9                   0.7541320999395048       0.10122545239640508
4.2E9                    0.7590336757963233       0.0345241663453378
4.23E9                   0.7581035217750846       -0.03224139854173897
4.26E9                   0.7513688706916654       -0.0985667739875441
4.29E9                   0.7388997805375901       -0.16395267660361984
4.32E9                   0.7208084800922784       -0.22790851303256812
4.35E9                   0.6972484471713095       -0.2899558207850759
4.38E9                   0.668413226556837        -0.3496316262250986
4.41E9                   0.6345349956756572       -0.40649170514969024
4.44E9                   0.5958828836061237       -0.4601137344630248
4.47E9                   0.5527610446857553       -0.510100323170573
4.5E9                    0.5055064848143644       -0.55608190681279
4.53E9                   0.45448663853248505      -0.5977194832564128
4.56E9                   0.40009669896759875      -0.6347071616330981
4.59E9                   0.342756709783353        -0.6667744924208594
4.62E9                   0.2829084366711058       -0.6936885462972175
4.65E9                   0.22101204408555156      -0.7152557123785798
4.68E9                   0.1575426090682086       -0.7313231923708455
4.71E9                   0.092986507638663        -0.7417801745831403
4.74E9                   0.02783770955602485      -0.7465586795690782
4.77E9                   -0.037405985207336734    -0.745634075668071
4.8E9                    -0.10224673925891176     -0.7390252667424492
4.83E9                   -0.16619047537575327     -0.726794555329127
