% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 20:23
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5805773313820055       -0.7890415488859586
330000000                0.5043892178867463       -0.8398871156986889
360000000                0.42379565753078374      -0.8833862614592709
390000000                0.33950330109001003      -0.9191577457795589
420000000                0.25225210600057507      -0.9468879929448084
450000000                0.16280890473422485      -0.9663341000146555
480000000                0.071960682264762        -0.9773262440017151
510000000                -0.019492385010500792    -0.9797694555086572
540000000                -0.11074407133614113     -0.9736447300942075
570000000                -0.2009893616897503      -0.9590094536378004
600000000                -0.28943176372721185     -0.9359971239635835
630000000                -0.37529060109711987     -0.9048163576770153
660000000                -0.4578082155503655      -0.8657491785753498
690000000                -0.5362570029319151      -0.8191485921779856
720000000                -0.6099462079951959      -0.7654354592757132
750000000                -0.6782284028958987      -0.7050946903805504
780000000                -0.7405055759808048      -0.6386707919543944
810000000                -0.7962347604052147      -0.5667628041991106
840000000                -0.8449331362020204      -0.4900186788856251
870000000                -0.88618254478708        -0.409129153942905
900000000                -0.9196333613684408      -0.3248211892991198
930000000                -0.945007678649235       -0.23785103473089936
960000000                -0.9621017634771434      -0.14899700679179917
990000000                -0.9707877578331332      -0.059052055770404746
1020000000               -0.9710146053555795      0.03118379280022576
1050000000               -0.9628081950866471      0.12091103594877516
1080000000               -0.946270724697394       0.2093382438329167
1110000000               -0.9215792959374657      0.29568947790538797
1140000000               -0.888983765274269       0.379211493765645
1170000000               -0.8488038823606229      0.45918065004036096
1200000000               -0.8014257579789         0.5349094496072123
1230000000               -0.7472977111127659      0.6057526460050348
1260000000               -0.6869255519669382      0.6711128548612266
1290000000               -0.6208673633705659      0.730445618587389
1320000000               -0.5497278479743707      0.7832638806615599
1350000000               -0.4741523116353465      0.8291418352211455
1380000000               -0.3948203557614731      0.8677181263776973
1410000000               -0.3124393519195657      0.8986983809283627
1440000000               -0.2277377718924976      0.9218570666909458
1470000000               -0.14145844461318316     0.9370386772079414
1500000000               -0.05435180919777256     0.9441582512239286
1530000000               0.03283077024654588      0.9432012425633955
1560000000               0.11934356620044505      0.9342227623640078
1590000000               0.20445286866822665      0.9173462212111908
1620000000               0.28744313322902343      0.8927614034229656
1650000000               0.3676228493868008       0.8607220096216874
1680000000               0.4443300877443992       0.8215427067717119
1710000000               0.516937689937503        0.7755957271094354
1740000000               0.5848580704863279       0.7233070589821191
1770000000               0.6475476050104902       0.6651522733746541
1800000000               0.7045105838273913       0.601652030328275
1830000000               0.7553027145788435       0.5333673092419041
1860000000               0.7995341617248215       0.46089440635890777
1890000000               0.8368721142893915       0.38485974206454404
1920000000               0.8670428768081457       0.3059145193126952
1950000000               0.8898334812878606       0.2247292733981775
1980000000               0.9050928207044354       0.1419883519237336
2010000000               0.9127323069077264       0.0583843624866803
2040000000               0.9127260579022178       -0.025387375717225765
2070000000               0.9051106213710665       -0.10863434133264044
2100000000               0.8899842430856119       -0.1906722475311598
2130000000               0.8675056905121473       -0.2708303732410496
2.16E9                   0.8378926435687696       -0.3484567572707269
2.19E9                   0.8014196660976659       -0.4229232248281625
2.22E9                   0.7584157732393749       -0.4936302171070104
2.25E9                   0.709261611392731        -0.5600113960799816
2.28E9                   0.6543862687178574       -0.621537998340226
2.31E9                   0.594263734838053        -0.6777229138956901
2.34E9                   0.5294090280476645       -0.7281244680310883
2.37E9                   0.4603740062419654       -0.7723498861962614
2.4E9                    0.3877428736154821       -0.8100584217586694
2.43E9                   0.3121273885993958       -0.8409641223565585
2.46E9                   0.23416177273902436      -0.8648381982217965
2.49E9                   0.15449732113893067      -0.8815109329560498
2.52E9                   0.073796735301719        -0.8908730457328066
2.55E9                   -0.007271748358671637    -0.8928763893146524
2.58E9                   -0.0880402765409034      -0.8875338831517965
2.61E9                   -0.1678471057479367      -0.8749186705714532
2.64E9                   -0.24604189837590074     -0.8551626486573597
2.67E9                   -0.32199048642448774     -0.8284546635274677
2.7E9                    -0.3950792343559879      -0.7950386625793331
2.73E9                   -0.46471930127929273     -0.7552119036033663
2.76E9                   -0.5303510667173116      -0.7093230614691132
2.79E9                   -0.5914487735155275      -0.6577699365946297
2.82E9                   -0.647525223520736       -0.6009965286221677
2.85E9                   -0.698136270308861       -0.5394894058644358
2.88E9                   -0.74288489177186        -0.47377344718818243
2.91E9                   -0.7814247177545813      -0.40440709806327774
2.94E9                   -0.8134629678551694      -0.33197728022437106
2.97E9                   -0.8387627982403466      -0.25709406439906596
3.0E9                    -0.8571450711670905      -0.18038518552187424
3.03E9                   -0.8684895609772229      -0.10249046067469661
3.06E9                   -0.872735606721295       -0.024056160864273687
3.09E9                   -0.8698822192287228      0.05427061493320193
3.12E9                   -0.8599876508281388      0.13184751485252377
3.15E9                   -0.8431684386833752      0.20804240930821055
3.18E9                   -0.8195979369611384      0.2822387170016685
3.21E9                   -0.7895043580417402      0.35384053379331715
3.24E9                   -0.7531683480561209      0.42227751852843626
3.27E9                   -0.7109201268605565      0.4870094929855615
3.3E9                    -0.663136226753792       0.5475307170696756
3.33E9                   -0.6102358678711381      0.6033738046234165
3.36E9                   -0.5526770111063005      0.6541132499242478
3.39E9                   -0.49095213163237345     0.6993685398398594
3.42E9                   -0.4255837578194914      0.7388068314859297
3.45E9                   -0.3571198213722944      0.7721451802680676
3.48E9                   -0.28612886514679897     0.7991523081100922
3.51E9                   -0.21319515507105624     0.8196499066470859
3.54E9                   -0.13891374216759686     0.833513474987872
3.57E9                   -0.06388551960422646     0.840672696430071
3.6E9                    0.011287681834217978     0.8411113630901813
3.63E9                   0.08600791871751011      0.8348668617792079
3.66E9                   0.15968584203725325      0.8220292383766088
3.69E9                   0.23174525152484407      0.8027398612626732
3.72E9                   0.30162746615922686      0.7771897067629903
3.75E9                   0.3687954837144668       0.745617290916136
3.78E9                   0.43273790567364084      0.7083062721564659
