% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 24 2022, 19:49
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5617633709540762       -0.7642745265847517
330000000                0.48889577780227467      -0.8114923262124247
360000000                0.41219962530717214      -0.8518918898744332
390000000                0.3322857429469018       -0.8851568254906088
420000000                0.24979736158991062      -0.9110250510174591
450000000                0.16540372062254108      -0.929292601961662
480000000                0.07979371595010676      -0.9398164938629286
510000000                -0.006330452810140841    -0.9425167914458096
540000000                -0.09225964551946558     -0.9373779645056101
570000000                -0.17728414850068736     -0.9244495743463479
600000000                -0.26070002049683455     -0.9038463141579991
630000000                -0.3418153825268115      -0.8757474180107025
660000000                -0.4199566084060871      -0.8403954500910724
690000000                -0.4944743680606738      -0.798094486169612
720000000                -0.5647494709167388      -0.7492077026008543
750000000                -0.6301984555629823      -0.6941543922700046
780000000                -0.6902788708677235      -0.6334064325586153
810000000                -0.7444941946588958      -0.5674842361376718
840000000                -0.7923983381529558      -0.4969522214325922
870000000                -0.8335996870691087      -0.42241384591822784
900000000                -0.8677646351039402      -0.3445062506049751
930000000                -0.8946205697708131      -0.26389457018293494
960000000                -0.9139582772807247      -0.18126596728686892
990000000                -0.9256337394489571      -0.0973234532952758
1020000000               -0.92956930275425        -0.012779562052611788
1050000000               -0.9257542077762508      0.07165005670376692
1080000000               -0.9142444747670915      0.15525305470643302
1110000000               -0.8951621494150598      0.23732674501803308
1140000000               -0.8686939207631442      0.31718433665972257
1170000000               -0.8350891310053026      0.3941609786113189
1200000000               -0.7946572042019329      0.4676195510164772
1230000000               -0.7477645278469922      0.5369561453011885
1260000000               -0.694830827229594       0.6016051801019677
1290000000               -0.6363250780970144      0.6610441051320971
1320000000               -0.5727610073483004      0.7147976517093647
1350000000               -0.5046922354710011      0.76244159471289
1380000000               -0.4327071167308811      0.8036059980123946
1410000000               -0.35742333501612206     0.8379779221383967
1440000000               -0.2794823139519932      0.865303579913255
1470000000               -0.19954349998446227     0.8853899324793256
1500000000               -0.1182785756996207      0.8981057248489631
1530000000               -0.036365659624763326    0.9033819659085254
1560000000               0.04551645415105483      0.9012118636816254
1590000000               0.12669396572073363      0.8916502316146151
1620000000               0.2065036012160144       0.8748123862280912
1650000000               0.2842979630699201       0.8508725603394205
1680000000               0.359450658974429        0.8200618593520969
1710000000               0.4313611737898544       0.7826657907957867
1740000000               0.49945945288464166      0.7390213993398778
1770000000               0.5632101692846921       0.6895140410822794
1800000000               0.622116651068976        0.6345738319109546
1830000000               0.6757244491537542       0.5746718053506296
1860000000               0.7236245291999879       0.5103158154933868
1890000000               0.7654560747027745       0.4420462204828517
1920000000               0.8009088913257458       0.37043138171130546
1950000000               0.829725405393253        0.29606301326259077
1980000000               0.8517022519577608       0.2195514154921615
2010000000               0.8666914501658323       0.14152062580198185
2040000000               0.8746011657039952       0.06260351895004422
2070000000               0.8753960620467987       -0.016563111749624538
2100000000               0.8690972439500165       -0.09534346155599421
2130000000               0.8557817983415135       -0.17310758002817256
2.16E9                   0.8355819393186942       -0.2492361663137439
2.19E9                   0.8086837655610503       -0.32312526569521227
2.22E9                   0.7753256399638272       -0.3941908402492966
