% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 21:01
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.590709833711398        -0.7430196083528724
330000000                0.5226812576501203       -0.7913395354393576
360000000                0.45083516474073004      -0.8335299498089267
390000000                0.37570542043665434      -0.869285830145151
420000000                0.2978539234711716       -0.8983489778790539
450000000                0.21786553699960295      -0.9205106297517258
480000000                0.13634306606942365      -0.9356135127124339
510000000                0.053902241954457614     -0.9435533840156087
540000000                -0.02883329956182301     -0.9442800819181439
570000000                -0.11123703694622017     -0.9377981013976406
600000000                -0.19268456192621938     -0.924166705249684
630000000                -0.2725585323521495      -0.9034995789431015
660000000                -0.3502535496864953      -0.8759640381159848
690000000                -0.425180929628613       -0.8417797986064877
720000000                -0.49677333101846277     -0.8012173216015243
750000000                -0.5644892106899432      -0.7545957481130653
780000000                -0.6278170690609707      -0.7022804408298602
810000000                -0.6862794546782781      -0.6446801532210156
840000000                -0.7394366955211213      -0.5822438494760419
870000000                -0.7868903276231675      -0.5154572011395202
900000000                -0.8282861933271195      -0.4448387892353955
930000000                -0.8633171840510949      -0.3709360431807943
960000000                -0.8917256053999094      -0.29432094993421276
990000000                -0.9133051454503298      -0.21558556891037708
1020000000               -0.9279024304275334      -0.13533738978865065
1050000000               -0.9354181554441386      -0.054194571689610053
1080000000               -0.9358077816148476      0.027218896394537076
1110000000               -0.9290817947629485      0.10827807438217077
1140000000               -0.9153055245328396      0.18836194808469242
1170000000               -0.8945985266964819      0.2668582645805759
1200000000               -0.867133535128017       0.34316828606096106
1230000000               -0.833134993692786       0.4167114233224979
1260000000               -0.7928771817853888      0.4869297114818785
1290000000               -0.7466819507710043      0.5532920918126025
1320000000               -0.6949160917207943      0.6152984658050065
1350000000               -0.6379883578283234      0.6724834896650671
1380000000               -0.5763461677441561      0.7244200798606297
1410000000               -0.510472018273755       0.7707226033344702
1440000000               -0.4408796373328192      0.8110497285830279
1470000000               -0.36810990964177037     0.8451069171718235
1500000000               -0.2927266092419431      0.872648538329893
1530000000               -0.2153119742229624      0.893479592563161
1560000000               -0.13646215953383029     0.90745703371087
1590000000               -0.056782604771268376    0.9144906820531222
1620000000               0.023116646415461517     0.9145437246061475
1650000000               0.10262563848050076      0.9076328019620553
1680000000               0.1811391714671851       0.8938276842910144
1710000000               0.2580614080740098       0.8732505422806386
1740000000               0.33281038571014765      0.846074821786811
1770000000               0.404822400022924        0.8125237338496856
1800000000               0.4735562277319867       0.7728683744734351
1830000000               0.538497158329417        0.727425491100008
1860000000               0.5991608059460177       0.6765549150602264
1890000000               0.6550966745519848       0.6206566815372856
1920000000               0.7058914518551824       0.5601678604909458
1950000000               0.751172009386957        0.49555912384114836
1980000000               0.7906080886202311       0.4273310757572437
2010000000               0.82391465529238         0.35601037434937455
2040000000               0.8508539066547365       0.2821456741855178
2070000000               0.8712369187961748       0.20630342017666348
2100000000               0.8849249238845212       0.12906352395906817
2130000000               0.8918302096506476       0.051014954769426996
2.16E9                   0.8919166361754357       -0.027248723081217587
2.19E9                   0.8851997676239404       -0.10513383351598621
2.22E9                   0.8717466192757716       -0.1820510605305512
2.25E9                   0.8516750227898939       -0.2574198763171967
2.28E9                   0.8251526152907644       -0.3306728938748045
2.31E9                   0.7923954603149046       -0.4012601133098409
2.34E9                   0.7536663110479879       -0.46865303169167416
2.37E9                   0.7092725283883546       -0.5323485876313551
2.4E9                    0.659563668082793        -0.591872913009918
2.43E9                   0.604928752385299        -0.6467848654148646
2.46E9                   0.5457932428080152       -0.6966793150069033
2.49E9                   0.4826157312840012       -0.741190159235851
2.52E9                   0.4158843699187175       -0.7799930362616649
2.55E9                   0.34611306511618545      -0.8128077056908872
2.58E9                   0.2738374722946261       -0.8394000654233187
2.61E9                   0.19961083988779846      -0.8595837814325256
2.64E9                   0.12399975848365355      -0.8732215252271861
2.67E9                   0.0475798636772197       -0.8802258354241176
2.7E9                    -0.029068480980878955    -0.8805596309265392
2.73E9                   -0.10536451843554265     -0.8742363931851032
2.76E9                   -0.1807314528711002      -0.8613200104949368
2.79E9                   -0.25460081261135076     -0.8419242583628668
2.82E9                   -0.3264167850694417      -0.8162118899469338
2.85E9                   -0.3956404726917817      -0.7843933260930327
2.88E9                   -0.4617540177559712      -0.7467249528086357
2.91E9                   -0.5242645509998334      -0.7035070465473002
2.94E9                   -0.5827079284605489      -0.6550813527573138
2.97E9                   -0.6366522273491863      -0.6018283442393773
3.0E9                    -0.6857009760560703      -0.5441641855066665
3.03E9                   -0.7294960955940193      -0.48253742958947127
3.06E9                   -0.7677205317939505      -0.4174254743975137
3.09E9                   -0.8001005592924741      -0.3493308072086332
3.12E9                   -0.8264077405613897      -0.2787770673890802
3.15E9                   -0.8464605258073172      -0.2063049588886915
3.18E9                   -0.8601254823316964      -0.13246804544433066
3.21E9                   -0.8673181450706173      -0.05782846221273799
3.24E9                   -0.8680034831141269      0.017047421580341355
3.27E9                   -0.8621959803224426      0.091593354248676
3.3E9                    -0.8499593313593421      0.16524753287717608
3.33E9                   -0.8314057576734604      0.23745687976495733
3.36E9                   -0.8066949510767231      0.3076812305598297
3.39E9                   -0.7760326556012628      0.37539740140405
3.42E9                   -0.73966890118296        0.4401031037883247
3.45E9                   -0.6978959054993876      0.5013206772263461
3.48E9                   -0.6510456627876974      0.5586006117693402
3.51E9                   -0.5994872409321744      0.6115248342032346
3.54E9                   -0.5436238102140111      0.6597097340885076
3.57E9                   -0.4838894290224025      0.702808908176314
3.6E9                    -0.42074561360256263     0.740515604182325
3.63E9                   -0.35467772019333554     0.7725648477029387
3.66E9                   -0.28619116908345693     0.7987352387636006
3.69E9                   -0.2158075408930177      0.8188504073323224
3.72E9                   -0.14406057577582984     0.8327801199881129
3.75E9                   -0.0714921065607113      0.8404410326169565
3.78E9                   0.0013520433941263121    0.8417970866986816
3.81E9                   0.07392616684165798      0.8368595491830766
3.84E9                   0.1456887535505537       0.8256866983765259
3.87E9                   0.21610651535566455      0.808383160576815
3.9E9                    0.2846583258167611       0.7850989045836155
3.93E9                   0.3508390453127481       0.7560279037331639
3.96E9                   0.41416320325659         0.7214064777768066
3.99E9                   0.47416851018804956      0.6815113297382678
4.02E9                   0.5304191741415352       0.6366572957491388
4.05E9                   0.5825089980842908       0.5871948283934775
4.08E9                   0.6300642379839104       0.5335072361988522
4.11E9                   0.672746204236293        0.4760077031209047
4.14E9                   0.7102535922107229       0.4151361121438287
4.17E9                   0.7423245299016937       0.35135569700134583
4.2E9                    0.7687383324173361       0.2851495453582151
4.23E9                   0.7893169537865973       0.2170169770433799
4.26E9                   0.8039261275598606       0.14746982139956125
4.29E9                   0.8124761888996705       0.07702861914189917
