% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 20:50
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5897981958824238       -0.7429010816033068
330000000                0.5217419831362877       -0.7911532834791122
360000000                0.4498739630783288       -0.833270967932333
390000000                0.37472853850620513      -0.8689494912263737
420000000                0.2968681585879502       -0.8979311146622969
450000000                0.2168782272653852       -0.9200076162138873
480000000                0.1353620641212496       -0.9350223422900197
510000000                0.05293587310060151      -0.9428717441377854
540000000                -0.029776290914879412    -0.9435064232380361
570000000                -0.11214755250843728     -0.9369317010031347
600000000                -0.19355322416840315     -0.9232077227112296
630000000                -0.27337576751775183     -0.9024491043683587
660000000                -0.3510096784654225      -0.8748241312498278
690000000                -0.4258662632885205      -0.8405535184777092
720000000                -0.4973782731383993      -0.7999087457018152
750000000                -0.5650043621008383      -0.7532099809280187
780000000                -0.6282333354292626      -0.7008236110832451
810000000                -0.6865881552763977      -0.6431593995701393
840000000                -0.7396296719511355      -0.5806672944226188
870000000                -0.7869600510052337      -0.5138339133106301
900000000                -0.8282258689212578      -0.4431787338608489
930000000                -0.8631208518633664      -0.3692500211403624
960000000                -0.8913882354916863      -0.2926205258421101
990000000                -0.9128227269141167      -0.21388298836610967
1020000000               -0.9272720526390992      -0.13364548683963173
1050000000               -0.9346380806206311      -0.052526667091741676
1080000000               -0.9348775076562097      0.028849105334732107
1110000000               -0.9280021074250293      0.10985663130461241
1140000000               -0.9140785381232629      0.1898747613341445
1170000000               -0.8932277125894699      0.2682912360967209
1200000000               -0.8656237375234381      0.3445074441411688
1230000000               -0.831492432169323       0.4179430579496421
1260000000               -0.7911094403150466      0.4880405109374042
1290000000               -0.7447979530666669      0.5542692790819784
1320000000               -0.6929260628533522      0.6161299334834989
1350000000               -0.6359037722430081      0.6731579319354839
1380000000               -0.5741796839108703      0.7249271201839882
1410000000               -0.5082374004370468      0.7710529164434969
1440000000               -0.43859166480629663     0.8111951555666647
1470000000               -0.36578427438385797     0.8450605723268366
1500000000               -0.2903798024754853      0.872404906639766
1530000000               -0.212961162968906       0.8930346167092088
1560000000               -0.1341250541803909      0.9068081895798582
1590000000               -0.054477318594244296    0.9136370418936723
1620000000               0.02537174433048435      0.9134860069916985
1650000000               0.10481207596801792      0.9063734079283597
1680000000               0.18323853001039794      0.8923707190777395
1710000000               0.2600554824154768       0.8716018222650321
1740000000               0.33468134478522416      0.844241866327311
1770000000               0.40655294786717744      0.8105157418700952
1800000000               0.47512976282245883      0.7706961858064127
1830000000               0.5398979300294119       0.7251015326627059
1860000000               0.6003740665464786       0.6740931321431254
1890000000               0.6561088254869699       0.6180724546216467
1920000000               0.7066901828234755       0.5574779080287524
1950000000               0.7517464289692235       0.492781391707206
1980000000               0.7909488451340366       0.42448461415586025
2010000000               0.8240140467702052       0.3531152029663919
2040000000               0.8507059787511424       0.27922263669511194
2070000000               0.8708375496784608       0.2033740290946661
2100000000               0.8842718951573609       0.12614979707909005
2130000000               0.8909232625226505       0.048139244457071406
2.16E9                   0.8907575121868601       -0.030063906354707178
2.19E9                   0.8837922334018018       -0.1078660020698322
2.22E9                   0.8700964749030128       -0.18467793324619003
2.25E9                   0.8497900935415409       -0.2599195638437807
2.28E9                   0.8230427266449021       -0.33302408376735787
2.31E9                   0.7900723963066977       -0.40344225361792896
2.34E9                   0.751143756175912        -0.4706465116328731
2.37E9                   0.7065659933983093       -0.5341349140586907
2.4E9                    0.6566903999988789       -0.5934348815739506
2.43E9                   0.6019076291010397       -0.6481067254524883
2.46E9                   0.5426446522307959       -0.6977469274093155
2.49E9                   0.47936143474042225      -0.7419911462757551
2.52E9                   0.41254734894523487      -0.7805169220039754
2.55E9                   0.34271735062239994      -0.8130460444617864
2.58E9                   0.2704079557844256       -0.8393465543296369
2.61E9                   0.1961730682509696       -0.8592343517930193
2.64E9                   0.12057971689663756      -0.8725744080036444
2.67E9                   0.04420375382350486      -0.8792815982571229
2.7E9                    -0.032374460127406836    -0.879321188512264
2.73E9                   -0.10857438202184344     -0.8727089960823078
2.76E9                   -0.18381963321298792     -0.8595112182713849
2.79E9                   -0.2575423561626579      -0.8398439008277239
2.82E9                   -0.3291875464260047      -0.8138720170277983
2.85E9                   -0.39821730746941864     -0.7818081445424706
2.88E9                   -0.464114973889895       -0.743910747306743
2.91E9                   -0.5263890568045693      -0.7004820831655294
2.94E9                   -0.5845769745803858      -0.6518657639777873
2.97E9                   -0.6382485399334948      -0.5984439955682069
3.0E9                    -0.6870091785121533      -0.5406345245875572
3.03E9                   -0.7305028568031878      -0.47888731904911896
3.06E9                   -0.7684146989048473      -0.41368101002413504
3.09E9                   -0.8004732735657587      -0.3455191231939445
3.12E9                   -0.826452535041806       -0.2749261303960262
3.15E9                   -0.8461734037510532      -0.20244335288435003
3.18E9                   -0.8595049755983963      -0.12862474917963912
3.21E9                   -0.8663653518440934      -0.054032621363162
3.24E9                   -0.8667220845385721      0.020766725631479546
3.27E9                   -0.8605922358284706      0.09520733696814868
3.3E9                    -0.8480420526514758      0.16872793843573428
3.33E9                   -0.8291862615325201      0.24077621026486995
3.36E9                   -0.8041869913387565      0.31081297058065616
3.39E9                   -0.7732523348173239      0.3783162360662671
3.42E9                   -0.7366345626646686      0.4427851284330581
3.45E9                   -0.6946280065894116      0.5037435969934738
3.48E9                   -0.6475666303431864      0.5607439294170861
3.51E9                   -0.5958213101699986      0.6133700245816449
3.54E9                   -0.5397968481555377      0.6612404038515947
