% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 24 2022, 20:40
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5971660268033857       -0.7285762932481599
330000000                0.5314611196281146       -0.7770021257569596
360000000                0.4619437165067211       -0.8195861287906006
390000000                0.38911954838133056      -0.8560245769735968
420000000                0.31352110745066003      -0.8860582639259649
450000000                0.2357030387216181       -0.9094746779765034
480000000                0.15623757744690236      -0.9261097756900174
510000000                0.07570998542363405      -0.9358493559523855
540000000                -0.005286027423224305    -0.9386300343023946
570000000                -0.08615289346652695     -0.9344398166988713
600000000                -0.16629377230506037     -0.9233182718394846
630000000                -0.24511710895747446     -0.9053563032002687
660000000                -0.3220411392467762      -0.8806955234373421
690000000                -0.3964983121671214      -0.8495272364981044
720000000                -0.46793959995179285     -0.8120910350865483
750000000                -0.5358386641590551      -0.7686730241960752
780000000                -0.5996958473999313      -0.719603683842247
810000000                -0.6590419598577855      -0.6652553875469782
840000000                -0.7134418321820664      -0.6060395949641176
870000000                -0.7624976059327471      -0.5424037411740662
900000000                -0.8058517367402559      -0.4748278458627332
930000000                -0.8431896853351182      -0.40382086995999295
960000000                -0.8742422755536003      -0.32991684805281096
990000000                -0.8987877003629697      -0.253670827434672
1020000000               -0.9166531599436869      -0.17565464623126043
1050000000               -0.9277161188473623      -0.0964525847557059
1080000000               -0.9319051726798411      -0.01665692457306617
1110000000               -0.9292005177416881      0.06313654852263084
1140000000               -0.9196340206855775      0.1423330618227464
1170000000               -0.9032888884603057      0.22034335701857996
1200000000               -0.8802989423162636      0.29658813927818123
1230000000               -0.8508475029257886      0.370502439021295
1260000000               -0.8151658969018402      0.4415398518309317
1290000000               -0.7735315982072065      0.5091766231288477
1320000000               -0.726266020819498       0.5729155460898944
1350000000               -0.6737319818705858      0.6322896428103479
1380000000               -0.6163308569976812      0.6868656009297878
1410000000               -0.5544994521328664      0.7362469400417355
1440000000               -0.48870661767150053     0.780076885033259
1470000000               -0.41944963336540586     0.8180409255912164
1500000000               -0.34725039311344646     0.8498690444685266
1530000000               -0.27265142081817        0.87533759942783
1560000000               -0.196211748724782       0.8942708471548176
1590000000               -0.11850269083814187     0.9065421000702136
1620000000               -0.04010354421007883     0.9120745100910842
1650000000               0.038402749015202534     0.9108414763035763
1680000000               0.11643394598009085      0.9028666763976608
1710000000               0.19341282167008825      0.8882237245266564
1740000000               0.2687714296192484       0.8670354610226498
1770000000               0.34195527427149275      0.8394728819531774
1800000000               0.4124273647867945       0.8057537190919519
1830000000               0.4796721219290067       0.7661406831531153
1860000000               0.5431991107875472       0.7209393853767732
1890000000               0.602546573612414        0.6704959546594743
1920000000               0.657284738843027        0.6151943692930141
1950000000               0.7070188842763838       0.5554535239719262
1980000000               0.7513921338282362       0.49172405469487707
2010000000               0.7900879698910661       0.42448494505689177
2040000000               0.8228324448566764       0.3542399391349703
2070000000               0.8493960777430744       0.2815137870423873
2100000000               0.8695954240169326       0.20684835007097974
2130000000               0.8832943088205643       0.13079859334305863
2.16E9                   0.8904047161883324       0.05392849418309253
2.19E9                   0.8908873290309196       -0.02319310490372389
2.22E9                   0.884751717034289        -0.09999666972682818
2.25E9                   0.8720561719010157       -0.1759161451870178
2.28E9                   0.8529071916762327       -0.2503930945960133
2.31E9                   0.8274586181649615       -0.32288077876437216
2.34E9                   0.7959104335643694       -0.39284814704585036
2.37E9                   0.7585072244399854       -0.4597837129860122
2.4E9                    0.7155363227912332       -0.5231992882717179
2.43E9                   0.6673256352047056       -0.5826335493806026
2.46E9                   0.6142411720687009       -0.6376554114673105
2.49E9                   0.5566842897197235       -0.6878671833855857
2.52E9                   0.4950886605069494       -0.7329074755769218
2.55E9                   0.4299169908399993       -0.7724538297555446
2.58E9                   0.3616575161260368       -0.8062250388804117
2.61E9                   0.2908203131766383       -0.8339831315653579
2.64E9                   0.21793347856015668      -0.855535009855696
2.67E9                   0.14353921714102233      -0.8707337486331674
2.7E9                    0.06818986683401818      -0.8794795764193639
2.73E9                   -0.007556135079681426    -0.8817205507289542
2.76E9                   -0.0831383459114484      -0.8774529207248695
2.79E9                   -0.15799846196156297     -0.8667211522827014
2.82E9                   -0.23158448259126774     -0.8496175885279356
2.85E9                   -0.30335484896018977     -0.8262817311186352
2.88E9                   -0.37278250938204666     -0.7968991434718076
2.91E9                   -0.4393588685693541      -0.7616999887153523
2.94E9                   -0.502597585160871       -0.7209572206744383
2.97E9                   -0.5620381876290697      -0.6749844478729391
3.0E9                    -0.6172494822179658      -0.6241334908157827
3.03E9                   -0.6678327283388111      -0.56879165353777
3.06E9                   -0.713424558621625       -0.5093787313098983
3.09E9                   -0.7536996220739394      -0.4463437781533968
3.12E9                   -0.78837293066451        -0.3801616595497708
3.15E9                   -0.8172018918027233      -0.31132941747520254
3.18E9                   -0.8399880115467614      -0.24036247657040488
3.21E9                   -0.8565782560978964      -0.16779072154458372
3.24E9                   -0.866866061935013       -0.09415447709447881
3.27E9                   -0.8707919879744351      -0.020000422103001333
3.3E9                    -0.8683440060428689      0.05412252929690369
3.33E9                   -0.8595574290785042      0.12766734749742256
3.36E9                   -0.8445144794152996      0.20009297563702177
3.39E9                   -0.8233435024896402      0.27086835447772356
3.42E9                   -0.7962178341548851      0.3394763529307495
3.45E9                   -0.7633543325923644      0.40541757411460905
3.48E9                   -0.7250115884128003      0.4682140082824273
3.51E9                   -0.6814878290810864      0.5274125052964723
3.54E9                   -0.6331185360941678      0.5825880412012724
3.57E9                   -0.580273795466206       0.6333467553435101
3.6E9                    -0.5233554039990308      0.6793287366283427
3.63E9                   -0.4627937555294843      0.7202105397585192
3.66E9                   -0.3990445326160784      0.7557074148717062
3.69E9                   -0.33258523044568994     0.7855752363236064
3.72E9                   -0.2639115403381848      0.8096121191107299
3.75E9                   -0.1935336209438061      0.8276597138096394
3.78E9                   -0.12197228545982385     0.8396041734325932
3.81E9                   -0.04975513332820256     0.8453767879367894
3.84E9                   0.02258734510208047      0.8449542843715702
3.87E9                   0.09452566240487706      0.8383587928758076
3.9E9                    0.1655351981071309       0.825657481006941
3.93E9                   0.23510000461677905      0.8069618612395764
3.96E9                   0.3027165272350891       0.7824267790095907
3.99E9                   0.3678972110607129       0.7522490913760005
4.02E9                   0.43017396876686614      0.7166660491161728
4.05E9                   0.489101484946351        0.6759533977012874
4.08E9                   0.5442603350343227       0.6304232147782827
4.11E9                   0.5952598993526154       0.5804215033566869
4.14E9                   0.6417410555082803       0.5263255605956999
4.17E9                   0.6833786344320917       0.4685411422285471
4.2E9                    0.7198836268411107       0.40749944255884457
4.23E9                   0.7510051277960355       0.34365391006011836
4.26E9                   0.7765320076241363       0.27747691951053877
4.29E9                   0.7962942986133797       0.20945632269662806
4.32E9                   0.810164288490785        0.14009190117176476
4.35E9                   0.8180573139278771       0.06989174555140558
4.38E9                   0.8199322497482208       -6.314139011191278E-4
4.41E9                   0.8157916916224224       -0.07096390079921612
4.44E9                   0.8056818316797636       -0.1405947861812014
4.47E9                   0.7896920276689706       -0.20901955816365253
4.5E9                    0.7679540674661379       -0.2757437435881737
4.53E9                   0.7406411321384351       -0.3402864570757542
4.56E9                   0.7079664627229711       -0.4021838522924239
4.59E9                   0.6701817383054416       -0.46099244987819105
4.62E9                   0.62757517575069         -0.5162923167044342
4.65E9                   0.5804693642998281       -0.5676900718950048
4.68E9                   0.5292188510203867       -0.6148216963554245
4.71E9                   0.47420749539783336      -0.6573551245877676
