% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 24 2022, 20:41
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5971150508878985       -0.7285793741390254
330000000                0.5314071218847419       -0.7770020460499188
360000000                0.46188691357330125      -0.8195824103547447
390000000                0.3890602112141817       -0.8560167534293108
420000000                0.3134595623778834       -0.886045887155348
450000000                0.23563966736164677      -0.9094573247567296
480000000                0.15617281551396955      -0.9260870543647425
510000000                0.07564432069984779      -0.9358209129813706
540000000                -0.005352058403112814    -0.9385955606680665
570000000                -0.0862187089632876      -0.9343990539237054
600000000                -0.16635875000637626     -0.9232710177122961
630000000                -0.2451805914837169      -0.9053024169888947
660000000                -0.32210243992315174     -0.8806349306067498
690000000                -0.3965567217617067      -0.8494599327606726
720000000                -0.4679943936099674      -0.8120170898678833
750000000                -0.5358891090196192      -0.7685925832867292
780000000                -0.5997412104548303      -0.7195169713204757
810000000                -0.6590815161759906      -0.6651627068171191
840000000                -0.7134748731617306      -0.6059413290840227
870000000                -0.7625234479247087      -0.5423003520433595
900000000                -0.8058697293855239      -0.4747198728107669
930000000                -0.8431992199826116      -0.40370892728361973
960000000                -0.8742427934908554      -0.3298016216140249
990000000                -0.8987787007180241      -0.2535530704573529
1020000000               -0.9166342072151559      -0.17553517426603651
1050000000               -0.927686849993323       -0.09633226978756138
1080000000               -0.931865303647194       -0.01653668834665749
1110000000               -0.9291498493622392      0.06325574184453564
1140000000               -0.9195724438605869      0.14245021372461927
1170000000               -0.9032163885764062      0.22045744316250754
1200000000               -0.8802156028058041      0.2966981186797288
1230000000               -0.8507535079423599      0.37060726355247764
1260000000               -0.8150615330554196      0.4416384760642329
1290000000               -0.7734172553400689      0.5092680144059218
1320000000               -0.726142191730747       0.5729986948019633
1350000000               -0.6735992610917951      0.6323635726020598
1380000000               -0.6161899385248238      0.6869293788957416
1410000000               -0.5543511260632967      0.7362996868100066
1440000000               -0.4885517660064195      0.7801177844365654
1470000000               -0.4192892246459917      0.8180692341218623
1500000000               -0.3470854762677411      0.8498841001595067
1530000000               -0.27248311802202724     0.8753388302342856
1560000000               -0.19604124745629026     0.8942577786652683
1590000000               -0.11833123512280182     0.9065143625014329
1620000000               -0.03993242517748463     0.9120318444667627
1650000000               0.038572203197858104     0.9107837397635982
1680000000               0.11660038081361233      0.9027938465698201
1710000000               0.19357486734885115      0.8881359029109412
1740000000               0.2689277125891644       0.866932875326369
1770000000               0.34210442891886167      0.8393558873753794
1800000000               0.4125680454193765       0.8056227984786182
1830000000               0.4798030147480848       0.7659964460567192
1860000000               0.5433189458583643       0.7207825659789293
1890000000               0.6026541366740003       0.6703274085844271
1920000000               0.6573788829405018       0.6150150692497279
1950000000               0.7070985409591604       0.5552645543682406
1980000000               0.7514563239421662       0.4915266051566965
2010000000               0.790135813832859        0.42428030289843255
2040000000               0.8228631721609084       0.35402948087261504
2070000000               0.849409035932252        0.28129896899617196
2100000000               0.8695900866504339       0.20663069806035197
2130000000               0.8832702826168689       0.13057969162969665
2.16E9                   0.8903617471731767       0.05370997370557798
2.19E9                   0.890825307640554        -0.023409578941534958
2.22E9                   0.8846706821080468       -0.10020941074023743
2.25E9                   0.871956313515883        -0.176123458599215
2.28E9                   0.8527888527807698       -0.2505932914876168
2.31E9                   0.8273222949688155       -0.32307218979729385
2.34E9                   0.7957567746941842       -0.3930291364148979
2.37E9                   0.7583370287950331       -0.4599526924624586
2.4E9                    0.7153505361469126       -0.5233547310739441
2.43E9                   0.667125345515737        -0.5827740038756308
2.46E9                   0.6140276035582716       -0.6377795144792326
2.49E9                   0.5564587956196588       -0.6879736731837811
2.52E9                   0.49485271461425673      -0.732995204228292
2.55E9                   0.42967217776915717      -0.7725217748519314
2.58E9                   0.3614055203195955       -0.8062723144184164
2.61E9                   0.29056290677932534      -0.8340089977711984
2.64E9                   0.21767250825853993      -0.8555388818051388
2.67E9                   0.1432765901636877       -0.8707152035243517
2.7E9                    0.06792753635441642      -0.879438359449544
2.73E9                   -0.007816184890596035    -0.8816565796095773
2.76E9                   -0.08339411523851581     -0.8773662889204652
2.79E9                   -0.1582479509018814      -0.8666121309780522
2.82E9                   -0.23182570695786042     -0.8494866273145979
2.85E9                   -0.3035858562647323      -0.8261294573275997
2.88E9                   -0.3730013949042145      -0.796726360077028
2.91E9                   -0.4395637913155006      -0.7615076707713366
2.94E9                   -0.5027867836321857      -0.7207465102440509
2.97E9                   -0.5622099951778153      -0.6747566474689406
3.0E9                    -0.6174023418615294      -0.6238900553838795
3.03E9                   -0.6679652068647294      -0.5685341810441634
3.06E9                   -0.7135353598755263      -0.5091089519724463
3.09E9                   -0.753787599267397       -0.44606354242794827
3.12E9                   -0.788437097584473       -0.37987292496950015
3.15E9                   -0.8172414328381417      -0.31103423441858497
3.18E9                   -0.8400022904085915      -0.24006297309687158
3.21E9                   -0.8565668231551653      -0.16748908742057467
3.24E9                   -0.8668286600960449      -0.09385294710964015
3.27E9                   -0.8707285570375046      -0.01970125886928173
3.3E9                    -0.8682546854789575      0.05441705296793479
3.33E9                   -0.8594425592093664      0.1279549664534062
3.36E9                   -0.8443746009652906      0.2003714503764576
3.39E9                   -0.8231793545005044      0.27113548909179047
3.42E9                   -0.7960303502872429      0.3397300128173284
3.45E9                   -0.7631446358078198      0.40565570340729096
3.48E9                   -0.7247809841127105      0.4684346467232393
3.51E9                   -0.6812377967087461      0.5276138045337986
3.54E9                   -0.632850719293299       0.5827682802889641
3.57E9                   -0.5799899908454572      0.6335043553654711
3.6E9                    -0.5230575486263828      0.6794622742729198
3.63E9                   -0.46248391319015103     0.7203187597997619
3.66E9                   -0.398724879010402       0.755789241383021
3.69E9                   -0.33225803738743603     0.78562978257932
3.72E9                   -0.26357915909744484     0.8096386960715197
3.75E9                   -0.1931984648710346      0.827657837122639
3.78E9                   -0.12163681200106904     0.8395735688976225
3.81E9                   -0.049421825576442306    0.8453173953823191
3.84E9                   0.022915997158058234     0.8448662599069913
3.87E9                   0.09484718084443458      0.8382425094998587
3.9E9                    0.16584713606419632      0.8255135275512222
3.93E9                   0.23539996517472944      0.8067910396467783
3.96E9                   0.3030021820723956       0.7822300999505715
3.99E9                   0.368166318691973        0.7520277682324387
4.02E9                   0.4304243922714521       0.7164214903433788
4.05E9                   0.4893312089799423       0.6756871976409966
4.08E9                   0.5444674820195013       0.6301371429735203
4.11E9                   0.5954427446969627       0.5801174924574318
4.14E9                   0.6418980417265421       0.5260056929518478
4.17E9                   0.6835083840758543       0.46820763526598635
4.2E9                    0.7199849541212032       0.4071546330670418
4.23E9                   0.7510770488099809       0.34330023752476846
4.26E9                   0.7765737491444948       0.2771169085685205
4.29E9                   0.7963053053429885       0.20909256488238515
4.32E9                   0.8101442287430697       0.13972703606380044
4.35E9                   0.8180060836855312       0.06952844144620217
4.38E9                   0.8198499750604878       -9.904796148424554E-4
4.41E9                   0.8156787293276999       -0.07131606148540921
4.44E9                   0.8055387684361343       -0.14093740581664668
4.47E9                   0.7895196772995772       -0.20935005112893945
4.5E9                    0.7677534666253991       -0.2760595942137553
4.53E9                   0.7404135343151883       -0.3405852388534902
4.56E9                   0.7077133306065702       -0.4024632465757937
4.59E9                   0.6699047345441962       -0.461250263959165
4.62E9                   0.6272761521414169       -0.5165265011356014
4.65E9                   0.5801503494654165       -0.56789873689674
4.68E9                   0.5288820366259508       -0.6150031272017646
4.71E9                   0.47385522103490135      -0.6575077957799597
