% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 24 2022, 21:42
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6293825812150051       -0.6403825883793066
330000000                0.37665861610465934      -0.885630319847587
360000000                0.4145875994396493       -0.8044388446360702
390000000                0.32121309848274127      -0.8521015476966745
420000000                0.24234733857685492      -0.876690714799953
450000000                0.16175274747894497      -0.8940589689449002
480000000                0.08004576732427876      -0.9041096711276874
510000000                -0.0021260056609564873   -0.9067753412894514
540000000                -0.08410251284087647     -0.902043927211868
570000000                -0.16522314352575354     -0.889963133396202
600000000                -0.24483267403871745     -0.8706404761030939
630000000                -0.32228695107159333     -0.8442427211250007
660000000                -0.39695848624104335     -0.810994783478342
690000000                -0.4682419218746208      -0.7711780945689158
720000000                -0.5355593225858144      -0.7251284468411681
750000000                -0.5983652463616037      -0.6732333301440291
780000000                -0.6561515464603893      -0.615928780378013
810000000                -0.7084518577522462      -0.5536957650102059
840000000                -0.754845720865723       -0.48705613697168837
870000000                -0.7949623011765613      -0.4165681928631066
900000000                -0.8284836624974377      -0.3428218770419534
930000000                -0.8551475597075474      -0.2664336778494997
960000000                -0.8747497195868132      -0.18804126620111344
990000000                -0.887145584527          -0.10829793083767736
1020000000               -0.8922515001307147      -0.02786686686674002
1050000000               -0.8900453340702456      0.05258462328218153
1080000000               -0.8805665204687575      0.13239095646724006
1110000000               -0.8639155309364611      0.21089406270606104
1140000000               -0.8402527803734012      0.2874490862204178
1170000000               -0.8097969823122506      0.3614299359177608
1200000000               -0.7728229751759534      0.43223462901497334
1230000000               -0.7296590468319556      0.499290375409422
1260000000               -0.680683790352167       0.5620583540299845
1290000000               -0.6263225289167923      0.6200381369607966
1320000000               -0.5670433519594066      0.6727717222656221
1350000000               -0.5033528081930297      0.7198471419243339
1380000000               -0.4357913038586474      0.7609016170432702
1410000000               -0.3649282564070479      0.7956242384593292
1440000000               -0.2913570550300992      0.8237581568276229
1470000000               -0.21568987977827225     0.8451022721784034
1500000000               -0.13855243039814696     0.8595124187741714
1530000000               -0.0605786154862507      0.8669020463464915
1560000000               0.01759474970317232      0.8672424041499209
1590000000               0.09533319017083582      0.8605622387734869
1620000000               0.17200971894911757      0.8469470209985623
1650000000               0.2470098449202073       0.8265377206712252
1680000000               0.31973640289114513      0.7995291517826184
1710000000               0.3896141715626403       0.7661679126871052
1740000000               0.4560942486706397       0.726749948513585
1770000000               0.5186581557658745       0.6816177646316082
1800000000               0.5768216487611806       0.6311573212631916
1830000000               0.6301382136836708       0.5757946401703632
1860000000               0.6782022302162386       0.5159921548681545
1890000000               0.7206517885420443       0.4522448361653266
1920000000               0.7571711481073479       0.3850761244614086
1950000000               0.7874928291575977       0.3150337004048577
1980000000               0.8113993306234193       0.24268512473914675
2010000000               0.828724469926192        0.16861337793039036
2040000000               0.8393543423790117       0.09341232953326804
2070000000               0.8432278997562513       0.01768216646340089
2100000000               0.8403371492410397       -0.05797519078082222
2130000000               0.8307269757489131       -0.13296065621847694
2.16E9                   0.8144945921058394       -0.20668250314441347
2.19E9                   0.7917886231955642       -0.2785608188293564
2.22E9                   0.7628078316229637       -0.3480318635110675
2.25E9                   0.7277994939288821       -0.41455230856096165
2.28E9                   0.6870574375013856       -0.47760333052372267
2.31E9                   0.6409197490551748       -0.5366945390804103
2.34E9                   0.5897661653748791       -0.5913677188727039
2.37E9                   0.5340151552011536       -0.6412003669182519
2.4E9                    0.4741206973870966       -0.6858090075141076
2.43E9                   0.41056875434650775      -0.7248522634920624
2.46E9                   0.3438734332304801       -0.758033652812213
2.49E9                   0.2745728253463076       -0.7851040597088138
2.52E9                   0.20322452752874068      -0.8058638004714318
2.55E9                   0.13040089035476576      -0.820164176796264
2.58E9                   0.05668411039526298      -0.8279084118455912
2.61E9                   -0.017338638287899676    -0.8290519291766896
2.64E9                   -0.09107981783656278     -0.8236020676888742
2.67E9                   -0.16395576697207873     -0.8116174627130172
2.7E9                    -0.23539064502603166     -0.7932073510537296
2.73E9                   -0.3048203217826247      -0.7685309180355994
2.76E9                   -0.3716964584621188      -0.7377965817963221
2.79E9                   -0.435490865007293       -0.7012609672307786
2.82E9                   -0.49570002690509063     -0.6592273425331009
2.85E9                   -0.5518495943604971      -0.6120434198902637
2.88E9                   -0.6034986386147074      -0.5600985506936077
2.91E9                   -0.6502435492584294      -0.5038204130155315
2.94E9                   -0.6917215132036161      -0.44367129849688497
2.97E9                   -0.7276135569794691      -0.38014408593510896
3.0E9                    -0.7576471494440149      -0.31375796592355343
3.03E9                   -0.7815983639941234      -0.24505396481761724
3.06E9                   -0.7992935966086594      -0.17459030879771895
3.09E9                   -0.8106108337839821      -0.10293766686275259
3.12E9                   -0.8154804641095419      -0.030674312779488157
3.15E9                   -0.8138856291339698      0.04161875212554319
3.18E9                   -0.8058621126066605      0.11336267193264504
3.21E9                   -0.7914977714852688      0.18398556039368197
3.24E9                   -0.7709315169132014      0.25292723228259817
3.27E9                   -0.7443518581623932      0.3196437985298818
3.3E9                    -0.7119950271411959      0.38361208352682624
3.33E9                   -0.6741427053459921      0.4443338253672533
3.36E9                   -0.6311193789672707      0.5013396226060064
3.39E9                   -0.5832893512857461      0.5541925943040549
3.42E9                   -0.5310534445259515      0.6024917235906375
3.45E9                   -0.4748454259198518      0.6458748587130719
3.48E9                   -0.4151281948567956      0.684021349587208
3.51E9                   -0.35238976975953684     0.7166543019290263
3.54E9                   -0.28713911456221164     0.7435424354322969
3.57E9                   -0.21990184535580806     0.764501536933129
3.6E9                    -0.1512158579457033      0.779395504030422
3.63E9                   -0.08162691654757791     0.7881369791871763
3.66E9                   -0.011684242630287046    0.7906875787218556
3.69E9                   0.058063859066499295     0.7870577251034008
3.72E9                   0.12707430285869067      0.7773060942842509
3.75E9                   0.19481342121593315      0.7615386922421123
3.78E9                   0.26076103182910304      0.7399075763657271
3.81E9                   0.3244143460890605       0.7126092379786491
3.84E9                   0.3852916935749356       0.679882662661643
3.87E9                   0.4429360375716014       0.6420070856513403
3.9E9                    0.49691825598077366      0.5992994612873428
3.93E9                   0.5468401617322833       0.552111668495238
3.96E9                   0.5923372370631566       0.5008274790594344
3.99E9                   0.6330810586944673       0.4458593211126136
4.02E9                   0.6687813961762672       0.3876448760597239
4.05E9                   0.6991879741081676       0.3266435510498563
4.08E9                   0.7240918992999795       0.26333286935545186
4.11E9                   0.7433267640365937       0.1982048164372261
4.14E9                   0.7567694434609398       0.13176217048485506
4.17E9                   0.7643406063478029       0.06451483538911927
4.2E9                    0.7660049539529045       -0.0030238147507699806
4.23E9                   0.7617711937030528       -0.07034057438719873
4.26E9                   0.7516917471699494       -0.13692602103336757
4.29E9                   0.735862188742022        -0.20227809240251246
4.32E9                   0.7144204134207297       -0.26590560733842505
4.35E9                   0.687545537190696        -0.3273317098855902
4.38E9                   0.6554565378281385       -0.3860972179378832
4.41E9                   0.6184106449451484       -0.4417638623612775
4.44E9                   0.5767014851893695       -0.4939174056030624
4.47E9                   0.5306569837728542       -0.5421706283648681
4.5E9                    0.48063702014990284      -0.5861661682155459
4.53E9                   0.4270308357852745       -0.6255791872869652
4.56E9                   0.3702541965179176       -0.6601198395595667
4.59E9                   0.31074631978004846      -0.6895355043605378
4.62E9                   0.24896658603355243      -0.7136127525746812
4.65E9                   0.18539106259808877      -0.7321790155251273
4.68E9                   0.12050887433976475      -0.7451039332384101
4.71E9                   0.05481845940781813      -0.7523003669172078
4.74E9                   -0.011176251844096187    -0.7537250689769894
4.77E9                   -0.07696969967116535     -0.74937901098912
4.8E9                    -0.14205856935680058     -0.7393073740021772
4.83E9                   -0.20594565208768972     -0.7235992065172895
4.86E9                   -0.2681436703969175      -0.7023867534762456
4.89E9                   -0.3281790462355253      -0.6758444567586007
4.92E9                   -0.3855955870706435      -0.644187625905212
4.95E9                   -0.4399580611391325      -0.6076707784317856
4.98E9                   -0.49085562875551014     -0.5665856524661484
5.01E9                   -0.5379050938721113      -0.5212588998467856
5.04E9                   -0.5807539392380502      -0.47204947428832505
5.07E9                   -0.6190831096734649      -0.4193457359162495
5.1E9                    -0.6526095108962379      -0.3635622999600586
5.13E9                   -0.6810881961691023      -0.30513666307573467
5.16E9                   -0.7043142195592401      -0.2445256451648505
5.19E9                   -0.7221241425335324      -0.1822016864409427
5.22E9                   -0.7343971885034402      -0.11864903820156786
5.25E9                   -0.7410560458291251      -0.05435988135153683
5.28E9                   -0.7420673218375582      0.010169599208206686
5.31E9                   -0.7374416482772242      0.0744431603971098
5.34E9                   -0.7272334344113773      0.13796844338956668
5.37E9                   -0.711540260937641       0.20026088456101282
5.4E9                    -0.6905019090472635      0.26084755980877244
5.43E9                   -0.664299024915485       0.3192709205067295
5.46E9                   -0.6331514293330448      0.3750923761380983
5.49E9                   -0.597316092593251       0.4278956795862067
5.52E9                   -0.5570848041197602      0.4772900758408516
5.55E9                   -0.5127815735375434      0.5229131823134351
5.58E9                   -0.4647598043780734      0.5644335782924549
5.61E9                   -0.41339928298211115     0.6015530913623772
5.64E9                   -0.3591030225298657      0.6340087790262263
5.67E9                   -0.3022939950775543      0.6615746122029901
5.7E9                    -0.24341177405616643     0.6840628707599893
5.73E9                   -0.18290909916620476     0.7013252576893692
5.76E9                   -0.12124837030584015     0.7132537283480144
5.79E9                   -0.05889808128126113     0.7197810192319457
5.82E9                   0.003670782840434761     0.720880854463706
5.85E9                   0.06598834479480598      0.7165678129898002
5.88E9                   0.12758938051391164      0.706896854801927
5.91E9                   0.18801676184428973      0.6919625234719763
5.94E9                   0.24682475918665878      0.671897856658161
5.97E9                   0.30358218275076043      0.6468730411711185
6.0E9                    0.35787535494256134      0.6170938453077746
