% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 21:20
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5267423763865473       -0.7538839650877294
330000000                0.4537269399108095       -0.7979931490525316
360000000                0.3771932984539639       -0.835210156017695
390000000                0.2977598698254056       -0.8652457408854235
420000000                0.21607568515054787      -0.8878667861903988
450000000                0.13281362649069325      -0.9028995815499468
480000000                0.04866381717499433      -0.9102323012882346
510000000                -0.035672922874282524    -0.9098167556898566
540000000                -0.11949159049529712     -0.9016694568806334
570000000                -0.2020894801685544      -0.885872021699602
600000000                -0.2827726113528251      -0.8625709252444541
630000000                -0.3608620669906042      -0.8319766156040047
660000000                -0.4357001991476839      -0.7943620007414552
690000000                -0.50665665185589        -0.7500603213040279
720000000                -0.5731341478721559      -0.699462427396236
750000000                -0.6345739842260422      -0.6430134827629886
780000000                -0.6904611817118628      -0.5812091255237827
810000000                -0.7403292343780166      -0.5145911210997192
840000000                -0.7837644081402833      -0.4437425488439295
870000000                -0.8204095410809704      -0.3692825700968645
900000000                -0.8499673028231662      -0.2918608310824614
930000000                -0.8722028762912587      -0.21215155881204104
960000000                -0.8869460314521886      -0.13084741285405377
990000000                -0.8940925680466609      -0.048653158913232346
1020000000               -0.8936051118869607      0.0337207670301223
1050000000               -0.885513257432768       0.11556473406971626
1080000000               -0.8699130575626548      0.19617636064738414
1110000000               -0.846965869698577       0.2748668582744652
1140000000               -0.816896575489038       0.35096720661033554
1170000000               -0.7799911989323293      0.4238340951930982
1200000000               -0.7365939551079318      0.49285557043907313
1230000000               -0.687103768131181       0.5574563317525335
1260000000               -0.631970302866831       0.6171026257109906
1290000000               -0.5716895598266651      0.6713066935948987
1320000000               -0.5067990867427187      0.7196307340737722
1350000000               -0.4378728633420581      0.7616903498029456
1380000000               -0.36551591804689515     0.7971574537254386
1410000000               -0.2903587362888446      0.8257626181169059
1440000000               -0.2130515205270932      0.8472968562827481
1470000000               -0.13425836123451837     0.8616128336945569
1500000000               -0.054651376703954924    0.8686255117114329
1530000000               0.02509512258073965      0.8683122329790758
1560000000               0.10431039220157229      0.8607122630682756
1590000000               0.18233288495218114      0.845925807707375
1620000000               0.25851570898513254      0.8241125292289775
1650000000               0.33223187092185785      0.7954895894076431
1680000000               0.4028792659817235       0.7603292488501137
1710000000               0.4698853814358726       0.7189560554314414
1740000000               0.532711683860881        0.6717436560408726
1770000000               0.5908576646987819       0.6191112671632758
1800000000               0.6438645226419748       0.5615198405627757
1830000000               0.6913184650399118       0.49946796071908406
1860000000               0.7328536140629585       0.4334875106645501
1890000000               0.768154506587753        0.3641391425587439
1920000000               0.7969581797041766       0.29200758896358076
1950000000               0.8190558365518442       0.21769684995349647
1980000000               0.8342940895316708       0.14182529066077537
2010000000               0.842575780306661        0.06502068286964492
2040000000               0.8438603779642971       -0.012084776468284581
2070000000               0.83816395866628         -0.08885943767640672
2100000000               0.8255587718877795       -0.16467713060943678
2130000000               0.8061724000707855       -0.23892202618613487
2.16E9                   0.7801865202053385       -0.31099339759295835
2.19E9                   0.7478352775033863       -0.38031025241292005
2.22E9                   0.7094032830083479       -0.4463158078437043
2.25E9                   0.6652232484441779       -0.5084817825735198
2.28E9                   0.6156732729703436       -0.5663124802028842
2.31E9                   0.561173797180148        -0.6193486410730981
2.34E9                   0.5021842394747046       -0.6671710412342403
2.37E9                   0.4391993280696019       -0.709403818924287
2.4E9                    0.3727451380723853       -0.7457175087144543
2.43E9                   0.30337483721512887      -0.7758317594653665
2.46E9                   0.23166413854743287      -0.7995177008023445
2.49E9                   0.15820645963398317      -0.8165999015505703
2.52E9                   0.08360780665040579      -0.8269578347012662
2.55E9                   0.008481450218140374     -0.8305267411609434
2.58E9                   -0.06655746254801241     -0.8272977986752296
2.61E9                   -0.14089714242856707     -0.8173175850604315
2.64E9                   -0.21393402120183486     -0.800686970999319
2.67E9                   -0.2850771523214779      -0.7775597086779427
2.7E9                    -0.3537522714626373      -0.7481409801593611
2.73E9                   -0.4194057926008352      -0.7126859929897607
2.76E9                   -0.48150898112483936     -0.6714984732544566
2.79E9                   -0.53956235191063        -0.6249287817705951
2.82E9                   -0.5931001403446559      -0.5733714337252036
2.85E9                   -0.6416946104848331      -0.5172619552506561
2.88E9                   -0.6849599993583023      -0.45707314455210746
2.91E9                   -0.7225559808745926      -0.3933108649269408
2.94E9                   -0.7541906057092311      -0.32650949528164186
2.97E9                   -0.7796227134422169      -0.257227136391113
