% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 21:12
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5281540233928708       -0.753449513705814
330000000                0.4552767450379648       -0.7976540664180773
360000000                0.37887335591813276      -0.83498742467309
390000000                0.29955986452696026      -0.865159707585249
420000000                0.21798287052476795      -0.8879368963795531
450000000                0.13481285020283967      -0.9031440979854521
480000000                0.050737592807225874     -0.910668016106521
510000000                -0.033544300367796966    -0.9104587038634953
540000000                -0.11732988769825159     -0.9025306378576943
570000000                -0.1999183286882822      -0.8869631352696349
600000000                -0.2806172745249404      -0.8639001271402109
630000000                -0.35874917285224894     -0.8335492978029256
660000000                -0.433657443033274       -0.7961806009867105
690000000                -0.5047124723905656      -0.7521241659208991
720000000                -0.5713173806989764      -0.7017676108875242
750000000                -0.6329134980745215      -0.645552787148161
780000000                -0.6889855016510713      -0.5839719818796343
810000000                -0.7390661575973585      -0.5175636149763889
840000000                -0.7827406176335446      -0.4469074706565861
870000000                -0.8196502227500192      -0.3726195109111401
900000000                -0.8494957716141697      -0.29534632342764827
930000000                -0.8720402168294825      -0.2157592615614421
960000000                -0.8871107585914484      -0.13454833832690932
990000000                -0.8946003123961633      -0.05241593987204904
1020000000               -0.8944683351004592      0.02992957353320628
1050000000               -0.8867410016311272      0.11178030970523262
1080000000               -0.8715107327281632      0.19243525982069448
1110000000               -0.8489350823522378      0.2712066176713512
1140000000               -0.819235001318376       0.3474259354187093
1170000000               -0.7826925014324142      0.4204500510729474
1200000000               -0.7396477515498721      0.4896667268558865
1230000000               -0.6904956435446348      0.5544999421151069
1260000000               -0.6356818720231343      0.6144147898527866
1290000000               -0.5756985765134547      0.6689219320754224
1320000000               -0.511079598993914       0.7175815755518505
1350000000               -0.44239541272669086     0.760006936461645
1380000000               -0.3702477805047266      0.7958671694631541
1410000000               -0.2952642015716835      0.8248897437783467
1440000000               -0.21809220685348507     0.8468622558025976
1470000000               -0.13939356141139        0.8616336745491968
1500000000               -0.05983843167306979     0.8691150225862301
1530000000               0.019900427005895338     0.8692795010358234
1560000000               0.0991534098035146       0.8621620726988516
1590000000               0.1772596792587974       0.8478585221478658
1620000000               0.25357261362962474      0.8265240159161924
1650000000               0.3274650446640891       0.7983711894805137
1680000000               0.39833424679204266      0.763667790759609
1710000000               0.465606643945417        0.7227339121898728
1740000000               0.5287422042658442       0.6759388452779858
1770000000               0.5872384971133972       0.6236975927684236
1800000000               0.6406343906107321       0.5664670744140631
1830000000               0.688513371768093        0.5047420626747561
1860000000               0.7305064746506397       0.4390508847551864
1890000000               0.7662948053393287       0.369950927102793
1920000000               0.7956116553569548       0.2980239780772165
