% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 24 2022, 21:23
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5308932925789458       -0.7519942076399881
330000000                0.45837785624986993      -0.7963615094973758
360000000                0.3823242582382442       -0.833911131441801
390000000                0.3033422967665663       -0.8643521698045625
420000000                0.2220723138707733       -0.8874489445373904
450000000                0.13917857805683695      -0.9030242173275269
480000000                0.05534281881000354      -0.910961640044638
510000000                -0.028742176269943444    -0.9112075036146179
540000000                -0.11237893688980823     -0.9037718248591763
570000000                -0.19487165839391737     -0.8887287912059307
600000000                -0.2755325036760296      -0.8662165750831445
630000000                -0.353687824747961       -0.8364365269222148
660000000                -0.4286842621529962      -0.7996517560994709
690000000                -0.4998946732135746      -0.7561851121905987
720000000                -0.5667238380773173      -0.7064165826911966
750000000                -0.6286138894118876      -0.6507801289725
780000000                -0.6850494122519387      -0.589759987657987
810000000                -0.7355621611816704      -0.523886470918962
840000000                -0.7797353447816335      -0.45373130490183117
870000000                -0.8172074302756418      -0.37990255185224914
900000000                -0.8476754261451289      -0.30303916681593757
930000000                -0.8708976058440895      -0.22380524479269834
960000000                -0.8866956419127958      -0.14288401858474428
990000000                -0.8949561266271883      -0.06097167125593847
1020000000               -0.8956314628370864      0.02122897047755647
1050000000               -0.8887401163417826      0.10301479391214584
1080000000               -0.8743662291392135      0.18368874048998873
1110000000               -0.8526586008773714      0.2625660603070686
1140000000               -0.82382905370415        0.3389804145196042
1170000000               -0.7881502032587699      0.4122897617186162
1200000000               -0.745952665674838       0.48188196783912496
1230000000               -0.6976217369143426      0.5471800837580706
1260000000               -0.6435935866821926      0.6076472395971265
1290000000               -0.5843510140079877      0.6627911109242645
1320000000               -0.5204188158377973      0.7121679180580447
1350000000               -0.4523588231155189      0.7553859264699857
1380000000               -0.38076466113864654     0.7921084231027054
1410000000               -0.30625629218577066     0.8220561503948716
1440000000               -0.2294743989950975      0.8450091865314967
1470000000               -0.15107466707519226     0.8608082671802006
1500000000               -0.07172202269829846     0.8693555502168439
1530000000               0.007915118578932479     0.8706148308743082
1560000000               0.08717054053939624      0.8646112201362408
1590000000               0.16538580279290047      0.8514303040377089
1620000000               0.24191565932017625      0.8312168058229095
1650000000               0.3161332770363949       0.8041727765269159
1680000000               0.38743521627854083      0.7705553426005979
1710000000               0.45524613910638867      0.7306740416531735
1740000000               0.5190232154849834       0.6848877792258246
1770000000               0.5782602012700983       0.6336014409173898
1800000000               0.6324911658984885       0.5772621950026825
1830000000               0.6812938512712781       0.5163555212046406
1860000000               0.724292646836733        0.4514010013467368
1890000000               0.7611611690576172       0.3829479074767608
1920000000               0.7916244364282292       0.3115706226331182
1950000000               0.8154606339173829       0.23786392883040822
