% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 24 2022, 22:21
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.620628021723795        -0.7527452034477808
330000000                0.5526290004449733       -0.8036695332564125
360000000                0.48055890125990236      -0.8485136920355715
390000000                0.40494780909660194      -0.886952146250377
420000000                0.32635448131226125      -0.9187049197603786
450000000                0.2453617641548167       -0.9435404848441534
480000000                0.1625719054483552       -0.9612780456261141
510000000                0.07860178082229848      -0.9717892847421695
540000000                -0.005921946360763997    -0.9749996129998236
570000000                -0.0903677068253872      -0.9708889449064524
600000000                -0.17410392315447576     -0.9594920143923269
630000000                -0.2565038916389348      -0.9408982406644646
660000000                -0.3369506179646467      -0.9152511530283736
690000000                -0.4148415721229448      -0.882747383877913
720000000                -0.48959332948141077     -0.8436352402510625
750000000                -0.5606460630228188      -0.7982128668889334
780000000                -0.6274678535708598      -0.7468260156136474
810000000                -0.6895587841578109      -0.6898654392305915
840000000                -0.7464547874088738      -0.6277639301076381
870000000                -0.7977312148312194      -0.5609930271939587
900000000                -0.8430061001468774      -0.4900594171804582
930000000                -0.881943090200005       -0.4155010585557915
960000000                -0.9142540199455035      -0.3378830593511329
990000000                -0.939701110724262       -0.2577933416165988
1020000000               -0.9580987740326332      -0.17583812759035997
1050000000               -0.969315006406421       -0.0926372837397238
1080000000               -0.9732723642802743      -0.008819560664897369
1110000000               -0.9699485113983507      0.07498223304250612
1140000000               -0.9593763348187251      0.15813608357222597
1170000000               -0.9416436293191479      0.2400156123745486
1200000000               -0.9168923536929499      0.3200048649747306
1230000000               -0.8853174658966178      0.3975030102527611
1260000000               -0.8471653477947569      0.4719289120025722
1290000000               -0.802731833394811       0.5427255370834111
1320000000               -0.7523598579893879      0.6093641650989894
1350000000               -0.6964367484533804      0.6713483670958631
1380000000               -0.6353911779654839      0.7282177225603301
1410000000               -0.569689810976924       0.77955124653931
1440000000               -0.49983366659142486     0.8249705013923073
1470000000               -0.4263542303460717      0.8641423705539385
1500000000               -0.34980934678185316     0.8967814743378804
1530000000               -0.2707789256580638      0.9226522114934413
1560000000               -0.1898604965978221      0.941570412858832
1590000000               -0.10766464758063848     0.9534045969586835
1620000000               -0.02481038271746172     0.9580768206787864
1650000000               0.05807956432259331      0.9555631212323329
1680000000               0.1403834256078847       0.9458935489466413
1710000000               0.22148506731769046      0.9291517934740577
1740000000               0.30077859629902515      0.9054744090970804
1770000000               0.3776728710158992       0.8750496476631544
1800000000               0.45159588383751237      0.8381159105662648
1830000000               0.5219989833394321       0.7949598337168069
1860000000               0.5883609065748037       0.7459140220119888
1890000000               0.6501915930532697       0.6913544520923797
1920000000               0.70703575401431         0.631697564337136
1950000000               0.7584761726333493       0.5673970669429744
1980000000               0.8041367128409118       0.4989404767015024
2010000000               0.8436850165952123       0.42684542281958615
2040000000               0.8768348719288597       0.3516557412498406
2070000000               0.9033482362680545       0.27393738844933874
2100000000               0.9230369020954985       0.1942742043068098
2130000000               0.9357637944183431       0.1132635549646231
2.16E9                   0.9414438920957388       0.03151188677840799
2.19E9                   0.9400447676193573       -0.05036977697071232
2.22E9                   0.9315867424786433       -0.1317703644766279
2.25E9                   0.9161426578806946       -0.2120832771785763
2.28E9                   0.8938372631125326       -0.2907108730005624
2.31E9                   0.8648462263631811       -0.3670688798011168
2.34E9                   0.8293947751852294       -0.44059070844039416
2.37E9                   0.787755975917872        -0.5107316357862814
2.4E9                    0.7402486633186456       -0.5769728288463952
2.43E9                   0.6872350327738751       -0.6388251825381857
2.46E9                   0.629117908777419        -0.6958329433615664
2.49E9                   0.5663377039199148       -0.7475770911298305
2.52E9                   0.49936908506822314      -0.7936784481817614
2.55E9                   0.4287173685628245       -0.8338004826623326
2.58E9                   0.3549146758459554       -0.8676517716005947
2.61E9                   0.27851589391095255      -0.8949880953528226
2.64E9                   0.20009449380821104      -0.9156141510460156
2.67E9                   0.1202382564547877       -0.9293848939247518
2.7E9                    0.0395449356445674       -0.9362065287850817
2.73E9                   -0.04138213549566708     -0.9360371673983148
2.76E9                   -0.12193849644510735     -0.9288871456183001
2.79E9                   -0.20152305994885006     -0.9148189742172251
2.82E9                   -0.279542628839756       -0.8939468944764789
2.85E9                   -0.3554163807430018      -0.8664360223041738
2.88E9                   -0.42858026836124363     -0.8325010819846984
2.91E9                   -0.49849128882406113     -0.7924047434089379
2.94E9                   -0.5646315831841303      -0.7464555828772698
2.97E9                   -0.626512333326343       -0.6950056895758121
3.0E9                    -0.6836774276703016      -0.6384479401458774
3.03E9                   -0.7357068690663298      -0.5772129644624296
3.06E9                   -0.7822199000586934      -0.5117658268636697
3.09E9                   -0.8228778222927172      -0.4426024487797108
3.12E9                   -0.8573864887636138      -0.37024580064362644
3.15E9                   -0.8854984499068608      -0.2952418929088666
3.18E9                   -0.9070147371854356      -0.21815559769297688
3.21E9                   -0.9217862706930952      -0.13956633414865274
3.24E9                   -0.9297148804169908      -0.06006365169957581
3.27E9                   -0.9307539339878881      0.019757253697921907
3.3E9                    -0.9249085670668736      0.09930005486348328
3.33E9                   -0.9122355158007395      0.17797180442793864
3.36E9                   -0.8928425540892269      0.25518740624446895
3.39E9                   -0.8668875416456209      0.330374012015158
3.42E9                   -0.8345770920010802      0.4029753090227124
3.45E9                   -0.796164872683129       0.47245566576052805
3.48E9                   -0.7519495527174537      0.5383041037660936
3.51E9                   -0.7022724153970249      0.600038065545281
3.54E9                   -0.6475146568726191      0.6572069503584927
3.57E9                   -0.5880943935030726      0.7093953918407458
3.6E9                    -0.5244634030158393      0.7562262537658265
3.63E9                   -0.4571036265762268      0.7973633227217862
3.66E9                   -0.38652346025406903     0.8325136793439546
3.69E9                   -0.3132538658159744      0.8614297324224482
3.72E9                   -0.2378443317074356      0.883910903115785
3.75E9                   -0.16085871563480936     0.8998049493831252
3.78E9                   -0.08287100067180227     0.9090089234515695
3.81E9                   -0.0044609968860857665   0.9114697578560241
3.84E9                   0.0737899794547376       0.9071844781417145
3.87E9                   0.15130341697182265      0.8962000428567536
3.9E9                    0.22750787867361366      0.8786128140668202
3.93E9                   0.3018431980871368       0.8545676643205214
3.96E9                   0.373764570708833        0.8242567288940329
3.99E9                   0.44274651028547896      0.7879178152050255
4.02E9                   0.5082866407286453       0.7458324844372023
4.05E9                   0.5699092965440901       0.6983238233482355
4.08E9                   0.6271689071667581       0.6457539267984569
4.11E9                   0.6796531436955853       0.588521113218066
4.14E9                   0.7269858094076973       0.5270568961626568
4.17E9                   0.7688294580095765       0.4618227351582494
4.2E9                    0.8048877252397318       0.3933065890059569
4.23E9                   0.8349073605417403       0.3220192948829635
4.26E9                   0.8586799464623802       0.24849079728697002
4.29E9                   0.8760432945948978       0.1732662524188444
4.32E9                   0.8868825089523509       0.09690203488563431
4.35E9                   0.8911307101953394       0.0199616746390019
4.38E9                   0.8887694168878444       -0.05698824745198108
4.41E9                   0.8798285824561365       -0.13338221775966205
4.44E9                   0.8643862883497562       -0.2086598942397675
4.47E9                   0.8425680953534282       -0.2822701702060943
4.5E9                    0.8145460563160345       -0.3536751704109248
4.53E9                   0.7805373951842995       -0.42235415201128346
4.56E9                   0.7408028594422998       -0.4878072823653192
4.59E9                   0.6956447556927693       -0.549559265575367
4.62E9                   0.6454046813106292       -0.6071627897566855
4.65E9                   0.5904609681181218       -0.6602017683091898
4.68E9                   0.5312258570878478       -0.7082943499761697
4.71E9                   0.4681424256692653       -0.75109567472327
4.74E9                   0.40168129136466146      -0.7883003551043217
4.77E9                   0.3323371165541673       -0.8196446655118242
4.8E9                    0.26062494056387636      -0.8449084242098528
4.83E9                   0.18707636530646338      -0.8639165554114648
4.86E9                   0.11223562145319531      -0.8765403204221864
4.89E9                   0.03665554256604011      -0.8826982085954628
4.92E9                   -0.039106524386118835    -0.882356480478618
4.95E9                   -0.1144928425471779      -0.8755293575201402
4.98E9                   -0.18894941226164283     -0.8622788551162786
5.01E9                   -0.2619300702776772      -0.8427142585387133
