% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 24 2022, 22:31
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6317609220552858       -0.7595136493704507
330000000                0.5631338268478432       -0.8121425197357093
360000000                0.4901823093097232       -0.8585868268407375
390000000                0.41346209913208654      -0.8984927977569623
420000000                0.33355778458562463      -0.9315564194758617
450000000                0.25107837676811506      -0.9575257949232429
480000000                0.16665267951490198      -0.9762031069037711
510000000                0.08092450046779316      -0.9874461728868695
540000000                -0.0054522625032824125   -0.9911695775672176
570000000                -0.09181862137236063     -0.9873453724103117
600000000                -0.17751554830458682     -0.9760033349559463
630000000                -0.26188903566666877     -0.9572307836860908
660000000                -0.3442951275862061      -0.9311719479432299
690000000                -0.4241048835166278      -0.8980268956369349
720000000                -0.500709233816472       -0.8580500254268607
750000000                -0.5735236893461548      -0.8115481332159901
780000000                -0.6419928664969562      -0.7588780668053091
810000000                -0.7055947912497982      -0.7004439857177295
840000000                -0.7638449468277404      -0.6366942468937878
870000000                -0.8163000317009189      -0.5681179401039572
900000000                -0.8625613968673712      -0.49524110003296173
930000000                -0.9022781337818796      -0.41862262502299635
960000000                -0.9351497872872643      -0.338849934967016
990000000                -0.9609286709120024      -0.25653440334928973
1020000000               -0.979421765315386       -0.17230660042943594
1050000000               -0.9904921842424955      -0.08681138597399765
1080000000               -0.9940601958577242      -7.028923997666283E-4
1110000000               -0.9901037915725817      0.08536056174635213
1140000000               -0.9786587980012819      0.1707215853036369
1170000000               -0.959818531920142       0.2547288139399645
1200000000               -0.9337330019472939      0.33674195354973124
1230000000               -0.9006076646267996      0.41613672676655356
1260000000               -0.8607017462907139      0.4923096828384094
1290000000               -0.8143261459892642      0.5646828318982745
1320000000               -0.7618409380030361      0.6327080671957598
1350000000               -0.7036524958389057      0.6958713404317307
1380000000               -0.6402102628556215      0.7536965575956895
1410000000               -0.5720031969563253      0.8057491659084643
1440000000               -0.4995559197773344      0.8516394046676532
1470000000               -0.42342460259780046     0.8910251963116842
1500000000               -0.3441926231423212      0.9236146570553555
1530000000               -0.26246602894659504     0.9491682097992
1560000000               -0.17886884410198595     0.9675002854485169
1590000000               -0.0940382569041935      0.9784806022641871
1620000000               -0.008619726607122047    0.9820350162815301
1650000000               0.0767379526194869       0.9781459393523035
1680000000               0.16138759238193182      0.9668523247066402
1710000000               0.24468851786292092      0.9482492232716089
1740000000               0.32601140579656857      0.9224869171954785
1770000000               0.4047430169029122       0.889769640068426
1800000000               0.4802907879949439       0.8503538963304387
1830000000               0.5520872507855427       0.8045463950341308
1860000000               0.6195942457466703       0.7527016158409853
1890000000               0.6823069015038357       0.6952190274148748
1920000000               0.7397573519953795       0.6325399807250858
1950000000               0.7915181659063166       0.5651443017292832
1980000000               0.8372054650929471       0.4935466097528604
2010000000               0.8764817110619785       0.41829238950475045
2040000000               0.9090581409752361       0.33995384616884444
2070000000               0.9346968371962806       0.25912557423452376
2100000000               0.95321241700419         0.17642007166074433
2130000000               0.9644733316318856       0.09246313205537009
2.16E9                   0.968402766559748        0.00788914788066415
2.19E9                   0.9649791376049749       -0.07666364143212899
2.22E9                   0.9542361801670598       -0.16055792278081046
2.25E9                   0.9362626316309598       -0.24316207023266223
2.28E9                   0.9112015097261441       -0.3238548594724218
2.31E9                   0.879248992228191        -0.40203010300215924
2.34E9                   0.8406529059637887       -0.4771011734410882
2.37E9                   0.7957108353425095       -0.5485053835342141
2.4E9                    0.7447678625926258       -0.6157081924620477
2.43E9                   0.6882139532013625       -0.6782072091552278
2.46E9                   0.6264810012734039       -0.7355359633406042
2.49E9                   0.5600395501484832       -0.787267414635886
2.52E9                   0.4893952064258329       -0.8330171668834497
2.55E9                   0.41508477104961355      -0.8724463519270999
2.58E9                   0.33767212216950515      -0.9052641459401244
2.61E9                   0.2577438987591357       -0.9312298884105892
2.64E9                   0.1759050435201598       -0.9501547922335434
2.67E9                   0.09277425800499106      -0.9619032572444202
2.7E9                    0.008979400285363327     -0.9663938134060679
2.73E9                   -0.0748471710299997      -0.9635997111099738
2.76E9                   -0.15807331031687222     -0.9535491500058388
2.79E9                   -0.24007184492827208     -0.9363251161769182
2.82E9                   -0.3202253445722494      -0.9120647957913802
2.85E9                   -0.39793084576041143     -0.8809585491033943
2.88E9                   -0.4726044746524185      -0.8432484482070403
2.91E9                   -0.543685918201961       -0.7992263957719609
2.94E9                   -0.6106427030118247      -0.749231847962621
2.97E9                   -0.6729742478543553      -0.6936491663602535
3.0E9                    -0.7302156600448169      -0.6329046237806513
3.03E9                   -0.7819412480179871      -0.5674630895067097
3.06E9                   -0.8277677243711496      -0.49782442054721465
3.09E9                   -0.8673570752578347      -0.42451958748919083
3.12E9                   -0.9004190742562366      -0.34810656549755914
3.15E9                   -0.9267134213908224      -0.26916602301670367
3.18E9                   -0.94605149087677        -0.188296842610165
3.21E9                   -0.9582976744157343      -0.10611150973790331
3.24E9                   -0.9633703102075306      -0.023231406501076707
3.27E9                   -0.9612421913786511      0.0597179518245353
3.3E9                    -0.9519406511106848      0.14211169947606628
3.33E9                   -0.9355472252793402      0.2233303838882833
3.36E9                   -0.9121968969880087      0.302764672569537
