% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 24 2022, 21:54
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5999502413402796       -0.7298441063081662
330000000                0.5341857821162413       -0.7785210012173972
360000000                0.46458610346852025      -0.8213502354459807
390000000                0.3916579559122932       -0.8580271208478326
420000000                0.3159346413673012       -0.8882913748041603
450000000                0.23797150765427377      -0.9119293111357245
480000000                0.158341456464842        -0.9287756302089337
510000000                0.07763042909888487      -0.9387148097931743
540000000                -0.00356713730964966     -0.9416820958611283
570000000                -0.08465287312203831     -0.9376640920978172
600000000                -0.16502904189476483     -0.9266989479175933
630000000                -0.24410308345706364     -0.9088761460250074
660000000                -0.3212921071296436      -0.8843358927045859
690000000                -0.3960273058575372      -0.8532681160579106
720000000                -0.4677582596183825      -0.8159110803502557
750000000                -0.5359570976730031      -0.7725496269174237
780000000                -0.6001224886422311      -0.7235130549576176
810000000                -0.6597834278736157      -0.669172658490415
840000000                -0.7145027933128816      -0.6099389381113842
870000000                -0.7638806419117391      -0.5462585092726137
900000000                -0.807557220992187       -0.47861073075531063
930000000                -0.8452156706061795      -0.4075040797749576
960000000                -0.8765843952958368      -0.33347230256396115
990000000                -0.9014390868947381      -0.2570703699813127
1020000000               -0.9196043818078927      -0.17887027116164456
1050000000               -0.9309551400783106      -0.0994566780236627
1080000000               -0.9354173361659509      -0.01942251548166642
1110000000               -0.9329685548011135      0.06063552737973991
1140000000               -0.9236380884973884      0.14012150936262632
1170000000               -0.907506636686814       0.21844473645147816
1200000000               -0.8847056097299332      0.29502421274917623
1230000000               -0.8554160444336605      0.3692930075549685
1260000000               -0.8198671408059852      0.4407025045510922
1290000000               -0.7783344329717491      0.5087264996596498
1320000000               -0.7311376101152995      0.5728651158986672
1350000000               -0.678638006179269       0.6326485050561166
1380000000               -0.6212357794267694      0.6876403083652382
1410000000               -0.5593668056205802      0.7374408500981944
1440000000               -0.4934993105651872      0.7816900406610916
1470000000               -0.42413026969761003     0.8200699682905779
1500000000               -0.3517816037059913      0.8523071613101258
1530000000               -0.27699620121440616     0.8781745052865493
1560000000               -0.20033379966514853     0.897492802913498
1590000000               -0.12236675706934452     0.9101319669210197
1620000000               -0.04367574732757671     0.9160118395249418
1650000000               0.03515458775479807      0.9151026347962725
1680000000               0.11353999692929317      0.9074250032864399
1710000000               0.19090095556913927      0.8930497210839143
1740000000               0.2666669474876917       0.8720970082838543
1770000000               0.34028066109735583      0.844735484506842
1800000000               0.41120206971525664      0.8111807716783098
1830000000               0.4789123667758176       0.7716937567784975
1860000000               0.542917728583887        0.7265785293722445
1890000000               0.6027528780744668       0.6761800111787001
1920000000               0.6579844254990089       0.6208812965321657
1950000000               0.7082139630906369       0.5611007247900744
1980000000               0.7530808931971941       0.4972887070701176
2010000000               0.7922649711070986       0.42992433133707214
2040000000               0.8254885459990071       0.35951177111462557
2070000000               0.8525184856016956       0.2865765242264641
2100000000               0.8731677724211917       0.21166150882779464
2130000000               0.887296761581316        0.1353230450184541
2.16E9                   0.8948140927949599       0.05812675046590696
2.19E9                   0.8956772511632259       -0.019356620565745657
2.22E9                   0.8898927740088916       -0.0965553656522821
2.25E9                   0.8775161032342137       -0.1729010206430877
2.28E9                   0.8586510850822375       -0.24783251494374428
2.31E9                   0.8334491214729284       -0.3208002668410289
2.34E9                   0.8021079792370472       -0.3912701907825981
2.37E9                   0.7648702656674857       -0.4587275890617426
2.4E9                    0.7220215802992289       -0.5226809018056542
2.43E9                   0.6738883544013018       -0.5826652892992062
2.46E9                   0.6208353901986513       -0.6382460217995942
2.49E9                   0.5632631132332094       -0.6890216505916441
2.52E9                   0.5016045528602598       -0.7346269327430957
2.55E9                   0.4363220708184642       -0.7747354790374357
2.58E9                   0.36790386632489747      -0.809062094084236
2.61E9                   0.2968602973646643       -0.8373647829393449
2.64E9                   0.2237200658261335       -0.8594464126708667
2.67E9                   0.14902631025743104      -0.8751560361288885
2.7E9                    0.07333263307063742      -0.8843898966343909
2.73E9                   -0.0028009314106528294   -0.8870921266495971
2.76E9                   -0.07881200904512974     -0.8832551340471264
2.79E9                   -0.15414002801840745     -0.8729196524286081
2.82E9                   -0.22823038166271853     -0.8561744295783056
2.85E9                   -0.3005385679403862      -0.8331555395182275
2.88E9                   -0.37053425882362856     -0.8040453189268
2.91E9                   -0.43770525762208623     -0.7690709399022408
2.94E9                   -0.5015613089191161      -0.7285026366011126
2.97E9                   -0.5616377314638233      -0.6826516049713166
3.0E9                    -0.6174988476666059      -0.6318675952422022
3.03E9                   -0.6687411852248055      -0.5765362174743615
3.06E9                   -0.7149964280066878      -0.5170759814529285
3.09E9                   -0.7559340944919597      -0.45393509401502785
3.12E9                   -0.7912639240606412      -0.3875880383741592
3.15E9                   -0.8207379531624517      -0.31853196210633794
3.18E9                   -0.8441522659290863      -0.24728290184251486
3.21E9                   -0.8613484062631008      -0.17437187424334133
3.24E9                   -0.8722144412052076      -0.10034086387815672
3.27E9                   -0.8766856682257196      -0.025738739541475226
3.3E9                    -0.8747449620476115      0.04888286905304683
3.33E9                   -0.8664227595422038      0.12297370195716423
3.36E9                   -0.85179668421028        0.19598897487248826
3.39E9                   -0.8309908146790396      0.26739342849376224
3.42E9                   -0.8041746045068398      0.33666529011073393
3.45E9                   -0.7715614633923613      0.4033001171534582
3.48E9                   -0.7334070125099114      0.46681449363677463
3.51E9                   -0.6900070293348937      0.5267495516394686
3.54E9                   -0.6416950995892018      0.5826742918300621
3.57E9                   -0.5888399963095512      0.6341886786473593
3.6E9                    -0.531842807914288       0.6809264879967212
3.63E9                   -0.47113383903632644     0.7225578874227344
3.66E9                   -0.40716930939276497     0.7587917311356555
3.69E9                   -0.34042787719392287     0.7893775547896291
3.72E9                   -0.2714070145615976      0.8141072574266203
3.75E9                   -0.2006192631934919      0.8328164605141611
3.78E9                   -0.12858839882920634     0.8453855365702498
3.81E9                   -0.055845533386730754    0.8517403022172589
3.84E9                   0.017074816133005124     0.8518523728521775
3.87E9                   0.0896386630168701       0.8457391784654661
3.9E9                    0.16131646130237237      0.8334636424560703
3.93E9                   0.23158696243470872      0.815133527788193
3.96E9                   0.29994098946386105      0.7909004574606692
3.99E9                   0.36588510079524283      0.7609586190378831
4.02E9                   0.4289451165827625       0.7255431658623306
4.05E9                   0.4886694825992637       0.6849283303012844
4.08E9                   0.544632448662674        0.6394252667019873
4.11E9                   0.596437041306132        0.5893796434216576
4.14E9                   0.6437178130493113       0.535169004169111
4.17E9                   0.6861433527755377       0.47719991920993404
4.2E9                    0.7234185434220421       0.41590494689730345
4.23E9                   0.755286554080572        0.35173942634995115
4.26E9                   0.7815305545376514       0.2851781227396605
4.29E9                   0.8019751413663585       0.2167117480310386
4.32E9                   0.8164874664960262       0.14684338121881244
4.35E9                   0.8249780614388869       0.07608481325503122
4.38E9                   0.8274013529079198       0.004952841982338838
4.41E9                   0.8237558677416846       -0.06603445771330294
4.44E9                   0.8140841268038369       -0.1363614638671374
4.47E9                   0.7984722288353329       -0.20551871317025566
4.5E9                    0.7770491264632707       -0.27300655794808243
4.53E9                   0.7499855980307633       -0.33833874959460375
4.56E9                   0.7174929208218522       -0.4010459231666639
4.59E9                   0.679821253706967        -0.4606789575002195
4.62E9                   0.6372577398693114       -0.5168121856793801
4.65E9                   0.5901243431613097       -0.5690464313138685
4.68E9                   0.5387754342052723       -0.6170118476746511
4.71E9                   0.4835951448135484       -0.6603705384641377
4.74E9                   0.42499451109460334      -0.6988189413655705
4.77E9                   0.3634084269363609       -0.7320899578657951
4.8E9                    0.29929243048238713      -0.7599548150406934
4.83E9                   0.23311934661745737      -0.7822246470628513
4.86E9                   0.16537580903328486      -0.7987517857659546
4.89E9                   0.09655868592038015      -0.809430751103578
4.92E9                   0.02717143428572264      -0.8141989337419446
4.95E9                   -0.04227959123111518     -0.8130369637816823
4.98E9                   -0.11128884803226172     -0.805968761616547
5.01E9                   -0.17935530604252642     -0.79306126938375
5.04E9                   -0.2459861108233147      -0.7744238640857409
5.07E9                   -0.31070018095005864     -0.750207456299685
5.1E9                    -0.3730317117191783      -0.7206032812528842
5.13E9                   -0.43253355789110093     -0.6858413919292792
5.16E9                   -0.4887804693630502      -0.6461888666807569
5.19E9                   -0.5413721553685794      -0.6019477463327139
5.22E9                   -0.5899361547896776      -0.5534527178732219
5.25E9                   -0.634130492314375       -0.5010685633253146
5.28E9                   -0.673646102147721       -0.4451873933378552
5.31E9                   -0.7082090024226555      -0.38622568581822553
5.34E9                   -0.7375822044923036      -0.3246211510081047
5.37E9                   -0.7615673424670946      -0.2608294457033476
5.4E9                    -0.7800060096651271      -0.1953207614574336
5.43E9                   -0.7927807909467683      -0.12857631337428513
5.46E9                   -0.7998159826535913      -0.061084757970934656
5.49E9                   -0.8010779952548494      0.006661430533480353
5.52E9                   -0.7965754372366765      0.07416959570098976
5.55E9                   -0.7863588822104601      0.14095051667164532
5.58E9                   -0.7705203244409558      0.20652197973929193
5.61E9                   -0.749192330903298       0.2704122765626243
5.64E9                   -0.7225469003649077      0.33216360384289945
5.67E9                   -0.6907940416319762      0.3913353414407491
5.7E9                    -0.6541800839131552      0.447507187877069
5.73E9                   -0.6129857324694721      0.5002821334212378
5.76E9                   -0.5675238830224318      0.5492892512027318
5.79E9                   -0.5181372096170102      0.5941862862854443
5.82E9                   -0.4651955432951865      0.6346620223135395
5.85E9                   -0.4090930625044418      0.6704384064128256
5.88E9                   -0.35024531971704476     0.7012724157867798
5.91E9                   -0.28908613081719675     0.7269576536899436
5.94E9                   -0.2260643541695207      0.747325666830085
5.97E9                   -0.1616405852244629      0.7622469798145471
6.0E9                    -0.09628379099565301     0.7716318445857068
