% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 24 2022, 22:35
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5407443600091751       -0.7280799634466314
330000000                0.4720872798363793       -0.7727683547862043
360000000                0.3998726474632648       -0.8111263266302683
390000000                0.32466115810138985      -0.8428623459876198
420000000                0.24704195031303514      -0.8677357451011679
450000000                0.16762690087234305      -0.8855591814612176
480000000                0.08704505778770706      -0.8962006131507165
510000000                0.005937117133170667     -0.8995847874750613
540000000                -0.07505009457980077     -0.8956942372167506
570000000                -0.1552691389399108      -0.8845697777464733
600000000                -0.2340774707405311      -0.8663104988094938
630000000                -0.31084290338103976     -0.8410732471050726
660000000                -0.3849490003785883      -0.8090715986429342
690000000                -0.4558003520501311      -0.7705743240734978
720000000                -0.522827694712945       -0.7259033542772156
750000000                -0.5854928262957215      -0.6754312588103769
780000000                -0.643293272443899       -0.6195782547742112
810000000                -0.6957666574055308      -0.5588087689729304
840000000                -0.7424947349921466      -0.4936275819993059
870000000                -0.7831070379547841      -0.4245755873995526
900000000                -0.8172841063847169      -0.3522252049764821
930000000                -0.8447602604294178      -0.2771754910625294
960000000                -0.8653258867676539      -0.20004699326087919
990000000                -0.8788292136659286      -0.12147640061218908
1020000000               -0.8851775552370242      -0.04211104274554536
1050000000               -0.8843380115283577      0.037396705875809906
1080000000               -0.8763376175975124      0.11639505968740504
1110000000               -0.8612629412201352      0.19423843589647294
1140000000               -0.839259135462026       0.2702929914928871
1170000000               -0.8105284588609344      0.3439420271918608
1200000000               -0.7753282820706587      0.4145912047443977
1230000000               -0.7339686058599266      0.4816735262214101
1260000000               -0.686809120547768       0.5446540281246968
1290000000               -0.6342558419565599      0.603034146830034
1320000000               -0.5767573631344928      0.6563557167644001
1350000000               -0.5148007644989289      0.7042045679115374
1380000000               -0.44890722803014216     0.7462136944225691
1410000000               -0.37962740290086955     0.7820659719746272
1440000000               -0.3075365715437728      0.8114964068869785
1470000000               -0.2332296653471392      0.8342939059404666
1500000000               -0.157316179249829       0.8503025611188987
1530000000               -0.08041503366020031     0.8594224488471287
1560000000               -0.0031494306174616685   0.8616099482654973
1590000000               0.0738582505730891       0.856877587609381
1620000000               0.14999147552392778      0.8452934319894588
1650000000               0.22464445473518746      0.8269800295082685
1680000000               0.29722688402684233      0.8021129359089496
1710000000               0.3671684916711268       0.770918840660535
1740000000               0.43392336129283715      0.7336733196795135
1770000000               0.49697400325049623      0.6906982416184998
1800000000               0.5558351502286428       0.6423588561023056
1830000000               0.6100572561409262       0.5890605931873174
1860000000               0.6592296804351421       0.5312456039826587
1890000000               0.702983542809173        0.46938907270413877
1920000000               0.7409942361499198       0.4039953304436066
1950000000               0.7729835879971276       0.3355938008404745
1980000000               0.7987216632180097       0.2647348075197301
2010000000               0.8180282027189577       0.1919852728037256
2040000000               0.8307736950805844       0.1179243365901235
2070000000               0.836880079749276        0.04313892390667326
2100000000               0.8363210822123656       -0.03178071095307905
2130000000               0.8291221831794549       -0.10624543655803209
2.16E9                   0.8153602253499135       -0.17967166576425028
2.19E9                   0.795162662851632        -0.2514857207256109
2.22E9                   0.7687064599218865       -0.32112811594265145
2.25E9                   0.7362166467484634       -0.3880577351776795
2.28E9                   0.6979645415642033       -0.45175587905181946
2.31E9                   0.6542656488329215       -0.5117301616655106
2.34E9                   0.6054772432415725       -0.5675182363305137
