% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 21:50
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5962153806909166       -0.7861900526269733
330000000                0.5215384327878159       -0.8379831706307329
360000000                0.44240684236361666      -0.8827115530698662
390000000                0.3594852948761442       -0.9199919740625273
420000000                0.2734718061550055       -0.949503235693729
450000000                0.1850920096835143       -0.9709891586214954
480000000                0.09509315790090939      -0.9842610631061691
510000000                0.004237878602894618     -0.9891997081984981
540000000                -0.08670226751195892     -0.9857566597724695
570000000                -0.1769533768964008      -0.9739550618027182
600000000                -0.26574588574540153     -0.953889789935825
630000000                -0.3523212861980639      -0.9257269716198504
660000000                -0.4359388139381639      -0.8897028630623032
690000000                -0.5158820426936358      -0.8461220798631551
720000000                -0.591465319595817       -0.7953551851620111
750000000                -0.6620399742565483      -0.737835646811638
780000000                -0.7270002350564202      -0.6740561827047227
810000000                -0.7857887870534974      -0.6045645215639671
840000000                -0.8379019087846         -0.5299586140111656
870000000                -0.8828941281474993      -0.45088133698291655
900000000                -0.9203823426762199      -0.3680147413899553
930000000                -0.9500493548373957      -0.28207390000197957
960000000                -0.9716467796816318      -0.19380041855124586
990000000                -0.9849972896807423      -0.10395567811778605
1020000000               -0.9899961697029621      -0.013313881167644342
1050000000               -0.9866121638573206      0.07734502347233967
1080000000               -0.9748876050525084      0.16724245935818904
1110000000               -0.9549378274405911      0.2556083073629316
1140000000               -0.9269498712116031      0.3416878795150978
1170000000               -0.891180498312735       0.4247487067569504
1200000000               -0.8479535463680871      0.5040870686319087
1230000000               -0.7976566561759768      0.579034197276349
1260000000               -0.7407374156321138      0.6489620932338017
1290000000               -0.6776989693182155      0.7132888970061193
1320000000               -0.6090951486572989      0.7714837668896012
1350000000               -0.5355251819679119      0.8230712211816116
1380000000               -0.45762804713414207     0.8676349105995677
1410000000               -0.37607653187312534     0.9048207947117343
1440000000               -0.29157106773480523     0.934339704157578
1470000000               -0.20483340417479196     0.9559692782299596
1500000000               -0.11660018789455613     0.9695552750183372
1530000000               -0.02761651126128886     0.9750122582610148
1560000000               0.06137050934835031      0.9723236717589554
1590000000               0.14961806739355357      0.961541318047241
1620000000               0.2363938582489226       0.9427842633152109
1650000000               0.320982079664919        0.9162371950921824
1680000000               0.4026891953412804       0.8821482630000764
1710000000               0.48084942080435306      0.8408264359957537
1740000000               0.5548298957137966       0.7926384118319647
1770000000               0.6240355111070901       0.7380051162752661
1800000000               0.6879133647582876       0.6773978306954254
1830000000               0.7459568220317195       0.611333987283229
1860000000               0.7977091636564154       0.5403726712968893
1890000000               0.8427668055424757       0.4651098695518989
1920000000               0.8807820791609399       0.386173503868548
1950000000               0.9114655640766035       0.3042182874749302
1980000000               0.934587966943515        0.21992044156029422
2010000000               0.9499815437519349       0.13397230817615238
2040000000               0.9575410642499439       0.04707689487805203
2070000000               0.9572243194788165       -0.040057614532582234
2100000000               0.949052175131272        -0.12672334963078544
2130000000               0.9331081751377241       -0.21221821055175671
2.16E9                   0.9095377015051889       -0.29585126090882324
2.19E9                   0.8785466980440746       -0.37694802513300346
2.22E9                   0.8403999671644105       -0.4548556600875309
2.25E9                   0.7954190504698403       -0.5289479716282773
