% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 11 2022, 10:11
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6185386266674379       -0.7382730322456723
330000000                0.5450396196272523       -0.7927102898323803
360000000                0.4713405035288176       -0.8377553244792543
390000000                0.39665973825729317      -0.8750723089167018
420000000                0.31913781684122267      -0.9057927844432577
450000000                0.23934626528614072      -0.9297017664794691
480000000                0.1578735495106205       -0.9466333989036961
510000000                0.07532247681601145      -0.9564722881608614
540000000                -0.007695396633543972    -0.9591550550001907
570000000                -0.09056449419435655     -0.9546710873765705
600000000                -0.17266996456767744     -0.9430628320456255
630000000                -0.25340241217131654     -0.9244256380455176
660000000                -0.33216257922825215     -0.8989071632852323
690000000                -0.4083659452348327      -0.8667063556767323
720000000                -0.48144721031831994     -0.8280720212367346
750000000                -0.5508646283361552      -0.7833009934632265
780000000                -0.6161041567240956      -0.732735920449416
810000000                -0.6766833916956717      -0.6767626878993945
840000000                -0.7321552567904966      -0.6158075002413048
870000000                -0.7821114169540152      -0.5503336426051322
900000000                -0.826185390185334       -0.48083795057967116
930000000                -0.8640553323611618      -0.4078470159372125
960000000                -0.8954464729012722      -0.3319131591091866
990000000                -0.9201331818961207      -0.25361020067822015
1020000000               -0.9379406520073506      -0.17352906691767478
1050000000               -0.9487461822550062      -0.0922732642273939
1080000000               -0.9524800535635057      -0.010454259462319046
1110000000               -0.9491259897163916      0.0713131962124029
1140000000               -0.9387212006983878      0.1524157620541396
1170000000               -0.9213560090783357      0.23224618376422695
1200000000               -0.8971730636337082      0.31020791202476916
1230000000               -0.8663661476436731      0.3857196277315666
1260000000               -0.8291785930288467      0.4582196371037429
1290000000               -0.7859013145445819      0.5271701022482171
1320000000               -0.7368704814034365      0.5920610740822955
1350000000               -0.6824648464494882      0.6524142965308667
1380000000               -0.623102756378537       0.7077867523601424
