% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 25 2022, 14:46
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6186093351697665       -0.7514286633759544
330000000                0.5505076566493271       -0.802369652830389
360000000                0.4782388196177989       -0.8472057210348723
390000000                0.40245854914932216      -0.8855455133088544
420000000                0.32370044115717644      -0.9171360403394022
450000000                0.24256010047787735      -0.9417497284586114
480000000                0.15965037195851758      -0.9592109521570094
510000000                0.07559734174411084      -0.9693975467712271
540000000                -0.008964394295500356    -0.9722418309329012
570000000                -0.09339654055532538     -0.9677312714090361
600000000                -0.17706195990405044     -0.9559087012745998
630000000                -0.25932953741838594     -0.9368720927556261
660000000                -0.3395790120992363      -0.9107738880433409
690000000                -0.4172057331974407      -0.8778198948063181
720000000                -0.4916253045116105      -0.8382677557214836
750000000                -0.5622780771974175      -0.7924250049731236
780000000                -0.6286334549170041      -0.7406467269993787
810000000                -0.6901939760905972      -0.683332836462089
840000000                -0.7464991386457032      -0.6209250016581007
870000000                -0.7971289369741896      -0.5539032356614352
900000000                -0.8417070814301578      -0.4827821826304504
930000000                -0.8799038732583014      -0.40810713049452085
960000000                -0.9114387123035752      -0.33044978108117523
990000000                -0.9360822160075308      -0.25040381344536494
1020000000               -0.953657932934045       -0.1685802761782219
1050000000               -0.9640436369181297      -0.08560284662887338
1080000000               -0.9671721914957282      -0.002102996234573239
1110000000               -0.9630319784693433      0.08128489854387366
1140000000               -0.9516668877516526      0.16392845956971513
1170000000               -0.9331758696550212      0.2452021843059091
1200000000               -0.9077120546057981      0.3244922577572793
1230000000               -0.875481448958753       0.4012012592793836
1260000000               -0.8367412188794031      0.47475272758446574
1290000000               -0.7917975784362714      0.5445955460316456
1320000000               -0.7410033003547127      0.6102081150770335
1350000000               -0.6847548719079032      0.6711022780201221
1380000000               -0.6234893206040898      0.7268269706490362
1410000000               -0.5576807368351434      0.7769715672047424
1440000000               -0.48783652370566855     0.8211688972536901
1470000000               -0.4144934050923609      0.8590979124003276
1500000000               -0.33821322565871015     0.8904859837326425
1530000000               -0.2595785768713597      0.9151108149363418
1560000000               -0.17918828506277862     0.9328019586578172
1590000000               -0.09765279758838333     0.9434419275157853
1620000000               -0.015589503427501407    0.9469668943816768
1650000000               0.06638197501686385      0.9433669796716111
1680000000               0.14764448234148678      0.9326861268622699
1710000000               0.2275879877788686       0.9150215705078906
1740000000               0.3056141641330792       0.8905229040713156
1770000000               0.38114085508131357      0.859390757813558
