% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 25 2022, 10:59
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.618745610709383        -0.751543078205076
330000000                0.5506025099021011       -0.8025227835304926
360000000                0.4783549571258995       -0.8473556339613492
390000000                0.40255627067571353      -0.8857131317937287
420000000                0.32377796201669984      -0.9173185172239386
450000000                0.24261554101776675      -0.9419441932401633
480000000                0.15968226042322284      -0.9594144796159793
510000000                0.07560459606886738      -0.9696071102914154
540000000                -0.008982473353505506    -0.9724543414277748
570000000                -0.09344027647186        -0.9679436147733164
600000000                -0.1771313090096138      -0.9561177749192169
630000000                -0.2594240993319165      -0.9370748410234313
660000000                -0.3396980417449517      -0.910967336506054
690000000                -0.4173481556039429      -0.8780011833805403
720000000                -0.49178973156757744     -0.8384341703268051
750000000                -0.5624628273871314      -0.7925740074093762
780000000                -0.6288365750592599      -0.740775982981936
810000000                -0.6904132656798417      -0.6834402413439006
840000000                -0.7467321762230101      -0.621008703762436
870000000                -0.7973731085720074      -0.5539616569174973
900000000                -0.8419596108335651      -0.4828140362294637
930000000                -0.8801618535824774      -0.4081114356693705
960000000                -0.9116991389499186      -0.3304258744641776
990000000                -0.9363420204885631      -0.25035135713912865
1020000000               -0.9539140172099165      -0.1684992624396514
1050000000               -0.9642929079652881      -0.08549359913154884
1080000000               -0.9674115958671683      -0.001966167671596213
1110000000               -0.96325853628136        0.08144833223473548
1140000000               -0.9518777259263378      0.16411720823222442
1170000000               -0.9333682540330754      0.24541465614977054
1200000000               -0.9078834205975872      0.3247265749731938
1230000000               -0.8756294304070892      0.40145527665635056
1260000000               -0.8368636748927799      0.47502405402109854
1290000000               -0.7918926178797809      0.5448815685706924
1320000000               -0.7410693037882963      0.610506025281552
1350000000               -0.6847905107222387      0.6714091004307753
1380000000               -0.6234935731425904      0.7271395931039247
1410000000               -0.5576529014878485      0.7772867724334958
1440000000               -0.4877762286685003      0.8214833957751936
1470000000               -0.4144006148086016      0.8594083761664284
1500000000               -0.33808824379416547     0.8907890802921129
1530000000               -0.25942204597207835     0.915403241664526
1560000000               -0.17900118276579705     0.9330804768197791
1590000000               -0.09743642938081241     0.9437033958026687
1620000000               -0.015345492225377023    0.9472083015489089
1650000000               0.0666517025428254       0.9435854760200568
1680000000               0.14793771252346116      0.932879054216733
1710000000               0.22790223944735644      0.9151864904210408
1740000000               0.305946710965018        0.8906576239995916
1770000000               0.38148875036705016      0.85949335498758
1800000000               0.4539665010488705       0.8219439426269418
1830000000               0.5228427754207594       0.7783069423462186
1860000000               0.5876089981454709       0.7289247994042333
1890000000               0.6477889165764975       0.6741821194353351
1920000000               0.7029420526154759       0.6145026384094089
1950000000               0.7526668728004253       0.550345916127365
1980000000               0.7966036553104691       0.48220377922838786
2010000000               0.8344370350214412       0.4105965411945065
2040000000               0.8658982103534918       0.33606902780443104
2070000000               0.890766797690462        0.2591864380905111
2100000000               0.9088723222725097       0.18053007094610676
2130000000               0.9200953363413493       0.10069294920635932
2.16E9                   0.9243681585093321       0.020275372496085426
2.19E9                   0.9216752305510699       -0.06011956887461628
2.22E9                   0.9120530905702747       -0.13989048689334346
2.25E9                   0.8955899640881434       -0.21844216379965778
2.28E9                   0.8724249771398412       -0.295189963395281
2.31E9                   0.8427469980145347       -0.36956415463924697
2.34E9                   0.8067931164419776       -0.44101411780034505
2.37E9                   0.7648467715360643       -0.5090124034406954
2.4E9                    0.7172355410963199       -0.5730586169969746
2.43E9                   0.6643286065476428       -0.63268310183109
