% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 28 2022, 09:12
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6187558804112264       -0.7515487123623796
330000000                0.5506124231074445       -0.8025287464628804
360000000                0.47836872388087087      -0.8473607878588194
390000000                0.4025699878467718       -0.8857196106313441
420000000                0.32379144324108683      -0.9173263632392612
450000000                0.24262863871831117      -0.9419533928123139
480000000                0.15969483115504204      -0.959425005393336
510000000                0.0756165009630669       -0.9696189218517152
540000000                -0.008971367926714892    -0.9724673857604756
570000000                -0.09343009820992113     -0.9679578267741443
600000000                -0.17712217883159642     -0.9561330779044589
630000000                -0.25941613075485714     -0.9370911473103952
660000000                -0.3396913400171577      -0.9109845480277479
690000000                -0.4173428169086686      -0.8780191923531601
720000000                -0.4917858423142204      -0.8384528600239067
750000000                -0.5624604634852453      -0.7925932529233676
780000000                -0.6288358012923356      -0.7407956520853991
810000000                -0.6904141350166586      -0.6834601954448458
840000000                -0.7467347292259507      -0.6210287989288173
870000000                -0.7973773729774885      -0.5539817448852979
900000000                -0.8419656010851366      -0.4828339655458086
930000000                -0.8801695705982269      -0.4081310527666759
960000000                -0.9117085698301303      -0.3304450249370328
990000000                -0.9363531383973198      -0.2503698868874994
1020000000               -0.9539267813534975      -0.16851701898561433
1050000000               -0.9643072637229562      -0.08551043272825028
1080000000               -0.9674274749222112      -0.0019819326831847315
1110000000               -0.963275856982993       0.08143377604743852
1140000000               -0.9518963936979681      0.1641039948122535
1170000000               -0.9333881618956392      0.2454029116839491
1200000000               -0.9079044498041814      0.32471641677977303
1230000000               -0.8756514512023559      0.4014468122057796
1260000000               -0.836886547336869       0.4750173798449453
1290000000               -0.7919161928207853      0.5448767693241063
1320000000               -0.7410934238486757      0.6105031728770065
1350000000               -0.6848150114438201      0.6714082532788995
1380000000               -0.6235182841419026      0.7271407954281222
1410000000               -0.557677647725783       0.7772900536881449
1440000000               -0.48780083172972444     0.821488770191883
1470000000               -0.4144248942890716      0.8594158423914063
1500000000               -0.3381120186126418      0.8907986212136401
1530000000               -0.25944513582577183     0.9154148242675726
1560000000               -0.17902340951362616     0.9330940522331668
1590000000               -0.0974576184703043      0.9437188994621561
1620000000               -0.01536547405408726     0.9472256534719444
1650000000               0.06663309124185748      0.9436045812185555
1680000000               0.14792062734841488      0.93289980322189
1710000000               0.22788682698426577      0.9152087599525279
1740000000               0.30593310772185733      0.890681277710585
1770000000               0.38147708142302383      0.8595182443762628
1800000000               0.45395687913732524      0.8219699079860088
1830000000               0.522835299915194        0.7783338138407535
1860000000               0.587603754153821        0.7289523982338761
1890000000               0.6477859741630877       0.674210259083057
1920000000               0.702941466197676        0.6145311259085189
1950000000               0.752668680579923        0.5503745534178275
1980000000               0.7966078788559753       0.48223236456733043
2010000000               0.8344436790405858       0.4106248705091649
2040000000               0.8659072624870469       0.3360968961886621
2070000000               0.890778228535444        0.2592136411803909
2100000000               0.908886085520085        0.18055640624202934
2130000000               0.9201113689750611       0.10071821752558661
2.16E9                   0.9243863811870782       0.020299379259820716
2.19E9                   0.9216955480899561       -0.06009701250191353
2.22E9                   0.9120753925091567       -0.13986956283316063
2.25E9                   0.8956141253402159       -0.21842304605867963
2.28E9                   0.8724508587233128       -0.2951728171732893
2.31E9                   0.8427744477733299       -0.3695491357226488
2.34E9                   0.8068219697904809       -0.441001372026458
2.37E9                   0.7648768520812205       -0.5090020664873465
2.4E9                    0.717266661004837        -0.5730508145181156
2.43E9                   0.664360566391363        -0.6326779498925862
2.46E9                   0.6065664963188244       -0.6874480000796398
2.49E9                   0.5443279981275019       -0.7369628863560083
2.52E9                   0.478120823978103        -0.7808648392401147
2.55E9                   0.4084492653740318       -0.8188389966888915
2.58E9                   0.33584227101912956      -0.8506156532217335
2.61E9                   0.2608493950614168       -0.8759721357962431
2.64E9                   0.1840366295931297       -0.8947343003096153
2.67E9                   0.10598216710415223      -0.9067776636642654
2.7E9                    0.027272115863533133     -0.9120281955939822
2.73E9                   -0.05150383025789332     -0.9104627823774681
2.76E9                   -0.12975676906059394     -0.9021093503006276
2.79E9                   -0.2069029984539361      -0.8870466204020323
2.82E9                   -0.2823684174934125      -0.8654034688793086
2.85E9                   -0.35559286888871056     -0.8373578838208675
2.88E9                   -0.42603437237037717     -0.8031355260952111
2.91E9                   -0.4931732062335377      -0.7630079126285451
2.94E9                   -0.5565158020981985      -0.7172902444263258
2.97E9                   -0.6155984235784699      -0.6663389023687784
3.0E9                    -0.6699906029112436      -0.6105486336607834
3.03E9                   -0.7192983110829019      -0.5503494526095488
3.06E9                   -0.7631668388668529      -0.48620328039741056
3.09E9                   -0.8012833675559533      -0.418600350448281
3.12E9                   -0.8333792103799486      -0.34805540777752
3.15E9                   -0.8592317081779426      -0.2751037320487592
3.18E9                   -0.8786657651169719      -0.20029701642090292
3.21E9                   -0.8915550137358071      -0.12419913462078201
3.24E9                   -0.8978226013078592      -0.04738183021021464
3.27E9                   -0.8974415928847584      0.029579637974180784
3.3E9                    -0.8904349894304975      0.10611085920949237
3.33E9                   -0.8768753628331432      0.18164260920159275
