% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 11 2022, 15:52
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5543885545263619       -0.7469992745415004
330000000                0.4837091625055502       -0.7929501821523998
360000000                0.40938137309288136      -0.8323544409534842
390000000                0.3319821084549133       -0.8649188476969359
420000000                0.2521176731268895       -0.8904001350253777
450000000                0.17041812418494828      -0.9086084086631327
480000000                0.08753162265018376      -0.9194097969527331
510000000                0.004118741505978818     -0.922728411529222
540000000                -0.07915326718627186     -0.9185476743681568
570000000                -0.16161623153556715     -0.9069110423267941
600000000                -0.2426068201822913      -0.8879221472746797
630000000                -0.3214722671669976      -0.8617443640062696
660000000                -0.3975760229200221      -0.8285998152721842
690000000                -0.4703032863972658      -0.7887678243535762
720000000                -0.5390663702029217      -0.7425828288114671
750000000                -0.603309851517261       -0.6904317710583597
780000000                -0.662515458268075       -0.6327509881697454
810000000                -0.7162066427542728      -0.5700226262248709
840000000                -0.7639527953906674      -0.5027706113802239
870000000                -0.8053730541307424      -0.43155621405900857
900000000                -0.8401396685776625      -0.3569732483049386
930000000                -0.8679808818631334      -0.2796429527848829
960000000                -0.8886832985608433      -0.20020860437588903
990000000                -0.9020937123642541      -0.11932991854460916
1020000000               -0.9081203733480537      -0.037677294544435594
1050000000               -0.9067336816035646      0.04407403568751772
1080000000               -0.8979663003995801      0.1252498936170149
1110000000               -0.8819126893247211      0.20518301449642853
1140000000               -0.8587280649964847      0.28321882061259124
1170000000               -0.8286268032990526      0.3587210493501403
1200000000               -0.7918803044489137      0.4310771781327012
1230000000               -0.7488143475348216      0.4997035936459671
1260000000               -0.6998059678540541      0.5640504545700606
1290000000               -0.6452798941616106      0.623606203801359
1320000000               -0.5857045889546968      0.6779016888613375
1350000000               -0.5215879366282435      0.7265138571299025
1380000000               -0.4534726290519429      0.7690689962348715
1410000000               -0.381931298511806       0.8052454975748928
1440000000               -0.3075614502840573      0.8347761259680399
1470000000               -0.23098024691606575     0.8574497849320537
1500000000               -0.15281919613343417     0.8731127727660777
1530000000               -0.07371879355821243     0.8816695301628705
1560000000               0.0056768310231909425    0.8830828853836924
1590000000               0.08472521615033397      0.8773738076799327
1620000000               0.1627907757715871       0.8646206840517974
1650000000               0.23924986922930902      0.8449581382605884
1680000000               0.31349569591739623      0.8185754142252629
1710000000               0.3849429795842273       0.7857143488539835
1740000000               0.45303241121214183      0.7466669613145651
