% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 11 2022, 11:25
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5696163826631636       -0.7665922705612235
330000000                0.4966387339692789       -0.81457573110236
360000000                0.41976343275846095      -0.8557062272600302
390000000                0.3396103667603361       -0.8896698132284726
420000000                0.2568279790071859       -0.9162064334815183
450000000                0.17208891988366715      -0.9351131651169036
480000000                0.08608422526442538      -0.9462471356314966
510000000                -4.825223564075998E-4    -0.9495276480840945
540000000                -0.0869011907356768      -0.9449376248272021
570000000                -0.1724611938432581      -0.932524394364815
600000000                -0.2564576361620904      -0.9123998373365299
630000000                -0.33819745050061867     -0.8847399023503245
660000000                -0.4170054746144404      -0.849783501448383
690000000                -0.49223040900408743     -0.8078307967346913
720000000                -0.5632505990814032      -0.7592408929709864
750000000                -0.6294795834112898      -0.704428955120013
780000000                -0.6903713507961088      -0.6438627757733195
810000000                -0.7454252503747121      -0.5780588225971842
840000000                -0.7941905018595397      -0.5075778018027278
870000000                -0.8362702551509028      -0.4330197804013423
900000000                -0.8713251543492698      -0.3550189146110101
930000000                -0.8990763652541727      -0.27423783782401484
960000000                -0.9193080317893962      -0.19136176582829
990000000                -0.9318691334151439      -0.10709238126733223
1020000000               -0.9366747226859599      -0.0221415620398607
1050000000               -0.9337065298909204      0.06277497966492178
1080000000               -0.9230129292453744      0.14694407862768544
1110000000               -0.9047082696322412      0.22966145117730102
1140000000               -0.8789715802513846      0.3102379147466121
1170000000               -0.8460446697987415      0.3880054277009463
1200000000               -0.8062296447203043      0.46232288725595627
1230000000               -0.759885879168155       0.5325816267859667
1260000000               -0.7074264754891727      0.5982105592719285
1290000000               -0.6493142592516336      0.6586809186602492
1320000000               -0.5860573578218528      0.713510556871195
1350000000               -0.5182044147945332      0.76226776096718
1380000000               -0.4463394957607488      0.8045745612366189
1410000000               -0.3710767422302427      0.8401095085073952
