% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 11 2022, 11:09
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5599020463704406       -0.7578584403589878
330000000                0.4878861119989244       -0.8043851796115622
360000000                0.4121863869240356       -0.8442027544110853
390000000                0.33339485419623305      -0.877021632428003
420000000                0.25213173397508654      -0.9026016882254981
450000000                0.16904078408258646      -0.9207560682963438
480000000                0.08478378242464563      -0.9313542695917665
510000000                3.4846161901036514E-5    -0.9343244111457225
540000000                -0.08452536598904709     -0.9296547824528203
570000000                -0.16821552199620238     -0.9173947181256592
600000000                -0.2503595096060373      -0.897654831338577
630000000                -0.3302923091197101      -0.8706066277342659
660000000                -0.4073657969658728      -0.8364815171218276
690000000                -0.48095442914393116     -0.795569238974823
720000000                -0.5504607534726585      -0.7482157193928569
750000000                -0.6153206980640766      -0.6948203797833247
780000000                -0.6750085837371531      -0.6358329220775097
810000000                -0.7290418097491806      -0.5717496193356145
840000000                -0.7769851631230884      -0.5031091467645762
870000000                -0.8184547057642189      -0.4304879924413161
900000000                -0.853121197145166       -0.35449549201187947
930000000                -0.8807130139345838      -0.27576853801906975
960000000                -0.9010185348938198      -0.1949660160131096
990000000                -0.9138879637803907      -0.11276302623456738
1020000000               -0.9192345705740975      -0.029844950163071683
1050000000               -0.9170353378559661      0.05309857504332303
1080000000               -0.9073310063286683      0.13537971138223362
1110000000               -0.8902255210492414      0.21631843978067958
1140000000               -0.8658848870710085      0.29524848232315143
1170000000               -0.834535450464255       0.371523065337555
1200000000               -0.7964616275184639      0.4445204648265726
1230000000               -0.7520031110550929      0.5136492794552078
1260000000               -0.7015515893806814      0.5783533790287514
1290000000               -0.6455470174296563      0.6381164836945036
1320000000               -0.5844734852012454      0.6924663322895336
1350000000               -0.5188547314799833      0.7409784053616717
1380000000               -0.4492493538989695      0.7832791742422223
1410000000               -0.3762457683556458      0.8190488537252132
1440000000               -0.3004569716427929      0.8480236424246487
1470000000               -0.22251516181397657     0.8699974409895614
1500000000               -0.14306626964263833     0.8848230445941306
1530000000               -0.06276445424838926     0.8924128115599281
1560000000               0.01773338691211066      0.8927388156382933
1590000000               0.09777304494486004      0.8858324941627796
1620000000               0.17670831824935274      0.8717838087772226
1650000000               0.2539061803247984       0.8507399392537236
1680000000               0.3287517582902556       0.8229035342172595
1710000000               0.40065308652657383      0.7885305453761511
1740000000               0.46904560415266644      0.7479276739807647
1770000000               0.533396368339809        0.7014494600757155
1800000000               0.5932079595002885       0.6494950461001608
