% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 25 2022, 15:55
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5984128311300649       -0.7369470577165018
330000000                0.531637419712701        -0.7856079445452481
360000000                0.4610293269919707       -0.8283083527666255
390000000                0.38710299464979453      -0.8647436818836911
420000000                0.31040237246324764      -0.894653044811737
450000000                0.2314935980068995       -0.9178235642068255
480000000                0.15096078518666314      -0.9340918878479791
510000000                0.06940129096858226      -0.943345665377326
540000000                -0.012579042078602677    -0.9455245887954601
570000000                -0.09437064672075923     -0.9406209973869594
600000000                -0.17536498049862087     -0.9286800536057062
630000000                -0.25495924253380114     -0.9097994948905597
660000000                -0.33256102700389567     -0.8841289674651442
690000000                -0.40759288641855473     -0.8518689497295893
720000000                -0.4794967719847046      -0.8132692750721513
750000000                -0.5477383198533018      -0.768627266311598
780000000                -0.6118109509948265      -0.7182854969409566
810000000                -0.6712397543733626      -0.662629196550789
840000000                -0.7255851230796018      -0.6020833210473236
870000000                -0.7744461148064369      -0.5371093110565358
900000000                -0.817463510922007       -0.4682015635238755
930000000                -0.8543225488997177      -0.39588364556001765
960000000                -0.8847553073124689      -0.3207042795500336
990000000                -0.9085427233008538      -0.24323313342333863
1020000000               -0.9255162274450331      -0.1640564483452891
1050000000               -0.9355589825447427      -0.08377254022459653
1080000000               -0.9386067169088087      -0.0029872111779102183
1110000000               -0.9346481460607814      0.07769089224298663
1140000000               -0.9237249800694025      0.15765493590303362
1170000000               -0.905931517402607       0.23630453327157297
1200000000               -0.881413829604793       0.3130503207253055
1230000000               -0.850368544609848       0.38731843707823693
1260000000               -0.8130412397597028      0.45855487133613515
1290000000               -0.7697244589744895      0.5262296443457544
1320000000               -0.7207553714402466      0.5898407917406006
1350000000               -0.6665130922900944      0.6489181170206965
1380000000               -0.6074156879272471      0.7030266866721195
1410000000               -0.5439168918837873      0.7517700402694163
1440000000               -0.47650255834444927     0.7947930924710815
1470000000               -0.4056868830298588      0.8317847056089115
1500000000               -0.33200842249665785     0.8624799148837563
1530000000               -0.2560259438964238      0.8866617912318171
1560000000               -0.17831413898035145     0.9041629296227663
1590000000               -0.0994592359781354      0.9148665541426398
1620000000               -0.020054543987157204    0.9187072339703652
1650000000               0.05930403577962924      0.9156712076548813
1680000000               0.13802249733187147      0.9057963160560606
1710000000               0.215513182254408        0.8891715473343291
1740000000               0.2911991633378257       0.8659362002969783
1770000000               0.3645185279057945       0.8362786750767548
1800000000               0.4349285291545371       0.8004349028751631
1830000000               0.5019095758708829       0.7586864289887177
1860000000               0.5649690324730594       0.7113581655612085
1890000000               0.6236448026216064       0.6588158328110698
1920000000               0.6775086717231145       0.6014631094413718
1950000000               0.7261693855969672       0.5397385147404363
1980000000               0.769275444559344        0.4741120466289574
2010000000               0.8065175946016417       0.40508160100796253
2040000000               0.8376309991068482       0.33316919969145975
2070000000               0.8623970773772233       0.2589170546448606
2100000000               0.8806449983695015       0.18288349735276507
2130000000               0.8922528203443563       0.1056388033011539
2.16E9                   0.8971482699191317       0.02776094115915126
2.19E9                   0.8953091561345599       -0.05016872242758585
2.22E9                   0.8867634178560518       -0.1275697321808794
2.25E9                   0.871588805231557        -0.2038668368060913
2.28E9                   0.8499121984185888       -0.2784942349437296
2.31E9                   0.8219085690992309       -0.35089974477722063
2.34E9                   0.7877995926733544       -0.420548868094939
2.37E9                   0.7478519209190537       -0.48692872112484786
2.4E9                    0.7023751266958933       -0.5495518050835613
2.43E9                   0.6517193333389859       -0.6079595906394343
2.46E9                   0.5962725423832357       -0.6617258905030159
2.49E9                   0.536457674075246        -0.7104599937898192
2.52E9                   0.4727293371547333       -0.7538095336163776
2.55E9                   0.4055703498971907       -0.7914630561965013
2.58E9                   0.3354880438337613       -0.8231522594422718
2.61E9                   0.2630103942190692       -0.8486538752925894
2.64E9                   0.18868202950890503      -0.8677911863606291
2.67E9                   0.11306016693220117      -0.8804351886320747
2.7E9                    0.03671050125451636      -0.8865054241505087
2.73E9                   -0.039796949411722876    -0.8859705002092128
2.76E9                   -0.11589204505263151     -0.8788482888144498
2.79E9                   -0.19100876276077178     -0.8652057806732487
2.82E9                   -0.26458944249985983     -0.8451585658365135
2.85E9                   -0.33608899180074997     -0.8188699264058589
2.88E9                   -0.40497899960892153     -0.7865495440094842
2.91E9                   -0.47075171520001025     -0.748451837083881
2.94E9                   -0.5329238558495715      -0.7048739488395961
2.97E9                   -0.5910402135859407      -0.6561534081469809
3.0E9                    -0.6446770350055291      -0.60266548569075
