% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 3 2022, 09:45
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5984090513727219       -0.7371400338182802
330000000                0.5316076386194603       -0.7858053003442749
360000000                0.46096957479571793      -0.828508715828162
390000000                0.38701521508729597      -0.8649422376825666
420000000                0.31028604515523334      -0.8948466600970987
450000000                0.23134879964731958      -0.9180088745772754
480000000                0.15078823309218592      -0.9342654254255841
510000000                0.06920207461905435      -0.9435040312997715
540000000                -0.012803464003014754    -0.9456644898258411
570000000                -0.09461845348235194     -0.9407392835290752
600000000                -0.17563400268094043     -0.9287737556719909
630000000                -0.25524697680324604     -0.9098658614718883
660000000                -0.33286465747770394     -0.8841655005345331
690000000                -0.40790930886549276     -0.851873438557791
720000000                -0.4798226224638031      -0.8132398276725618
750000000                -0.5480700063203238      -0.7685623383147496
780000000                -0.6121446885185247      -0.7181839171671041
810000000                -0.6715716034517749      -0.6624901887991177
840000000                -0.725911029759988       -0.6019065224995468
870000000                -0.7747619534573881      -0.5368947860881732
900000000                -0.8177651284164287      -0.4679498132809853
930000000                -0.8546058099956693      -0.39559561284377276
960000000                -0.8850161404849705      -0.32038134944184116
990000000                -0.908777167105122       -0.2428771284608216
1020000000               -0.9257204762863083      -0.1636696193691475
1050000000               -0.9357294316438426      -0.08335755249409729
1080000000               -0.9387400060284943      -0.0025471254806214076
1110000000               -0.9347412013297686      0.07815264266185767
1140000000               -0.9237750535572806      0.15813457306703144
1170000000               -0.9059362239380969      0.23679796602800815
1200000000               -0.8813711804578095      0.313553180320646
1230000000               -0.8502769776042991      0.3878261161263182
1260000000               -0.8128996454558974      0.4590625660637009
1290000000               -0.7695322026899617      0.5267323993733485
1320000000               -0.7205123107740676      0.590333547221753
1350000000               -0.6662195898156063      0.6493957577940981
1380000000               -0.6070726191669019      0.7034840925096217
1410000000               -0.5435256480507443      0.752202137237739
1440000000               -0.47606504411788086     0.7951949044933735
1470000000               -0.40520550912800346     0.8321514059556508
1500000000               -0.3314860930511772      0.8628068770211933
1530000000               -0.25546603898607956     0.886944638411952
1560000000               -0.17772049198221557     0.9043975829311082
1590000000               -0.09883610642052752     0.9150492783068181
1620000000               -0.01940658562641744     0.9188346806394642
1650000000               0.059971811137093135     0.915740455591036
1680000000               0.13870475974968421      0.9058049078657426
1710000000               0.21620432748479282      0.8891175223820627
1740000000               0.29189335982482484      0.8658181234190725
1770000000               0.3652097666418964       0.8360956608018797
1800000000               0.4356106759670262       0.800186634870689
1830000000               0.5025764256494698       0.7583731745461014
1860000000               0.5656143650334453       0.7109807848056944
1890000000               0.624262439410628        0.6583757826763339
1920000000               0.6780925331132462       0.6009624421786205
1950000000               0.7267135481405259       0.5391798709763901
1980000000               0.7697741978026489       0.47349864283615556
2010000000               0.8069654967555189       0.4044172116483513
2040000000               0.8380229311803945       0.3324581340131323
2070000000               0.8627282953562123       0.2581641280184612
2100000000               0.8809111826783742       0.18209399786923344
2130000000               0.892450122369337        0.10481845328490158
2.16E9                   0.8972733549564418       0.026915854189642097
2.19E9                   0.8953592423476167       -0.05103208885431576
2.22E9                   0.8867363107750293       -0.12844462778360535
2.25E9                   0.8714829273599798       -0.2047462733564235
2.28E9                   0.8497266134923557       -0.2793710441194696
