% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 25 2022, 16:27
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5426191382955124       -0.7277469202630558
330000000                0.4741154707080959       -0.7725482569379137
360000000                0.4020463001168253       -0.8110440744552712
390000000                0.3269693098454729       -0.8429421302825286
420000000                0.2494706597317137       -0.8680007459299308
450000000                0.17015931344088175      -0.8860312549688347
480000000                0.08966150816149838      -0.8968999726592719
510000000                0.008615269357633083     -0.9005296855435496
540000000                -0.0723350682880584      -0.8969006547656403
570000000                -0.1525443408670613      -0.8860511260752522
600000000                -0.2313720231088178      -0.8680773401378018
630000000                -0.3081876586234762      -0.8431330388188214
660000000                -0.382376218325327       -0.8114284662047138
690000000                -0.45334334776805596     -0.7732288669514861
720000000                -0.5205204602722628      -0.7288524890326996
750000000                -0.5833696307800442      -0.678668102914346
780000000                -0.6413882451327947      -0.6230920539764901
810000000                -0.6941133587757884      -0.562584870935907
840000000                -0.7411257213976875      -0.4976474575528685
870000000                -0.782053425107233       -0.4288169009906986
900000000                -0.8165751377589285      -0.3566619343304635
930000000                -0.8444228862536909      -0.2817780958735644
960000000                -0.8653843593884418      -0.2047826318149565
990000000                -0.8793047048980207      -0.12630919267437674
1020000000               -0.8860878011616266      -0.047002376086145985
1050000000               -0.8856969897893898      0.032487828408845544
1080000000               -0.8781552618727331      0.11151163619230164
1110000000               -0.8635448970726977      0.18942504901869872
1140000000               -0.8420065612211755      0.26559536420813973
1170000000               -0.8137378745216601      0.339406556205605
1200000000               -0.7789914686449984      0.4102644767526249
1230000000               -0.7380725568300468      0.47760182296382414
1260000000               -0.6913360464025459      0.5408828260794828
1290000000               -0.6391832281378985      0.5996076173931709
1320000000               -0.5820580809307405      0.6533162328637279
1350000000               -0.5204432337838728      0.701592222789439
1380000000               -0.4548556301829619      0.7440658380318648
1410000000               -0.38584194155653506     0.7804167702540046
1440000000               -0.31397377826287615     0.8103764288167759
1470000000               -0.23984274691531393     0.833729742779458
1500000000               -0.16405540285584036     0.8503164818466122
1530000000               -0.08722814577979819     0.8600320953419524
1560000000               -0.009982105304862543    0.8628280732044188
1590000000               0.06706193868413539      0.8587118376039952
1620000000               0.1432885581919697       0.8477461779007822
1650000000               0.2180925618632882       0.830048245408579
1680000000               0.29088372515076666      0.8057881276315655
1710000000               0.36109133192948306      0.7751870244066176
1740000000               0.42816849667545753      0.7385150506902272
1770000000               0.4915962397929763       0.6960886924925074
1800000000               0.5508872916404745       0.648267943944422
1830000000               0.6055896042760068       0.5954531543665039
1860000000               0.6552895526652436       0.5380816150446278
1890000000               0.6996148103553232       0.47662391553894423
1920000000               0.7382368870840055       0.41158009961182657
1950000000               0.7708733184146745       0.3434756507261916
1980000000               0.7972894999154282       0.2728573366736892
2010000000               0.8173001604454125       0.20028894264983635
2040000000               0.8307704711709736       0.12634692156638452
2070000000               0.8376167887965714       0.05161598976011317
2100000000               0.8378070331272447       -0.023315304067897658
2130000000               0.8313607007843381       -0.09785900961331394
2.16E9                   0.8183485183980388       -0.1714321788984573
2.19E9                   0.798891740119332        -0.2434612174206755
2.22E9                   0.7731610957472882       -0.31338615744841153
2.25E9                   0.7413753971339138       -0.3806648292336557
2.28E9                   0.7037998116664849       -0.44477690715152945
2.31E9                   0.6607438123831116       -0.5052278091851886
2.34E9                   0.61255881418857         -0.5615524298982388
2.37E9                   0.5596355041995159       -0.6133186885633277
2.4E9                    0.5024008708735824       -0.6601308745077425
2.43E9                   0.441314931346523        -0.7016327689487134
2.46E9                   0.3768671500968692       -0.7375105142504653
2.49E9                   0.3095725402763215       -0.7674951836258168
2.52E9                   0.2399674501185551       -0.79136497820966
2.55E9                   0.16860507292378613      -0.8089469532728529
2.58E9                   0.0960507840641352       -0.8201181754877107
2.61E9                   0.022877479360951726     -0.824806269473596
2.64E9                   -0.05033888914941578     -0.8229894298494417
2.67E9                   -0.12302346739220855     -0.8146960994711121
2.7E9                    -0.19460640386198183     -0.8000045438353087
2.73E9                   -0.26452671566663727     -0.7790424309907461
2.76E9                   -0.33223633465524244     -0.7519863279296031
2.79E9                   -0.3972044127313423      -0.7190608935220962
2.82E9                   -0.45892179359736895     -0.6805375621340544
2.85E9                   -0.5169054655422961      -0.6367326246141574
2.88E9                   -0.570702817511559       -0.5880047286191894
2.91E9                   -0.6198955802124705      -0.5347518824223132
2.94E9                   -0.6641033937366294      -0.47740805629186867
2.97E9                   -0.7029869796037815      -0.41643945950467737
3.0E9                    -0.7362509097765918      -0.3523405510488311
