% Model:              cali 1.68 0.57mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 18 2022, 16:47
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6496423443965789       -0.7321500300924877
330000000                0.585782452528192        -0.7844919789534184
360000000                0.5177392435943045       -0.8312934436318233
390000000                0.4459896471846804       -0.8722194508520821
420000000                0.3710376912246087       -0.9069757324516887
450000000                0.29341107425198826      -0.9353109222529508
480000000                0.21365756072396655      -0.9570184923380556
510000000                0.13234121272996954      -0.9719384063377929
540000000                0.05003847529569257      -0.9799584702790534
570000000                -0.03266586234992559     -0.9810153632643126
600000000                -0.11518280589622538     -0.975095332763101
630000000                -0.1969233678647349      -0.962234541241643
660000000                -0.2773028234750403      -0.9425190534273942
690000000                -0.3557449790632594      -0.9160844561971596
720000000                -0.4316864205800117      -0.8831151060020148
750000000                -0.50458070820742        -0.8438430019226856
780000000                -0.573902482132964       -0.7985462859619513
810000000                -0.6391514443109673      -0.7475473756875897
840000000                -0.6998561807297737      -0.6912107382148426
870000000                -0.7555777894066754      -0.6299403181565794
900000000                -0.8059132798866477      -0.564176636269743
930000000                -0.8504987116940588      -0.49439357913028736
960000000                -0.889012040919911       -0.4210949039691347
990000000                -0.9211756465660863      -0.34481048620383875
1020000000               -0.9467585110171934      -0.266092340537717
1050000000               -0.96557803231617        -0.18551044930711294
1080000000               -0.9775014495041291      -0.10364843435527193
1110000000               -0.9824468662668835      -0.021099110598350564
1140000000               -0.9803838622698198      0.061540038588869896
1170000000               -0.971333686040278       0.14367142364419658
1200000000               -0.955369027667528       0.22470190698831885
1230000000               -0.9326133741846109      0.30404731599466084
1260000000               -0.9032399549489658      0.3811368699933715
1290000000               -0.8674702886809081      0.45541748186701647
1320000000               -0.8255723479960727      0.5263578963808314
1350000000               -0.7778583611034597      0.5934526297062586
1380000000               -0.7246822739296026      0.6562256771030864
1410000000               -0.666436898946739       0.7142339589103597
1440000000               -0.6035507799356531      0.7670704779968923
1470000000               -0.5364848038249703      0.814367165803028
1500000000               -0.4657285928521738      0.8557973974409565
1530000000               -0.39179671126725846     0.891078160458568
1560000000               -0.3152247218421247      0.919971865530167
1590000000               -0.23656512742914462     0.9422877913564375
1620000000               -0.15638323307530336     0.9578831595826678
1650000000               -0.0752529631737886      0.9666638393167717
1680000000               0.006247332428668884     0.968584684040577
1710000000               0.08753905096915543      0.9636495069154174
1740000000               0.16804745699398238      0.9519107032961712
1770000000               0.24720572124723184      0.9334685318024354
1800000000               0.32445885098161187      0.9084700675287556
1830000000               0.39926748673174156      0.8771078428782362
1860000000               0.4711115427276152       0.8396181930651578
1890000000               0.5394936702344673       0.7962793246562283
1920000000               0.6039425254753881       0.7474091264497414
1950000000               0.6640158257982613       0.6933627427613795
1980000000               0.7193031798765113       0.634529929665248
2010000000               0.7694286796905637       0.5713322150323105
2040000000               0.814053243944493        0.5042198832392736
2070000000               0.8528767041410554       0.43366880557214654
2100000000               0.885639626341111        0.36017713693902165
2130000000               0.912124862890418        0.2842618994993944
2.16E9                   0.9321588298294938       0.20645547333788972
2.19E9                   0.9456125068042494       0.12730201404286254
2.22E9                   0.9524021573347548       0.04735381669472691
2.25E9                   0.9524897682072506       -0.03283235458624882
2.28E9                   0.9458832075540411       -0.11269895250838718
2.31E9                   0.9326361019567084       -0.1916913292232835
2.34E9                   0.9128474336479404       -0.26926139683331723
2.37E9                   0.8866608596420775       -0.34487124722931756
2.4E9                    0.8542637555115974       -0.41799671226668766
2.43E9                   0.8158859873926461       -0.4881308455303329
2.46E9                   0.7717984168113134       -0.5547873066790373
2.49E9                   0.7223111440614759       -0.6175036292409469
2.52E9                   0.6677714969364565       -0.675844352855422
2.55E9                   0.6085617727949697       -0.7294040009120448
2.58E9                   0.54509674334978         -0.7778098844085689
2.61E9                   0.4778209327776335       -0.8207247130822405
2.64E9                   0.40720568141469404      -0.8578489947807472
2.67E9                   0.3337460090662804       -0.8889232042444246
2.7E9                    0.2579572939333204       -0.9137297028864696
2.73E9                   0.1803717853225976       -0.9320943918895956
2.76E9                   0.1015349705643292       -0.9438880821060223
2.79E9                   0.022001818607092185     -0.9490275659087317
2.82E9                   -0.057667075452496525    -0.9474763781589548
2.85E9                   -0.13690941930210646     -0.9392452356777414
2.88E9                   -0.21516519918958654     -0.9243921468181139
2.91E9                   -0.2918806752118653      -0.9030221847850579
2.94E9                   -0.36651236807983906     -0.87528692019586
2.97E9                   -0.43853100820675667     -0.8413835102629306
3.0E9                    -0.5074254170102769      -0.8015534440500384
3.03E9                   -0.5727062888443445      -0.756080945945119
3.06E9                   -0.6339098410622944      -0.7052910427605507
3.09E9                   -0.6906012992479305      -0.649547303708569
3.12E9                   -0.7423781849471958      -0.5892492666915579
3.15E9                   -0.7888733745394663      -0.5248295684059048
3.18E9                   -0.8297578998084465      -0.45675079958566117
3.21E9                   -0.8647434633476081      -0.38550210992138
3.24E9                   -0.8935846447084203      -0.3115955899120398
3.27E9                   -0.916080776081984       -0.23556245920220792
3.3E9                    -0.9320774692516235      -0.15794909281768266
3.33E9                   -0.9414677784648249      -0.07931291861025794
3.36E9                   -0.9441929870438381      -2.182208634462085E-4
3.39E9                   -0.9402430089972662      0.07876811341797818
3.42E9                   -0.9296564007344877      0.157080867807466
3.45E9                   -0.9125199821775765      0.23416075080012583
3.48E9                   -0.8889680710238079      0.3094585925549992
3.51E9                   -0.8591813384167195      0.38243944599968066
3.54E9                   -0.823385298707971       0.4525865555236642
3.57E9                   -0.781848450106257       0.5194051585428672
3.6E9                    -0.7348800866711637      0.5824260878279593
3.63E9                   -0.6828278052667258      0.6412091454836937
3.66E9                   -0.6260747335102196      0.6953462229266745
3.69E9                   -0.5650365066817488      0.7444641445401754
3.72E9                   -0.5001580227983561      0.7882272161660293
3.75E9                   -0.43191000601078183     0.8263394627323568
3.78E9                   -0.3607854089523965      0.8585465424413897
3.81E9                   -0.28729568525729116     0.884637327707821
3.84E9                   -0.2119669636750567      0.9044451459566712
3.87E9                   -0.13533615539718263     0.9178486762235736
3.9E9                    -0.05794702629624596     0.9247725003998988
3.93E9                   0.019653734585529395     0.9251873109985193
3.96E9                   0.09692041949363582      0.919109780310837
3.99E9                   0.17331214947610152      0.9066020988357448
4.02E9                   0.24829663630945334      0.887771193826922
4.05E9                   0.3213538319639033       0.8627676416572417
4.08E9                   0.3919794408074726       0.8317842903847503
4.11E9                   0.4596882725097746       0.7950546112185206
4.14E9                   0.5240174167063313       0.7528507993653764
4.17E9                   0.5845292239676063       0.7054816457221181
4.2E9                    0.6408140810857813       0.6532902009176236
4.23E9                   0.6924929717758644       0.596651252300302
4.26E9                   0.7392198161446619       0.5359686328434078
4.29E9                   0.7806835834974937       0.4716723789932343
4.32E9                   0.8166101731476527       0.404215752819464
4.35E9                   0.846764057176706        0.33407214293998805
4.38E9                   0.870949678118016        0.26173185884214417
4.41E9                   0.8890125938442979       0.18769883453173083
4.44E9                   0.9008403621745661       0.11248725920580004
4.47E9                   0.9063631589105121       0.03661815496657862
4.5E9                    0.9055541254055062       -0.0393840769148793
4.53E9                   0.8984294447888242       -0.11499511885342756
4.56E9                   0.8850481491829044       -0.18969418709702357
4.59E9                   0.8655116629201388       -0.2629674491118348
4.62E9                   0.8399630882709783       -0.33431139058877346
4.65E9                   0.8085862401807831       -0.4032361170481214
4.68E9                   0.7716044352479632       -0.4692685765310829
4.71E9                   0.7292790382715311       -0.5319556900344264
4.74E9                   0.6819077683189736       -0.5908673746583
4.77E9                   0.6298227662285942       -0.645599441729412
4.8E9                    0.5733884272317561       -0.6957763492196061
4.83E9                   0.5129990057809926       -0.741053785618452
4.86E9                   0.44907600405848813      -0.7811210617232232
4.89E9                   0.38206536037847577      -0.8157032877800154
4.92E9                   0.31243445793243013      -0.8445633161480102
4.95E9                   0.2406689774012957       -0.8675034338368024
4.98E9                   0.1672696181362804       -0.884366794348769
5.01E9                   0.09274871158552483      -0.8950385832118242
5.04E9                   0.017626747200550064     -0.8994469151582483
5.07E9                   -0.05757117338754334     -0.8975634616241934
5.1E9                    -0.13231894201087632     -0.8894038046331026
5.13E9                   -0.20609309841721296     -0.8750275078831296
5.16E9                   -0.2783765191204696      -0.8545378902222961
5.19E9                   -0.34866211868652236     -0.8280814835253585
5.22E9                   -0.4164565319251479      -0.7958471585465535
5.25E9                   -0.48128373696034954     -0.7580649091402352
5.28E9                   -0.5426885744881947      -0.7150042959415299
5.31E9                   -0.600240119158152       -0.6669725625369015
5.34E9                   -0.6535348647791186      -0.6143124473276401
5.37E9                   -0.7021996940930842      -0.5573997205602236
5.4E9                    -0.7458946137695561      -0.4966404773066681
5.43E9                   -0.7843152433757464      -0.4324682139946456
5.46E9                   -0.8171950514006403      -0.3653407100942113
5.49E9                   -0.8443073310833515      -0.29573673041398163
5.52E9                   -0.8654669046800735      -0.2241525594281728
5.55E9                   -0.8805315385871645      -0.15109837920482194
5.58E9                   -0.8894030460856058      -0.07709450684005836
5.61E9                   -0.8920280513377545      -0.002667515390425068
5.64E9                   -0.8883983892330497      0.07165372774787376
5.67E9                   -0.8785511212967819      0.14534206119884738
5.7E9                    -0.8625681580120745      0.2178760170090812
5.73E9                   -0.8405754915452083      0.28874374006850523
5.76E9                   -0.8127420577529132      0.35744678705468624
5.79E9                   -0.7792782589718266      0.423503761844335
5.82E9                   -0.7404341858324015      0.4864537582812054
5.85E9                   -0.6964975750983715      0.5458595959181742
5.88E9                   -0.647791532453241       0.6013108447297437
5.91E9                   -0.5946720383350015      0.6524266378410896
5.94E9                   -0.537525246368753       0.6988582674472483
5.97E9                   -0.476764580914105       0.7402915516765827
6.0E9                    -0.41282764271981354     0.7764489533487263
