% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 9 2022, 10:43
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5512327724341599       -0.7351768049147559
330000000                0.48206055003508497      -0.7808729207039595
360000000                0.4092303397206422       -0.8201905292523727
390000000                0.33330845572832324      -0.852830583127512
420000000                0.254889791308435        -0.8785449004520225
450000000                0.17459231542289705      -0.8971387591233289
480000000                0.09305162487157564      -0.9084729915895089
510000000                0.01091548510743845      -0.9124655815497859
540000000                -0.0711616609319032      -0.909092758632564
570000000                -0.15252421217980194     -0.8983895855529216
600000000                -0.2325209356236666      -0.8804500324046649
630000000                -0.310510470204315       -0.8554265340210592
660000000                -0.3858667682712912      -0.8235290299885492
690000000                -0.457984435051501       -0.7850234894057895
720000000                -0.5262839186915012      -0.7402299280252791
750000000                -0.590216504985272       -0.6895199294194216
780000000                -0.6492690690151774      -0.6333136873559656
810000000                -0.7029685364951691      -0.5720765919639326
840000000                -0.7508860092933655      -0.5063153875837295
870000000                -0.7926405118631538      -0.4365739353157803
900000000                -0.8279023179659041      -0.3634286191626528
930000000                -0.8563958218616028      -0.28748343812631355
960000000                -0.8779019218061695      -0.20936483233816597
990000000                -0.8922598896852882      -0.12971629372268162
1020000000               -0.8993687059007585      -0.049192815810518674
1050000000               -0.899187845145932       0.03154476160864913
1080000000               -0.8917375049171419      0.11183545438227667
1110000000               -0.877098275445203       0.1910238249231494
1140000000               -0.8554102563699266      0.268465603266657
1170000000               -0.8268716319997028      0.3435331819238946
1200000000               -0.791736723462581       0.4156209291696848
1230000000               -0.7503135419857702      0.4841502688122084
1260000000               -0.7029608731552172      0.5485744776305077
1290000000               -0.6500849269389494      0.6083831560342282
1320000000               -0.5921355927177653      0.663106332073025
1350000000               -0.5296023421147085      0.7123181641259801
1380000000               -0.4630098253320104      0.7556402130864002
1410000000               -0.39291320907720184     0.7927442603048136
