% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 11 2022, 16:22
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5925581260866016       -0.7737638496158759
330000000                0.5196377485460311       -0.8242707239279764
360000000                0.4425172809121174       -0.867926411890271
390000000                0.3618118859291059       -0.9044161003982073
420000000                0.2781767836454742       -0.9334470888512651
450000000                0.19229306333382734      -0.9547857069912123
480000000                0.10486149023257206      -0.9682596053512038
510000000                0.016596940208530777     -0.9737596781696868
540000000                -0.07177737047338084     -0.9712414529448691
570000000                -0.15953580774613238     -0.9607259275497857
600000000                -0.24595634440615416     -0.9422998406501327
630000000                -0.33032662877587954     -0.9161153626387725
660000000                -0.41195004337792956     -0.8823892015101029
690000000                -0.49015169395022745     -0.8414011212108697
720000000                -0.5642842680965752      -0.7934918776319994
750000000                -0.633733706412301       -0.7390605815106704
780000000                -0.6979246245258646      -0.6785615057106646
810000000                -0.7563254281824476      -0.6125003601856405
840000000                -0.8084530659721301      -0.5414300640187394
870000000                -0.8538773646241897      -0.46594605227115055
900000000                -0.8922248988687574      -0.38668115934380076
930000000                -0.9231823496062488      -0.304300128873007
960000000                -0.946499312207711       -0.21949380300912733
990000000                -0.9619905205853465      -0.132973051241299
1020000000               -0.9695374616010082      -0.04546250066537694
1050000000               -0.9690893606066004      0.042305866656901225
1080000000               -0.9606635271332751      0.12959918138549406
1110000000               -0.9443450575692407      0.2156901514038387
1140000000               -0.9202859000028533      0.29986345471888326
1170000000               -0.8887032939319653      0.3814219940622894
1200000000               -0.8498776057561628      0.4596929478388728
1230000000               -0.8041495876717548      0.5340335568646084
1260000000               -0.751917094833072       0.6038365885443494
1290000000               -0.6936313011027109      0.6685354272311645
1320000000               -0.6297924597349265      0.7276087429494654
1350000000               -0.5609452584088593      0.7805846992566852
1380000000               -0.4876738233013976      0.8270446648312615
1410000000               -0.4105964274885603      0.8666264028330977
1440000000               -0.33035996209953056     0.8990267169017685
1470000000               -0.2476342281697731      0.9240035409568048
1500000000               -0.16310610784613078     0.9413774655335028
1530000000               -0.07747367156735195     0.9510327007013881
1560000000               0.008559722732808873     0.9529174808221884
1590000000               0.09429128579778948      0.9470439224359654
1620000000               0.17902455853021204      0.93348735129248
1650000000               0.2620750315659743       0.9123851189341544
1680000000               0.34277558034091893      0.8839349330252569
1710000000               0.42048167621124294      0.8483927288027605
1740000000               0.4945763383780413       0.8060701114875608
1770000000               0.5644747953452528       0.757331401588343
1800000000               0.6296288290401151       0.7025903161541449
1830000000               0.6895307774849034       0.6423063205703552
1860000000               0.743717176830614        0.5769806852910698
1890000000               0.7917720261093095       0.5071522825584557
1920000000               0.8333296614369928       0.4333931579090255
1950000000               0.8680772295678459       0.3563039106774233
1980000000               0.8957567528391494       0.2765089175693209
2010000000               0.916166780402601        0.194651432352967
2040000000               0.9291636224865955       0.11138859425045247
2070000000               0.9346621664757407       0.027386376624530907
2100000000               0.9326362753273116       -0.05668549256228094
2130000000               0.9231187706141406       -0.14015860864416613
2.16E9                   0.9062010039635336       -0.22237093620116344
2.19E9                   0.8820320223639784       -0.3026717947702808
2.22E9                   0.8508173342423877       -0.38042675537956233
2.25E9                   0.8128172848661657       -0.45502242118951747
2.28E9                   0.7683450508675173       -0.5258710663182041
2.31E9                   0.7177642646146389       -0.5924151088345821
2.34E9                   0.6614862789836131       -0.6541313963580039
2.37E9                   0.5999670809627837       -0.7105352853593994
2.4E9                    0.5337038574144479       -0.7611844964144068
2.43E9                   0.46323120724278033      -0.8056827254395792
2.46E9                   0.38911698185511717      -0.8436829797639551
2.49E9                   0.311957728293519        -0.8748905802911175
2.52E9                   0.23237371943200494      -0.8990657269161544
2.55E9                   0.15100361110271301      -0.9160254739190956
2.58E9                   0.06849887607793743      -0.9256449526977578
2.61E9                   -0.014481703084140563    -0.9278577716370688
2.64E9                   -0.09727716026584421     -0.9226557388405171
2.67E9                   -0.17922893546795785     -0.9100882786808011
2.7E9                    -0.2596851052979403      -0.8902619360215923
2.73E9                   -0.33800468181763776     -0.8633400899420862
2.76E9                   -0.41356234531741304     -0.8295426251781388
2.79E9                   -0.48575366148957644     -0.789145136537484
2.82E9                   -0.5540005406037672      -0.7424773577376872
2.85E9                   -0.6177566080544411      -0.6899207467263269
2.88E9                   -0.676512237627807       -0.6319053359146748
2.91E9                   -0.7297991263120212      -0.5689060090947903
2.94E9                   -0.7771943775920523      -0.5014383423117907
2.97E9                   -0.818324096427372       -0.43005410122226995
3.0E9                    -0.8528665028388549      -0.3553364538976569
3.03E9                   -0.8805545629363302      -0.27789494149250465
3.06E9                   -0.9011781281333138      -0.19836024491478255
3.09E9                   -0.9145855689595499      -0.1173787881320245
3.12E9                   -0.9206848903395303      -0.03560722197349183
3.15E9                   -0.9194443175502214      0.04629316217834774
3.18E9                   -0.9108923476695612      0.12766203800220796
3.21E9                   -0.8951172667768671      0.20784561576029292
3.24E9                   -0.8722661395994357      0.28620212649352417
3.27E9                   -0.8425432844290057      0.362107166491185
3.3E9                    -0.8062082520631391      0.434958851427173
3.33E9                   -0.7635733329144534      0.5041827325335987
3.36E9                   -0.7150006214361757      0.5692364300504295
3.39E9                   -0.660898671283921       0.6296139435300178
3.42E9                   -0.6017187786190457      0.6848496023088009
3.45E9                   -0.5379509340287151      0.7345216245141796
3.48E9                   -0.47011948652938856     0.7782552573478063
3.51E9                   -0.39877856489124586     0.8157254769761269
3.54E9                   -0.3245073032734295      0.8466592312737421
3.57E9                   -0.2479049188306572      0.870837214258298
3.6E9                    -0.1695856890447022      0.8880951664716176
3.63E9                   -0.09017387602132027     0.8983247009198085
3.66E9                   -0.010298643271537422    0.9014736594378183
3.69E9                   0.06941099186605086      0.8975460090119896
3.72E9                   0.14833113000613826      0.8866012914204182
3.75E9                   0.2258478490784679       0.8687536423513443
3.78E9                   0.30136191813518637      0.8441703977414537
3.81E9                   0.374293334950937        0.813070305501044
3.84E9                   0.4440856580887953       0.7757213609260317
3.87E9                   0.5102101041762019       0.7324382843623303
3.9E9                    0.5721693798225566       0.6835796613538242
3.93E9                   0.6295012158231768       0.629544769349486
3.96E9                   0.6817815710236271       0.5707701212931409
3.99E9                   0.7286274752272295       0.5077257649318735
4.02E9                   0.7696994872589418       0.44091138573309996
4.05E9                   0.8047037561844604       0.37085226791717346
4.08E9                   0.8333936890126854       0.2980951695388222
4.11E9                   0.8555712441470575       0.2232041606125219
4.14E9                   0.87108788053784         0.14675645920679314
4.17E9                   0.8798451941855863       0.06933828278776032
4.2E9                    0.8817952656990866       -0.008459282698017115
4.23E9                   0.876940728824907        -0.08604439973668307
4.26E9                   0.8653345572576705       -0.1628285829745968
4.29E9                   0.8470795607141994       -0.2382307814653506
4.32E9                   0.8223275826340211       -0.31168142258058223
4.35E9                   0.7912783972015955       -0.38262639718493197
4.38E9                   0.7541783077193298       -0.45053096671179516
4.41E9                   0.7113184481774031       -0.5148835767154649
4.44E9                   0.6630327860704871       -0.5751995614373103
4.47E9                   0.6096958200473446       -0.6310247205015345
4.5E9                    0.5517199652579553       -0.6819387403192124
4.53E9                   0.4895526236076146       -0.7275584244448883
4.56E9                   0.42367294502317154      -0.76754069117835
4.59E9                   0.3545882974825297       -0.8015852949719261
4.62E9                   0.2828304738160387       -0.8294372320866122
4.65E9                   0.2089516724703346       -0.8508887973113985
4.68E9                   0.13352029392363604      -0.8657812681199366
4.71E9                   0.05711659648571441      -0.8740062018339417
4.74E9                   -0.019671746995815555    -0.8755063401686455
4.77E9                   -0.09625415457668876     -0.870276121684801
4.8E9                    -0.17204167159182387     -0.8583618053190872
4.83E9                   -0.24645151161119597     -0.839861207311805
4.86E9                   -0.3189115774646138      -0.8149230505517038
4.89E9                   -0.3888649360961427      -0.7837459219849532
4.92E9                   -0.4557742162454108      -0.7465768323645152
4.95E9                   -0.5191258921934727      -0.7037093745045633
4.98E9                   -0.5784344113233028      -0.6554814813976544
5.01E9                   -0.6332461206252301      -0.6022727926045475
5.04E9                   -0.6831429461490768      -0.5445016456289844
5.07E9                   -0.7277457813074416      -0.48262171709489965
5.1E9                    -0.7667175433446558      -0.4171183465580769
5.13E9                   -0.7997658633229889      -0.34850458272655493
5.16E9                   -0.82664538291457        -0.27731699733854337
5.19E9                   -0.847159641192623       -0.20411131397622861
5.22E9                   -0.8611625440320578      -0.12945789738005398
5.25E9                   -0.8685594155934144      -0.05393714278749619
5.28E9                   -0.8693076328495425      0.021865202238186127
5.31E9                   -0.8634168404683156      0.09736275591336417
5.34E9                   -0.850948737357131       0.17197323149754432
5.37E9                   -0.8320164225458861      0.24512314198951254
5.4E9                    -0.8067832903131085      0.31625243412066295
5.43E9                   -0.7754614733392957      0.3848189967054854
5.46E9                   -0.7383098459749051      0.45030298399058144
5.49E9                   -0.6956316141217629      0.5122108965189472
5.52E9                   -0.6477715312763772      0.5700793686611034
5.55E9                   -0.595112790188839       0.6234786230385123
5.58E9                   -0.5380736456016622      0.6720155656443674
5.61E9                   -0.477103824311811       0.7153365109699686
5.64E9                   -0.4126807731507309      0.753129541458101
5.67E9                   -0.3453057827674414      0.785126516669973
5.7E9                    -0.2755000080980867      0.8111047497332722
5.73E9                   -0.2038003911505511      0.8308883593924167
5.76E9                   -0.13075548664221284     0.8443492876207419
5.79E9                   -0.056921201623813825    0.8514079542461772
5.82E9                   0.017143516635603186     0.8520335132848962
5.85E9                   0.0908809856507638       0.8462436873104349
5.88E9                   0.1637390145060593       0.8341041827142667
5.91E9                   0.2351749881151049       0.8157277176261701
5.94E9                   0.3046597662189854       0.7912727128341969
5.97E9                   0.3716813805817095       0.7609416983008327
6.0E9                    0.4357485332606432       0.7249794767776374
