% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 25 2022, 17:20
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5435547393191847       -0.7281988748616834
330000000                0.4750305043312919       -0.7730793643762573
360000000                0.40293431568128235      -0.8116532717484027
390000000                0.327823846214471        -0.843628148589655
420000000                0.2502852085666813       -0.8687620005496384
450000000                0.17092731777443435      -0.8868657562082007
480000000                0.09037638433914418      -0.8978052541413035
510000000                0.009270445780613912     -0.9015027472484723
540000000                -0.07174610057515061     -0.8979379192254385
570000000                -0.1520279689827321      -0.8871484065345957
600000000                -0.23093444672394822     -0.8692298199956444
630000000                -0.30783481994731565     -0.8443352618541783
660000000                -0.3821137292925326      -0.8126743372570516
690000000                -0.453176415620736       -0.774511662887075
720000000                -0.5204538130036828      -0.7301648797478064
750000000                -0.5834074437636682      -0.6800021820554989
780000000                -0.641534069725115       -0.6244393793391971
810000000                -0.6943700545212192      -0.5639365138676787
840000000                -0.7414953924935725      -0.4989940612545393
870000000                -0.782537362513532       -0.43014874687025895
900000000                -0.817173767734327       -0.3579690159697392
930000000                -0.8451357262944834      -0.28305019979948315
960000000                -0.8662099824095204      -0.2060094242255749
990000000                -0.8802407123804961      -0.12748031116478553
1020000000               -0.8871308058746493      -0.048107525366395634
1050000000               -0.8868426085802522      0.03145877780360669
1080000000               -0.8793981189194711      0.11056854752600287
1110000000               -0.8648786377866853      0.18857741839406536
1140000000               -0.8434238769124559      0.2648522201471106
1170000000               -0.8152305377757996      0.3387763610902437
1200000000               -0.7805503791889253      0.40975503130282265
1230000000               -0.7396877975632485      0.477220174888317
1260000000               -0.692996949119743       0.5406351839957538
1290000000               -0.6408784483930252      0.5994992710334843
1320000000               -0.5837756812393644      0.6533514806444083
1350000000               -0.5221707745075381      0.7017743074352782
1380000000               -0.4565802670503645      0.7443968911979882
1410000000               -0.38755052896634806     0.7808977666907903
1440000000               -0.31565297733598047     0.8110071506442224
1470000000               -0.24147913718593916     0.8345087543284047
1500000000               -0.1656355966096376      0.8512411153249566
1530000000               -0.08873890382284007     0.8610984475625347
1560000000               -0.011410453168457835    0.8640310134067365
1590000000               0.06572859518058127      0.860045026353245
1620000000               0.142062319190131        0.8492020969203292
1650000000               0.21698492240943495      0.8316182381006438
1680000000               0.2899054678866028       0.8074624499659265
1710000000               0.36025242443019007      0.7769549057626636
1740000000               0.4274779943706916       0.7403647641502368
1770000000               0.491062195160016        0.6980076340796767
1800000000               0.550516670586016        0.6502427201321345
1830000000               0.6053882102349579       0.597469677284982
1860000000               0.6552619592103373       0.5401252045772669
1890000000               0.6997643027622367       0.4786794076474367
1920000000               0.7385654134023668       0.41363196009525977
1950000000               0.7713814505120169       0.3455080935663324
1980000000               0.797976404840195        0.2748544461868407
2010000000               0.8181635824413984       0.20223479859905835
2040000000               0.8318067246445449       0.12822572624421955
2070000000               0.8388207623773589       0.05341219631670907
2100000000               0.8391722050101464       -0.021616863078035696
2130000000               0.8328791654152948       -0.09627299437733823
2.16E9                   0.8200110245210326       -0.16997261607174452
2.19E9                   0.8006877401423425       -0.24214137641212044
2.22E9                   0.7750788062976149       -0.3122184302567573
2.25E9                   0.7434018706394593       -0.3796606146959543
2.28E9                   0.7059210186949436       -0.4439465006475478
2.31E9                   0.662944734453798        -0.5045802986699374
2.34E9                   0.6148235466527527       -0.5610955992873605
2.37E9                   0.561947368804228        -0.6130589293449086
2.4E9                    0.5047425375592468       -0.6600731065639076
2.43E9                   0.4436685486827294       -0.7017803716876783
2.46E9                   0.3792144838478024       -0.7378652690751316
2.49E9                   0.3118951192258228       -0.7680572290874241
2.52E9                   0.24224671798312905      -0.7921327792358568
2.55E9                   0.1708225447610479       -0.8099172857843805
2.58E9                   0.09818820475054153      -0.8212861274371633
2.61E9                   0.02491698143005934      -0.8261652584026891
2.64E9                   -0.04841463092161913     -0.8245312359679153
2.67E9                   -0.12123108630176489     -0.8164109123663247
2.7E9                    -0.19296169675202607     -0.8018810209333097
2.73E9                   -0.2630445028863659      -0.7810677669028467
2.76E9                   -0.3309303238791872      -0.7541463351598523
2.79E9                   -0.39608706710173514     -0.7213400958162131
2.82E9                   -0.4580042057699493      -0.6829193016184738
2.85E9                   -0.516197240046133       -0.6391991830384884
2.88E9                   -0.5702119638157793      -0.5905374621283362
2.91E9                   -0.6196284186757159      -0.5373313685483881
2.94E9                   -0.6640644761027167      -0.4800142514729731
2.97E9                   -0.7031790252689747      -0.41905186531256267
3.0E9                    -0.7366747587404469      -0.3549383872390974
3.03E9                   -0.7643005502832398      -0.2881922109145248
3.06E9                   -0.7858534169840528      -0.21935155432555048
3.09E9                   -0.8011800559851701      -0.1489699183471151
3.12E9                   -0.8101779460700878      -0.07761143407929631
3.15E9                   -0.8127960062264322      -0.0058461390335583325
3.18E9                   -0.8090348065992405      0.06575477581611132
3.21E9                   -0.7989463314661039      0.13662370483431724
3.24E9                   -0.7826332985332985      0.20620130894678845
3.27E9                   -0.7602480435913516      0.27394109611269063
3.3E9                    -0.7319909841983858      0.3393138593652001
3.33E9                   -0.698108680424799       0.40181193238974156
3.36E9                   -0.6588915146680212      0.46095322522079424
3.39E9                   -0.6146710162537179      0.5162850051452665
3.42E9                   -0.5658168597021564      0.5673873913234709
3.45E9                   -0.5127335685861539      0.6138765347395099
3.48E9                   -0.45585695918393104     0.6554074591222041
3.51E9                   -0.39565036039823814     0.691676542127833
3.54E9                   -0.3326006478102002      0.7224236204480494
3.57E9                   -0.2672141310391137      0.747433706643334
3.6E9                    -0.20001233388991643     0.7665383101318408
3.63E9                   -0.1315277068424292      0.7796163591115244
3.66E9                   -0.06229931051645981     0.786594724661491
3.69E9                   0.007131492769540238     0.7874483523234937
3.72E9                   0.0762253043929059       0.7822000099433953
3.75E9                   0.14444887939304962      0.7709196632531355
3.78E9                   0.21127921117465204      0.7537234924471088
3.81E9                   0.27620748315191807      0.730772564022805
3.84E9                   0.3387428608758349       0.7022711728171128
3.87E9                   0.39841609855619037      0.6684648700124655
3.9E9                    0.4547829335501183       0.62963819460061
3.93E9                   0.5074272421705999       0.5861121287078869
3.96E9                   0.5559639304374784       0.5382413016657672
3.99E9                   0.6000415357655652       0.48641097311341697
4.02E9                   0.6393445203707082       0.4310338309413273
4.05E9                   0.6735952447593321       0.3725466439559336
4.08E9                   0.7025556193935696       0.3114068097981344
4.11E9                   0.7260284421549703       0.24808883498906587
4.14E9                   0.7438584360686555       0.18308077613399015
4.17E9                   0.7559330035941223       0.116880661471811
4.2E9                    0.7621827101843434       0.04999290369173751
4.23E9                   0.7625815029759068       -0.017075289051402567
4.26E9                   0.7571466638479223       -0.08381749531295811
4.29E9                   0.7459384932019799       -0.1497316421865644
4.32E9                   0.7290597224843879       -0.21432352815834213
4.35E9                   0.7066546580490958       -0.27711028640198526
4.38E9                   0.6789080631227581       -0.33762376989893683
4.41E9                   0.6460437857545127       -0.3954138437452822
4.44E9                   0.6083231381667805       -0.4500515730883379
4.47E9                   0.5660430286530034       -0.5011322949949455
4.5E9                    0.519533843829011        -0.5482785585557877
4.53E9                   0.46915707895366127      -0.5911429113091193
4.56E9                   0.4153027178028566       -0.6294105039159424
4.59E9                   0.3583863705375883       -0.662801481074955
4.62E9                   0.29884618636134963      -0.6910731260802294
4.65E9                   0.23713956587810367      -0.714021729268127
4.68E9                   0.1737397044196591       -0.7314841562508696
4.71E9                   0.10913200122385708      -0.7433390992536304
4.74E9                   0.04381037001736257      -0.7495080025116094
4.77E9                   -0.021726515923829126    -0.7499556593061156
4.8E9                    -0.0869790152643386      -0.744690482233934
4.83E9                   -0.15145032223744812     -0.7337644493440427
4.86E9                   -0.21465026074316232     -0.71727272720536
4.89E9                   -0.2760990473784376      -0.6953529694544549
4.92E9                   -0.335330999372472       -0.6681842876724478
4.95E9                   -0.39189815923592486     -0.6359858919339659
4.98E9                   -0.44537380389487924     -0.5990154013656938
5.01E9                   -0.49535580313960836     -0.5575668300020414
5.04E9                   -0.5414697910270806      -0.5119682592932009
5.07E9                   -0.5833721145032889      -0.4625792150054264
5.1E9                    -0.6207525258142065      -0.40978777254775145
5.13E9                   -0.6533365893212532      -0.35400742051542494
5.16E9                   -0.6808877791485891      -0.29567371677823034
5.19E9                   -0.7032092512387789      -0.2352407739490425
5.22E9                   -0.7201452808328677      -0.1731776104558327
5.25E9                   -0.7315823621128039      -0.10996439997010353
5.28E9                   -0.7374499690499274      -0.04608864691084981
5.31E9                   -0.7377209749721669      0.017958688159704052
5.34E9                   -0.732411724631044       0.08168708957065851
5.37E9                   -0.7215817497867552      0.1446103863090029
5.4E9                    -0.7053331202137855      0.20625061598802566
5.43E9                   -0.683809427476219       0.2661418120543927
5.46E9                   -0.6571944075952678      0.3238336696430983
5.49E9                   -0.6257102186978692      0.37889504574500443
5.52E9                   -0.5896153989436099      0.4309172532337468
