% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 25 2022, 17:27
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5669292177949729       -0.7559269906211936
330000000                0.49577294578552655      -0.8030622925747246
360000000                0.42083275707304985      -0.8436453486916031
390000000                0.3426845494109749       -0.8773637650814797
420000000                0.2619367534016643       -0.9039560105510258
450000000                0.17922364892178566      -0.9232150502886102
480000000                0.0951993360967359       -0.9349910000436155
510000000                0.010531901429630609     -0.9391930420567555
540000000                -0.0741024476453994      -0.9357907562000879
570000000                -0.15802525351788024     -0.9248148795286326
600000000                -0.24056167111943108     -0.906357500514004
630000000                -0.32104629250220473     -0.8805716936168513
660000000                -0.3988289018314573      -0.8476705988717944
690000000                -0.47328011848902185     -0.8079259519704624
720000000                -0.5437968827091583      -0.7616660744356276
750000000                -0.6098077368213475      -0.7092733365793136
780000000                -0.6707778521661908      -0.6511811118968902
810000000                -0.7262137527883824      -0.5878702463789128
840000000                -0.7756676880878361      -0.5198650718323371
870000000                -0.8187416082502001      -0.4477289984027101
900000000                -0.8550907001584721      -0.37205972595201897
930000000                -0.8844264444034136      -0.2934841204486346
960000000                -0.906519160120153       -0.21265280434887124
990000000                -0.9212000086566156      -0.13023451569085798
1020000000               -0.9283624340507478      -0.04691029265886304
1050000000               -0.9279630242013817      0.036632456382818805
1080000000               -0.9200217841168172      0.1197059363126643
1110000000               -0.9046218192246829      0.2016279399024252
1140000000               -0.8819084341085933      0.2817277522150918
1170000000               -0.852087659115197       0.35935192375113273
1200000000               -0.8154242239740297      0.43386985428615743
1230000000               -0.7722390040653434      0.5046791317068724
1260000000               -0.7229059710159849      0.5712105739948716
1290000000               -0.6678486843407297      0.6329329273325658
1320000000               -0.6075363661034757      0.689357177527697
1350000000               -0.5424796037279817      0.7400404384702176
1380000000               -0.4732257298955091      0.7845893863197255
1410000000               -0.40035393018948273     0.8226632147110218
1440000000               -0.32447013115793477     0.8539760920816483
1470000000               -0.2462017212944045      0.8782991087753165
1500000000               -0.16619215860570158     0.8954617068992947
1530000000               -0.08509551599898231     0.90535259243751
1560000000               -0.0035710156200012833   0.9079201338877836
1590000000               0.07772239961104291      0.9031722569513163
1620000000               0.15813141118782195      0.8911758493029045
1650000000               0.23701354378679174      0.8720556934587528
1680000000               0.3137422180474861       0.8459929492320092
1710000000               0.38771160060513027      0.8132232101950003
1740000000               0.45834121877633827      0.7740341610439606
1770000000               0.5250803104791233       0.7287628645479316
1800000000               0.5874118834788881       0.6777927084352284
1830000000               0.6448564620670901       0.6215500431659063
1860000000               0.6969755018764592       0.560500542499225
1890000000               0.7433744569479338       0.49514531904745474
1920000000               0.7837054864118151       0.4260168266093602
1950000000               0.8176697902645014       0.35367458143457003
1980000000               0.8450195667214427       0.2787007335500354
2010000000               0.8655595854539353       0.20169551957727283
2040000000               0.879148373473909        0.12327262695178749
2070000000               0.8856990119880344       0.04405449981764584
2100000000               0.885179544555086        -0.03533238467298424
2130000000               0.877612998282843        -0.11426224067675661
2.16E9                   0.8630770215521832       -0.19211467088873568
2.19E9                   0.8417031431728884       -0.2682793094715492
2.22E9                   0.8136756594202919       -0.34216038383448555
2.25E9                   0.7792301566831015       -0.4131811703119578
2.28E9                   0.7386516788385123       -0.48078831870424815
2.31E9                   0.6922725489525267       -0.5444560235091244
2.34E9                   0.6404698551359822       -0.6036900202105226
