% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 3 2022, 11:27
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6195955778389994       -0.7478121927960149
330000000                0.5522173366559499       -0.7984525548395041
360000000                0.4808273183309892       -0.8430725624132368
390000000                0.40592409702132226      -0.8813691223527391
420000000                0.3280685057004588       -0.9130609512474814
450000000                0.24783362206218662      -0.9379219347399984
480000000                0.16581209091031185      -0.9557749776602877
510000000                0.08261030573450495      -0.9664942795926346
540000000                -0.0011559452117884561   -0.9700064298633864
570000000                -0.08486616476632972     -0.9662911660235161
600000000                -0.16789986496181122     -0.9553816942622201
630000000                -0.24964128077984615     -0.9373645774794671
660000000                -0.32948404906915996     -0.9123791978032877
690000000                -0.4068358171475981      -0.8806168009717166
720000000                -0.48112274589921705     -0.8423191324931107
750000000                -0.551793875859001       -0.7977766766903494
780000000                -0.6183253193401552      -0.7473265139134788
810000000                -0.680224249486646       -0.6913498117330668
840000000                -0.737032651875381       -0.6302689709910334
870000000                -0.7883308112290823      -0.5645444480436649
900000000                -0.833740504045149       -0.49467127886924533
930000000                -0.8729278720321556      -0.42117533230938015
960000000                -0.9056059537885978      -0.3446093210542968
990000000                -0.931536852803585       -0.26554860435411626
1020000000               -0.9505335260730968      -0.18458681366069674
1050000000               -0.9624611779658312      -0.10233133691735884
1080000000               -0.9672382483224555      -0.019398699015969495
1110000000               -0.9648369877196394      0.06359012684232274
1140000000               -0.9552836151323607      0.14601443720146848
1170000000               -0.9386580577022615      0.22725850918957038
1200000000               -0.9150932753430482      0.3067162660665168
1230000000               -0.8847741766114727      0.38379586021872586
1260000000               -0.8479361356070131      0.457924137592525
1290000000               -0.804863122985763       0.5285509481445821
1320000000               -0.7558854672074118      0.5951532689990513
1350000000               -0.7013772655266285      0.6572391077981313
1380000000               -0.6417534663624332      0.7143511570885164
1410000000               -0.5774666477213358      0.7660701719171938
1440000000               -0.5090035184851835      0.8120180455004742
1470000000               -0.43688117143562555     0.8518605606453037
1500000000               -0.36164311843616787     0.8853097976084512
1530000000               -0.28385513961402625     0.912126181700867
1560000000               -0.2041009801812953      0.9321201569957115
1590000000               -0.12297792806897707     0.9451534760413192
1620000000               -0.0410923076985938      0.9511400979845915
1650000000               0.04094507637628802      0.9500466911735107
1680000000               0.12252351018790844      0.9418927389761914
1710000000               0.20303692197112008      0.926750250850968
1740000000               0.28188838050981263      0.9047430834565665
1770000000               0.358494507072283        0.8760458795757444
