% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 8 2022, 21:13
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5986121433377146       -0.7269343223622697
330000000                0.5332058694455531       -0.7754198243849513
360000000                0.46398436016110767      -0.8181010722232496
390000000                0.3914497474800602       -0.8546743776863069
420000000                0.31613072965410344      -0.8848802686704271
450000000                0.2385780285568096       -0.9085056065866012
480000000                0.1593598911975196       -0.925385320456062
510000000                0.07905758796331207      -0.9354037558862353
540000000                -0.0017391049405224735   -0.9384956354240146
570000000                -0.08243643560185135     -0.9346466278912726
600000000                -0.16244120307901666     -0.9238935249544469
630000000                -0.24116525889704185     -0.906324025186388
660000000                -0.3180299576393787      -0.8820761278422101
690000000                -0.39247052735901744     -0.8513371412946207
720000000                -0.4639403309733845      -0.8143423132942038
750000000                -0.5319149873157257      -0.771373093498752
780000000                -0.5958963224804165      -0.7227550408336733
810000000                -0.6554161212079612      -0.6688553915716074
840000000                -0.7100396498874855      -0.6100803064377602
870000000                -0.7593689239115049      -0.5468718177569611
900000000                -0.8030456938591096      -0.4797045001662647
930000000                -0.8407541271001752      -0.4090818906160406
960000000                -0.8722231635045699      -0.3355326858410954
990000000                -0.8972285267643452      -0.2596067470213562
1020000000               -0.9155943754209862      -0.18187094313495344
1050000000               -0.9271945805563253      -0.10290486629356295
1080000000               -0.9319536204527927      -0.02329645237980652
1110000000               -0.929847085293245       0.05636245736390092
1140000000               -0.9209017886259853      0.1354805790763334
1170000000               -0.9051954853176334      0.21347163782870227
1200000000               -0.8828561991470849      0.28975877253033794
1230000000               -0.854061166370753       0.3637788596815638
1260000000               -0.8190354048208848      0.4349867218409831
1290000000               -0.7780499210625794      0.502859188236674
1320000000               -0.7314195711986035      0.566898975897478
1350000000               -0.6795005935617564      0.6266383617378845
1380000000               -0.6226878341331021      0.6816426177943162
1410000000               -0.5614116879362547      0.7315131839414435
1440000000               -0.496134781606848       0.7758905549334734
1470000000               -0.42734842441757626     0.8144568609049774
1500000000               -0.3555688564928363      0.8469381233137508
1530000000               -0.2813333241404221      0.8731061710729144
1560000000               -0.20519601372495577     0.8927802042726083
1590000000               -0.127723875596595       0.9058279960917646
1620000000               -0.04949237077046682     0.9121667261382819
1650000000               0.028918827285778548     0.9117634415712623
1680000000               0.10693014308937575      0.9046351451303087
1710000000               0.1839663898450235       0.890848512041028
1740000000               0.2594610081957859       0.8705192405659145
1770000000               0.33286022280313593      0.843811043507658
1800000000               0.403627086266982        0.8109342906418111
1830000000               0.471245381940695        0.7721443143421793
1860000000               0.535223358089968        0.7277393930210903
1890000000               0.595097267586348        0.6780584290530625
1920000000               0.6504346889043113       0.6234783397977655
1950000000               0.700837605798689        0.5644111823114673
1980000000               0.745945225289471        0.5013010336894553
2010000000               0.785436515293651        0.43462065058901883
2040000000               0.8190324452896466       0.3648679329264064
2070000000               0.846497915824628        0.29256221740849775
2100000000               0.8676433644698979       0.21824042813239297
2130000000               0.882326038465768        0.14245311160661284
2.16E9                   0.8904509262837277       0.06576038464842565
2.19E9                   0.8919713428106576       -0.011272176206299219
2.22E9                   0.8868891651370089       -0.08807767489074864
2.25E9                   0.8752547182515635       -0.16409203672213543
2.28E9                   0.857166312298735        -0.23875812093118878
2.31E9                   0.8327694352594475       -0.31152977684100397
2.34E9                   0.8022556071323899       -0.38187581546748633
2.37E9                   0.765860903596391        -0.4492838697109641
2.4E9                    0.7238641588752035       -0.5132641168324835
2.43E9                   0.6765848587501729       -0.5733528379060563
2.46E9                   0.6243807356524368       -0.6291157891394779
2.49E9                   0.5676450788414645       -0.6801513592872723
2.52E9                   0.5068037745977929       -0.7260934857126711
2.55E9                   0.44231209613710815      -0.7666142990968008
2.58E9                   0.3746512713177687       -0.8014264664423832
2.61E9                   0.30432486694230826      -0.8302852074664182
2.64E9                   0.23185503572853072      -0.8529899732549245
2.67E9                   0.15777866829275633      -0.8693857938982146
2.7E9                    0.08264347547929081      -0.8793643126471548
2.73E9                   0.007004007572862037     -0.8828645179638633
2.76E9                   -0.06858239007298882     -0.8798731661851309
2.79E9                   -0.143559674012786       -0.8704248712162586
2.82E9                   -0.21737722249438624     -0.8546018360047296
2.85E9                   -0.28949393476555824     -0.8325332118973154
2.88E9                   -0.35938226395474326     -0.8043940868005827
2.91E9                   -0.4265321424155585      -0.7704041138468924
2.94E9                   -0.4904547649761165      -0.7308257975001732
2.97E9                   -0.5506862009969787      -0.6859624555377278
3.0E9                    -0.6067908089366099      -0.6361558759602904
3.03E9                   -0.6583644293244121      -0.5817836883526609
3.06E9                   -0.7050373331991256      -0.5232564704254035
3.09E9                   -0.7464769044563728      -0.4610146121038987
3.12E9                   -0.7823900362281917      -0.3955249612959737
3.15E9                   -0.8125252234203679      -0.32727727721888505
3.18E9                   -0.8366743357379838      -0.25678051888927306
3.21E9                   -0.8546740581159675      -0.1845589976869969
3.24E9                   -0.8664069880935048      -0.11114842416361903
3.27E9                   -0.8718023825440057      -0.03709187997981971
3.3E9                    -0.8708365490049865      0.03706425347478874
3.33E9                   -0.8635328797951923      0.11077437809482138
3.36E9                   -0.8499615300014312      0.18349774190573676
3.39E9                   -0.830238743319309       0.2547024503429436
3.42E9                   -0.8045258325503227      0.32386939518562546
3.45E9                   -0.7730278243257426      0.39049607107337714
3.48E9                   -0.7359917802679748      0.45410025074716676
3.51E9                   -0.693704809358796       0.5142234914265963
3.54E9                   -0.6464917886262056      0.5704344463645253
3.57E9                   -0.5947128115304526      0.6223319573353603
3.6E9                    -0.5387603853868098      0.6695479058916112
3.63E9                   -0.4790564010052945      0.7117498033240024
3.66E9                   -0.41604889923320965     0.7486431016348031
3.69E9                   -0.3502086603844302      0.7799732102390549
3.72E9                   -0.2820256435547008      0.8055272056054076
3.75E9                   -0.21200530337537576     0.8251352236168007
3.78E9                   -0.1406648125034536      0.8386715267364457
3.81E9                   -0.0685292182234111      0.8460552405823774
3.84E9                   0.003872438235065623     0.8472507567587274
3.87E9                   0.07601101088136844      0.8422678010933272
3.9E9                    0.14736111801183488      0.8311611687822351
3.93E9                   0.21740496236467666      0.814030130387997
3.96E9                   0.2856360741503176       0.7910175152424639
3.99E9                   0.351562949202069        0.7623084815546459
4.02E9                   0.41471255555101827      0.7281289853768145
4.05E9                   0.47463368362047337      0.6887439631727151
4.08E9                   0.5309001170719159       0.6444552451544157
4.11E9                   0.5831136042064661       0.5955992180656264
4.14E9                   0.6309066121034015       0.5425442571466613
4.17E9                   0.6739448480283144       0.4856879471574311
4.2E9                    0.7119295340311684       0.42545411251673126
4.23E9                   0.7445994217160689       0.3622896768630003
4.26E9                   0.7717325349788876       0.296661373161974
4.29E9                   0.7931476297111559       0.22905232667923348
4.32E9                   0.8087053611041917       0.1599585346436033
4.35E9                   0.8183091516143595       0.089885267127527
4.38E9                   0.8219057549435388       0.01934341427463856
4.41E9                   0.819485513673315        -0.05115419541411838
4.44E9                   0.8110823098449743       -0.12109648139067014
4.47E9                   0.7967732090984072       -0.18997777780490158
4.5E9                    0.7766778002252729       -0.2573014565331984
4.53E9                   0.7509572334418078       -0.322583481884537
4.56E9                   0.7198129626235095       -0.38535587189081116
4.59E9                   0.683485199107194        -0.4451700409248822
4.62E9                   0.6422510873305509       -0.501599998611891
4.65E9                   0.5964226153195246       -0.5542453808362845
4.68E9                   0.5463442756861564       -0.6027342899511918
4.71E9                   0.4923904950097846       -0.6467259232692881
4.74E9                   0.43496285140991625      -0.6859129709224255
4.77E9                   0.3744871013693173       -0.7200237665832926
4.8E9                    0.31141003777472354      -0.7488241766456485
4.83E9                   0.24619620162879416      -0.7721192154276223
4.86E9                   0.1793244703693432       -0.7897543755381001
4.89E9                   0.11128454649058046      -0.8016166639067349
4.92E9                   0.04257337078755122      -0.8076353355106195
4.95E9                   -0.026308514223486235    -0.8077823184227108
4.98E9                   -0.09486062424833648     -0.8020723258713224
5.01E9                   -0.16258618926884358     -0.7905626533685295
5.04E9                   -0.22899577791775627     -0.7733526615580444
5.07E9                   -0.29361086231919825     -0.7505829481988135
5.1E9                    -0.3559672957105379      -0.722434215528668
5.13E9                   -0.4156186759840438      -0.6891258420577991
5.16E9                   -0.4721395692220591      -0.6509141706229222
5.19E9                   -0.5251285690185642      -0.6080905270079084
5.22E9                   -0.5742111693108854      -0.5609789854640166
5.25E9                   -0.6190424303636585      -0.5099338990664025
5.28E9                   -0.6593094195851656      -0.4553372136970227
5.31E9                   -0.6947334100841517      -0.39759558542315493
5.34E9                   -0.7250718210455666      -0.3371373219785032
5.37E9                   -0.7501198849843876      -0.2744091705867891
5.4E9                    -0.7697120283808037      -0.20987297632373442
5.43E9                   -0.7837229543613029      -0.14400223712633028
5.46E9                   -0.7920684188491104      -0.0772785832783556
5.49E9                   -0.7947056948652401      -0.010188210231447614
5.52E9                   -0.7916337230517447      0.05678170605785047
5.55E9                   -0.7828929498173356      0.12314658222008693
5.58E9                   -0.7685648576860085      0.18842796095815
5.61E9                   -0.7487711952553909      0.2521569780794323
5.64E9                   -0.7236729165368982      0.3138777381382147
5.67E9                   -0.6934688410861227      0.3731505757563628
5.7E9                    -0.6583940471615333      0.42955518160297895
5.73E9                   -0.6187180104835788      0.4826935730959388
5.76E9                   -0.574742501475343       0.5321928902255876
5.79E9                   -0.5267992552296086      0.5777079962889946
5.82E9                   -0.47524743103464806     0.6189238631393423
5.85E9                   -0.4204708818480225      0.6555577215713836
5.88E9                   -0.3628752575294971      0.6873609602271515
5.91E9                   -0.3028849677301598      0.7141207604654364
5.94E9                   -0.24094003068671752     0.7356614589146333
5.97E9                   -0.17749283319278392     0.7518456328630938
6.0E9                    -0.11300482558801672     0.7625749059142116
