% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 3 2022, 10:59
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6228847548301037       -0.7497947799090087
330000000                0.5551248495717994       -0.8009766771441923
360000000                0.48346132351056625      -0.845962463414752
390000000                0.4082479723372087       -0.8845817970064884
420000000                0.33004993805451943      -0.9165537936132957
450000000                0.24944385255854337      -0.9416519710507766
480000000                0.1670274251130735       -0.9596979685322019
510000000                0.08341217369514933      -0.9705649364793569
540000000                -7.811513220646661E-4    -0.9741787419854078
570000000                -0.08492721401209309     -0.9705187305640935
600000000                -0.16840078997583474     -0.9596180531372558
630000000                -0.2505814750983965      -0.9415635617849585
660000000                -0.3308583707825891      -0.9164952782908671
690000000                -0.4086347059827515      -0.8846054421191006
720000000                -0.4833323600154931      -0.8461371466429948
750000000                -0.55439625093918        -0.8013825751149382
780000000                -0.6212985545065718      -0.7506808502797307
810000000                -0.6835427190814458      -0.6944155149558835
840000000                -0.7406672452556577      -0.6330116631150035
870000000                -0.7922491986924906      -0.5669327444932643
900000000                -0.8379074296244435      -0.4966770663238214
930000000                -0.8773054702497671      -0.4227740221984487
960000000                -0.9101540887546723      -0.3457800758139659
990000000                -0.9362134778065596      -0.2662745328958624
1020000000               -0.9552950603128223      -0.18485513471170542
1050000000               -0.9672628976893156      -0.10213350828559174
1080000000               -0.9720346894134168      -0.018730510233883554
1110000000               -0.9695823559073559      0.06472849836124821
1140000000               -0.9599322006385921      0.14761840817980518
1170000000               -0.943164650627524       0.2293191111274306
1200000000               -0.919413578123708       0.30922020412421297
1230000000               -0.8888652099902115      0.3867256102983646
1260000000               -0.8517566344132922      0.4612580811861491
1290000000               -0.8083739182787073      0.5322635435523554
1320000000               -0.7590498514202283      0.599215257576887
1350000000               -0.704161337249108       0.6616177537797523
1380000000               -0.6441264517552772      0.7190105188547773
1410000000               -0.579401195684877       0.7709714023035454
1440000000               -0.5104759671334655      0.8171197185882243
1470000000               -0.43787178310547303     0.8571190225723095
1500000000               -0.3621362816541618      0.8906795379042235
1530000000               -0.2838395359683485      0.9175602223339441
1560000000               -0.20356971453755923     0.937570455744487
1590000000               -0.12192862129914649     0.9505713406367665
1620000000               -0.0395271507391767      0.9564766076778469
1650000000               0.043019307280085434     0.9552531220587973
1680000000               0.12509547748560906      0.9469209895557177
1710000000               0.20609078989985577      0.9315532642611208
1740000000               0.28540391652527947      0.9092752628498952
1770000000               0.36244722121233136      0.880263493151986
