% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 3 2022, 11:10
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6229257975504527       -0.7496211515728541
330000000                0.5553652005651207       -0.8007195497297274
360000000                0.483747357110309        -0.8457506948731419
390000000                0.4085773510976287       -0.8844195069789165
420000000                0.33041023818751314      -0.9164473158647735
450000000                0.2498249227871913       -0.9416045390088984
480000000                0.16741932454828296      -0.9597111614276431
510000000                0.08380533728397062      -0.9706388542791506
540000000                -3.9578588535569285E-4   -0.9743121826108704
570000000                -0.08455810714169659     -0.9707093507785003
600000000                -0.16805572371693778     -0.9598625162881481
630000000                -0.250267493949408       -0.9418576747000554
660000000                -0.3305817366412888      -0.9168341192207218
690000000                -0.40840086469597275     -0.8849834811147427
720000000                -0.4831459186195741      -0.8465483597025124
750000000                -0.5542609642038396      -0.8018205526985878
780000000                -0.6212173196954176      -0.7511389008742575
810000000                -0.6835175790564485      -0.6948867638342647
840000000                -0.7406993986462966      -0.6334891467292038
870000000                -0.7923390176561492      -0.5674094999922524
900000000                -0.8380544838683983      -0.49714621669450304
930000000                -0.8775085575777661      -0.42322885649422193
960000000                -0.9104112715358861      -0.3462141243260206
990000000                -0.9365221250019714      -0.2666816370105602
1020000000               -0.9556518944968277      -0.18522951136651222
1050000000               -0.9676640468556507      -0.1024698084918317
1080000000               -0.9724757427764138      -0.019023871668937407
1110000000               -0.9700584234344514      0.0644824050754298
1140000000               -0.9604379756007362      0.14742333969798924
1170000000               -0.9436944746590812      0.22917821798162963
1200000000               -0.9199615082063026      0.30913600429487986
1230000000               -0.8894250868009337      0.38669996933947853
1260000000               -0.8523221512891072      0.46129219942199884
1290000000               -0.8089386904530319      0.5323579496431238
1320000000               -0.7596074846213837      0.5993698091577472
1350000000               -0.7047054953443472      0.6618316443539736
1380000000               -0.6446509226823551      0.7192822911622103
1410000000               -0.5798999552643769      0.771298967771882
1440000000               -0.5109432400941126      0.8175003826164948
1470000000               -0.43830210094223276     0.8575495153374988
1500000000               -0.3625245367856934      0.8911560503002433
1530000000               -0.28418103183410665     0.9180784466241665
1560000000               -0.20386021117617936     0.938125630538766
1590000000               -0.12216437621792871     0.9511582996674757
1620000000               -0.03970495459468815     0.9570898319565373
1650000000               0.04290210031755226      0.9558867948551693
1680000000               0.12504092498821837      0.9475690536899629
1710000000               0.206100341932342        0.9322094811443483
1740000000               0.2854784023099418       0.9099332728058336
1770000000               0.36258684158095067      0.8809168764169165
1800000000               0.43685541588893884      0.845386545416773
1830000000               0.5077360879698624       0.8036165299299697
1860000000               0.57470703348088         0.7559269205348804
1890000000               0.6372764390694091       0.7026811629618316
1920000000               0.6949860666544172       0.6442832633506412
1950000000               0.7474145590550823       0.5811747062625825
1980000000               0.7941804651128251       0.5138311088440288
2010000000               0.8349449638687834       0.4427586365505398
2040000000               0.869414269903005        0.36849020715865194
2070000000               0.8973417043861289       0.29158151052278525
2100000000               0.9185294182519897       0.21260687351491603
2130000000               0.9328297567876256       0.13215499955094523
2.16E9                   0.9401462571695437       0.05082461312848366
2.19E9                   0.9404342729668124       -0.03077995961249276
2.22E9                   0.9337012221386637       -0.11205324327719327
2.25E9                   0.920006457622494        -0.192393067023227
2.28E9                   0.8994607620440522       -0.2712049892466926
2.31E9                   0.8722254705628366       -0.3479066617669931
2.34E9                   0.8385112281448021       -0.42193210393317515
2.37E9                   0.7985763898134408       -0.49273585695869687
2.4E9                    0.7527250740518512       -0.5597969905085951
2.43E9                   0.7013048810830352       -0.6226229337501503
2.46E9                   0.6447042887853098       -0.6807531037194614
2.49E9                   0.5833497396897421       -0.7337623034243226
2.52E9                   0.5177024352298712       -0.7812638592450211
2.55E9                   0.44825485755609534      -0.8229124654030248
2.58E9                   0.3755270494207317       -0.8584067013204013
2.61E9                   0.30006269362839666      -0.8874911943280868
2.64E9                   0.22242504300622112      -0.9099584142873751
2.67E9                   0.14319274770691948      -0.9256501071111374
2.7E9                    0.06295560883423548      -0.9344583865276835
2.73E9                   -0.017689734250108734    -0.9363264976699587
2.76E9                   -0.09814418375084344     -0.9312492455371733
2.79E9                   -0.17781061960703326     -0.9192730630498034
2.82E9                   -0.25609836035832007     -0.9004956906671494
2.85E9                   -0.33242760205758703     -0.8750654515760328
2.88E9                   -0.4062337844978536      -0.8431801227698907
2.91E9                   -0.47697184014038324     -0.8050854141825443
2.94E9                   -0.5441202868180237      -0.7610730743834186
2.97E9                   -0.607185132329127       -0.7114786430463098
3.0E9                    -0.6657035621099078      -0.656678870990192
3.03E9                   -0.7192473831291006      -0.5970888295054652
3.06E9                   -0.7674261990008721      -0.5331587317265235
3.09E9                   -0.8098902926336149      -0.46537049071561615
3.12E9                   -0.8463331945925475      -0.394234040916653
3.15E9                   -0.876493917652363       -0.320283451438026
3.18E9                   -0.9001588404328573      -0.24407286160207842
3.21E9                   -0.9171632257802234      -0.16617227074502358
3.24E9                   -0.927392362615135       -0.08716321547955004
3.27E9                   -0.930782323113885       -0.00763436827150675
3.3E9                    -0.9273203301057505      0.0718229074946889
3.33E9                   -0.917044733009258       0.1506190113387667
3.36E9                   -0.9000445937593426      0.22817053336705048
3.39E9                   -0.8764588873468278      0.3039046211913088
3.42E9                   -0.8464753248332129      0.37726325210564854
3.45E9                   -0.810328809649894       0.44770737777702263
3.48E9                   -0.7682995409229743      0.5147209096595049
3.51E9                   -0.7207107805085557      0.5778145147471808
3.54E9                   -0.6679263027464024      0.6365291935957941
3.57E9                   -0.6103475488067684      0.6904396137579243
3.6E9                    -0.5484105091456404      0.7391571749090744
3.63E9                   -0.4825823601240624      0.7823327835057458
3.66E9                   -0.41335788211040403     0.8196593180250578
3.69E9                   -0.3412556878724776      0.8508737683155451
3.72E9                   -0.26681429126283396     0.8757590352911472
3.75E9                   -0.19058804666369192     0.8941453801797506
3.78E9                   -0.11314299040873994     0.9059115150523959
3.81E9                   -0.03505261555347072     0.9109853291007792
3.84E9                   0.043106388538571676     0.9093442476461379
3.87E9                   0.12075840006728455      0.90101522336513
3.9E9                    0.19733310072909005      0.8860743618004001
3.93E9                   0.27226965196706615      0.8646461859132052
3.96E9                   0.3450207807501151       0.8369025472786964
3.99E9                   0.41505674431865547      0.803061194540666
4.02E9                   0.48186914469264047      0.7633840128800158
4.05E9                   0.5449745656767366       0.7181749511692722
4.08E9                   0.6039180075291846       0.6677776559743792
4.11E9                   0.65827609711849         0.6125728334698328
4.14E9                   0.7076600544956936       0.5529753611884102
4.17E9                   0.7517183989630735       0.4894311718949578
4.2E9                    0.7901393796515006       0.4224139317618744
4.23E9                   0.8226531163949556       0.3524215355678638
4.26E9                   0.849033437982341        0.2799724420644118
4.29E9                   0.8690994057243118       0.20560187449483208
4.32E9                   0.882716512432198        0.12985791243126518
4.35E9                   0.8897975493334859       0.053297502190064516
4.38E9                   0.8903031361068777       -0.023517586469939223
4.41E9                   0.8842419116533073       -0.1000248298594751
4.44E9                   0.8716703851000169       -0.1756650194176949
4.47E9                   0.8526924479172959       -0.24988630329475214
4.5E9                    0.8274585494231517       -0.32214817393978845
4.53E9                   0.7961645395382316       -0.3919253743541548
4.56E9                   0.7590501848055422       -0.45871169511605353
4.59E9                   0.716397366322164        -0.5220236342603943
4.62E9                   0.6685279712490498       -0.581403892062903
4.65E9                   0.6158014926101942       -0.6364246739230964
4.68E9                   0.5586123550950142       -0.6866907758733931
4.71E9                   0.4973869870171521       -0.7318424295277537
4.74E9                   0.43258066092107816      -0.7715578853877993
4.77E9                   0.3646741264762682       -0.8055557163756666
4.8E9                    0.2941700605584071       -0.8335968255905629
4.83E9                   0.22158935989597436      -0.8554861446182648
4.86E9                   0.1474673021779756       -0.8710740104785807
4.89E9                   0.07234960240549082      -0.8802572108659139
4.92E9                   -0.0032116079886598927   -0.8829796890208451
4.95E9                   -0.07866185032634672     -0.8792329014373487
4.98E9                   -0.15344838634087063     -0.8690558239662496
5.01E9                   -0.22702429331612653     -0.8525346045524285
5.04E9                   -0.2988524955255432      -0.829801863836223
5.07E9                   -0.36840972026266283     -0.8010356480075116
5.1E9                    -0.43519034749233426     -0.7664580414929443
5.13E9                   -0.49871012259958936     -0.7263334503250202
5.16E9                   -0.5585097032940188      -0.680966570146075
5.19E9                   -0.6141580134341798      -0.6307000556272859
5.22E9                   -0.665255378772077       -0.5759119104885264
5.25E9                   -0.7114364221884248      -0.5170126188357749
5.28E9                   -0.7523726978233649      -0.4544420398765987
5.31E9                   -0.7877750454039614      -0.3886660888250879
5.34E9                   -0.8173956472180385      -0.32017322808451354
5.37E9                   -0.8410297714444246      -0.249470794351278
5.4E9                    -0.858517187188369       -0.17708118970582098
5.43E9                   -0.8697432392166246      -0.10353796656633137
5.46E9                   -0.8746395734756247      -0.02938183863082492
5.49E9                   -0.873184508347422       0.04484334937770596
5.52E9                   -0.8654030503840162      0.11859465961918217
5.55E9                   -0.8513665572007441      0.19133407395154456
5.58E9                   -0.8311920537322701      0.2625324495855423
5.61E9                   -0.8050412113116464      0.3316733875151639
5.64E9                   -0.7731190017054809      0.39825698551244315
5.67E9                   -0.7356720399882812      0.4618034502123993
5.7E9                    -0.6929866311141268      0.5218565447147631
5.73E9                   -0.6453865352544743      0.5779868497515209
5.76E9                   -0.5932304674507561      0.629794816556443
5.79E9                   -0.5369093484774996      0.6769135892621322
5.82E9                   -0.4768433269190883      0.7190115742701374
5.85E9                   -0.4134785963851039      0.7557947354575867
5.88E9                   -0.3472840355833503      0.7870085973213602
5.91E9                   -0.27874770123068376     0.8124399428859098
