% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 8 2022, 20:15
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6216106029606259       -0.7487906886714392
330000000                0.5541702487903312       -0.7996934633382113
360000000                0.48266565299274816      -0.8445726172596928
390000000                0.40762351977797917      -0.8831056350249686
420000000                0.32959445670741394      -0.9150170041199623
450000000                0.24915969125306106      -0.940074769261554
480000000                0.1669150484781211       -0.9580996515279605
510000000                0.08347035922658748      -0.9689639381122298
540000000                -5.551561318796417E-4    -0.9725926606638782
570000000                -0.08453757079631785     -0.9689643370910718
600000000                -0.16785297388827003     -0.9581112817722757
630000000                -0.24988219260679206     -0.9401194869678575
660000000                -0.3300154853789389      -0.9151280800265232
690000000                -0.4076571660773063      -0.8833283629178068
720000000                -0.4822301267110245      -0.8449624426707729
750000000                -0.5531802230432801      -0.8003214638080345
780000000                -0.6199804890897718      -0.7497434568307615
810000000                -0.6821351474286385      -0.6936108192371592
840000000                -0.7391833826635225      -0.6323474494514691
870000000                -0.7907028498105563      -0.5664155545898046
900000000                -0.8363128876180783      -0.4963121581295806
930000000                -0.8756774115442891      -0.42256533478749764
960000000                -0.9085074632960279      -0.34573020176190883
990000000                -0.934563395842901       -0.26638469881622673
1020000000               -0.9536566762174843      -0.18512519093816746
1050000000               -0.9656512920371741      -0.10256192775100269
1080000000               -0.9704647499676317      -0.019314397525225877
1110000000               -0.9680686587091096      0.06399338772869133
1140000000               -0.9584888921428256      0.14673763860911757
1170000000               -0.9418053319024591      0.22829952664702668
1200000000               -0.9181511921681017      0.30806987842816264
1230000000               -0.8877119331952814      0.3854537864672013
1260000000               -0.8507237731025068      0.4598751017467409
1290000000               -0.8074718113930246      0.5307807710701193
1320000000               -0.75828778002148        0.597644986800032
1350000000               -0.703547441948462       0.6599731153503576
1380000000               -0.6436676586911738      0.7173053756669477
1410000000               -0.579103151760389       0.7692202392565157
1440000000               -0.5103429851669883      0.8153375265029473
1470000000               -0.4379067974533164      0.8553211772136063
1500000000               -0.36234081457558764     0.8888816751668964
1530000000               -0.2842136754030459      0.9157781103467993
1560000000               -0.20411210326067977     0.9358198651630361
1590000000               -0.12263645780948701     0.9488679140359331
1620000000               -0.04039620170485847     0.9548357291609002
1650000000               0.04199468274584231      0.9536897880776648
1680000000               0.12392229217052614      0.9454496820431925
1710000000               0.2047773813175077       0.9301878270440705
1740000000               0.28395988894285934      0.9080287824176546
1770000000               0.3608833770533192       0.8791481846697389
1800000000               0.43497935119404957      0.8437713071342925
1830000000               0.5057014313118007       0.8021712583380778
1860000000               0.5725293432599224       0.7546668346875665
1890000000               0.6349727033617182       0.7016200451380787
1920000000               0.6925745697226507       0.6434333278631853
1950000000               0.7449147362746289       0.5805464805625115
1980000000               0.7916127473313428       0.5134333279762704
2010000000               0.8323306122394755       0.4425981520985704
2040000000               0.8667752028684426       0.36857191102372544
2070000000               0.8947003178083133       0.29190827467272873
2100000000               0.9159084003185662       0.21317950594125207
2130000000               0.9302518990351492       0.13297221710061785
2.16E9                   0.9376342631882459       0.05188303132809346
2.19E9                   0.9380105662526429       -0.029485819422133925
2.22E9                   0.9313877546078531       -0.11053092942499439
2.25E9                   0.9178245203768967       -0.19065215579964867
2.28E9                   0.8974307998340681       -0.26925702610145524
2.31E9                   0.870366901505506        -0.3457650857397134
2.34E9                   0.836842270113094        -0.41961215591354223
2.37E9                   0.7971138949598299       -0.49025447216416174
2.4E9                    0.7514843727991694       -0.5571726759828278
2.43E9                   0.7002996369753159       -0.6198756315415168
2.46E9                   0.6439463652702078       -0.6779040409079836
2.49E9                   0.5828490803598294       -0.7308338294731386
2.52E9                   0.5174669584516408       -0.7782792721663968
2.55E9                   0.4482903670025586       -0.8198958276143614
2.58E9                   0.3758371614749001       -0.8553826468818356
2.61E9                   0.3006487829468316       -0.8844847291481767
2.64E9                   0.22328620679661332      -0.9069947114310417
2.67E9                   0.1443257891444194       -0.9227542992565869
2.7E9                    0.06435503925345998      -0.9316553575571094
2.73E9                   -0.01603167465381059     -0.9336406748701288
2.76E9                   -0.09623748696644388     -0.9287043937256428
2.79E9                   -0.1756674528529148      -0.9168920818048321
2.82E9                   -0.25373299090033136     -0.8983004160744716
2.85E9                   -0.32985630396705123     -0.8730764641146275
2.88E9                   -0.40347472777299703     -0.8414165630635033
2.91E9                   -0.4740449625076426      -0.8035648084935758
2.94E9                   -0.5410471493114147      -0.7598111715285991
2.97E9                   -0.6039887596509985      -0.710489264334521
3.0E9                    -0.6624082689217853      -0.6559737747401364
3.03E9                   -0.7158785877984407      -0.5966775913707753
3.06E9                   -0.7640102262098618      -0.5330486420692647
3.09E9                   -0.8064541664351099      -0.46556647009846214
3.12E9                   -0.84290442370569        -0.3947385744751854
3.15E9                   -0.8731002746615097      -0.321096542970993
3.18E9                   -0.8968281367776655      -0.2451920078733506
3.21E9                   -0.913923084408911       -0.1675924563777491
3.24E9                   -0.9242699902328702      -0.08887692857972819
3.27E9                   -0.9278042839096131      -0.00963163695264335
3.3E9                    -0.9245123229206382      0.06955445808269853
3.33E9                   -0.9144313738285534      0.14809408162790158
3.36E9                   -0.8976492053771321      0.22540605230136143
3.39E9                   -0.8743032980273672      0.3009196300607114
3.42E9                   -0.8445796776827175      0.37407877025273056
3.45E9                   -0.8087113843347464      0.4443462511615864
3.48E9                   -0.7669765892675745      0.5112076434513718
3.51E9                   -0.7196963774222032      0.57417509121678
3.54E9                   -0.6672322137242924      0.6327908768184334
3.57E9                   -0.6099831151663158      0.6866307426497111
3.6E9                    -0.5483825520401523      0.7353069461752157
3.63E9                   -0.48289510412895986     0.7784710262994641
3.66E9                   -0.4140128990847453      0.8158162620864872
3.69E9                   -0.3422518616208738      0.8470798073997465
3.72E9                   -0.26814780332222876     0.8720444877995581
3.75E9                   -0.19225238344980156     0.8905402488308947
3.78E9                   -0.11512897161797363     0.9024452475528015
3.81E9                   -0.0373484437786793      0.9076865816176749
3.84E9                   0.040515057285150036     0.9062406529618818
3.87E9                   0.11788836549928555      0.898133165542914
3.9E9                    0.19420350751429716      0.8834387591128579
3.93E9                   0.26890186006630884      0.8622802837731837
