% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 8 2022, 20:58
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6252403168764691       -0.7509097786235616
330000000                0.5576041128100503       -0.8022873016220498
360000000                0.4858412424465526       -0.8476088379500905
390000000                0.41048738528906076      -0.8865456786913755
420000000                0.33210315601096135      -0.9188167682513817
450000000                0.2512721478906341       -0.9441893095901386
480000000                0.16859629865570425      -0.96248102960344
510000000                0.08469144888194223      -0.9735617544816142
540000000                1.8276820845599675E-4    -0.9773545673792235
570000000                -0.0842999103394547      -0.9738365429553275
600000000                -0.16812681009682715     -0.9630390555961864
630000000                -0.25067294413333147     -0.9450476610645352
660000000                -0.3313228277125645      -0.9200015537595233
690000000                -0.40947512952972726     -0.8880926042880708
720000000                -0.4845472256154961      -0.8495639850428426
750000000                -0.5559796196031349      -0.804708394419015
780000000                -0.6232401939577854      -0.75386589300988
810000000                -0.6858282574679918      -0.6974213686372401
840000000                -0.7432783568601297      -0.6358016495846827
870000000                -0.7951638210613656      -0.5694722886439987
900000000                -0.8411000104410615      -0.4989340420386805
930000000                -0.8807472426382251      -0.42471907276491616
960000000                -0.9138133728953776      -0.3473869063983185
990000000                -0.9400560065160417      -0.2675201728344925
1020000000               -0.9592843259726419      -0.1857201677210016
1050000000               -0.9713605178208291      -0.10260226832833419
1080000000               -0.9762007875627557      -0.01879124191949004
1110000000               -0.9737759547667576      0.06508351618668755
1140000000               -0.9641116240087815      0.14839277737090614
1170000000               -0.9472879305420435      0.2305122668535965
1200000000               -0.9234388637432276      0.3108274069224417
1230000000               -0.8927511746039305      0.3887379767197221
1260000000               -0.8554628768982225      0.46366265295970255
1290000000               -0.8118613556256487      0.5350433942146
1320000000               -0.7622810987106334      0.6023496359202023
1350000000               -0.7071010718182903      0.665082262451607
1380000000               -0.6467417583950206      0.7227773264280888
1410000000               -0.5816618899013976      0.7750094868599336
1440000000               -0.5123548934811043      0.8213951406994637
1470000000               -0.4393450863471133      0.8615952248922952
1500000000               -0.36318364801634595     0.8953176690031832
1530000000               -0.284444403013228       0.9223194814613742
1560000000               -0.20371944736975367     0.9424084558014312
1590000000               -0.12161465399481913     0.9554444859538155
1620000000               -0.038745091730509884    0.9613404833348377
1650000000               0.04426960676957066      0.9600628913941487
1680000000               0.12680989222875336      0.9516317963449823
1710000000               0.20826092708509913      0.9361206362147272
1740000000               0.2880171597062761       0.9136555129372561
1770000000               0.3654868112123959       0.8844141153861378
1800000000               0.4400962423833303       0.8486242638970922
1830000000               0.5112941692201697       0.806562089468234
1860000000               0.5785556975406347       0.7585498632302939
1890000000               0.6413861481307311       0.7049534942708954
1920000000               0.6993246463647491       0.6461797157315186
1950000000               0.7519474513980523       0.5826729814697578
1980000000               0.7988710029457355       0.5149120967733336
2010000000               0.83975466488264         0.4434066089004083
2040000000               0.874303147850683        0.368692984032192
2070000000               0.9022685949423401       0.291330598871338
2100000000               0.923452317202084        0.21189757579014215
2130000000               0.93770616777337         0.1309864917779097
2.16E9                   0.9449335463203206       0.04919999151954935
2.19E9                   0.9450900276310237       -0.03285366414606255
2.22E9                   0.9381836108896465       -0.11456508281728275
2.25E9                   0.9242745887134135       -0.1953282269993688
2.28E9                   0.9034750374826601       -0.27454487094791047
2.31E9                   0.8759479329642712       -0.35162899689302296
2.34E9                   0.841905897637286        -0.4260111005181051
2.37E9                   0.8016095882699088       -0.4971423759017004
2.4E9                    0.7553657340075589       -0.5644987517910796
2.43E9                   0.7035248366543755       -0.6275847514176527
2.46E9                   0.6464785456596598       -0.6859371485718913
2.49E9                   0.5846567212252964       -0.7391283917031667
2.52E9                   0.5185242006294372       -0.7867697657649825
2.55E9                   0.44857728877340897      -0.8285142570739764
2.58E9                   0.3753400036724573       -0.864059086114862
2.61E9                   0.29936012157763975      -0.8931478789228076
2.64E9                   0.2212050759496439       -0.9155724651337382
2.67E9                   0.14145775939528368      -0.9311743137290194
2.7E9                    0.0607122548734127       -0.9398456309022856
2.73E9                   -0.020430502070361102    -0.9415301348719902
2.76E9                   -0.10136713583370388     -0.9362234968521677
2.79E9                   -0.18149630749823747     -0.9239734166862225
2.82E9                   -0.2602232202032358      -0.9048793011739706
2.85E9                   -0.3369641014984197      -0.8790915290555805
2.88E9                   -0.41115060949102633     -0.8468103052771832
2.91E9                   -0.4822341169944817      -0.8082841194677105
2.94E9                   -0.5496898360908596      -0.7638078285881428
2.97E9                   -0.6130207515833629      -0.7137203846737045
3.0E9                    -0.671761335148742       -0.658402228564436
3.03E9                   -0.7254810137260558      -0.5982723710060016
3.06E9                   -0.7737873668047096      -0.533785183941611
3.09E9                   -0.8163290287901127      -0.4654269265687311
3.12E9                   -0.8527982743642757      -0.3937120330193451
3.15E9                   -0.8829332672031054      -0.31917919003647566
3.18E9                   -0.9065199544102216      -0.2423872358352638
3.21E9                   -0.9233935925024119      -0.16391091194788732
3.24E9                   -0.9334398933300717      -0.08433650186688865
3.27E9                   -0.9365957817762326      -0.004257390617322328
3.3E9                    -0.9328497600811692      0.07573041923650017
3.33E9                   -0.922241877116067       0.15503280024101965
3.36E9                   -0.9048633040496601      0.23306196579844324
3.39E9                   -0.8808555211749852      0.30924087420719987
3.42E9                   -0.8504091237877477      0.38300753671648186
3.45E9                   -0.8137622581203617      0.4538191963554507
3.48E9                   -0.7711987012270916      0.5211563455976148
3.51E9                   -0.7230456016803721      0.5845265521863378
3.54E9                   -0.6696709003663099      0.6434680647038039
3.57E9                   -0.6114804533644551      0.6975531710020352
3.6E9                    -0.5489148808903469      0.7463912852519095
3.63E9                   -0.4824461684215871      0.7896317416244975
3.66E9                   -0.41257404773953343     0.8269662752639602
3.69E9                   -0.339822186931582       0.8581311740651301
3.72E9                   -0.26473421966212224     0.8829090873790038
3.75E9                   -0.187869644465415       0.9011304807789101
3.78E9                   -0.10979962553767209     0.9126747285726267
3.81E9                   -0.03110272673309389     0.9174708384646426
3.84E9                   0.04763938949782123      0.9154978053388758
3.87E9                   0.12584626628310078      0.9067845935898284
3.9E9                    0.20294292771883082      0.8914097500472833
3.93E9                   0.27836409355751857      0.8695006522332401
3.96E9                   0.3515583017445426       0.841232399602157
3.99E9                   0.4219919079286303       0.8068263585320956
4.02E9                   0.48915293214769595      0.7665483751059045
4.05E9                   0.5525547250757569       0.720706672799571
4.08E9                   0.6117394287128634       0.6696494547829945
4.11E9                   0.6662812092921006       0.6137622325022086
4.14E9                   0.7157892435104792       0.5534649029355525
4.17E9                   0.7599104414805773       0.4892085970607851
4.2E9                    0.7983318915286702       0.42147232192630746
4.23E9                   0.8307830129542375       0.35075941878335654
4.26E9                   0.8570374036120193       0.2775938605226875
4.29E9                   0.876914370176057        0.20251641329214753
4.32E9                   0.8902801309928621       0.12608068851521712
4.35E9                   0.897048683797436        0.048849112902403284
4.38E9                   0.8971823334360217       -0.028611155935301516
4.41E9                   0.8906918769547328       -0.10573234039944285
4.44E9                   0.8776364453759506       -0.1819501534172837
4.47E9                   0.858123002812479        -0.2567078815197878
4.5E9                    0.8323055049284314       -0.32946041326341763
4.53E9                   0.8003837205949506       -0.39967818500736696
4.56E9                   0.762601722674988        -0.46685101608115503
4.59E9                   0.7192460569723775       -0.5304918041118633
4.62E9                   0.670643601220235        -0.5901400527201489
4.65E9                   0.6171591293742428       -0.6453652039708904
4.68E9                   0.5591925992377943       -0.6957697502049107
4.71E9                   0.4971761841118289       -0.7409921016707509
4.74E9                   0.43157107122095406      -0.7807091889680255
4.77E9                   0.3628640508995384       -0.8146387820806128
4.8E9                    0.2915639216972883       -0.8425415099351365
4.83E9                   0.21819773699387338      -0.8642225667734185
4.86E9                   0.1433069192177383       -0.8795330933295565
4.89E9                   0.06744326870771573      -0.8883712223154232
4.92E9                   -0.00883510485635668     -0.8906827794149113
4.95E9                   -0.08496789935227458     -0.886461632912066
4.98E9                   -0.16039675510606824     -0.8757496874063819
