% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 3 2022, 10:04
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6015673376232709       -0.730048343849508
330000000                0.5358530847918218       -0.7788445107275463
360000000                0.46629330115130596      -0.8218020443472833
390000000                0.39339381888269964      -0.858615472560328
420000000                0.3176870200759352       -0.8890236147049289
450000000                0.239727360565848        -0.9128117715854341
480000000                0.16008690219280128      -0.9298135171353352
510000000                0.0793508197342014       -0.9399120931624844
540000000                -0.001887123891545528    -0.9430414063008659
570000000                -0.08302912465580636     -0.9391866257441299
600000000                -0.16347788784018746     -0.9283843813423154
630000000                -0.24264115784219734     -0.9107225630570149
660000000                -0.31993620044704535     -0.8863397244999149
690000000                -0.3947942066009715      -0.855424096046243
720000000                -0.46666458823275747     -0.818212214997357
750000000                -0.5350191344391124      -0.7749871833573055
780000000                -0.599355997310826       -0.7260765663404318
810000000                -0.6592034771034853      -0.6718499476417538
840000000                -0.714123578142615       -0.6127161596642068
870000000                -0.7637153069879299      -0.5491202106597859
900000000                -0.8076176877659353      -0.48153993189747324
930000000                -0.8455124704617364      -0.4104823712545782
960000000                -0.8771265107248027      -0.33647996158518545
990000000                -0.9022338025047278      -0.26008649364599007
1020000000               -0.9206571470885706      -0.18187292605550087
1050000000               -0.9322694457159637      -0.10242306500042382
1080000000               -0.9369946055268491      -0.022329148351194497
1110000000               -0.9348080521065377      0.057812630818631396
1140000000               -0.92573684503176        0.13740662536175074
1170000000               -0.9098593962443282      0.21586222440720385
1200000000               -0.887304794343112       0.29259829696990275
1230000000               -0.8582517410985425      0.36704755417228463
1260000000               -0.8229271099522939      0.4386607950735745
1290000000               -0.7816041389759146      0.5069110037235354
1320000000               -0.7346002740825981      0.5712972652386107
1350000000               -0.6822746809852804      0.6313484708755334
1380000000               -0.625025446649798       0.6866267844453143
1410000000               -0.5632864941414685      0.7367308435235123
1440000000               -0.4975242358673585      0.7812986726125865
1470000000               -0.4282339931633186      0.8200102867403308
1500000000               -0.3559362107814623      0.8525899676366093
1530000000               -0.2811724971685674      0.8788081966779269
1560000000               -0.20450152146552478     0.8984832322878922
1590000000               -0.126494799769398       0.9114823219487523
1620000000               -0.047732403264454965    0.9177225421763318
1650000000               0.031201378950729188     0.9171712627153124
1680000000               0.10972238941121137      0.9098462340578566
1710000000               0.1872509317070918       0.8958153003133822
1740000000               0.2632160477526426       0.875195742170294
1770000000               0.3370597115721415       0.8481532574747546
1800000000               0.4082409098034518       0.8149005892837837
1830000000               0.47623957927358396      0.775695814007967
1860000000               0.540560374372399        0.7308403042819984
1890000000               0.6007362380815249       0.6806763833617405
1920000000               0.6563317518980885       0.6255846900744646
1950000000               0.7069462422987205       0.5659812747489069
1980000000               0.75221662265534         0.5023144486942556
2010000000               0.7918199521580385       0.4350614106807781
2040000000               0.825475694750497        0.3647246758245579
2070000000               0.8529476637687193       0.2918283328714745
