% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 1 2022, 15:27
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6217600377224834       -0.7605931274959916
330000000                0.5523603504893803       -0.8125412518090285
360000000                0.4786895934931494       -0.8581689961462827
390000000                0.4013206827187105       -0.8971274636145827
420000000                0.32085524532967025      -0.9291193030248848
450000000                0.2379189404953168       -0.9539011808940373
480000000                0.15315656928295135      -0.971285795378867
510000000                0.0672270197833134       -0.9811434253330806
540000000                -0.019201909402652362    -0.98340300833563
570000000                -0.10545876384465558     -0.9780527426612396
600000000                -0.19087372379999082     -0.9651402104485135
630000000                -0.2747838867790476      -0.9447720220795301
660000000                -0.35653850027965206     -0.9171129848407281
690000000                -0.4355041011327499      -0.882384802523278
720000000                -0.5110695200827278      -0.8408643159356297
750000000                -0.5826507096754673      -0.7928812983804661
780000000                -0.6496953561357927      -0.7388158232949619
810000000                -0.711687236189495       -0.6790952255139923
840000000                -0.7681502829108926      -0.6141906805106258
870000000                -0.8186523261687029      -0.5446134298465881
900000000                -0.862808476353147       -0.47091068398357855
930000000                -0.9002841230303231      -0.3936612364676992
960000000                -0.9307975233252099      -0.31347082634007795
990000000                -0.9541219586012648      -0.23096728763804122
1020000000               -0.9700874416751314      -0.1467955269879971
1050000000               -0.9785819608856143      -0.06161237161241853
1080000000               -0.9795522514012447      0.02391866848452847
1110000000               -0.9730040884803952      0.10913268033231519
1140000000               -0.9590021015690966      0.19336862481896983
1170000000               -0.9376691124821734      0.2759745667434673
1200000000               -0.9091850051109112      0.3563128140786156
1230000000               -0.8737851381838828      0.433764924129046
1260000000               -0.831758316665659       0.5077365352354282
1290000000               -0.7834443410434497      0.5776619849425836
1320000000               -0.7292311574235458      0.6430086774150126
1350000000               -0.669551634539719       0.7032811656650007
1380000000               -0.6048799967697965      0.75802491690091
1410000000               -0.535727944998767       0.8068297323075042
1440000000               -0.46264049935071344     0.849332796021609
1470000000               -0.3861915998236903      0.885221331428621
1500000000               -0.30697950246774913     0.9142348465161798
1530000000               -0.22562200985199904     0.9361669537526436
1560000000               -0.14275157548887307     0.9508667536243207
1590000000               -0.059010322297357476    0.9582397747376503
1620000000               0.02495498461209511      0.9582484670796069
1650000000               0.10849797106966791      0.9509122486975731
1680000000               0.19097765324750818      0.9363071095467336
1710000000               0.2717633649546203       0.9145647797225342
1740000000               0.3502395753723848       0.8858714725463642
1770000000               0.4258105613005414       0.8504662160554481
1800000000               0.49790489949622235      0.8086387894201903
1830000000               0.5659797467340114       0.7607272834675847
1860000000               0.6295248771065804       0.7071153070466907
1890000000               0.6880664483746518       0.6482288632689805
1920000000               0.7411704715503916       0.5845329217136203
1950000000               0.7884459604091081       0.5165277145272362
1980000000               0.8295477401946428       0.4447447860421308
2010000000               0.8641788976583531       0.36974282671992276
2040000000               0.89209285724735         0.2921033235435552
2070000000               0.9130950713230309       0.21242605951819873
2100000000               0.9270443151503323       0.13132449543086935
2130000000               0.9338535802739142       0.04942106673654842
2.16E9                   0.933490562311381        -0.032657571971866466
2.19E9                   0.9259777409384224       -0.11428532396622115
2.22E9                   0.9113920500183941       -0.19484141871644284
2.25E9                   0.8898641342593621       -0.2737151413108005
2.28E9                   0.861577186072887        -0.3503104887315695
2.31E9                   0.8267653560775952       -0.4240507089130649
2.34E9                   0.7857117397882594       -0.49438266417507376
2.37E9                   0.7387459674974693       -0.5607809514349843
2.4E9                    0.6862414580304077       -0.6227517244855467
2.43E9                   0.6286124157773223       -0.6798362048858692
2.46E9                   0.5663106279986293       -0.7316139158595273
2.49E9                   0.49982206476113905      -0.7777056855105596
2.52E9                   0.42966324178647697      -0.8177764282392568
2.55E9                   0.35637731243578835      -0.8515376599068301
2.58E9                   0.2805298961630324       -0.8787496772001738
2.61E9                   0.20270468953732143      -0.8992233436451358
2.64E9                   0.12349892140202723      -0.9128214524369067
2.67E9                   0.043518709599444705     -0.9194596587699868
2.7E9                    -0.03662563316811092     -0.9191069850885599
2.73E9                   -0.116324305418574       -0.9117859055882094
2.76E9                   -0.19497269984919666     -0.897572016140267
2.79E9                   -0.27197602972223855     -0.8765932958562133
2.82E9                   -0.34675386516675194     -0.849028967564911
2.85E9                   -0.4187445458915738      -0.8151079665225958
2.88E9                   -0.4874094369395116      -0.7751070293304685
2.91E9                   -0.552236994723795       -0.7293484180270808
2.94E9                   -0.6127466118073426      -0.6781972973058216
2.97E9                   -0.6684922102575515      -0.6220587858696159
3.0E9                    -0.7190655554814223      -0.5613747056747154
3.03E9                   -0.7640992646000433      -0.49662005550152166
3.06E9                   -0.803269485974427       -0.4282992376598023
3.09E9                   -0.8362982293117647      -0.35694206873884027
3.12E9                   -0.8629553287700011      -0.28309960712969673
3.15E9                   -0.8830600246625396      -0.20733983153763727
3.18E9                   -0.8964821526989765      -0.13024320583202786
3.21E9                   -0.9031429330946082      -0.052398166357568714
3.24E9                   -0.9030153553262154      0.025603431839387104
3.27E9                   -0.8961241576813421      0.10317087320698173
3.3E9                    -0.8825454041262177      0.17971910813389347
3.33E9                   -0.8624056641905405      0.2546732119049892
3.36E9                   -0.8358808046949218      0.32747274127085924
3.39E9                   -0.803194405082693       0.3975759548548398
3.42E9                   -0.7646158110139796      0.46446386470200535
3.45E9                   -0.7204578436132424      0.5276440877970622
3.48E9                   -0.6710741845707514      0.5866544678034558
3.51E9                   -0.6168564599258344      0.6410664392577812
3.54E9                   -0.5582310482131112      0.6904881083412492
3.57E9                   -0.4956556410861255      0.734567027161532
3.6E9                    -0.4296155870616308      0.7729926412577184
3.63E9                   -0.3606200508848317      0.8054983936536335
3.66E9                   -0.2891980224392815      0.8318634725092103
3.69E9                   -0.21589420981038626     0.851914193339669
3.72E9                   -0.1412648512383987      0.8655250105899026
3.75E9                   -0.06587348022433588     0.87261915700519
3.78E9                   0.009713322586164886     0.8731689126596529
3.81E9                   0.08493015843203172      0.8671955089051075
3.84E9                   0.15921698982296884      0.8547686756090315
3.87E9                   0.23202324220690151      0.836005842640595
3.9E9                    0.30281180273646324      0.8110710081552691
3.93E9                   0.37106289360314515      0.7801732866119084
3.96E9                   0.4362777992846407       0.7435651488306908
3.99E9                   0.497982427354194        0.7015403655414004
4.02E9                   0.5557306815637624       0.6544316657422727
4.05E9                   0.6091076244473381       0.602608122389245
4.08E9                   0.657732405404122        0.5464722807668801
4.11E9                   0.7012609302977343       0.4864570486913657
4.14E9                   0.7393882501112519       0.42302237183066593
4.17E9                   0.7718506492099828       0.35665172095694114
4.2E9                    0.7984274176563304       0.2878484204462414
4.23E9                   0.8189422962743245       0.21713184844490094
4.26E9                   0.8332645870678168       0.1450335391997228
4.29E9                   0.8413099248922298       0.07209321717450964
4.32E9                   0.843040708669843        -0.0011452084917003042
4.35E9                   0.8384661921626027       -0.07413766161952302
4.38E9                   0.8276422356039653       -0.1463439017388192
4.41E9                   0.8106707207823995       -0.21723148501797535
4.44E9                   0.7876986337031782       -0.2862796563236078
4.47E9                   0.7589168209689519       -0.3529831449277812
4.5E9                    0.7245584283415291       -0.4168558365435329
4.53E9                   0.6848970326294591       -0.4774342944829355
4.56E9                   0.6402444807621603       -0.5342811036790139
4.59E9                   0.5909484526413236       -0.5869880125017238
4.62E9                   0.5373897668779979       -0.6351788491258639
4.65E9                   0.47997945068145786      -0.6785121913979268
4.68E9                   0.41915559685268616      -0.7166837716397898
4.71E9                   0.35538003181791145      -0.7494286004116186
4.74E9                   0.28913481916753375      -0.7765227954894995
4.77E9                   0.2209186233762596       -0.7977851040945558
4.8E9                    0.15124295886537933      -0.8130781076151431
4.83E9                   0.08062835044802022      -0.822309099128519
4.86E9                   0.009600432873051368     -0.8254306253060119
4.89E9                   -0.06131398094771737     -0.8224406863462228
4.92E9                   -0.13159083159129745     -0.8133825905596445
4.95E9                   -0.20071271207560476     -0.7983444640059978
4.98E9                   -0.2681727013084331      -0.7774584198556865
5.01E9                   -0.33347810009097306     -0.7508993964488291
5.04E9                   -0.39615403976989083     -0.7188836769311371
5.07E9                   -0.45574693630644775     -0.6816671064932612
5.1E9                    -0.5118277658784839      -0.6395430252492249
5.13E9                   -0.5639951411928085      -0.5928399356021282
5.16E9                   -0.6118781700447086      -0.5419189226971324
5.19E9                   -0.6551390786568911      -0.4871708460040514
5.22E9                   -0.6934755819795145      -0.42901332024867317
5.25E9                   -0.7266229823909238      -0.36788750554733296
5.28E9                   -0.7543559781279877      -0.30425473012654974
5.31E9                   -0.7764901648341112      -0.2385929731992268
5.34E9                   -0.7928832178086156      -0.17139323921530702
5.37E9                   -0.803435748194735       -0.10315585618356571
5.4E9                    -0.8080918317866556      -0.0343867299006145
5.43E9                   -0.8068392130857198      0.034406416785632554
5.46E9                   -0.7997091891622446      0.10271779344857215
5.49E9                   -0.7867761782648557      0.17004725637244197
5.52E9                   -0.7681569778698512      0.2359039645644712
5.55E9                   -0.7440097168640633      0.2998099541028947
5.58E9                   -0.7145325073543493      0.36130360629121605
5.61E9                   -0.6799618034359667      0.4199429837756524
5.64E9                   -0.6405704771303493      0.47530900765191336
5.67E9                   -0.5966656255549042      0.5270084481911214
5.7E9                    -0.548586127979397       0.5746767026305751
5.73E9                   -0.49669997619486433     0.6179803360295268
5.76E9                   -0.4414014054195643      0.656619365722542
5.79E9                   -0.38310785476264453     0.6903292756228395
5.82E9                   -0.3222567853450204      0.718882752185077
5.85E9                   -0.2593023814184365      0.7420911374589526
5.88E9                   -0.19471215676783304     0.7598055957599874
5.91E9                   -0.1289634871847994      0.7719179897067806
5.94E9                   -0.06254009039831257     0.7783614603484481
5.97E9                   0.004071523166888725     0.7791107062538112
6.0E9                    0.07038560296776808      0.7741819581429352
