% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 21 2022, 15:53
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5972374266413262       -0.7269533887677687
330000000                0.5317578299536369       -0.7753507572652562
360000000                0.462468933983752        -0.817932308875006
390000000                0.38987411818733         -0.8543946218321395
420000000                0.31450337787521687      -0.8844786347089935
450000000                0.2369087541803621       -0.9079717717913911
480000000                0.1576598107007694       -0.9247096828801449
510000000                0.07733910858355203      -0.9345775956359351
540000000                -0.0034623336734643574   -0.937511277087081
570000000                -0.0841495928877011      -0.9334976017121788
600000000                -0.16412838985534928     -0.9225747241396184
630000000                -0.24280961260098916     -0.9048318566984905
660000000                -0.31961378804783336     -0.8804086539709903
690000000                -0.3939754728919283      -0.8494942091605359
720000000                -0.4653475340030697      -0.8123256696139033
750000000                -0.5332052874379206      -0.7691864817273432
780000000                -0.5970504654383859      -0.7204042782469253
810000000                -0.6564149814013113      -0.666348423852699
840000000                -0.7108644640784935      -0.6074272373966091
870000000                -0.7600015327172648      -0.544084912715236
900000000                -0.803468788222343       -0.4767981611817666
930000000                -0.8409514960262687      -0.40607260267447887
960000000                -0.8721799394283413      -0.3324389334329696
990000000                -0.896931424811262       -0.2564489008935367
1020000000               -0.915031922621682       -0.17867111791055412
1050000000               -0.926357331343014       -0.09968674949414065
1080000000               -0.9308343545829258      -0.020085106976839635
1110000000               -0.9284409848459436      0.0595408153802742
1140000000               -0.9192065907685061      0.13859882536048182
1170000000               -0.9032116079956687      0.21650200358445845
1200000000               -0.8805868372342984      0.29267312437901605
1230000000               -0.8515123562783945      0.3665489918085314
1260000000               -0.816216056066871       0.4375846565302481
1290000000               -0.7749718139230164      0.5052574805341886
1320000000               -0.728097320044294       0.5690710183487062
1350000000               -0.6759515760299474      0.6285586850401053
1380000000               -0.6189320870334577      0.6832871830605968
1410000000               -0.5574717711044347      0.732859662797428
1440000000               -0.4920356115554155      0.7769185936731747
1470000000               -0.4231170801281236      0.8151483252869254
1500000000               -0.35123435989215585     0.8472773210684891
1530000000               -0.27692639852307316     0.8730800494005062
1560000000               -0.20074882312751507     0.8923785203487329
1590000000               -0.12326974889285794     0.9050434588262846
1620000000               -0.04506551382340636     0.9109951081489037
1650000000               0.03328362760471428      0.9102036606940506
1680000000               0.11119781963128013      0.9026893153582831
1710000000               0.1881018968850885       0.8885219642384943
1740000000               0.2634296213012931       0.8678205136997663
1770000000               0.33662783342183045      0.8407518475969784
1800000000               0.4071604885527542       0.8075294428908167
1830000000               0.47451254928570247      0.7684116502764385
1860000000               0.538193707450536        0.7236996545892466
1890000000               0.597741909851153        0.6737351319136061
1920000000               0.6527266641016688       0.6188976220912789
1950000000               0.702752102431862        0.5596016371878406
1980000000               0.7474597834341008       0.4962935279159146
2010000000               0.7865312136000537       0.42944813153055245
2040000000               0.8196900727938168       0.35956522568059635
2070000000               0.8467041297963679       0.2871658139222256
2100000000               0.8673868365391958       0.21278826888079483
2130000000               0.8815985916593079       0.13698435958556984
2.16E9                   0.8892476660060219       0.060315189330278574
2.19E9                   0.8902907841712939       -0.01665293021442767
2.22E9                   0.8847333563948347       -0.093352643210099
