% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 21 2022, 16:35
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6139802519360362       -0.7527651398084264
330000000                0.5455300254833677       -0.8033132879172599
360000000                0.4730279314450163       -0.8476920416095304
390000000                0.3970167902679668       -0.8855773371154485
420000000                0.3180679309096817       -0.9166920880463989
450000000                0.23677647366366675      -0.9408091134899692
480000000                0.1537564877654221       -0.9577534272301534
510000000                0.0696360541708703       -0.9674039613096572
540000000                -0.014947740788979404    -0.9696947664364519
570000000                -0.09935385067764689     -0.9646157141684718
600000000                -0.18294232280513523     -0.9522127170027995
630000000                -0.2650793276387235      -0.9325874781044441
660000000                -0.34514212818469975     -0.9058967814287137
690000000                -0.4225239550611015      -0.8723513329747805
720000000                -0.4966387500521287      -0.8322141659621437
750000000                -0.5669257425849357      -0.7857986247256337
780000000                -0.6328538241118657      -0.7334659444540423
810000000                -0.6939256854083043      -0.6756224473326871
840000000                -0.7496816844066814      -0.6127163778706269
870000000                -0.799703413418208       -0.5452344034053249
900000000                -0.8436169368075426      -0.4736978085990085
930000000                -0.881095673188392       -0.39865841479620273
960000000                -0.9118628985542717      -0.32069425804878177
990000000                -0.9356938501316956      -0.24040506145652185
1020000000               -0.9524174141898147      -0.15840753893325388
1050000000               -0.9619173843070942      -0.07533056961814777
1080000000               -0.9641332805563532      0.008189717378864914
1110000000               -0.9590607237280608      0.09151490729515938
1140000000               -0.9467513625609412      0.1740092718591212
1170000000               -0.9273123559187838      0.25504470863875106
1200000000               -0.9009054156278364      0.3340056068888711
1230000000               -0.8677454194604297      0.41029360046212315
1260000000               -0.8280986074395668      0.4833321692199703
1290000000               -0.78228037819926        0.5525710520233174
1320000000               -0.7306527052639162      0.6174904365112841
1350000000               -0.6736211964688508      0.6776048926233189
1380000000               -0.6116318223162973      0.7324670197268973
1410000000               -0.5451673417847592      0.7816707796617234
1440000000               -0.4747434563268387      0.8248544910028127
1470000000               -0.40090472463396004     0.8617034630237644
1500000000               -0.3242202725204619      0.8919522509465472
1530000000               -0.24527933339774313     0.9153865175084266
1560000000               -0.16468665573922472     0.9318444892448667
1590000000               -0.08305781481219282     0.9412179992379612
1620000000               -0.0010144657257182387   0.9434531116448674
1650000000               0.080820424672104        0.9385503265410826
1680000000               0.16182733022889303      0.9265643670417041
1710000000               0.24139486593787662      0.9076035538091611
1740000000               0.31892440094948626      0.8818287751789493
1770000000               0.3938345499573659       0.849452064094276
1800000000               0.4655655101158175       0.8107347958105843
1830000000               0.5335832121654331       0.7659855230163569
1860000000               0.5973832564272364       0.7155574673794027
1890000000               0.6564946060359322       0.6598456888934998
1920000000               0.7104830121359182       0.5992839563677734
1950000000               0.7589541479101364       0.5343413442424082
1980000000               0.801556430640574        0.4655185826699939
2010000000               0.8379835136533942       0.39334418901098117
2040000000               0.8679764324194743       0.3183704102682362
2070000000               0.8913253919563389       0.24116900651523754
2100000000               0.9078711851793504       0.16232690621778764
2130000000               0.9175062346189272       0.08244176412556976
2.16E9                   0.9201752521652985       0.0021174520535435586
2.19E9                   0.915875513101415        -0.07804048796598043
2.22E9                   0.9046567410783504       -0.15742939930895603
2.25E9                   0.8866205995517398       -0.23545404615947058
2.28E9                   0.861919783134302        -0.31153109585270294
2.31E9                   0.8307567026316548       -0.3850935066343832
2.34E9                   0.793381765995802        -0.4555947671115897
2.37E9                   0.7500912790700949       -0.5225129261672433
2.4E9                    0.7012250191525159       -0.5853543639448263
2.43E9                   0.6471635497749333       -0.6436572907513063
2.46E9                   0.5883253249104593       -0.6969950013701074
2.49E9                   0.5251635832879175       -0.7449789214586864
2.52E9                   0.4581629985241591       -0.7872614489035836
2.55E9                   0.38783605722543285      -0.823538547292427
2.58E9                   0.31471917398981547      -0.8535520276633286
2.61E9                   0.23936858566473485      -0.8770914662446115
2.64E9                   0.16235608024264891      -0.8939957302736522
2.67E9                   0.08426461209842682      -0.9041541034534168
2.7E9                    0.0056838464981590064    -0.907507011821274
2.73E9                   -0.07279433068087826     -0.9040463531890547
2.76E9                   -0.1505803053025675      -0.8938154332676016
2.79E9                   -0.22709119767045013     -0.8769085117786404
2.82E9                   -0.3017552636357992      -0.8534699629783495
2.85E9                   -0.3740162019381658      -0.8236930570328163
2.88E9                   -0.4433373354180683      -0.7878183712998444
2.91E9                   -0.5092056343705296      -0.7461318433765047
2.94E9                   -0.5711355509234181      -0.6989624807653115
2.97E9                   -0.6286726346870353      -0.6466797448804915
3.0E9                    -0.681396901456354       -0.5896906299120231
3.03E9                   -0.728925928668536       -0.5284364596841579
3.06E9                   -0.7709176534801548      -0.46338942808502515
3.09E9                   -0.8070728518203197      -0.39504891080159
3.12E9                   -0.8371372793876447      -0.32393757809480334
3.15E9                   -0.8609034584750772      -0.25059733992489946
3.18E9                   -0.8782120974986429      -0.1755851561293362
3.21E9                   -0.8889531332305906      -0.09946874535909567
3.24E9                   -0.8930663889522169      -0.022822227124272138
3.27E9                   -0.8905418449177493      0.05377826827149264
3.3E9                    -0.8814195207189002      0.12975898723159804
3.33E9                   -0.8657889722293648      0.204552903163211
3.36E9                   -0.8437884088419658      0.27760399567148636
3.39E9                   -0.8156034396599042      0.34837142521802894
3.42E9                   -0.7814654601595781      0.41633357090192896
3.45E9                   -0.7416496936420809      0.4809919000519287
3.48E9                   -0.696472904640811       0.5418746395263179
3.51E9                   -0.6462908041264808      0.5985402203638349
3.54E9                   -0.591495169240665       0.6505804690461165
3.57E9                   -0.5325107028707995      0.6976235210954242
3.6E9                    -0.46979166088038        0.7393364353561691
3.63E9                   -0.4038182769274203      0.7754274904659799
3.66E9                   -0.3350930163571357      0.8056481485284508
3.69E9                   -0.26413669158090824     0.8297946746325506
3.72E9                   -0.1914844718296429      0.8477094044042167
3.75E9                   -0.11768182009417193     0.8592816552629086
3.78E9                   -0.04328038962339989     0.8644482803921059
3.81E9                   0.03116608841938273      0.8631938676851627
3.84E9                   0.10510589603289128      0.85555058903467
3.87E9                   0.1779933699575217       0.8415977079607307
3.9E9                    0.24929286814516322      0.8214607553541303
3.93E9                   0.318482637712879        0.7953103838059565
3.96E9                   0.3850585626357404       0.7633609108074325
3.99E9                   0.44853776979053317      0.7258685606655253
4.02E9                   0.5084620712580241       0.6831294150970435
4.05E9                   0.564401219460889        0.6354770838183867
4.08E9                   0.6159559507410951       0.5832801091328281
4.11E9                   0.6627607930858084       0.5269391220931849
4.14E9                   0.7044866150966641       0.46688377169570705
4.17E9                   0.7408428960227916       0.4035694519386847
4.2E9                    0.771579700249231        0.33747385400117885
4.23E9                   0.79648934351629         0.2690933720312321
4.26E9                   0.8154077417629776       0.1989393913128488
4.29E9                   0.828215436608787        0.12753448697370692
4.32E9                   0.8348382937727546       0.05540856070823572
4.35E9                   0.8352478725175096       -0.01690505795619114
4.38E9                   0.8294614654771139       -0.08887351949650149
4.41E9                   0.8175418095971598       -0.1599683451603397
4.44E9                   0.7995964704398496       -0.22966927413372396
4.47E9                   0.7757769040387328       -0.2974680402660462
4.5E9                    0.7462772027490051       -0.36287205143676093
4.53E9                   0.7113325340502676       -0.4254079448084996
4.56E9                   0.6712172838751347       -0.48462499187194674
4.59E9                   0.6262429186522198       -0.5400983282235584
4.62E9                   0.5767555826554969       -0.5914319845874635
4.65E9                   0.523133449472306        -0.6382616974148574
4.68E9                   0.4657838479984593       -0.6802574797236237
4.71E9                   0.4051401846263101       -0.7171259349673252
4.74E9                   0.34165868386012055      -0.7486122988746984
4.77E9                   0.27581497009838646      -0.7745021957365588
4.8E9                    0.20810051386575773      -0.7946230967885697
4.83E9                   0.13901896684440268      -0.808845469296122
4.86E9                   0.069082411655641        -0.817083606152499
4.89E9                   -0.001192445686573329    -0.8192961276408952
4.92E9                   -0.07128811092377987     -0.8154861497445778
4.95E9                   -0.14069013317179807     -0.8057011168150089
4.98E9                   -0.20889090151911446     -0.7900323003573603
5.01E9                   -0.2753933754751083      -0.768613969702713
5.04E9                   -0.3397147197487813      -0.7416222440668204
5.07E9                   -0.40138981601864043     -0.7092736385699254
5.1E9                    -0.459974627033445       -0.6718233189578234
5.13E9                   -0.5150493911611792      -0.6295630807745952
5.16E9                   -0.5662216274630291      -0.5828190688730198
5.19E9                   -0.6131289321817214      -0.5319492530012306
5.22E9                   -0.6554415473877281      -0.47734067548699594
