% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 1 2022, 15:07
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6214965448829368       -0.7617554957309367
330000000                0.5518934059571307       -0.8138011267022253
360000000                0.4779965438107079       -0.8594954196746969
390000000                0.4003839228790497       -0.8984862243681768
420000000                0.3196624145453843       -0.9304737370483105
450000000                0.23646304721583464      -0.9552129278145884
480000000                0.15143605124793622      -0.972515521708853
510000000                0.06524574103396415      -0.982251521414735
540000000                -0.021434723573942452    -0.984350261217919
570000000                -0.10792865335000812     -0.978800984475077
600000000                -0.19356118057227756     -0.9656529400643321
630000000                -0.27766460096605083     -0.9450149965838467
660000000                -0.3595836633708035      -0.9170547767107124
690000000                -0.43868076372590115     -0.881997317873961
720000000                -0.5143410005889419      -0.8401232692525634
750000000                -0.5859770501961818      -0.7917666390220645
780000000                -0.6530338205586936      -0.7373121095305838
810000000                -0.7149928455151461      -0.6771919419304279
840000000                -0.7713763817912208      -0.6118824954147262
870000000                -0.8217511745507539      -0.5419003896361441
900000000                -0.8657318596842153      -0.46779834206777227
930000000                -0.9029839740696073      -0.39016071515952166
960000000                -0.9332265485103224      -0.3095988108023957
990000000                -0.9562342618637786      -0.22674595153386365
1020000000               -0.9718391384235702      -0.14225239060730316
1050000000               -0.9799317751111819      -0.05678009359363652
1080000000               -0.9804620889000563      0.02900256356395794
1110000000               -0.9734395795081117      0.11442613583828316
1140000000               -0.9589331065347356      0.19882544377917782
1170000000               -0.9370701847077472      0.2815448573008502
1200000000               -0.9080358051731884      0.36194348380151736
1230000000               -0.8720707948631861      0.4394002179305294
1260000000               -0.8294697301667004      0.5133186109755388
1290000000               -0.7805784247834073      0.5831315204777282
1320000000               -0.7257910153607174      0.6483055025019304
1350000000               -0.6655466717621117      0.7083449118206806
1380000000               -0.6003259617568318      0.7627956781887181
1410000000               -0.5306469027753566      0.8112487298491449
1440000000               -0.45706073547989856     0.8533430390510222
1470000000               -0.38014745591504195     0.8887682677649951
1500000000               -0.30051114458402906     0.9172669954635009
1530000000               -0.21877513202302792     0.9386365145858424
1560000000               -0.1355770410455561      0.9527301831854406
1590000000               -0.0515637465429327      0.959458327934274
1620000000               0.03261370646982833      0.9587886945319266
1650000000               0.11630518604626001      0.950746446188833
1680000000               0.1988665177482286       0.9354137144717947
1710000000               0.2796644515277011       0.9129287102481712
1740000000               0.3580815130846162       0.8834844057903363
1770000000               0.4335207036206882       0.8473268021844778
1800000000               0.505410013184045        0.8047527992203695
1830000000               0.5732067151607912       0.7561076875444575
1860000000               0.6364014111978066       0.7017822855182105
1890000000               0.6945217983718948       0.6422097454438203
1920000000               0.7471361327754669       0.577862055911447
1950000000               0.7938563662566228       0.5092462688748425
1980000000               0.8343409357294935       0.4369004817070927
2010000000               0.8682971873831541       0.3613896056846061
2040000000               0.8954834208573509       0.28330095365109303
2070000000               0.915710541643319        0.2032396800237251
2100000000               0.928843312816618        0.12182410685689034
2130000000               0.9348012002106224       0.03968096934691298
2.16E9                   0.9335588076349552       -0.04255938672076515
2.19E9                   0.9251459003690194       -0.12426782427806554
2.22E9                   0.9096470152851645       -0.20482122110337542
2.25E9                   0.8872006539583644       -0.2836072328347225
2.28E9                   0.8579980518855792       -0.36002897855479
2.31E9                   0.8222815160773426       -0.4335096043695062
2.34E9                   0.7803423325700373       -0.5034966642452726
