% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 1 2022, 15:00
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6223526030129126       -0.7613636099079301
330000000                0.5528534910465677       -0.8134622052044936
360000000                0.479055498847583        -0.8592249817470861
390000000                0.4015349258943065       -0.8982989736048236
420000000                0.32089707116981625      -0.9303834771874749
450000000                0.23777147671038412      -0.9552324658520569
480000000                0.15280697367093732      -0.972656561813815
510000000                0.06666657144468822      -0.9825245530785796
540000000                -0.019977770681624565    -0.9847644454119622
570000000                -0.1064504476001515      -0.9793640412980221
600000000                -0.1920775460586727      -0.9663710410934198
630000000                -0.27619217351208974     -0.9458926648861333
660000000                -0.3581397350271376      -0.9180947971601339
690000000                -0.4372831155365492      -0.8832006600958198
720000000                -0.5130077247196073      -0.8414890253083324
750000000                -0.5847263632012302      -0.7932919775203677
780000000                -0.6518838693821702      -0.7389922477281156
810000000                -0.71396150827971        -0.6790201369972706
840000000                -0.7704810655020017      -0.6138500557632933
870000000                -0.8210086119173813      -0.543996706946363
900000000                -0.8651579073452578      -0.4700109443562907
930000000                -0.9025934145160402      -0.3924753410152603
960000000                -0.9330328981293393      -0.31199950441049
990000000                -0.9562495872828749      -0.22921517823580714
1020000000               -0.9720738835325694      -0.14477117191112499
1050000000               -0.9803946007942946      -0.05932816097058449
1080000000               -0.9811597276053168      0.02644659768224525
1110000000               -0.9743767065051074      0.11188459107519165
1140000000               -0.9601122296091025      0.1963213707959958
1170000000               -0.9384915538330039      0.27910182441102693
1200000000               -0.9096973434803793      0.35958535344521125
1230000000               -0.8739680520332738      0.4371509150826774
1260000000               -0.8315958590932842      0.5112018858770581
1290000000               -0.7829241821775375      0.5811707079815623
1320000000               -0.7283447865849833      0.6465232806355999
1350000000               -0.668294520058791       0.7067630619264108
1380000000               -0.6032517017195625      0.7614348491513047
1410000000               -0.5337321976151885      0.8101282089102106
1440000000               -0.460285217455618       0.852480531579251
1470000000               -0.38348886896875456     0.8881796883442172
1500000000               -0.303945508142112       0.9169662724642764
1530000000               -0.22227692449164219     0.9386354103848839
1560000000               -0.1391194015119309      0.9530381319420438
1590000000               -0.0551186928945544      0.9600822927274889
1620000000               0.0290750449328943       0.9597330454521693
1650000000               0.11281232350023665      0.9520128607911247
1680000000               0.1954493565645848       0.937001101787396
1710000000               0.2763530189685973       0.9148331593323731
1740000000               0.3549056925020473       0.8856991595434315
1770000000               0.4305099624745641       0.8498422569834144
1800000000               0.5025931304810304       0.807556530607638
1830000000               0.5706115107346641       0.7591845020354268
1860000000               0.634054479360319        0.705114298312295
1890000000               0.692448248394117        0.6457764836003052
1920000000               0.7453593386276357       0.5816405862942056
1950000000               0.7923977279046309       0.5132113499965494
1980000000               0.8332196542956094       0.4410247382483017
2010000000               0.8675300562027197       0.3656437244082474
2040000000               0.8950846344374451       0.2876538990340309
2070000000               0.915691524185569        0.2076589279697159
2100000000               0.9292125678440023       0.12627589447075402
2130000000               0.9355641824510248       0.04413055879035541
2.16E9                   0.9347178180028248       -0.03814743217006449
2.19E9                   0.926700004613402        -0.11992935373642051
2.22E9                   0.9115919867056267       -0.20059220053357996
2.25E9                   0.8895289408603845       -0.27952344102922566
2.28E9                   0.8606987713312257       -0.35612569496357144
2.31E9                   0.8253404771057007       -0.42982128922758317
2.34E9                   0.7837420937839575       -0.5000566333253362
2.37E9                   0.7362382381415558       -0.5663063468690763
2.4E9                    0.6832073168276569       -0.6280770848472961
2.43E9                   0.6250684789617612       -0.6849110478729619
2.46E9                   0.5622783691831741       -0.736389212436777
2.49E9                   0.49532768288533335      -0.782134327234
2.52E9                   0.4247374838523268       -0.8218136835292159
2.55E9                   0.3510552512563894       -0.855141614270123
2.58E9                   0.2748506644270064       -0.8818816522141516
2.61E9                   0.19671117265093585      -0.9018482898090343
2.64E9                   0.11723741207307264      -0.9149083116938823
2.67E9                   0.037038527588303796     -0.9209816930372153
2.7E9                    -0.043272552631926864    -0.9200420676273824
2.73E9                   -0.12308385083617868     -0.912116772379013
2.76E9                   -0.2017890463471697      -0.8972864747577781
2.79E9                   -0.2787921215172939      -0.875684389679123
2.82E9                   -0.3535119133165486      -0.8474950935173194
2.85E9                   -0.42538653679702104     -0.8129529449524373
2.88E9                   -0.4938776469914906      -0.7723401250518824
2.91E9                   -0.5584745063369646      -0.7259843120168227
2.94E9                   -0.618697826057337       -0.6742560090087344
2.97E9                   -0.6741033513254305      -0.6175655465557489
3.0E9                    -0.724285162210294       -0.5563597837151213
3.03E9                   -0.7688786644705096      -0.4911185349928137
3.06E9                   -0.8075632470597217      -0.4223507521941284
3.09E9                   -0.8400645859185913      -0.3505904926009054
3.12E9                   -0.8661565767156957      -0.2763927066272405
3.15E9                   -0.8856628824489685      -0.2003288795383007
3.18E9                   -0.8984580851525532      -0.1229825629508657
3.21E9                   -0.9044684344143417      -0.0449448325276198
3.24E9                   -0.9036721888511103      0.03319029131495608
3.27E9                   -0.8960995501322245      0.11083042292169515
3.3E9                    -0.8818321924860014      0.18738935463573006
3.33E9                   -0.861002393846836       0.26229152797005945
3.36E9                   -0.8337917779257815      0.3349763976555282
3.39E9                   -0.8004296794232563      0.404902654769796
3.42E9                   -0.7611911475123417      0.4715522762147802
3.45E9                   -0.7163946054382153      0.534434369421174
3.48E9                   -0.6663991868803236      0.5930887826079968
3.51E9                   -0.611601772389593       0.6470894529054088
3.54E9                   -0.5524337519574111      0.6960474667051231
3.57E9                   -0.4893575423092837      0.7396138092960709
3.6E9                    -0.4228628899285045      0.7774817838061976
3.63E9                   -0.35346299268175563     0.8093890830487243
3.66E9                   -0.2816904743284722      0.835119501655991
3.69E9                   -0.20809324677497917     0.8545042798582568
3.72E9                   -0.13323029507161552     0.8674230740846641
3.75E9                   -0.057667419587249746    0.8738045532459355
3.78E9                   0.018027030860999816     0.8736266229920663
3.81E9                   0.09328640257698435      0.866916283640277
3.84E9                   0.1675499266470805       0.8537491305578824
3.87E9                   0.24026682670357202      0.8342485083468812
3.9E9                    0.3109003196097433       0.8085843317328392
3.93E9                   0.37893148673091237      0.7769715863747211
3.96E9                   0.4438629950920442       0.7396685221851848
3.99E9                   0.5052226482281912       0.696974550829983
4.02E9                   0.5625667453843693       0.6492278590146804
4.05E9                   0.6154832263807365       0.596802750359518
4.08E9                   0.6635945781374155       0.5401067315585976
4.11E9                   0.70656047897482         0.47957736236767634
4.14E9                   0.744080158448179        0.41567889302613636
4.17E9                   0.7758944534285388       0.3488987163649675
4.2E9                    0.8017875452330963       0.27974366413595275
4.23E9                   0.8215883667560718       0.2087361783382279
4.26E9                   0.8351716725861345       0.1364103881776416
4.29E9                   0.8424587683264712       0.0633081224834649
4.32E9                   0.843417897738097        -0.010025113729888381
4.35E9                   0.8380642880533739       -0.0830441709055614
4.38E9                   0.8264598550696661       -0.1552082677195636
4.41E9                   0.8087125709348513       -0.2259849579608707
4.44E9                   0.784975499088727        -0.29485402440542313
4.47E9                   0.755445502824151        -0.36131127219067954
4.5E9                    0.7203616363062015       -0.4248721942844087
4.53E9                   0.6800032295430036       -0.48507548191051814
4.56E9                   0.6346876815567555       -0.5414863536735062
4.59E9                   0.5847679787177164       -0.5936996784204807
4.62E9                   0.53062995772303         -0.6413428687099557
4.65E9                   0.4726893348620694       -0.6840785239944878
4.68E9                   0.41138852482903837      -0.7216068051882822
4.71E9                   0.34719327337266037      -0.7536675248411533
4.74E9                   0.28058912848015183      -0.7800419394674285
4.77E9                   0.21207777505121417      -0.8005542323121584
4.8E9                    0.14217325842665735      -0.8150726760781354
4.83E9                   0.07139812307056577      -0.823510466188468
4.86E9                   2.7949430449538684E-4    -0.8258262164791245
4.89E9                   -0.07065486705500722     -0.8220241112907485
4.92E9                   -0.14088050555060044     -0.8121537109693513
4.95E9                   -0.2098801746603921      -0.7963094116095579
4.98E9                   -0.2771476701818358      -0.7746295641888499
5.01E9                   -0.34219156145668433     -0.7472952625750674
5.04E9                   -0.4045387905593984      -0.7145288138025778
5.07E9                   -0.4637381123852027      -0.6765919071300406
5.1E9                    -0.5193633519205446      -0.6337835003705722
5.13E9                   -0.5710164581708386      -0.5864374427006496
5.16E9                   -0.6183303365272099      -0.5349198528539907
5.19E9                   -0.6609714423340658      -0.47962627100134275
5.22E9                   -0.6986421180760967      -0.4209786027486293
5.25E9                   -0.7310826557757479      -0.3594218753963212
5.28E9                   -0.7580730661572712      -0.295420830158488
5.31E9                   -0.7794345382613694      -0.2294563782418959
5.34E9                   -0.795030577478371       -0.16202195235839484
5.37E9                   -0.8047678157442683      -0.09361978655000104
5.4E9                    -0.8085964930741452      -0.024757156318112403
5.43E9                   -0.8065106135655548      0.04405739184730312
5.46E9                   -0.7985477808386525      0.11231779538779685
5.49E9                   -0.7847887181882465      0.17952419124593955
5.52E9                   -0.7653564784130245      0.24518656905541697
5.55E9                   -0.7404153482579579      0.30882833864606907
5.58E9                   -0.7101694532187847      0.36998978733263715
5.61E9                   -0.6748610703272462      0.4282314011610123
5.64E9                   -0.6347686594697469      0.4831370231060855
5.67E9                   -0.5902046277016131      0.5343168209253585
5.7E9                    -0.5415128456625431      0.581410038201073
5.73E9                   -0.48906593997959313     0.6240875048042022
5.76E9                   -0.4332623893315404      0.6620538876445672
5.79E9                   -0.3745234534953772      0.6950496684281519
5.82E9                   -0.31328996368482465     0.7228528406918552
5.85E9                   -0.25001899956042845     0.7452803220019061
5.88E9                   -0.18518047518429165     0.7621890781801401
5.91E9                   -0.11925365468042255     0.7734769555570303
5.94E9                   -0.05272361902734009     0.779083216166213
5.97E9                   0.013922292507721501     0.7789887709500216
6.0E9                    0.08019804038712178      0.7732161078280712
