% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 21 2022, 15:42
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6230146092610469       -0.7617013516852036
330000000                0.553488873623355        -0.8138970689248279
360000000                0.47964934838331497      -0.8597523263959422
390000000                0.402073720689341        -0.8989123105301804
420000000                0.3213687318813211       -0.9310747536249399
450000000                0.2381654143134707       -0.9559923115288967
480000000                0.15311412960571344      -0.9734745122049961
510000000                0.06687944987764176      -0.9833892570379699
540000000                -0.01986508039638295     -0.9856638623114233
570000000                -0.10644225868961038     -0.9802856304728762
600000000                -0.1921765745378739      -0.9673019451443912
630000000                -0.2763995506457108      -0.9468198873372148
660000000                -0.3584550328502573      -0.9190053744967575
690000000                -0.43770438596315736     -0.8840818276289483
720000000                -0.5135315519165418      -0.8423283762066014
750000000                -0.5853479292064175      -0.7940776140655988
780000000                -0.6525970325340921      -0.7397129237796056
810000000                -0.7147588937512057      -0.6796653907049167
840000000                -0.7713541672589144      -0.6144103314389553
870000000                -0.8219479051162397      -0.544463465127359
900000000                -0.8661529700234691      -0.4703767592432693
930000000                -0.9036330574490825      -0.3927339843901855
960000000                -0.934105301507528       -0.3121460153566479
990000000                -0.9573424427769264      -0.2292459181693518
1020000000               -0.9731745402999803      -0.14468386452459167
1050000000               -0.9814902139500108      -0.05912191662111193
1080000000               -0.9822374075391892      0.026771272889610766
1110000000               -0.9754236675595234      0.1123258018517652
1140000000               -0.9611159365510886      0.19687585428036358
1170000000               -0.9394398646128057      0.2797649868174841
1200000000               -0.9105786468222359      0.3603513209750907
1230000000               -0.8747713984796075      0.4380125984985577
1260000000               -0.8323110841452537      0.5121510580321401
1290000000               -0.7835420203282504      0.5821980932825911
1320000000               -0.7288569751854331      0.6476186553440904
1350000000               -0.6686938918843266      0.7079153643406911
1380000000               -0.6035322655609642      0.7626322981798181
1410000000               -0.5338892060051532      0.8113584299361917
1440000000               -0.4603152209482856      0.8537306881893896
1470000000               -0.383389756664881       0.8894366184258911
1500000000               -0.3037165340407807      0.9182166273353506
1530000000               -0.22191871947302977     0.9398657954983517
1560000000               -0.1386339711198044      0.9542352476542377
1590000000               -0.05450940092140542     0.9612330737672938
1620000000               0.02980350671637666      0.9608247976785069
1650000000               0.11365397915168512      0.9530333938917268
1680000000               0.1963970025805143       0.9379388566325169
1710000000               0.27739829326565907      0.9156773287618855
1740000000               0.3560391547788463       0.886439801475617
1770000000               0.43172118528926123      0.8504703987599321
1800000000               0.5038707998984476       0.8080642636788137
1830000000               0.5719435356043058       0.7595650661221139
1860000000               0.6354281080685905       0.70536215434376
1890000000               0.6938501919339676       0.6458873748307034
1920000000               0.7467758987490356       0.581611587164938
1950000000               0.7938149291375094       0.5130409024108654
1980000000               0.834623378591262        0.44071267511778195
2010000000               0.8689061789827343       0.3651912804886528
2040000000               0.896419160940533        0.2870637091872556
2070000000               0.9169707251060739       0.20693501319368615
2100000000               0.9304231135001487       0.125423636083571
2130000000               0.9366932750063474       0.04315666124112396
2.16E9                   0.9357533216805515       -0.039234989733257744
2.19E9                   0.9276305741533829       -0.12112137744604018
2.22E9                   0.9124071943766737       -0.20187835464806084
2.25E9                   0.8902194015571709       -0.2808923364968727
2.28E9                   0.8612562631479759       -0.35756499750751386
2.31E9                   0.8257580510384742       -0.4313178505844432
2.34E9                   0.7840141623110505       -0.5015966453711244
2.37E9                   0.7363606316221756       -0.5678755109967936
2.4E9                    0.6831773026195762       -0.6296607810874102
2.43E9                   0.6248847496494904       -0.6864944869920149
2.46E9                   0.561941016490958        -0.737957562405044
2.49E9                   0.49483817395084967      -0.7836728190827471
2.52E9                   0.42409864743599024      -0.8233077099523598
2.55E9                   0.35027127044488804      -0.8565768334250699
2.58E9                   0.2739270670017852       -0.8832441021712516
2.61E9                   0.19565481078543084      -0.9031245124770125
2.64E9                   0.11605642662957223      -0.9160854815855306
2.67E9                   0.03574229547430115      -0.9220477458323306
2.7E9                    -0.04467348731933712     -0.9209858243933637
2.73E9                   -0.12457786045435598     -0.912928056546717
2.76E9                   -0.20336351622832663     -0.8979562198925711
2.79E9                   -0.2804335577580518      -0.8762047367333525
2.82E9                   -0.35520606017173884     -0.8478594766430568
2.85E9                   -0.4271185022539243      -0.813156165180958
2.88E9                   -0.49563203514385407     -0.7723784112981962
2.91E9                   -0.5602355552673847      -0.725855368962562
2.94E9                   -0.6204495498931509      -0.6739590515419502
2.97E9                   -0.6758296852288873      -0.6171013204927469
3.0E9                    -0.7259701089870673      -0.5557305726768287
3.03E9                   -0.7705064415560396      -0.4903281533415991
3.06E9                   -0.8091184325907218      -0.4214045240874483
3.09E9                   -0.8415322626341215      -0.34949521730432487
3.12E9                   -0.8675224724396492      -0.27515661036619055
3.15E9                   -0.8869135059718039      -0.19896155423034673
3.18E9                   -0.8995808563610089      -0.12149489230458421
3.21E9                   -0.9054518075993363      -0.04334890606830989
3.24E9                   -0.9045057682112857      0.03488127569473061
3.27E9                   -0.8967741965650279      0.11260226719409488
3.3E9                    -0.8823401208348637      0.1892269790275165
3.33E9                   -0.8613372598060368      0.2641790988751648
3.36E9                   -0.8339487537823619      0.33689746447545915
3.39E9                   -0.8004055177290053      0.4068402951402182
3.42E9                   -0.7609842316118586      0.47348924902257183
3.45E9                   -0.7160049855965556      0.5363532748658172
3.48E9                   -0.6658286004943177      0.594972228358877
3.51E9                   -0.610853646655961       0.6489202248861945
3.54E9                   -0.5515131873519955      0.6978087024984294
3.57E9                   -0.48827127545386895     0.7412891714871952
3.6E9                    -0.4216192350260897      0.7790556298758848
