% Model:              cali 1.68 0.57mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 18 2022, 16:38
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6190879309405983       -0.7657441329657881
330000000                0.5483188128301247       -0.8173417565487997
360000000                0.47327618479149436      -0.8623600803565872
390000000                0.39457565510408676      -0.9004447608537127
420000000                0.31286241764791695      -0.9312994050365051
450000000                0.2288057735867625       -0.9546881009484105
480000000                0.14309342164066516      -0.9704374302510925
510000000                0.05642556622074988      -0.9784379383363897
540000000                -0.030491105468340864    -0.9786450423776977
570000000                -0.1169495222904054      -0.9710793623330987
600000000                -0.20224834731265703     -0.9558264655976644
630000000                -0.2856980567544531      -0.933036021802635
660000000                -0.3666269199481502      -0.9029203705530908
690000000                -0.44438682064064977     -0.8657525113801668
720000000                -0.5183588600431637      -0.8218635319800067
750000000                -0.5879586840402198      -0.7716394973156069
780000000                -0.6526414784345461      -0.7155178291371285
810000000                -0.7119065799138387      -0.6539832116699853
840000000                -0.7653016541108619      -0.5875630654319196
870000000                -0.8124263970614831      -0.5168226366942786
900000000                -0.8529357218241188      -0.4423597552560529
930000000                -0.8865423984678398      -0.36479931729426485
960000000                -0.9130191223258456      -0.2847875535871614
990000000                -0.9321999926588953      -0.2029861460175909
1020000000               -0.9439813915021903      -0.12006625661704594
1050000000               -0.9483222600485223      -0.03670253415784922
1080000000               -0.9452437776699791      0.04643283711646008
1110000000               -0.934828456241624       0.12867598407940206
1140000000               -0.9172186695564051      0.20937702568019964
1170000000               -0.8926146444820511      0.2879055316569214
1200000000               -0.8612719466851257      0.3636557059746002
1230000000               -0.823498499232808       0.4360512474945048
1260000000               -0.7796511770924388      0.5045498458391113
1290000000               -0.7301320241903287      0.5686472770047588
1320000000               -0.6753841422654464      0.6278810699321956
1350000000               -0.6158873020244023      0.6818337222228912
1380000000               -0.5521533265397802      0.7301354502523639
1410000000               -0.48472129474585196     0.7724664647094257
1440000000               -0.41415260920883645     0.8085587665589853
1470000000               -0.3410259680119982      0.8381974591191566
1500000000               -0.2659322793222074      0.861221567917262
1530000000               -0.1894695621910364      0.8775243538259171
1560000000               -0.11223789351453313     0.8870531023599212
1590000000               -0.03483448454732301     0.8898083850836402
1620000000               0.04215101364260026      0.8858428255683015
