% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 1 2022, 16:16
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5649790658355647       -0.77115935458965
330000000                0.49114837829264996      -0.8188901036239941
360000000                0.4134348924495843       -0.8596641497710569
390000000                0.33246632915665214      -0.8931651491445213
420000000                0.24890190248895774      -0.9191313625151954
450000000                0.16342633222352188      -0.9373597879282182
480000000                0.07674366590903309      -0.9477092818989847
510000000                -0.0104290366485305      -0.9501028215395458
540000000                -0.09736811448078148     -0.944528995416701
570000000                -0.18334977008324904     -0.9310427740563482
600000000                -0.2676565430331281      -0.9097655907321922
630000000                -0.3495837439791082      -0.8808847524995631
660000000                -0.4284457960851157      -0.8446521977658032
690000000                -0.5035824289330811      -0.8013826160873638
720000000                -0.5743646672451055      -0.7514509487410095
750000000                -0.640200556236505       -0.6952892925408407
780000000                -0.7005405653445149      -0.6333832347708576
810000000                -0.7548826137030425      -0.5662676528426012
840000000                -0.802776663015027       -0.4945220184493252
870000000                -0.8438288269979743      -0.41876525221485883
900000000                -0.8777049512871141      -0.3396501805051199
930000000                -0.9041336231253565      -0.2578576516100487
960000000                -0.9229085765972918      -0.17409037298771318
990000000                -0.9338904661531647      -0.08906653561825513
1020000000               -0.9370079889895243      -0.0035132940663289178
1050000000               -0.9322583448939428      0.08183982686716826
1080000000               -0.9197070305078935      0.16626752751674384
1110000000               -0.8994869734101583      0.24905525891883917
1140000000               -0.8717970197469065      0.3295056090014592
1170000000               -0.8368997971999493      0.4069444814666879
1200000000               -0.7951189826143598      0.4807270035795824
1230000000               -0.7468360107714294      0.5502431029093654
1260000000               -0.692486266823471       0.614922698991498
1290000000               -0.6325548106916488      0.6742404611722089
1320000000               -0.5675716859053119      0.7277200910221434
1350000000               -0.4981068692763815      0.774938094195709
1380000000               -0.4247649200528454      0.8155270141082543
1410000000               -0.3481793890297207      0.849178106862582
1440000000               -0.26900704852884944     0.8756434442042675
1470000000               -0.18792200393411493     0.8947374382361309
1500000000               -0.10560974622616648     0.9063377883753813
1530000000               -0.02276120313640604     0.9103858572648232
1560000000               0.05993315631629912      0.9068864881648104
1590000000               0.14178911180100648      0.8959072814849023
1620000000               0.2221343283572086       0.8775773527345043
1650000000               0.30031379528427177      0.8520855980311222
1680000000               0.3756950271962932       0.8196784966510636
1710000000               0.44767299153917595      0.7806574826423314
1740000000               0.5156747309715414       0.735375919640688
1770000000               0.5791636534196787       0.6842357144298058
1800000000               0.6376434666809317       0.6276836057896327
1830000000               0.6906617384606041       0.5662071656701728
1860000000               0.7378130665043628       0.5003305498209645
1890000000               0.778741847051247        0.4306100348337708
1920000000               0.8131446331866066       0.3576293780739862
1950000000               0.8407720779644671       0.2819950361111516
1980000000               0.8614304601865428       0.20433127629343956
2010000000               0.8749827937215117       0.12527521466913125
2040000000               0.8813495242000272       0.04547181131129732
2070000000               0.8805088194466791       -0.0344311486395483
2100000000               0.8724964619868143       -0.11378806419575493
2130000000               0.8574053520480533       -0.19196049994732778
