% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 1 2022, 16:35
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5789082168442041       -0.7877806565250398
330000000                0.5028628290878369       -0.8382998340156285
360000000                0.4224704178763785       -0.8814974911626225
390000000                0.33843105369149884      -0.9170009286144556
420000000                0.2514775453601679       -0.944503617519488
450000000                0.1623691592874856       -0.9637683410760778
480000000                0.07188502173673116      -0.9746296962791295
510000000                -0.019182730101435654    -0.9769959374042312
540000000                -0.11003598493442333     -0.9708501430018445
570000000                -0.19987781545899708     -0.9562506898993308
600000000                -0.28791969060146        -0.9333310217152628
630000000                -0.37338867146268645     -0.9022987043957844
660000000                -0.45553451865268413     -0.86343376766732
690000000                -0.5336366374349945      -0.8170863384495419
720000000                -0.607010786440316       -0.7636735801529396
750000000                -0.6750154762962661      -0.703675960019968
780000000                -0.7370579858761719      -0.6376328754015517
810000000                -0.7925999269742008      -0.5661376782587303
840000000                -0.84116229201348        -0.48983214573176825
870000000                -0.8823299247879449      -0.40940045245526524
900000000                -0.9157553604290091      -0.32556270797064185
930000000                -0.9411619885507556      -0.23906812868626093
960000000                -0.9583465015998384      -0.15068791998877543
990000000                -0.967180599919773       -0.061207947935136
1020000000               -0.9676119346083301      0.028578716394672344
1050000000               -0.9596642795491608      0.1178792953382374
1080000000               -0.9434369343058535      0.2059087608175043
1110000000               -0.9191033698708866      0.29189716430994944
1140000000               -0.8869091392958416      0.3750967590663951
1170000000               -0.8471690847297473      0.4547888369715808
1200000000               -0.8002638812706192      0.5302902072803519
1230000000               -0.7466359659769193      0.6009592507486792
1260000000               -0.686784907366095       0.6662014896495908
1290000000               -0.6212622765289204      0.7254746220339708
1320000000               -0.5506660856500641      0.778292976904984
1350000000               -0.4756348631118895      0.8242313557151881
1380000000               -0.3968414363847112      0.8629282345367266
1410000000               -0.31498649494045755     0.8940883099670057
1440000000               -0.23079200504063213     0.9174843805375565
1470000000               -0.1449945468835047      0.9329585635878543
1500000000               -0.058338642390827825    0.9404228552242087
1530000000               0.02842986145249018      0.9398590481030665
1560000000               0.11457029250041391      0.9313180280600118
1590000000               0.1993534800340042       0.9149184761652578
1620000000               0.28206785609371626      0.890845007508732
1650000000               0.36202528503358666      0.8593457819046876
1680000000               0.438566579836858        0.8207296248168078
1710000000               0.5110666691848904       0.7753626990987321
1740000000               0.5789393843644127       0.7236647698060263
1770000000               0.6416418403201729       0.6661051052203666
1800000000               0.6986783897673754       0.6031980577261171
1830000000               0.7496041339391906       0.535498368060852
1860000000               0.7940279777728986       0.46359623593143806
