% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 1 2022, 15:55
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5755177729087787       -0.7852108136541793
330000000                0.4997573110661529       -0.83520190686174
360000000                0.4197301084889672       -0.8779194245769963
390000000                0.3361257871277122       -0.9129997108371409
420000000                0.2496666701014359       -0.9401436420281336
450000000                0.16110147128084318      -0.9591199452464096
480000000                0.07119870279288261      -0.9697678035743084
510000000                -0.019260140100427314    -0.9719987622746498
540000000                -0.10948755902535759     -0.9657979373459409
570000000                -0.1986971369800008      -0.951224522376487
600000000                -0.28611066464047774     -0.92841158892809
630000000                -0.37096524216663795     -0.8975651779988768
660000000                -0.4525202878256545      -0.858962684627019
690000000                -0.5300643830447276      -0.8129505435446532
720000000                -0.6029218822860533      -0.7599412308761518
750000000                -0.6704592164992322      -0.7004096045071779
780000000                -0.7320908203530738      -0.6348886136921776
810000000                -0.7872846157639943      -0.5639644167817712
840000000                -0.8355669880625092      -0.4882709541185876
870000000                -0.8765271965179979      -0.40848403034646447
900000000                -0.9098211664256436      -0.3253149683256286
930000000                -0.935174617782897       -0.23950390244392916
960000000                -0.9523854933070992      -0.15181278508162832
990000000                -0.9613256576382728      -0.0630181840547888
1020000000               -0.9619418490006293      0.026096047892325752
1050000000               -0.9542558745360662      0.11474614885200768
1080000000               -0.9383640505614462      0.20215578547784788
1110000000               -0.9144358990494887      0.28756327055892106
1140000000               -0.8827121214205049      0.3702285804428882
1170000000               -0.8435018800570355      0.4494400961023394
1200000000               -0.797179426568325       0.5245209964866149
1230000000               -0.7441801237254726      0.5948352385636281
1260000000               -0.6849959147606777      0.6597930654757388
1290000000               -0.6201702995569266      0.7188559916516559
1320000000               -0.5502928817621534      0.7715412219752746
1350000000               -0.4759935544214747      0.8174254704081803
1380000000               -0.39793639355783805     0.8561481524148213
1410000000               -0.31681333051696203     0.8874139337864876
1440000000               -0.23333767335187813     0.910994627193245
1470000000               -0.14823754646246065     0.9267304356755622
1500000000               -0.06224931553787272     0.9345305498785765
1530000000               0.023888938277058538     0.9343731128085976
1560000000               0.10944383476775528      0.9263045720991594
1590000000               0.1936929455758307       0.9104384452638214
1620000000               0.2759308284255596       0.8869535281195564
1650000000               0.3554747984364589       0.8560915804337385
1680000000               0.43167039531776513      0.8181545259711078
1710000000               0.5038965105437626       0.7735012064538125
1740000000               0.5715701436321687       0.7225437306061901
1770000000               0.6341507615762887       0.6657434605088532
1800000000               0.6911442402946542       0.6036066778866487
1830000000               0.742106371280584        0.5366799730257777
1860000000               0.7866459208958827       0.46554539852592325
1890000000               0.8244272335490774       0.39081542939465513
1920000000               0.8551723735671403       0.31312776999904973
1950000000               0.878662803975654        0.2331400469899878
1980000000               0.8947406034159564       0.15152442598128646
2010000000               0.903309225483109        0.06896218770127097
2040000000               0.9043338074841053       -0.01386170305969341
2070000000               0.8978410379740005       -0.09626400553533941
2100000000               0.8839185939389993       -0.17756856259777923
2130000000               0.8627141579781153       -0.2571115921528983
2.16E9                   0.8344340214019372       -0.3342468978325521
2.19E9                   0.7993412679146307       -0.4083509925785056
2.22E9                   0.757753511892442        -0.4788281281922868
2.25E9                   0.7100401364379807       -0.5451152059678077
2.28E9                   0.6566189533115634       -0.6066864929308526
2.31E9                   0.5979522225097703       -0.6630579821219038
2.34E9                   0.5345420703241928       -0.7137911462082066
2.37E9                   0.46692554117440715      -0.7584958342659671
2.4E9                    0.3956697102460316       -0.7968322529386297
2.43E9                   0.32136726754421957      -0.8285123223481702
2.46E9                   0.2446326493959072       -0.8533009500785366
2.49E9                   0.1660983441710041       -0.8710176478763908
2.52E9                   0.08641081613396367      -0.8815384772953474
2.55E9                   0.006225713211973627     -0.8847979219879127
2.58E9                   -0.0737975919337865      -0.8807902221513617
2.61E9                   -0.15300183750813048     -0.8695699063853998
2.64E9                   -0.2307377773661668      -0.851251490011385
2.67E9                   -0.30636995006636686     -0.826008437758877
2.7E9                    -0.37928221394546063     -0.7940715117359668
2.73E9                   -0.4488830125360462      -0.75572659785308
2.76E9                   -0.5146103567943897      -0.7113120693643884
2.79E9                   -0.5759365106148728      -0.6612157229530372
2.82E9                   -0.6323723588552896      -0.6058713124654176
2.85E9                   -0.6834714304125158      -0.5457547037619925
2.88E9                   -0.7288335446781832      -0.481379677371445
2.91E9                   -0.7681080486384968      -0.41329341068374137
2.94E9                   -0.8009966132541712      -0.34207167677272904
2.97E9                   -0.8272555607580693      -0.2683138020327177
3.0E9                    -0.8466976988621728      -0.19263742913440463
3.03E9                   -0.8591936431052464      -0.11567313518037584
3.06E9                   -0.8646726143335148      -0.038058957575254404
3.09E9                   -0.863122704546273       0.03956511826164555
3.12E9                   -0.8545906107896599      0.11656265483610828
3.15E9                   -0.8391808431679009      0.19230618776518926
3.18E9                   -0.8170544193348409      0.26618252750769544
3.21E9                   -0.7884270636197814      0.33759788711113314
3.24E9                   -0.7535669341746298      0.4059827885746202
3.27E9                   -0.7127919059822855      0.4707967040796687
3.3E9                    -0.6664664411656083      0.5315323923156658
3.33E9                   -0.6149980809717261      0.5877198939582089
3.36E9                   -0.5588335960451641      0.6389301541730195
3.39E9                   -0.49845483368036386     0.6847782432689823
3.42E9                   -0.4343743027075682      0.7249261497296793
3.45E9                   -0.36713053913844373     0.7590851226213116
3.48E9                   -0.29728329859632446     0.7870175435605087
3.51E9                   -0.22540862515341678     0.8085383122625089
3.54E9                   -0.15209385004904893     0.8235157349821329
3.57E9                   -0.07793257713205577     0.8318719123308391
3.6E9                    -0.003519713787948575    0.833582631952759
3.63E9                   0.07055339455449108      0.8286767818282705
3.66E9                   0.14370367208035403      0.8172353102097377
3.69E9                   0.21536081478327454      0.7993897669833422
3.72E9                   0.28497154801532165      0.7753204677299621
3.75E9                   0.3520036095043095       0.7452543258558106
3.78E9                   0.41594943713834276      0.7094624006237198
3.81E9                   0.47632955110942704      0.6682572098948936
3.84E9                   0.5326956312658807       0.6219898551224411
3.87E9                   0.58463330290919         0.5710470004490719
3.9E9                    0.6317646543962625       0.5158477363317451
3.93E9                   0.6737505142876625       0.456840341473038
3.96E9                   0.7102925107240815       0.3944989391718377
3.99E9                   0.7411349214554908       0.3293200312526081
4.02E9                   0.7660663034517654       0.2618188894546027
4.05E9                   0.7849208725679611       0.1925257923605164
4.08E9                   0.7975795926622301       0.12198211245040863
4.11E9                   0.8039709326353063       0.05073627767595809
4.14E9                   0.8040712587028431       -0.020660351191423787
4.17E9                   0.7979048442167382       -0.09165763613571457
4.2E9                    0.7855434960069634       -0.16171079735316896
4.23E9                   0.767105810365409        -0.23028448096000798
4.26E9                   0.7427560807458339       -0.29685672125327667
4.29E9                   0.7127028820617387       -0.3609227709157095
4.32E9                   0.6771973540002826       -0.42199878162071686
4.35E9                   0.6365312002766441       -0.4796253224733449
4.38E9                   0.5910344149236962       -0.5333707242193685
4.41E9                   0.5410727429221612       -0.5828342341013594
4.44E9                   0.4870448818955948       -0.6276489615875065
4.47E9                   0.42937943426725483      -0.6674845908528639
4.5E9                    0.3685316241118741       -0.7020498333604106
4.53E9                   0.3049797989346411       -0.7310945935812264
4.56E9                   0.2392217425591051       -0.7544118229537512
4.59E9                   0.17177083035740337      -0.7718390413289001
4.62E9                   0.10315206161321094      -0.7832595108672096
4.65E9                   0.03389800489560759      -0.7886030540411793
4.68E9                   -0.035455309129399204    -0.7878465137103738
4.71E9                   -0.10437251702141365     -0.7810138577304826
4.74E9                   -0.17232304858380162     -0.7681759317552498
4.77E9                   -0.23878522772759203     -0.749449861571494
4.8E9                    -0.3032503264103481      -0.7249981018473234
4.83E9                   -0.36522654542412725     -0.6950271243810097
4.86E9                   -0.42424288778641706     -0.6597857388271482
4.89E9                   -0.4798528819930679      -0.619563044045295
4.92E9                   -0.5316381064159397      -0.5746860183259993
4.95E9                   -0.579211465040356       -0.5255167697275095
4.98E9                   -0.622220169356833       -0.4724494807579589
5.01E9                   -0.6603483908880226      -0.415907092113586
5.04E9                   -0.693319561970662       -0.35633777608937817
5.07E9                   -0.7208983168389017      -0.29421125024512884
5.1E9                    -0.7428920776840514      -0.23001497572418483
5.13E9                   -0.7591522980903586      -0.16425027314361393
5.16E9                   -0.7695753760500965      -0.09742837598206744
5.19E9                   -0.7741032404958145      -0.030066431605772555
5.22E9                   -0.7727236020826596      0.0373165410665827
5.25E9                   -0.765469847702592       0.1042037186133874
5.28E9                   -0.7524205562139329      0.17008452931104318
5.31E9                   -0.7336986235598403      0.2344586464339157
5.34E9                   -0.7094700056678168      0.2968398595462505
5.37E9                   -0.6799421087305046      0.35675977105804146
5.4E9                    -0.6453618698213163      0.4137712823795985
5.43E9                   -0.6060135717547326      0.46745185409037115
5.46E9                   -0.5622164265062909      0.5174065395174634
5.49E9                   -0.5143219470863879      0.5632707966720167
5.52E9                   -0.46271111500439627     0.6047130796028664
5.55E9                   -0.40779134329067585     0.6414372005372067
5.58E9                   -0.3499932351882964      0.6731844423130008
5.61E9                   -0.28976714508863743     0.6997353904422368
5.64E9                   -0.22757956007149618     0.7209114476705589
5.67E9                   -0.16390933549348824     0.7365759933951724
5.7E9                    -0.09924383402282118     0.7466351574415784
5.73E9                   -0.03407502981941768     0.7510381933806629
5.76E9                   0.031104356945744805     0.7497774585022599
5.79E9                   0.09580463922065299      0.7428880294160058
5.82E9                   0.1595428197696528       0.730446995444278
5.85E9                   0.22184611222894618      0.7125724708793385
5.88E9                   0.28225532874876613      0.6894223535447033
5.91E9                   0.34032813891958824      0.6611928392223205
5.94E9                   0.39564219557058533      0.6281166888336073
5.97E9                   0.447798109516115        0.5904612425266852
6.0E9                    0.49642224425350767      0.5485261809822766
