% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 1 2022, 17:34
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4496358802589049       -0.7319779292979247
330000000                0.3754914183238297       -0.7693322092888764
360000000                0.2984747759634669       -0.7994321417981429
390000000                0.21925803923441514      -0.82204668787679
420000000                0.13853976768215723      -0.8370108323731972
450000000                0.05703607145193264      -0.8442276901000622
480000000                -0.024527674019483216    -0.8436697313396779
510000000                -0.10542468304274166     -0.8353791994648191
540000000                -0.18493428066058082     -0.8194677685374684
570000000                -0.26234912382907893     -0.7961154776967381
600000000                -0.33698212122228305     -0.7655689754302643
630000000                -0.4081730303324646      -0.7281391069691563
660000000                -0.4752946993069356      -0.6841978801211095
690000000                -0.5377589149634712      -0.6341748482397223
720000000                -0.595021816787863       -0.5785529527450115
750000000                -0.6465888369056465      -0.5178638715648198
780000000                -0.692019128373992       -0.4526829235398845
810000000                -0.7309294473175095      -0.38362358245708
840000000                -0.7629974589247288      -0.31133165726839845
870000000                -0.7879644419892187      -0.2364791980434273
900000000                -0.8056373725732291      -0.15975818862820423
930000000                -0.8158903727497677      -0.08187408911098787
960000000                -0.8186655167192494      -0.0035392914712215626
990000000                -0.8139729926223778      0.07453344767920674
1020000000               -0.801890624602891       0.15163753398855684
1050000000               -0.7825627657743927      0.22707895972319028
1080000000               -0.7561985787438066      0.3001825649620252
1110000000               -0.7230697260559751      0.3702980776434457
1140000000               -0.6835074984173325      0.4368058770380027
1170000000               -0.6378994136583153      0.4991224288027116
1200000000               -0.586685324054783       0.5567053436890567
1230000000               -0.5303530739251684      0.6090580161533982
1260000000               -0.46943375314338925     0.6557338038920154
1290000000               -0.40449659545526195     0.6963397142725578
1320000000               -0.3361435730991977      0.7305395689286086
1350000000               -0.2650037414451926      0.7580566230913223
1380000000               -0.19172738884964569     0.7786756218750236
1410000000               -0.11698004785417614     0.7922442813146263
1440000000               -0.041436424339210735    0.7986741875227389
1470000000               0.03422569896252164      0.7979411129304239
1500000000               0.10933152891887783      0.7900847539968548
1530000000               0.18321524386176533      0.7752079000579501
1560000000               0.25522583813183497      0.7534750480689394
1590000000               0.32473277858980404      0.7251104828302971
1620000000               0.3911314251490865       0.6903958468327673
1650000000               0.45384817019504936      0.649667228120423
1680000000               0.5123452552688808       0.6033117984539107
1710000000               0.5661252269769443       0.5517640376253354
1740000000               0.6147349981840247       0.4955015829202669
1770000000               0.6577694848141346       0.435040745514079
1800000000               0.6948747932425896       0.370931737901316
1830000000               0.7257509381748503       0.3037536583335163
1860000000               0.7501540761867048       0.2341092795908798
1890000000               0.767898245771746        0.162619690044289
1920000000               0.7788566108120684       0.08991883489718704
1950000000               0.7829622110092821       0.01664800404603823
1980000000               0.7802082297962187       -0.056549689942831986
2010000000               0.770647797457086        -0.1290348059176968
2040000000               0.7543933537682244       -0.2001770118458719
2070000000               0.7316155985485499       -0.2693604525112448
2100000000               0.7025420563063748       -0.3359890552381221
2130000000               0.667455265496606        -0.39949181043794324
2.16E9                   0.6266905624872596       -0.4593280945753961
2.19E9                   0.5806333510550781       -0.5149931198523395
2.22E9                   0.5297156222961672       -0.5660235604037062
2.25E9                   0.4744113408079269       -0.6120032560589389
2.28E9                   0.4152302378048706       -0.6525685672964432
2.31E9                   0.3527097519756446       -0.6874124677962232
2.34E9                   0.2874055573696088       -0.7162860705771736
2.37E9                   0.21988225729845237      -0.7389965371807163
2.4E9                    0.15070669286400806      -0.7554016811162362
2.43E9                   0.08044576777436135      -0.7654036027865535
2.46E9                   0.009668393530525421     -0.7689447627821029
2.49E9                   -0.0610513693278973      -0.7660086398516379
2.52E9                   -0.13113346649137478     -0.7566242807894221
2.55E9                   -0.19999501713314363     -0.7408719827642365
2.58E9                   -0.2670568460851942      -0.7188874175907435
2.61E9                   -0.33175153476240066     -0.690862978612059
2.64E9                   -0.39353132927042567     -0.657046542427743
2.67E9                   -0.4518750277430327      -0.617738470635953
2.7E9                    -0.5062936487900351      -0.5732876602351493
2.73E9                   -0.5563350301095524      -0.5240871771897044
2.76E9                   -0.6015875937147158      -0.4705697412694669
2.79E9                   -0.6416834770937018      -0.41320315977755834
2.82E9                   -0.6763011605369722      -0.3524857255178096
2.85E9                   -0.705167661018121       -0.2889415669003322
2.88E9                   -0.7280603224870301      -0.2231159376021261
2.91E9                   -0.7448082091458336      -0.15557044272699336
2.94E9                   -0.755293096996298       -0.08687820978362643
2.97E9                   -0.7594500550895278      -0.017619022900635915
3.0E9                    -0.7572676084820786      0.051625553528442614
3.03E9                   -0.7487874778235961      0.12027703004187369
3.06E9                   -0.734103894851481       0.1877647908405107
3.09E9                   -0.7133624980036388      0.25353079905151493
3.12E9                   -0.6867588175044778      0.31703417139131523
3.15E9                   -0.6545363641034561      0.3777555865079881
3.18E9                   -0.616984339675065       0.43520149403914704
3.21E9                   -0.574434990604175       0.4889080950575796
3.24E9                   -0.5272606258905014      0.538445068544614
3.27E9                   -0.4758703211229942      0.583419021806895
3.3E9                    -0.4207063272382121      0.6234766445310712
3.33E9                   -0.362240200301852       0.6583075453607523
3.36E9                   -0.3009686664410248      0.6876467465383009
3.39E9                   -0.23740923649838683     0.7112768059764832
3.42E9                   -0.1720955890504323      0.7290295285489403
3.45E9                   -0.1055727495983394      0.7407872209265911
3.48E9                   -0.03839210842295398     0.7464834394565463
3.51E9                   0.028893661174508978     0.7461031815608755
3.54E9                   0.09573570088562261      0.7396824805615143
3.57E9                   0.16159397891341476      0.7273073835942973
3.6E9                    0.22594210009645385      0.7091123213343913
3.63E9                   0.2882717997738025       0.6852779126605217
3.66E9                   0.3480970201194318       0.6560282806203801
3.69E9                   0.40495749254746355      0.6216279818403709
3.72E9                   0.45842178014134377      0.582378666820896
3.75E9                   0.508089764895585        0.5386155949586642
3.78E9                   0.5535945950506147       0.4907041295681316
3.81E9                   0.5946041418000094       0.4390363355303601
3.84E9                   0.6308220557301457       0.3840277899874471
3.87E9                   0.6619885581033427       0.32611468397066384
3.9E9                    0.6878811360251185       0.26575123280277335
3.93E9                   0.7083153131187768       0.20340733103717384
3.96E9                   0.723145623907244        0.13956630470842452
3.99E9                   0.7322668330528874       0.07472255967643208
4.02E9                   0.7356153326135172       0.009378923199408565
4.05E9                   0.7331705551754756       -0.05595646864769449
4.08E9                   0.7249561878401984       -0.1207737895395725
4.11E9                   0.7110409746669746       -0.18456559387564925
4.14E9                   0.6915389468006379       -0.24683120159256744
4.17E9                   0.6666089996330605       -0.30708121303119995
4.2E9                    0.6364538199286142       -0.3648419692538538
4.23E9                   0.6013182318485083       -0.4196598084346375
4.26E9                   0.5614870667042403       -0.47110502420958505
4.29E9                   0.5172826647683859       -0.5187754888380522
4.32E9                   0.4690620953987278       -0.5622999471375173
4.35E9                   0.417214146831015        -0.6013410078470681
4.38E9                   0.36215610359922934      -0.6355978567710211
4.41E9                   0.3043303083208187       -0.664808697856787
4.44E9                   0.24420049997612792      -0.6887529046062046
4.47E9                   0.18224793082214516      -0.7072528444281763
4.5E9                    0.11896728300030013      -0.7201753284339283
4.53E9                   0.054862427292127695     -0.7274326403445
4.56E9                   -0.009557914690984505    -0.7289831093552139
4.59E9                   -0.07378453097303872     -0.7248312106654575
4.62E9                   -0.1373120244926172      -0.7150272009647538
4.65E9                   -0.19964299237989672     -0.6996663205920073
4.68E9                   -0.26029202677371494     -0.6788876137748407
4.71E9                   -0.3187895117666383      -0.652872426764674
4.74E9                   -0.3746852194664852      -0.6218426359672067
4.77E9                   -0.4275517273683758      -0.586058634797565
4.8E9                    -0.47698768031033034     -0.5458170767303414
4.83E9                   -0.5226209007152633      -0.5014483457680229
4.86E9                   -0.5641113172646692      -0.4533137164817307
4.89E9                   -0.6011536475088682      -0.4018021793454393
4.92E9                   -0.633479747516972       -0.3473269397497575
4.95E9                   -0.6608605396167153      -0.2903216408277497
4.98E9                   -0.6831074488665871      -0.23123639927369444
5.01E9                   -0.7000733158633703      -0.1705337699685203
5.04E9                   -0.7116528006098906      -0.10868476271988546
5.07E9                   -0.7177823402057604      -0.04616501911384216
5.1E9                    -0.7184397608214695      0.0165487805858553
5.13E9                   -0.7136436596287634      0.07898226586699458
5.16E9                   -0.7034526553162884      0.14066652371585198
5.19E9                   -0.6879645561618987      0.20114113119943244
5.22E9                   -0.6673154267603754      0.2599571626347166
5.25E9                   -0.6416784761999499      0.3166802207692599
5.28E9                   -0.611262670973148       0.3708934705345639
5.31E9                   -0.5763110081935084      0.42220058581981923
5.34E9                   -0.5370984550602496      0.47022848886094865
5.37E9                   -0.4939296343388202      0.5146297845144218
5.4E9                    -0.4471363772681299      0.5550848557942469
5.43E9                   -0.39707525770316104     0.5913036612219844
5.46E9                   -0.34412517211448324     0.6230273265853767
5.49E9                   -0.2886849630808482      0.6500296363798199
5.52E9                   -0.23117102471699438     0.6721185045680532
5.55E9                   -0.1720147937203537      0.6891374538561368
5.58E9                   -0.11166002490442076     0.7009670740190455
5.61E9                   -0.05055977298087466     0.7075263765632646
5.64E9                   0.010826952563383686     0.708773925122525
5.67E9                   0.07203883219601881      0.7047086064839512
5.7E9                    0.13261608821560406      0.6953699237313011
5.73E9                   0.19210439826788994      0.6808377440870355
5.76E9                   0.25005870587349277      0.6612315115712682
5.79E9                   0.3060467930490061       0.6367090137559072
5.82E9                   0.3596525529356658       0.6074648388541954
5.85E9                   0.41047898548815953      0.5737286511443449
5.88E9                   0.4581509967956612       0.5357633548878104
5.91E9                   0.5023180884999674       0.49386314170115436
5.94E9                   0.5426569839043717       0.44835136085740035
5.97E9                   0.5788741785413487       0.3995781360494286
6.0E9                    0.6107083529774727       0.3479176719250126
