% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 1 2022, 21:02
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.507263443777414        -0.8379023417339968
330000000                0.41879719751454125      -0.8845885017037562
360000000                0.32615073443422954      -0.9219177187755364
390000000                0.2303165556998913       -0.9495288180279333
420000000                0.13231711547410274      -0.9671665740540581
450000000                0.03319323984643568      -0.974684050558928
480000000                -0.0660075661052014      -0.9720436108958626
510000000                -0.16424277766232154     -0.9593166234723643
540000000                -0.2604863346771757      -0.9366818943629032
570000000                -0.3537398160085199      -0.9044228704604896
600000000                -0.44304317476982        -0.8629236684275903
630000000                -0.5274849138391186      -0.812663996546723
660000000                -0.6062115891008216      -0.7542130483746572
690000000                -0.6784365393186232      -0.6882224573260294
720000000                -0.7434477518257968      -0.6154184114222995
750000000                -0.8006147866339254      -0.5365930350818487
780000000                -0.8493946941900969      -0.45259515177569604
810000000                -0.8893368759094626      -0.36432054635691014
840000000                -0.9200868506272933      -0.2727018493768305
870000000                -0.9413889044053886      -0.17869816728151566
900000000                -0.9530876151226455      -0.08328458267301612
930000000                -0.9551282571786635      0.012558352933013299
960000000                -0.9475561049006145      0.10785501413361576
990000000                -0.9305146660076556      0.20164486968092651
1020000000               -0.9042428882717453      0.2929923142400246
1050000000               -0.8690713934905191      0.3809960617027248
1080000000               -0.8254178026728562      0.464798006142614
1110000000               -0.7737812251004381      0.5435914651312577
1140000000               -0.7147359913092544      0.6166287301629696
1170000000               -0.6489247162556904      0.6832278589870383
1200000000               -0.577050783806464       0.7427786553572822
1230000000               -0.4998703472633743      0.7947477925793323
1260000000               -0.41818394293344086     0.8386830481911235
1290000000               -0.3328278147808103      0.8742166279805768
1320000000               -0.24466504812035322     0.9010675681782546
1350000000               -0.15457660894883285     0.9190432150331449
1380000000               -0.06345238329922402     0.9280397907997213
1410000000               0.027817692340794942     0.9280420645236994
1440000000               0.1183523225584887       0.9191221546932161
1470000000               0.2072872844251089       0.9014374988492838
1500000000               0.2937835222694014       0.8752280324960386
1530000000               0.37703483527771575      0.8408126261649578
1560000000               0.4562750940808826       0.7985848351594361
1590000000               0.5307849292475687       0.7490080213931878
1620000000               0.59989784180814         0.6926099108352484
1650000000               0.663005693301124        0.6299766533285727
1680000000               0.7195635402815231       0.5617464540560659
1710000000               0.7690937856922752       0.48860284774503715
1740000000               0.8111896271353782       0.4112676876150448
1770000000               0.8455177894590697       0.33049392152717755
1800000000               0.8718205366532076       0.24705822730025773
1830000000               0.8899169654255332       0.16175357818454034
1860000000               0.8997035903570428       0.07538180750030486
1890000000               0.9011542379892028       -0.011253761101090332
1920000000               0.8943192748716435       -0.0973555553744794
1950000000               0.8793242022396633       -0.18213881100281215
1980000000               0.8563676576601275       -0.2648383933998301
2010000000               0.8257188709907706       -0.34471534595353404
2040000000               0.7877146271294443       -0.42106314131192585
2070000000               0.7427557885372722       -0.4932136337112587
2100000000               0.6913034209201258       -0.560542739254748
2130000000               0.6338745366377427       -0.6224759052398675
2.16E9                   0.5710374085926845       -0.6784934603772159
2.19E9                   0.5034062982937354       -0.7281359396583399
