% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 21 2022, 20:58
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5000197140883248       -0.8268268900891367
330000000                0.4132551646246036       -0.8716814481170858
360000000                0.3226632451969218       -0.9074873606774251
390000000                0.2291694988739808       -0.9339350261568775
420000000                0.13372646706872882      -0.950807459319784
450000000                0.03730361145903789      -0.9579835927273441
480000000                -0.05912304813351099     -0.9554400920437631
510000000                -0.15458137556051313     -0.9432517955242009
540000000                -0.24811347387888683     -0.921590867608639
570000000                -0.33878581363775173     -0.8907247463763386
600000000                -0.42569900798978744     -0.8510129610440451
630000000                -0.5079971207600578      -0.8029028967746484
660000000                -0.5848764049673264      -0.7469245872035243
690000000                -0.655593378391096       -0.6836846202580391
720000000                -0.7194721536899599      -0.6138592480057051
750000000                -0.7759109512035494      -0.5381867963581118
780000000                -0.824387733185014       -0.4574594755522163
810000000                -0.8644649102999218      -0.37251469576579255
840000000                -0.8957930825961546      -0.2842259954302974
870000000                -0.9181137893130047      -0.19349369142452977
900000000                -0.9312612538871632      -0.10123536084147913
930000000                -0.935163122368122       -0.008376263451731545
960000000                -0.9298402051456904      0.0841601882747211
990000000                -0.9154052429971303      0.1754618073474445
1020000000               -0.8920607291950584      0.26463675930444686
1050000000               -0.8600958293156735      0.35082234359956527
1080000000               -0.819882449568707       0.43319334148599326
1110000000               -0.7718705127393272      0.5109698494799315
1140000000               -0.7165825081449915      0.583424525456107
1170000000               -0.6546073882494856      0.6498891829686452
1200000000               -0.586593889829399       0.7097606781996147
1230000000               -0.5132433617302093      0.7625060432865255
1260000000               -0.4353021841238466      0.8076668293603648
1290000000               -0.35355386635602815     0.8448626319477346
1320000000               -0.2688109111212235      0.8737937811164577
1350000000               -0.18190653272455554     0.894243187931201
1380000000               -0.0936863160130324      0.9060773479137261
1410000000               -0.004999900588071072    0.9092465108866646
1440000000               0.0833072279591459       0.9037840348312056
1470000000               0.1704017616227061       0.889804949127266
1500000000               0.25547033442997336      0.8675037596934572
1530000000               0.33772695877383935      0.8371515350910826
1560000000               0.41642006992282127      0.7990923185326491
1590000000               0.49083912085273307      0.753738915922462
1620000000               0.5603206756655567       0.7015681145721184
1650000000               0.6242539562927694       0.6431153910374824
1680000000               0.6820858037987624       0.5789691696338011
