% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 1 2022, 17:16
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5058232627884228       -0.837103385039502
330000000                0.4174315338770166       -0.8835549841435795
360000000                0.324900031606877        -0.9206633898739931
390000000                0.22921709978220284      -0.9480734963591207
420000000                0.1314005334374107       -0.965535117457881
450000000                0.03248613417910597      -0.9729053856873927
480000000                -0.06648386439222342     -0.970149811614
510000000                -0.16447234902620683     -0.9573420328694966
540000000                -0.2604587130590003      -0.9346622890627562
570000000                -0.3534499395307525      -0.9023946686109346
600000000                -0.44249125217476015     -0.8609231843802517
630000000                -0.5266762130676533      -0.8107267463102279
660000000                -0.6051561551846862      -0.7523731102446787
690000000                -0.677148848842005       -0.686511892274375
720000000                -0.7419463121166372      -0.6138667472575087
750000000                -0.7989216879973722      -0.5352268179399624
780000000                -0.847535123845254       -0.4514375678113415
810000000                -0.8873386026668542      -0.36339111545401653
840000000                -0.9179796893201178      -0.2720161918296321
870000000                -0.939204169042847       -0.17826784343504953
900000000                -0.9508575695851168      -0.08311700438927938
930000000                -0.952885571890949       0.012459940891175223
960000000                -0.9453333275267838      0.10749148586764981
990000000                -0.9283437136011807      0.20102110678682883
1020000000               -0.9021545676893252      0.2921170358468437
1050000000               -0.8670949561090092      0.3798816012205066
1080000000               -0.8235805386874818      0.46346004035937327
1110000000               -0.7721081017879023      0.5420487019652923
1140000000               -0.713249338798619       0.614902561537274
1170000000               -0.647643963462035       0.6813419855499556
1200000000               -0.5759922462833996      0.7407586898720901
1230000000               -0.49904706788278114     0.7926208487693478
1260000000               -0.4176055854660809      0.8364773217012846
1290000000               -0.3325006097072105      0.8719609758847091
1320000000               -0.2445917891989634      0.898791093202365
1350000000               -0.1547566984808249      0.9167748602377532
1380000000               -0.0638819234103785      0.9258079500469671
1410000000               0.027145765607708584     0.9258742135664648
1440000000               0.11744806596924172      0.9170445071849761
1470000000               0.20616353910390278      0.8994746910128075
1500000000               0.29245567430462777      0.8734028396223144
1530000000               0.3755205499114784       0.8391457135193114
1560000000               0.4545940280513991       0.7970945452978594
1590000000               0.5289584259231427       0.7477101993435384
1620000000               0.5979486137974986       0.6915177680229965
1650000000               0.6609574970985627       0.6291006706381888
1680000000               0.717440847395697        0.5610943239542602
1710000000               0.76692145457288         0.488179454932423
1740000000               0.8089925799887983       0.41107512732187995
1770000000               0.8433206978447636       0.3305315542334766
1800000000               0.8696475195275313       0.24732276841295478
1830000000               0.8877913031017425       0.16223922098730478
1860000000               0.8976474576821772       0.07608037760313467
1890000000               0.899188459967748        -0.010352621743675154
1920000000               0.8924631079744079       -0.09626417676350436
1950000000               0.8775951448601109       -0.18087125767732126
1980000000               0.8547812936192063       -0.2634102033630896
2010000000               0.8242887507603331       -0.34314324831107507
2040000000               0.7864521926222473       -0.4193647556180704
2070000000               0.7416703488673279       -0.49140715555264863
2100000000               0.6904021884590006       -0.5586466192036615
2130000000               0.6331627343719582       -0.6205085331963224
2.16E9                   0.5705184602623866       -0.6764728750173413
2.19E9                   0.5030821096425587       -0.7260795942416602
2.22E9                   0.43150661357231623      -0.7689340304077138
2.25E9                   0.35647761261501076      -0.8047121632429551
2.28E9                   0.27870406069694964      -0.8331650289043371
2.31E9                   0.1989067730031122       -0.8541210209652847
2.34E9                   0.11780582168398973      -0.8674844312130378
2.37E9                   0.03610916867545679      -0.873229208808313
2.4E9                    -0.04549423628559027     -0.8713889835672639
2.43E9                   -0.12633492684278844     -0.8620470068243427
2.46E9                   -0.2057583856997699      -0.8453305098946258
2.49E9                   -0.28312000863010534     -0.8214116050581272
2.52E9                   -0.35778406984957406     -0.7905128807027003
2.55E9                   -0.4291282474693329      -0.7529135572319273
2.58E9                   -0.49655213588517744     -0.7089528105663288
2.61E9                   -0.5594869855404841      -0.659029153708455
2.64E9                   -0.6174045444671119      -0.6035965816397103
2.67E9                   -0.6698240828773164      -0.5431588018178751
2.7E9                    -0.7163175701280187      -0.4782626635968577
2.73E9                   -0.7565133534244257      -0.4094914455728814
2.76E9                   -0.7900987300591235      -0.33745828713715265
2.79E9                   -0.8168217108762553      -0.2627998370527982
2.82E9                   -0.836492160853924       -0.18617010167554998
2.85E9                   -0.8489824172420051      -0.10823445420360023
2.88E9                   -0.8542274324017692      -0.02966377502514409
2.91E9                   -0.8522244600625378      0.04887128977091651
2.94E9                   -0.8430322911042553      0.12670594789477932
2.97E9                   -0.8267700416723347      0.20318674170605605
3.0E9                    -0.803615498019735       0.2776768646006005
3.03E9                   -0.7738030265830202      0.3495612815623235
3.06E9                   -0.7376210630264373      0.4182516196536019
3.09E9                   -0.6954091995271783      0.4831907937613853
3.12E9                   -0.6475548948367278      0.5438573344444436
3.15E9                   -0.5944898361565011      0.5997693878777387
3.18E9                   -0.5366859849785203      0.6504883624407642
3.21E9                   -0.4746513402885468      0.6956222016668927
3.24E9                   -0.4089254517030913      0.734828268156769
3.27E9                   -0.3400747121678907      0.7678158266909678
3.3E9                    -0.2686874557983222      0.7943481158171277
3.33E9                   -0.19536888232287739     0.8142439951528678
3.36E9                   -0.12073582730336413     0.8273791502410065
3.39E9                   -0.04541139866260746     0.8336868288118598
3.42E9                   0.029980493400971576     0.8331580733757428
3.45E9                   0.1048206732103017       0.8258414076932367
3.48E9                   0.1785002442848631       0.8118419321120065
3.51E9                   0.25042605982586735      0.7913197885846399
3.54E9                   0.32002601329095487      0.7644879733176996
3.57E9                   0.3867540251178541       0.7316095043272158
