% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 21 2022, 20:26
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.488356997865828        -0.8263598312239783
330000000                0.4010712442970933       -0.8695384095141444
360000000                0.31026264673478077      -0.9035770790897278
390000000                0.21685610362810906      -0.9282233681305597
420000000                0.12179517810349996      -0.9433120178068329
450000000                0.026033751736297007     -0.9487680892225335
480000000                -0.06947294446931772     -0.9446087420214644
510000000                -0.16377762646704835     -0.9309437250572629
540000000                -0.2559503458665902      -0.9079746335022423
570000000                -0.3450877845767557      -0.8759929956073229
600000000                -0.43032229635855723     -0.8353772582978052
630000000                -0.5108305610096532      -0.7865887462323681
660000000                -0.5858417342363221      -0.7301666743007216
690000000                -0.6546449917172298      -0.6667222988007079
720000000                -0.716596379704559       -0.5969322975078446
750000000                -0.7711248973989618      -0.5215314734373967
780000000                -0.817737748696084       -0.4413048812535621
810000000                -0.8560247134705611      -0.3570794782189871
840000000                -0.8856616004742558      -0.269715404046513
870000000                -0.9064127560453082      -0.18009699527785786
900000000                -0.918132614733422       -0.08912363984487437
930000000                -0.9207662894467119      0.00229942329102906
960000000                -0.9143492100430723      0.09327025658476046
990000000                -0.899005830059034       0.1828992289875669
1020000000               -0.8749474314341378      0.2703177779468598
1050000000               -0.8424690666988202      0.3546868380420602
1080000000               -0.8019456867881737      0.43520485206538706
1110000000               -0.7538275106625223      0.5111152867712353
1140000000               -0.6986346998110902      0.5817135834963088
1170000000               -0.6369514069190236      0.646353481446642
1200000000               -0.5694192728009533      0.7044526603512387
1230000000               -0.4967304499552048      0.7554976576101841
1260000000               -0.41962023390923164     0.799048024342842
1290000000               -0.33885938550190514     0.8347396937530407
1320000000               -0.2552462282952867      0.862287544208908
1350000000               -0.16959860517948774     0.8814871484682926
1380000000               -0.08274577743681029     0.8922157090560385
1410000000               0.004479652448571692     0.8944321882466575
1440000000               0.0912497153078208       0.8881766489480593
1470000000               0.1767488717596315       0.8735688303327699
1500000000               0.2601815590379287       0.8508059889398342
1530000000               0.34077942125838057      0.8201600423894043
1560000000               0.41780816133279797      0.7819740585139972
1590000000               0.4905739579426607       0.736658137930573
1620000000               0.5584293971958427       0.6846847424228822
1650000000               0.6207788744204056       0.626583525417266
1680000000               0.6770834280988091       0.5629357238845508
1710000000               0.7268649743667212       0.4943681735941732
1740000000               0.7697099172312143       0.42154701146230056
1770000000               0.805272116469999        0.34517112998733274
1800000000               0.8332752020594235       0.26596544937185723
1830000000               0.8535142310711632       0.18467407287382398
1860000000               0.8658566902220649       0.10205339014489519
1890000000               0.8702428547911165       0.018865191649919795
1920000000               0.8666855224961325       -0.06413014552868525
1950000000               0.8552691492087959       -0.14618034450021744
1980000000               0.8361484220249538       -0.22654773886260438
2010000000               0.8095463137563261       -0.30451556747841835
2040000000               0.7757516702207582       -0.3793940303621473
2070000000               0.735116384927202        -0.4505261053862367
2100000000               0.6880522093958593       -0.5172931578625947
2130000000               0.6350272208503498       -0.5791204168876479
2.16E9                   0.5765619065488109       -0.6354824352671913
2.19E9                   0.5132247058791789       -0.6859086699529913
2.22E9                   0.4456266685133443       -0.7299892625686684
2.25E9                   0.37441467740603457      -0.7673808751028575
2.28E9                   0.30026259403537203      -0.797811955887122
2.31E9                   0.2238600012725984       -0.821086116145775
