% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 1 2022, 22:01
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.41184732980269845      -0.7748001646299708
330000000                0.3283391508234068       -0.8109565806520301
360000000                0.24187463189763747      -0.8383468305437568
390000000                0.15334212418992887      -0.8567235028790873
420000000                0.06365603555571316      -0.8659326053861518
450000000                -0.026254543631897144    -0.865915388414541
480000000                -0.11545674565407787     -0.856709176234627
510000000                -0.20302476992353738     -0.8384471492249381
540000000                -0.28805041026125994     -0.811357003197395
570000000                -0.3696532011690593      -0.7757585209559988
600000000                -0.4469901281665853      -0.7320601007229115
630000000                -0.5192648277715002      -0.6807542939260817
660000000                -0.5857362025633147      -0.6224124100114814
690000000                -0.6457263708065387      -0.5576782561668066
720000000                -0.6986278751227069      -0.4872610873595802
750000000                -0.74391007967735        -0.4119278495164138
780000000                -0.7811246915326421      -0.3324948071928275
810000000                -0.8099103515147809      -0.24981865213935836
840000000                -0.8299962485765745      -0.16478719675353695
870000000                -0.8412047239928809      -0.07830975726120647
900000000                -0.8434528411991338      0.008692661333613233
930000000                -0.8367529104023366      0.09529726842236219
960000000                -0.8212119681227975      0.18058936671028858
990000000                -0.7970302243697094      0.26367209534646524
1020000000               -0.7644985014189916      0.3436759304906412
1050000000               -0.7239947003562783      0.4197678364447268
1080000000               -0.6759793414551938      0.49115996973450127
1110000000               -0.620990235936677       0.557117840824889
1140000000               -0.5596363543765975      0.6169678489487349
1170000000               -0.4925909675779144      0.6701041102598586
1200000000               -0.42058414115424336     0.7159945115371112
1230000000               -0.34439467259260664     0.7541859295388463
1260000000               -0.26484156426581446     0.7843085669752844
1290000000               -0.18277512996304318     0.8060793665905571
1320000000               -0.09906783471894531     0.8193044758359607
1350000000               -0.01460497002697263     0.8238807452364958
1380000000               0.06972473427570929      0.8197962548042549
1410000000               0.15303845999586338      0.8071298732576976
1440000000               0.23446851409270605      0.7860498653320989
1470000000               0.31317130903977675      0.7568115724812379
1500000000               0.3883360193663638       0.7197542014469035
1530000000               0.45919282617014584      0.6752967644900735
1560000000               0.5250206693640628       0.6239332227794051
1590000000               0.5851544326409652       0.5662268919807415
1620000000               0.6389914930150923       0.5028041761945495
1650000000               0.6859975753985772       0.43434770142983975
1680000000               0.7257118597019887       0.3615889254662406
1710000000               0.757751296761105        0.2853003049481936
1740000000               0.7818140982835406       0.2062871032879995
1770000000               0.7976823743449796       0.125378926334135
1800000000               0.8052239017528209       0.04342107293407887
1830000000               0.8043930152309486       -0.03873421082272909
1860000000               0.7952306230772334       -0.12023648650537014
1890000000               0.7778633580273255       -0.20024580102435585
1920000000               0.752501883327857        -0.27794120478075884
1950000000               0.7194383830286242       -0.3525290314355153
1980000000               0.6790432737415988       -0.4232508681896112
2010000000               0.6317611819927361       -0.48939115418965234
2040000000               0.578106236025022        -0.5502843562149016
2070000000               0.5186567197528096       -0.6053216872954439
2100000000               0.45404912778136525      -0.6539573503973581
2130000000               0.38497163654217137      -0.6957143060407076
2.16E9                   0.31215696282071853      -0.7301895672947462
2.19E9                   0.23637451495193249      -0.7570589989642905
2.22E9                   0.1584216675417146       -0.7760815075122531
2.25E9                   0.07911395948167073      -0.7871023188913112
2.28E9                   -7.258635805298397E-4    -0.790054755790072
2.31E9                   -0.08027962489614211     -0.7849596670469184
2.34E9                   -0.15874522950596184     -0.7719217453116771
2.37E9                   -0.2353461004445573      -0.7511227806892936
2.4E9                    -0.30933679458475827     -0.7228134096931086
2.43E9                   -0.38000456325640297     -0.687306174424392
2.46E9                   -0.4466689530650527      -0.6449722900620035
2.49E9                   -0.5086827935811152      -0.5962421993089393
2.52E9                   -0.5654368244935112      -0.5416075238004122
2.55E9                   -0.6163677463892301      -0.4816214075656331
2.58E9                   -0.6609677160267421      -0.4168955791401627
2.61E9                   -0.6987931898501922      -0.3480942324309462
2.64E9                   -0.7294719261957261      -0.27592580800506156
2.67E9                   -0.7527079017190469      -0.20113381838689684
2.7E9                    -0.7682844120046575      -0.12448748318860124
2.73E9                   -0.7760657479971572      -0.04677254445771474
2.76E9                   -0.775997767609286       0.03121761716198645
2.79E9                   -0.768107566282226       0.10869055462471072
2.82E9                   -0.752502358051891       0.18486302958270398
2.85E9                   -0.7293676231191176      0.2589689948007252
2.88E9                   -0.6989645514860103      0.3302672676440553
2.91E9                   -0.6616268042037676      0.39804886069374706
2.94E9                   -0.6177566156970109      0.46164392302245
2.97E9                   -0.5678202672391951      0.5204282387448048
3.0E9                    -0.512342969912462       0.5738292272894653
3.03E9                   -0.45190320394569317     0.6213313908656124
3.06E9                   -0.3871265693507656      0.6624811583176151
3.09E9                   -0.318679209422873       0.6968910806091895
3.12E9                   -0.24726087449371326     0.7242433400723013
3.15E9                   -0.17359769675754394     0.7442925441864158
3.18E9                   -0.09843474916865579     0.7568677830755541
3.21E9                   -0.02252846086793934     0.7618739385020104
3.24E9                   0.0533610397665715       0.7592922391598461
3.27E9                   0.1284775868001951       0.7491800626927246
3.3E9                    0.2020765780420689       0.7316699879141062
3.33E9                   0.2734324525401366       0.7069681019671373
3.36E9                   0.341845980338937        0.6753515670927123
3.39E9                   0.40665129594603117      0.6371654519509395
3.42E9                   0.46722260013429884      0.5928188347405263
3.45E9                   0.5229804441414129       0.5427801921195503
3.48E9                   0.5733975000752608       0.48757210065497436
3.51E9                   0.6180037127873409       0.42776529781306494
3.54E9                   0.6563907270229206       0.3639721763876734
3.57E9                   0.6882154924203054       0.29683981715988333
3.6E9                    0.7132029704233468       0.22704269462614068
3.63E9                   0.731147901580642        0.1552752119565537
3.66E9                   0.7419156325286796       0.08224423069598369
3.69E9                   0.7454420442811327       0.008661753749203074
3.72E9                   0.7417326592453581       -0.06476209778585361
3.75E9                   0.7308610329074625       -0.13732569950419235
3.78E9                   0.7129665585569992       -0.20834204538479423
3.81E9                   0.6882518324539841       -0.2771443277762737
3.84E9                   0.6569797387208564       -0.34309097490411405
3.87E9                   0.619470407005943        -0.40557020599749294
3.9E9                    0.5760981582428503       -0.4640042277440469
3.93E9                   0.5272884798269383       -0.5178532411547533
3.96E9                   0.47351497382298935      -0.5666194303075787
3.99E9                   0.4152961292850808       -0.6098510518350169
4.02E9                   0.3531917156208927       -0.6471466455554616
4.05E9                   0.2877985995222758       -0.678159271456385
4.08E9                   0.21974585230428137      -0.7026005827312582
4.11E9                   0.14968911607912058      -0.7202444961958726
4.14E9                   0.07830430389226405      -0.7309302296739242
4.17E9                   0.00628079224476732      -0.7345645309992374
4.2E9                    -0.06568569245675882     -0.7311230037192544
4.23E9                   -0.13690029215756302     -0.7206505163098985
4.26E9                   -0.20667617221841672     -0.7032607445619483
4.29E9                   -0.2743414964904255      -0.679134929984799
4.32E9                   -0.339246155258089       -0.6485199396699128
4.35E9                   -0.40076821365702264     -0.6117256936076856
4.38E9                   -0.45832006078750215     -0.5691219974347762
4.41E9                   -0.5113542324987762      -0.5211347954990434
4.44E9                   -0.5593688620557573      -0.4682418495203621
4.47E9                   -0.6019126924576366      -0.41096785412556947
4.5E9                    -0.6385895703363123      -0.3498790187778835
4.53E9                   -0.6690623383724745      -0.28557717012006584
4.56E9                   -0.6930560512946541      -0.21869345420630615
4.59E9                   -0.7103604595836922      -0.14988173895016546
4.62E9                   -0.7208317315892843      -0.07981183032237482
4.65E9                   -0.7243934160659766      -0.00916261697461981
4.68E9                   -0.7210366766242672      0.0613847544110267
4.71E9                   -0.7108198498298836      0.13115359582471114
4.74E9                   -0.6938673825617386      0.199478240742429
4.77E9                   -0.670368189453213       0.2657104333021937
4.8E9                    -0.6405734437032846      0.32922553414998107
4.83E9                   -0.6047937869353271      0.3894285211345101
4.86E9                   -0.5633959304456503      0.44575973283343456
4.89E9                   -0.516798629834612       0.49770026674978385
4.92E9                   -0.4654680471397854      0.5447769167319155
4.95E9                   -0.4099125601522879      0.5865665269865205
4.98E9                   -0.35067712559853864     0.6226996563220668
5.01E9                   -0.2883373390418183      0.652863484447157
5.04E9                   -0.22349335148181995     0.6768039443365277
5.07E9                   -0.15676379425765        0.69432712202088
5.1E9                    -0.08877982896967147     0.7053000143030097
5.13E9                   -0.020179382123333058    0.7096507620069631
5.16E9                   0.04839844091328516      0.7073684690784507
5.19E9                   0.11631881878504675      0.6985026733860413
5.22E9                   0.18295662377647837      0.6831624669952334
5.25E9                   0.2477018135790212       0.6615152006849788
5.28E9                   0.3099647706080479       0.6337846821286113
5.31E9                   0.36918148227526654      0.6002488062054867
5.34E9                   0.4248184197538725       0.5612366278242713
5.37E9                   0.4763769928232929       0.5171249670097023
5.4E9                    0.5233975242703001       0.4683346841701364
5.43E9                   0.5654627667366388       0.4153267600359083
5.46E9                   0.6022010431336331       0.35859826582134496
5.49E9                   0.6332891085470156       0.29867823927428144
5.52E9                   0.6584548067228639       0.23612341916300555
5.55E9                   0.6774795415135941       0.1715137534980393
5.58E9                   0.6902005213351338       0.10544759221534908
5.61E9                   0.6965126780663188       0.03853650172883347
