% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 1 2022, 21:51
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.4513277996963879       -0.8656972823463622
330000000                0.3547991707173472       -0.9084983987772278
360000000                0.25437353002330826      -0.9405685871573222
390000000                0.15123515641811577      -0.9615703566457855
420000000                0.046597075133158763     -0.9712959326565875
450000000                -0.05831349716757455     -0.9696699715310774
480000000                -0.1622699224948237      -0.9567504701811368
510000000                -0.26406090067854154     -0.9327279095674558
540000000                -0.3625050072616971      -0.8979226807866374
570000000                -0.45646481309715237     -0.852780855943287
600000000                -0.5448603996159415      -0.7978683814481004
630000000                -0.6266820959470447      -0.7338637875833756
660000000                -0.7010022772048716      -0.6615495242176149
690000000                -0.7669860772877932      -0.5818020484961599
720000000                -0.8239008863942838      -0.4955808041367242
750000000                -0.8711245204072091      -0.40391624525058667
780000000                -0.9081519688362136      -0.30789706789247345
810000000                -0.9346006477699849      -0.20865682149359382
840000000                -0.95021410546833        -0.10736007811492387
870000000                -0.9548641494912661      -0.005188341460692952
900000000                -0.9485513860338328      0.09667412183328826
930000000                -0.9314041834559055      0.19705434738925423
960000000                -0.9036760929616758      0.29480445794256893
990000000                -0.8657417794245177      0.38881499750633053
1020000000               -0.8180915342495951      0.4780276535932977
1050000000               -0.7613244595851745      0.5614472172811314
1080000000               -0.6961404289721044      0.6381526438075852
1110000000               -0.6233309434031616      0.7073070909811571
1140000000               -0.5437690135083807      0.7681668286689378
1170000000               -0.4583982082575789      0.8200889294961652
1200000000               -0.36822101801487017     0.8625376685452338
1230000000               -0.2742866847574869      0.895089578062162
1260000000               -0.17767865541629657     0.9174371212252043
1290000000               -0.07950181470274612     0.9293909672858954
1320000000               0.019130347327546815     0.9308808679042024
1350000000               0.11710848120728007      0.9219551515903529
1380000000               0.21333989086651892      0.9027788692818943
1410000000               0.30676067339920565      0.8736306391963868
1440000000               0.39634735421968514      0.8348982530223831
1470000000               0.4811278954455176       0.7870731181502235
1500000000               0.5601919659995728       0.7307436218582005
