% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 09:43
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5932081488033276       -0.74124236591397
330000000                0.5255653089748743       -0.7896657649384795
360000000                0.45410132959376864      -0.8320137430701003
390000000                0.37934398121201984      -0.8679811896306282
420000000                0.30184896791631477      -0.897309217571785
450000000                0.22219493800531132      -0.9197877348151302
480000000                0.14097854485581998      -0.935257475624863
510000000                0.058809513398309754     -0.943611533158224
540000000                -0.023694299499160822    -0.9447964154952848
570000000                -0.10591184473219428     -0.9388126385233628
600000000                -0.18722380351180698     -0.925714864594228
630000000                -0.2670174681848369      -0.9056115944649022
660000000                -0.34469155269443397     -0.8786644203516429
690000000                -0.4196609011963956      -0.8450868493988319
720000000                -0.49136106208707475     -0.8051427088884022
750000000                -0.5592526938956188      -0.7591441471516357
780000000                -0.6228257700406088      -0.7074492467258567
810000000                -0.6816035498339277      -0.6504592693223533
840000000                -0.7351462845452701      -0.5886155549986516
870000000                -0.783054629047559       -0.5223961007493112
900000000                -0.8249727318448923      -0.45231184605721886
930000000                -0.8605909780332528      -0.37890269635878965
960000000                -0.8896483634522389      -0.3027333164828711
990000000                -0.9119344805752695      -0.22438872898110296
1020000000               -0.9272911002241463      -0.1444697536840164
1050000000               -0.9356133366474595      -0.06358832602852242
1080000000               -0.9368503869780652      0.017637266922740546
1110000000               -0.9310058398563577      0.09858719351330986
1140000000               -0.9181375517049202      0.1786448878986303
1170000000               -0.8983570928907219      0.2572018242515883
1200000000               -0.871828769808872       0.3336622154918432
1230000000               -0.8387682323827393      0.4074475988360444
1260000000               -0.7994406802629932      0.47800127049026164
1290000000               -0.7541586841511198      0.544792534490535
1320000000               -0.7032796419050602      0.6073207320007169
1350000000               -0.6472028921869313      0.6651190194811115
1380000000               -0.5863665108828079      0.7177578669257677
1410000000               -0.521243818026629       0.7648482497979396
1440000000               -0.4523396253107955      0.806044511015101
1470000000               -0.38018625555425684     0.8410468727927083
1500000000               -0.30533936768154446     0.869603580726197
1530000000               -0.22837362126976687     0.8915126662193775
1560000000               -0.14987821604164184     0.9066233162873015
1590000000               -0.07045234202419444     0.9148368432207437
1620000000               0.009299423689694565     0.9161072498405654
1650000000               0.08877173778582553      0.9104413892830574
1680000000               0.1673630934986431       0.8978987214125589
1710000000               0.24448037067655568      0.8785906710251532
1740000000               0.3195432989324113       0.8526795959621047
1770000000               0.3919888013246734       0.8203773759957139
1800000000               0.46127518681351776      0.7819436360919598
1830000000               0.5268861616937216       0.7376836200637977
1860000000               0.5883346316742236       0.6879457330104484
1890000000               0.6451662682582733       0.633118773037367
1920000000               0.6969628150699538       0.5736288746844835
1950000000               0.7433451118246865       0.5099361883650102
1980000000               0.783975816048637        0.4425313215366254
2010000000               0.8185618049625387       0.3719315687320863
2040000000               0.8468562424213503       0.29867695864981875
2070000000               0.8686602983641049       0.2233261473642596
2100000000               0.8838245108867295       0.14645218698619414
2130000000               0.8922497834664793       0.0686381991528101
2.16E9                   0.8938880120151499       -0.009527017817715137
2.19E9                   0.8887423377455026       -0.08745342042225532
2.22E9                   0.8768670216308898       -0.16455416327215988
2.25E9                   0.8583669342462792       -0.24025002658827807
2.28E9                   0.8333966516444186       -0.31397379629828287
2.31E9                   0.8021591475747158       -0.3851745539915667
2.34E9                   0.7649040817806054       -0.4533218192432906
2.37E9                   0.7219257095331326       -0.5179094771260212
2.4E9                    0.6735604721025322       -0.5784594375098326
2.43E9                   0.6201843465431491       -0.634525015419739
2.46E9                   0.5622100087670205       -0.6856940709034781
2.49E9                   0.5000838066673543       -0.7315919578022099
2.52E9                   0.4342824968710078       -0.7718842906003306
2.55E9                   0.36530970564314824      -0.8062794827475148
2.58E9                   0.29369211799541084      -0.8345309837580207
2.61E9                   0.2199754389335821       -0.8564391553504196
2.64E9                   0.14472018688289232      -0.8718527553481297
2.67E9                   0.06849737455225871      -0.8806700211935081
2.7E9                    -0.008115877844843666    -0.8828393554463333
2.73E9                   -0.08454076066249616     -0.8783596181097808
2.76E9                   -0.16020119186623472     -0.8672800300434256
2.79E9                   -0.23452820201435537     -0.8496996913720429
2.82E9                   -0.3069642557866226      -0.8257667195592747
2.85E9                   -0.37696747828632404     -0.7956770136801693
2.88E9                   -0.4440157542913937      -0.7596726539095209
2.91E9                   -0.507610668810805       -0.7180399481367706
2.94E9                   -0.5672812581840517      -0.6711071405583082
2.97E9                   -0.6225875421000027      -0.6192418000904536
3.0E9                    -0.6731238086207081      -0.5628479091893163
3.03E9                   -0.7185216261038486      -0.5023626764130897
3.06E9                   -0.7584525582807433      -0.43825309839132953
3.09E9                   -0.7926305611005505      -0.3710122992272356
3.12E9                   -0.8208140428575288      -0.301155677066983
3.15E9                   -0.8428075718976349      -0.22921688937848464
3.18E9                   -0.8584632193438417      -0.15574370970907844
3.21E9                   -0.867681527487879       -0.08129378956848442
3.24E9                   -0.8704120976660841      -0.006430359769776213
3.27E9                   -0.8666537946979709      0.06828209421311268
3.3E9                    -0.8564545681286013      0.1422821483821547
3.33E9                   -0.8399108935956978      0.21501571371262537
3.36E9                   -0.817166840611318       0.28594023347420716
3.39E9                   -0.7884127759283904      0.3545287715121836
3.42E9                   -0.7538837144396567      0.4202739597522621
3.45E9                   -0.7138573323052928      0.4826917741400289
3.48E9                   -0.6686516597541001      0.5413251095836494
3.51E9                   -0.6186224736614014      0.595747126105863
3.54E9                   -0.564160412957673       0.6455643399704045
3.57E9                   -0.5056878423788719      0.6904194362236223
3.6E9                    -0.4436554927855687      0.7299937815509705
3.63E9                   -0.3785389082525192      0.7640096198009012
3.66E9                   -0.3108347317080835      0.7922319360925681
3.69E9                   -0.24105686172499274     0.8144699792173431
3.72E9                   -0.16973251332093683     0.830578435736817
3.75E9                   -0.09739821537469773     0.840458252697745
3.78E9                   -0.024595776657226055    0.8440571092798209
3.81E9                   0.04813174861998633      0.8413695409651099
3.84E9                   0.12024406654452768      0.8324367229232075
3.87E9                   0.19120759363179973      0.8173459218157085
3.9E9                    0.26049932739310044      0.7962296267845994
3.93E9                   0.32761061603905584      0.7692643705860067
3.96E9                   0.3920508076756482       0.7366692510300692
3.99E9                   0.4533507596424835       0.6987041617486596
4.02E9                   0.5110661873903594       0.6556677409028505
4.05E9                   0.5647808302788822       0.6078950475970726
4.08E9                   0.6141094102401639       0.5557549784031023
4.11E9                   0.6587003586318801       0.49964744046910275
4.14E9                   0.6982382879477861       0.4400003019339557
4.17E9                   0.7324461878059609       0.37726614413447224
4.2E9                    0.7610873283332055       0.31191884288604976
4.23E9                   0.7839668583077011       0.2444500073578012
4.26E9                   0.800933089239177        0.17536530528122934
4.29E9                   0.8118784597963246       0.1051807024551179
4.32E9                   0.8167401772798559       0.03441864348518129
4.35E9                   0.8155005344023177       -0.036395800232199294
4.38E9                   0.808186900734659        -0.10673878972108325
4.41E9                   0.7948713892636384       -0.17609155921232236
4.44E9                   0.7756701998926492       -0.24394421240180042
4.47E9                   0.7507426435440803       -0.3097994476355569
4.5E9                    0.7202898528304367       -0.3731761850217334
4.53E9                   0.6845531878668162       -0.43361306858083853
4.56E9                   0.6438123485579237       -0.4906718170176362
4.59E9                   0.5983832074781097       -0.5439403977359951
4.62E9                   0.5486153800969168       -0.593036000206414
4.65E9                   0.4948895513507992       -0.6376077868808531
4.68E9                   0.4376145793697216       -0.6773394021183762
4.71E9                   0.3772243982634484       -0.7119512220288933
4.74E9                   0.31417474246517596      -0.7412023302413946
4.77E9                   0.2489397154190293       -0.7648922062035726
4.8E9                    0.18200822591050497      -0.7828621136099265
4.83E9                   0.11388031648444362      -0.7949961773342142
4.86E9                   0.045063410125234606     -0.8012221383100822
4.89E9                   -0.023931496272081177    -0.8015117776178942
4.92E9                   -0.09259366098859019     -0.79588100391491
4.95E9                   -0.16041641692675715     -0.7843896021320717
4.98E9                   -0.22690094863866062     -0.7671406456877762
5.01E9                   -0.2915599947343858      -0.7442795789572703
5.04E9                   -0.35392144532403597     -0.7159929808257467
5.07E9                   -0.4135318067030979      -0.6825070234993467
5.1E9                    -0.46995950880356113     -0.644085642921404
5.13E9                   -0.5227980340469878      -0.6010284379720987
5.16E9                   -0.5716688485116789      -0.5536683154164477
5.19E9                   -0.6162241172779139      -0.5023688968417632
5.22E9                   -0.656149185214307       -0.4475217038981928
5.25E9                   -0.6911648032508966      -0.38954313993888023
5.28E9                   -0.7210290798688729      -0.3288712897053838
5.31E9                   -0.7455391391305198      -0.2659625635556606
5.34E9                   -0.7645324708978266      -0.20128821666062896
5.37E9                   -0.7778879646348484      -0.13533077558112608
5.4E9                    -0.7855266239587989      -0.06858040390324847
5.43E9                   -0.7874119632875902      -0.0015312359607152306
5.46E9                   -0.783550089968453       0.06532229543128296
5.49E9                   -0.7739894756020655      0.13148911365439872
5.52E9                   -0.758820419835105       0.19648511277792272
5.55E9                   -0.7381742096903405      0.2598367086939909
5.58E9                   -0.7122219781344906      0.32108430255245024
5.61E9                   -0.6811732673118684      0.3797856303983145
5.64E9                   -0.6452743047942306      0.43551897148026814
5.67E9                   -0.6048060051682775      0.4878861869739711
5.7E9                    -0.5600817141917739      0.5365155613321136
5.73E9                   -0.5114447178751814      0.5810644209354535
