% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 09:28
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5908127412640688       -0.742523308351464
330000000                0.5228621407134995       -0.7908321134147546
360000000                0.4510961251102632       -0.8330216028691071
390000000                0.37604741928301344      -0.8687869386499408
420000000                0.2982767577533739       -0.8978700099474856
450000000                0.21836782342397837      -0.9200620340257686
480000000                0.13692223696401093      -0.9352056025534119
510000000                0.05455455291366018      -0.9431962169493604
540000000                -0.02811274806919677     -0.9439833366166941
570000000                -0.11045426454558847     -0.9375709547667278
600000000                -0.19184665947692459     -0.9240177116319814
630000000                -0.27167359951578085     -0.9034365533875381
660000000                -0.34933061968677903     -0.8759939453992767
690000000                -0.42422988129179623     -0.8419086497558471
720000000                -0.4958047897164772      -0.8014500791756136
750000000                -0.5635144383575276      -0.7549362418682851
780000000                -0.6268478450875776      -0.7027312947103126
810000000                -0.6853279484776833      -0.6452427249677046
840000000                -0.7385153325318996      -0.5829181834802363
870000000                -0.7860116497653099      -0.516241995666514
900000000                -0.8274627158570986      -0.4457313782006246
930000000                -0.8625612501221038      -0.3719323931865399
960000000                -0.8910492400461769      -0.2954156727388738
990000000                -0.9127199107287153      -0.2167719491759014
1020000000               -0.9274192832021946      -0.1366074282769871
1050000000               -0.9350473095334367      -0.055539043492755284
1080000000               -0.9355585758822488      0.025810369156708358
1110000000               -0.9289625686600671      0.10681693588081481
1140000000               -0.9153235025641628      0.18686060904399052
1170000000               -0.8947597131527394      0.265329990402997
1200000000               -0.8674426203634307      0.3416270738552085
1230000000               -0.8335952730633368      0.41517186913216914
1260000000               -0.7934904882443747      0.48540686903694685
1290000000               -0.7474486020078954      0.5518013241720702
1320000000               -0.6958348524720182      0.6138552915384745
1350000000               -0.6390564179956817      0.6711034249902681
1380000000               -0.577559136572633       0.7231184785294014
1410000000               -0.5118239349129527      0.7695144957705244
1440000000               -0.4423629977105707      0.8099496620531476
1470000000               -0.3697157095653957      0.8441287985846515
1500000000               -0.2944444034318286      0.8718054813129452
1530000000               -0.2171299507209934      0.8927837704359622
1560000000               -0.13836722902202878     0.9069195398399152
1590000000               -0.05876050386658776     0.9141213991089471
