% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 22 2022, 16:39
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.590563739200934        -0.743032513480082
330000000                0.5225265998620329       -0.7913411468765267
360000000                0.45067301847598923      -0.8335190633098613
390000000                0.3755369560795881       -0.8692613254189849
420000000                0.29768041270027334      -0.8983098266997148
450000000                0.21768835412638127      -0.9204559064147392
480000000                0.13616368655922031      -0.9355424054692636
510000000                0.0537222376736894       -0.943465207155027
540000000                -0.029012267001563077    -0.9441742877740733
570000000                -0.11141322564508123     -0.9376742920980914
600000000                -0.19285616083404397     -0.9240246437619499
630000000                -0.27272367421522076     -0.9033391992368345
660000000                -0.3504103259360969      -0.8757854541000021
690000000                -0.42532740630435106     -0.8415833117930153
720000000                -0.4969075663271462      -0.8010034271170765
750000000                -0.5646092733164351      -0.7543651391222596
780000000                -0.6279210575114974      -0.7020340110605446
810000000                -0.6863655172169927      -0.6444189975651385
840000000                -0.7395030505216391      -0.5819692625766808
870000000                -0.7869352841491251      -0.5151706738632003
900000000                -0.8283081716598263      -0.44454200303953056
930000000                -0.8633147359777968      -0.37063086231828407
960000000                -0.8916974340087415      -0.29400941153650123
990000000                -0.9132501242309599      -0.21526987090600175
1020000000               -0.9278196214001758      -0.13501987682731695
1050000000               -0.9353068261344734      -0.05387771909191727
1080000000               -0.9356674206653537      0.02753250062104706
1110000000               -0.9289121259537769      0.10858574916436801
1140000000               -0.9151065190466187      0.18866094062077077
1170000000               -0.8943704134372645      0.2671457730462938
1200000000               -0.8668768089463887      0.3434414835764802
1230000000               -0.8328504213759615      0.4169674829678554
1260000000               -0.7925658056950681      0.4871658321497052
1290000000               -0.7463450900294759      0.5535055246730242
1320000000               -0.6945553408663185      0.615486541151391
1350000000               -0.6376055829353457      0.6726436438391041
1380000000               -0.575943499892485       0.7245498821280185
1410000000               -0.5100518444591272      0.7708197823376557
1440000000               -0.4404445888154608      0.8111121981724788
1470000000               -0.36766284774883196     0.8451328013860174
1500000000               -0.29227060876680583     0.8726361952410209
1530000000               -0.21485030445889014     0.8934276367893199
1560000000               -0.13599826312552282     0.9073643573514535
1590000000               -0.056320074474267304    0.9143564738542076
1620000000               0.023574092831651683     0.9143674871561359
1650000000               0.103074185035522        0.9074143667559756
1680000000               0.18157493224765064      0.8935672245241335
1710000000               0.2584804567659635       0.8729485832573627
1740000000               0.3332087861829006       0.8457322488587011
1770000000               0.4051962376173617       0.8121417978698932
1800000000               0.4739016411273731       0.7724486947517133
1830000000               0.5388103716617971       0.7269700559578038
1860000000               0.599438161028182        0.6760660800952863
1890000000               0.6553346630083748       0.6201371658284395
1920000000               0.7060867471037459       0.559620741045312
1950000000               0.7513214985895925       0.49498782861527374
1980000000               0.7907089048356707       0.42673937575048715
2010000000               0.8239642104918055       0.3554023752113896
2040000000               0.8508499266913909       0.28152580769797286
2070000000               0.8711774820574778       0.20567643562253576
2100000000               0.8848085060921911       0.12843447874017672
2130000000               0.8916557380651234       0.05038920202931461
2.16E9                   0.8916835567337096       -0.027865554261744974
2.19E9                   0.8849081276417586       -0.10573587379763172
2.22E9                   0.8713971646255395       -0.1826322646166355
2.25E9                   0.8512693003089485       -0.257974132443626
2.28E9                   0.8246930575344497       -0.331194193947682
2.31E9                   0.7918854136888023       -0.4017427866029077
2.34E9                   0.753109959889116        -0.4690920169540389
2.37E9                   0.7086746823987572       -0.5327396808987687
2.4E9                    0.6589294278325231       -0.5922129037615472
2.43E9                   0.6042631306162399       -0.6470714915825835
2.46E9                   0.5451008556793479       -0.6969110325877879
2.49E9                   0.4819006523277512       -0.7413657970450805
2.52E9                   0.4151501737925465       -0.7801114426107549
2.55E9                   0.345363025864406        -0.8128674772784026
2.58E9                   0.2730748516786036       -0.8393994079872732
2.61E9                   0.19883919909769363      -0.8595205169334567
2.64E9                   0.12322323157749651      -0.873093236622337
2.67E9                   0.04680333830390851      -0.8800301172190761
2.7E9                    -0.029839311284442973    -0.8802943899849685
