% Model:              cali 1.19 0.25mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 27 2022, 12:14
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6228186632277737       -0.7618629167492958
330000000                0.5532576339937961       -0.814056254693139
360000000                0.4793817606113027       -0.859903920142706
390000000                0.40176941609443984      -0.8990509050812853
420000000                0.32102804849121613      -0.9311948330145692
450000000                0.23778940783633384      -0.9560883375933842
480000000                0.15270457557755607      -0.9735410110521395
510000000                0.06643883599495375      -0.9834209050600968
540000000                -0.020333571067189384    -0.9856555706887072
570000000                -0.10693477390447531     -0.9802326273570883
600000000                -0.1926886275563792      -0.9671998546224598
630000000                -0.27692606377915985     -0.9466648042980869
660000000                -0.3589903891142845      -0.9187939344744334
690000000                -0.43824248809653527     -0.8838112708656555
720000000                -0.5140658884625795      -0.8419966050561176
750000000                -0.5858716467672948      -0.7936832430101417
780000000                -0.6531030132454863      -0.7392553214881392
810000000                -0.7152398372886521      -0.6791447134071231
840000000                -0.7718026762267028      -0.6138275471757316
870000000                -0.8223565726279163      -0.5438203686061134
900000000                -0.8665144684883398      -0.4696759767683436
930000000                -0.9039402269908738      -0.391978969001841
960000000                -0.9343512366955711      -0.311341031936855
990000000                -0.9575205757950225      -0.22839601898056233
1020000000               -0.9732787185737362      -0.14379485538505035
1050000000               -0.9815147694129007      -0.058200314969610284
1080000000               -0.9821772138477567      0.02771828638290809
1110000000               -0.9752741796942268      0.11329043416937257
1140000000               -0.9608732042554747      0.19784974566414437
1170000000               -0.9391005063236464      0.28073923286248764
1200000000               -0.9101397653140055      0.3613164279200427
1230000000               -0.8742304259973427      0.43895826162471957
1260000000               -0.8316656374501723      0.5130654866048845
1290000000               -0.7827903905229774      0.5830663118584288
1320000000               -0.7280019955724373      0.6484199230405226
1350000000               -0.6677535231576519      0.7086280796148107
1380000000               -0.6025342673467291      0.7632568790791262
1410000000               -0.532839476947328       0.8119092247848952
