% Model:              cali 1.19 0.25mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Feb 27 2022, 12:16
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.6316947250580853       -0.7596965389838459
330000000                0.5630354687993311       -0.8123351728107813
360000000                0.49004948466795073      -0.8587846101104883
390000000                0.41329314016850316      -0.8986907968517344
420000000                0.33335167397892995      -0.9317495123704428
450000000                0.2508347573332445       -0.9577087250343914
480000000                0.16637185966537604      -0.9763705562877647
510000000                0.08060745425461652      -0.9875928355503852
540000000                -0.0058039013705892374   -0.9912902325205725
570000000                -0.09220257197991569     -0.9874349559661253
600000000                -0.17792890163638886     -0.9760570116744625
630000000                -0.2623282805468525      -0.95724401530713
660000000                -0.3447561833267967      -0.9311405596188322
690000000                -0.42458313908597545     -0.8979471387962111
720000000                -0.5011995933662851      -0.8579186365602016
750000000                -0.574020623674009       -0.811362387922295
780000000                -0.6424904699696237      -0.7586358284905319
810000000                -0.7060868436217251      -0.7001437484061024
840000000                -0.764324979512659       -0.6363351714731591
870000000                -0.8167613975793581      -0.5676998837209539
900000000                -0.8629973430746134      -0.4947646380262047
930000000                -0.9026818764602329      -0.41808906527511625
960000000                -0.935514587570133       -0.3382613241423562
990000000                -0.9612479109623552      -0.2558935251273121
1020000000               -0.979689023423429       -0.17161696540144383
1050000000               -0.9907013076223438      -0.08607721333658636
1080000000               -0.9942053696026373      7.09165021899336E-5
1110000000               -0.9901796017597987      0.08616845755578192
1140000000               -0.9786602862081774      0.17155741205035968
1170000000               -0.9597412370116715      0.2555858562585505
1200000000               -0.933572982385872       0.33761298725095135
1230000000               -0.9003614894334974      0.41701406669312163
1260000000               -0.860366432401428       0.49318521290571565
1290000000               -0.8138989982451028      0.5655479759480823
1320000000               -0.761319207299022       0.6335535740737062
1350000000               -0.703032733903599       0.6966864562046752
1380000000               -0.6394876657882897      0.7544660586185541
1410000000               -0.5711763425209674      0.8064443700131021
1440000000               -0.49866139332498655     0.852221859571221
1470000000               -0.4225159856122515      0.8915295756648147
1500000000               -0.3432437431915304      0.924074327407452
1530000000               -0.2614582625671719      0.9495698469264688
1560000000               -0.17780206175385393     0.9678280877677695
1590000000               -0.09291835675042961     0.9787227865302515
1620000000               -0.007454669393813518    0.982182577751447
1650000000               0.07793919952391484      0.97819170002266
1680000000               0.16261538103789627      0.9667904805645716
1710000000               0.24593265669505762      0.9480751446561764
1740000000               0.32726124687950975      0.922197066318762
1770000000               0.40598753206452615      0.8893615422597162
1800000000               0.4815186444206546       0.8498261348648741
1830000000               0.5532868881086286       0.803898614422934
1860000000               0.6207539536157836       0.751934525375835
1890000000               0.6834148947080255       0.6943344002808347
1920000000               0.7408018385955334       0.6315406456793128
1950000000               0.7924874005532203       0.5640341257716178
1980000000               0.8380877737956283       0.49233047213350023
2010000000               0.8772654611987694       0.41697615286695733
2040000000               0.9097316039586488       0.33854434802679667
2070000000               0.9352478353605957       0.25763072360642175
2100000000               0.9536275519009831       0.17484936326777634
2130000000               0.9647366740130221       0.09082974080519238
2.16E9                   0.9684964819754871       0.006217096909657889
2.19E9                   0.9649026969546668       -0.07833004233303564
2.22E9                   0.9540332499973477       -0.16219772548569733
2.25E9                   0.9359464117531566       -0.24480538185781314
2.28E9                   0.9107486582145665       -0.32550809656642504
2.31E9                   0.8786426093954951       -0.40367881978585995
2.34E9                   0.8398846649497514       -0.4787264912157997
2.37E9                   0.7947770966375256       -0.5500877000948065
2.4E9                    0.7436679874613414       -0.6172273112440977
2.43E9                   0.6869500765639167       -0.6796419209768465
2.46E9                   0.6250587302393549       -0.7368637929450315
2.49E9                   0.558469393716033        -0.7884650473458555
2.52E9                   0.48769426172399655      -0.8340623095990662
2.55E9                   0.41327721507579407      -0.8733215682476628
2.58E9                   0.33578624056760537      -0.905961448104516
2.61E9                   0.25580525860131315      -0.9317521665142915
2.64E9                   0.1739302227395534       -0.950511079013928
2.67E9                   0.09077048390377894      -0.9621009985359014
2.7E9                    0.006949400490296931     -0.966434254227091
2.73E9                   -0.0768999834686758      -0.9634780830045003
2.76E9                   -0.16014210995387598     -0.9532571718385005
2.79E9                   -0.242145829300081       -0.9358534124383999
2.82E9                   -0.32229013077679575     -0.9114044167651658
2.85E9                   -0.3999689718625081      -0.8801017002705187
2.88E9                   -0.4745955749766016      -0.8421887771925913
2.91E9                   -0.5456063302194456      -0.7979592228136073
2.94E9                   -0.612464299202434       -0.7477549029108896
2.97E9                   -0.6746624893244627      -0.6919650062289802
3.0E9                    -0.7317283221364212      -0.6310270684976224
3.03E9                   -0.7832345221589372      -0.5654293255575191
3.06E9                   -0.8288218532315637      -0.4957007938632605
3.09E9                   -0.8682041955727867      -0.4223678159086502
3.12E9                   -0.9011118432261226      -0.34593584949303396
3.15E9                   -0.9272725612455166      -0.26695205464823946
3.18E9                   -0.9464692421004678      -0.1860217577678159
3.21E9                   -0.958558046725805       -0.10376972588322322
3.24E9                   -0.9634545319977725      -0.02082516908545646
3.27E9                   -0.9611307357286905      0.06217892591531601
3.3E9                    -0.9516160953510545      0.1446113808175051
3.33E9                   -0.9349955147018609      0.2258485751607335
