% Model:              three_layers reality at 0.1mm.mph
% Version:            COMSOL 5.6.0.280
% Date:               Mar 2 2022, 10:12
% Table:              表格 1 - 全局计算 1
% freq (Hz)              real(emw.S11) (1)        imag(emw.S11) (1)
300000000                0.5253069083079638       -0.7524767731530351
330000000                0.4524302363533515       -0.7964303110912326
360000000                0.3760518570294881       -0.8335078328026534
390000000                0.2967882234529093       -0.8634213406020894
420000000                0.2152863679180575       -0.8859388562081046
450000000                0.13221711957198254      -0.9008876693825949
480000000                0.048268490441003925     -0.908156791130781
510000000                -0.03586086443652264     -0.9076986859327436
540000000                -0.11946814885951512     -0.8995303229559831
570000000                -0.20185289081653962     -0.8837335681941166
600000000                -0.2823233512426541      -0.8604549308602976
630000000                -0.360202842238523       -0.829904674306985
660000000                -0.43483591120932785     -0.7923553022937665
690000000                -0.5055943417680012      -0.7481394342166315
720000000                -0.5718829184289852      -0.6976470872860366
750000000                -0.633144900681688       -0.6413223888467923
780000000                -0.6888671517355308      -0.5796597479570086
810000000                -0.7385848685282058      -0.5131995215970115
840000000                -0.7818858623434777      -0.4425232168874409
870000000                -0.8184143429378251      -0.3682482767829351
900000000                -0.847874163834818       -0.29102250235692895
930000000                -0.8700314922534036      -0.21151816967117415
960000000                -0.8847168735139983      -0.1304259036206543
990000000                -0.891826666988643       -0.04844837458846035
1020000000               -0.8913238383253461      0.03370611393625453
1050000000               -0.8832381006401434      0.11533007689942641
1080000000               -0.867665405618533       0.19572326840324616
1110000000               -0.8447667936200736      0.2741990022175008
1140000000               -0.8147666198766015      0.35009030459874413
1170000000               -0.7779501815674176      0.42275583468135625
1200000000               -0.7346607776843683      0.49158551167944
1230000000               -0.6852962401855204      0.556005792663068
1260000000               -0.6303049806704535      0.6154845502964972
1290000000               -0.5701816017531014      0.66953550591764
1320000000               -0.5054621263626984      0.7177221798816208
1350000000               -0.43671890124710616     0.7596613280102157
1380000000               -0.36455523301910947     0.7950258400748332
1410000000               -0.2895998162972619      0.8235470832492734
1440000000               -0.21250101364107865     0.8450166805247294
1470000000               -0.1339210463415288      0.8592877207750205
1500000000               -0.054530153692885545    0.8662754035488481
1530000000               0.024999223791212624     0.8659571275963537
1560000000               0.10399818447352392      0.8583720375569346
1590000000               0.1818069796118298       0.8436200480634475
1620000000               0.25778045540033967      0.8218603687375655
1650000000               0.3312932812082487       0.7933095571320115
1680000000               0.4017449261663664       0.758239129669229
1710000000               0.46856435049268674      0.7169727629747362
1740000000               0.5312143821557681       0.6698831197890759
1770000000               0.5891957534800983       0.6173883349640493
1800000000               0.6420507764115758       0.5599481977719488
1830000000               0.6893666388111435       0.49806006725906304
1860000000               0.730778307915707        0.43225455731169077
1890000000               0.7659710303987133       0.36309102790396075
1920000000               0.7946824217696999       0.29115291845328783
1950000000               0.8167041409107334       0.21704295840053783
1980000000               0.8318831484958434       0.141378289121811
2010000000               0.8401225509363166       0.06478552974357214
2040000000               0.8413820341956794       -0.012104182601006382
2070000000               0.8356778941991365       -0.0886601503492382
2100000000               0.8230826721323944       -0.1642570475698828
2130000000               0.8037244024814723       -0.2382798087511948
2.16E9                   0.7777854773353412       -0.31012846360504015
2.19E9                   0.7455011192359312       -0.37922291338616854
2.22E9                   0.7071574341233671       -0.4450076436865678
2.25E9                   0.6630889868693703       -0.5069563507438005
2.28E9                   0.6136758180347407       -0.5645764079482003
2.31E9                   0.5593398353818589       -0.617413012284686
2.34E9                   0.5005406138311573       -0.6650527599977637
2.37E9                   0.4377708345504271       -0.7071263987205842
2.4E9                    0.37155178861574556      -0.7433106925323529
2.43E9                   0.3024293589186027       -0.773329686770574
2.46E9                   0.2309705623950775       -0.7969559178859035
2.49E9                   0.15776028181222693      -0.814012001832193
2.52E9                   0.08339762536911142      -0.8243725974719788
2.55E9                   0.008491567935641698     -0.8279663473515062
2.58E9                   -0.0663440881870061      -0.824777328351909
2.61E9                   -0.1404961495452751      -0.814845740713542
2.64E9                   -0.21335755959133593     -0.7982677984340771
2.67E9                   -0.284332813926733       -0.7751949154144291
2.7E9                    -0.35284316537005334     -0.7458323066001207
2.73E9                   -0.4183315850782333      -0.7104370961400125
2.76E9                   -0.4802674688710914      -0.6693159897622678
2.79E9                   -0.5381510782461754      -0.6228225446128444
2.82E9                   -0.5915176983117552      -0.5713540587272682
2.85E9                   -0.6399414876924405      -0.5153481001435039
2.88E9                   -0.6830389909330528      -0.45527869834471635
2.91E9                   -0.7204722822527776      -0.39165222546886036
2.94E9                   -0.7519517103373186      -0.32500299979827435
2.97E9                   -0.7772382162017804      -0.2558886490867851
3.0E9                    -0.7961452000154331      -0.18488527537702082
3.03E9                   -0.8085399172718039      -0.11258246661576794
3.06E9                   -0.8143443899630886      -0.039578202951734545
3.09E9                   -0.8135358240565762      0.03352629257237204
3.12E9                   -0.8061465304502193      0.1061317083225009
3.15E9                   -0.7922633525632933      0.177645752859534
3.18E9                   -0.7720266095231243      0.24748816864017484
3.21E9                   -0.7456285694037261      0.31509560294312067
3.24E9                   -0.7133114718836853      0.37992629094053726
3.27E9                   -0.6753651239594961      0.441464508887603
3.3E9                    -0.6321240958073728      0.4992247588805702
3.33E9                   -0.5839645467300373      0.5527556499090349
3.36E9                   -0.5313007133878536      0.6016434431536558
3.39E9                   -0.47458109463043385     0.6455152321968235
3.42E9                   -0.4142843693856091      0.6840417313321829
3.45E9                   -0.3509150866596358      0.7169396474576379
3.48E9                   -0.2849991700563143      0.7439736135705921
3.51E9                   -0.21707928303520366     0.7649576653958557
3.54E9                   -0.1477101056240775      0.7797562474356975
3.57E9                   -0.07745357713908022     0.7882847416584694
3.6E9                    -0.006874162051162359    0.7905095208449925
3.63E9                   0.06346580388355587      0.7864475388564176
3.66E9                   0.13301063337962288      0.7761654804522244
3.69E9                   0.2012156254518235       0.7597785022955318
3.72E9                   0.2675511816371534       0.7374486035649214
3.75E9                   0.3315066696315134       0.7093826690942006
3.78E9                   0.39259401258741566      0.6758302308047699
3.81E9                   0.45035099212203494      0.6370809947785259
3.84E9                   0.5043442646749619       0.5934621805660493
3.87E9                   0.5541721033620395       0.5453357142564863
3.9E9                    0.5994668883545954       0.4930953056504313
3.93E9                   0.6398973738512638       0.43716342314296014
3.96E9                   0.6751707552136026       0.3779881616689633
3.99E9                   0.7050345457244511       0.3160399851658555
4.02E9                   0.7292782523479879       0.2518083209433825
4.05E9                   0.7477348205465703       0.1857979909318389
4.08E9                   0.7602818059051413       0.118525481510177
4.11E9                   0.7668422284984011       0.050515074025409196
4.14E9                   0.7673850742828269       -0.017705123974929515
4.17E9                   0.7619254228580324       -0.08560719568917913
4.2E9                    0.7505241981044066       -0.15266742650058393
4.23E9                   0.7332875530725613       -0.21837026116672809
4.26E9                   0.7103659101926774       -0.2822121679727945
4.29E9                   0.6819526812041521       -0.3437053823736814
4.32E9                   0.6482826890558524       -0.402381512098583
4.35E9                   0.6096303084734722       -0.45779499116351685
4.38E9                   0.5663073358820345       -0.5095263709153945
4.41E9                   0.5186605953365664       -0.5571854332201533
4.44E9                   0.46706928628778466      -0.6004141062064092
4.47E9                   0.4119420815853406       -0.638889158372391
4.5E9                    0.3537139889901056       -0.6723246441367041
4.53E9                   0.2928429955907689       -0.7004740734200394
4.56E9                   0.22980652061068893      -0.7231322798373601
4.59E9                   0.16509770739057236      -0.7401369661938534
4.62E9                   0.09922158898352294      -0.7513699118232224
4.65E9                   0.03269116303980742      -0.7567578331211356
4.68E9                   -0.0339765898136303      -0.7562728951831607
4.71E9                   -0.10026471410455554     -0.7499328771259005
4.74E9                   -0.1656602893440251      -0.7378009949522223
4.77E9                   -0.22965842075874818     -0.7199853833975917
4.8E9                    -0.2917661904376511      -0.6966382333974203
4.83E9                   -0.35150654397319614     -0.6679545775950411
4.86E9                   -0.4084220795816942      -0.6341707156924579
4.89E9                   -0.46207869768674553     -0.5955622763317825
4.92E9                   -0.5120690625245351      -0.5524419222104685
4.95E9                   -0.5580158257864063      -0.5051567182602558
4.98E9                   -0.5995745666391061      -0.4540851960470709
5.01E9                   -0.6364364119762872      -0.3996341584743406
5.04E9                   -0.6683303140880116      -0.3422352751256421
5.07E9                   -0.6950249776149999      -0.28234151890660225
5.1E9                    -0.7163304408387249      -0.22042348839764198
5.13E9                   -0.7320993244723056      -0.15696564874347163
5.16E9                   -0.7422277612952799      -0.09246251016227895
5.19E9                   -0.7466560115343213      -0.027414752712034692
5.22E9                   -0.7453687550944836      0.03767469584061994
5.25E9                   -0.7383950395226142      0.10230461281519053
5.28E9                   -0.7258078596189592      0.16597943040859095
5.31E9                   -0.7077233548008295      0.22821313141886768
5.34E9                   -0.6842996307198395      0.28853303176928485
5.37E9                   -0.6557352336039974      0.3464833964333871
5.4E9                    -0.6222673200362986      0.4016288524630367
5.43E9                   -0.5841695664568622      0.45355758353751263
5.46E9                   -0.541749853072599       0.5018843062712761
5.49E9                   -0.4953477419464405      0.5462530346776908
5.52E9                   -0.44533175535368064     0.5863396356502699
5.55E9                   -0.3920964525911874      0.6218541681925681
5.58E9                   -0.33605930274614526     0.6525429867972415
5.61E9                   -0.27765735725722873     0.6781905781181766
5.64E9                   -0.21734373788705197     0.6986210927361314
5.67E9                   -0.15558397144046676     0.7136995323569219
5.7E9                    -0.09285221940101636     0.7233325593675071
5.73E9                   -0.0296274641548127      0.7274689112712042
5.76E9                   0.03361028197711385      0.7260994250181669
5.79E9                   0.09638368728553495      0.7192566992023917
5.82E9                   0.1582216933680055       0.7070144364567675
5.85E9                   0.2186629762486172       0.6894865080086054
5.88E9                   0.27725927879522966      0.6668257686527114
5.91E9                   0.3335786204069159       0.6392226317858152
5.94E9                   0.3872083809158731       0.6069034004787833
5.97E9                   0.43775824155380827      0.5701283471327699
6.0E9                    0.48486295397895207      0.5291895401521325
